,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-9.9999999960687e-06,0.0,-9.9999999960687e-06,0.0
2,40.0,-9.9999999960687e-06,0.0,-0.65537,0.0
3,60.0,-0.65537,0.65535999999999,-1.31074,0.0
4,80.0,-0.65537,-1.0000000003174e-05,-0.65537999999999,0.65535999999999
5,100.0,-1.31074,0.65535,-1.31073,0.65535999999999
6,120.0,-1.31073,1.31071,-1.31073,1.31072
7,140.0,-0.65537,1.31071,-1.31073,1.31072
8,160.0,-0.65537999999999,1.96608,-1.31074,1.96608
9,180.0,-1.31074,1.31072,-1.31074,1.31072
10,200.0,-1.31074,1.31072,-1.31074,1.31072
11,220.0,-1.31074,1.31073,-1.31074,0.65535999999999
12,240.0,-1.31074,1.31072,-1.31074,0.65537
13,260.0,-1.9661,1.31072,-1.31074,1.31073
14,280.0,-1.31074,1.31072,-1.31074,1.31073
15,300.0,-1.31074,1.96609,-1.96609,1.31074
16,320.0,-1.96609,1.96609,-1.9661,1.31074
17,340.0,-1.9661,1.9661,-2.62145,1.31075
18,360.0,-2.62146,1.96611,-2.62146,1.31075
19,380.0,-2.62145,1.31075,-2.62146,1.31075
20,400.0,-2.62145,1.96611,-2.62145,1.96612
21,420.0,-2.62145,1.96612,-2.62146,1.96612
22,440.0,-1.9661,1.96611,-1.31075,1.31075
23,460.0,-1.31076,1.31075,-0.6554,0.65539
24,480.0,-0.6554,1.31076,-0.6554,1.31076
25,500.0,-0.6554,1.31075,-0.6554,0.6554
26,520.0,-3.9999999998486e-05,1.31075,-3.9999999998486e-05,0.6554
27,540.0,-0.6554,1.31075,-0.65539,0.6554
28,560.0,-2.9999999995312e-05,0.65539,-3.9999999998486e-05,0.6554
29,580.0,-3.9999999998486e-05,1.31075,-3.9999999998486e-05,0.6554
30,600.0,-3.9999999998486e-05,1.31075,-3.9999999998486e-05,0.6554
31,620.0,-3.9999999998486e-05,0.65539,-3.9999999998486e-05,0.6554
32,640.0,-3.9999999998486e-05,1.31075,-3.9999999998486e-05,0.65539
33,660.0,-3.9999999998486e-05,1.31075,-0.6554,0.6554
34,680.0,-3.9999999998486e-05,1.31075,-3.9999999998486e-05,1.31076
35,700.0,-3.9999999998486e-05,1.31075,-3.9999999998486e-05,1.31075
36,720.0,0.65532,1.31075,0.65532,1.31075
37,740.0,0.65532,1.31075,0.65532,1.31076
38,760.0,0.65532,1.31075,-3.9999999998486e-05,1.31076
39,780.0,0.65532,1.96612,-3.9999999998486e-05,1.31076
40,800.0,-2.9999999995312e-05,1.96612,-2.9999999995312e-05,1.96613
41,820.0,-3.9999999998486e-05,1.96613,0.65533000000001,1.31077
