,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65535,-0.65536,0.65536,0.0
2,40.0,0.65536,-0.65536,0.65536,-0.65536
3,60.0,1.31074,-0.65536,5.89834,1.0000000003174e-05
4,80.0,7.20908,-0.65535,6.55371,1.0000000003174e-05
5,100.0,6.55371,-0.65536,6.55371,-0.65536
6,120.0,6.5537,-1.31072,6.55369,-1.31072
7,140.0,5.89832,-1.96609,5.89832,-2.62145
8,160.0,5.89831,-2.62145,5.24295,-1.96609
9,180.0,5.24294,-2.62145,5.8983,-2.62145
10,200.0,5.8983,-2.62146,5.8983,-2.62145
11,220.0,6.55366,-2.62146,6.55366,-2.62145
12,240.0,6.55366,-2.62146,7.86438,-2.62146
13,260.0,7.86438,-3.27682,8.51975,-3.27682
14,280.0,9.17511,-3.27682,9.83048,-3.93218
15,300.0,10.48585,-3.93219,10.48585,-3.27683
16,320.0,11.79658,-4.58756,12.45194,-3.9322
17,340.0,11.79658,-4.58757,11.79658,-4.58757
18,360.0,17.03948,-4.58757,57.01667,-1.96611
19,380.0,76.67776,0.65538,82.57616,0.65539
20,400.0,80.61007,0.65538,80.61006,1.9999999999243e-05
21,420.0,81.26542,1.0000000003174e-05,81.26542,1.0000000003174e-05
22,440.0,81.92079,-0.65536,81.92079,-0.65537
23,460.0,83.2315,-1.31074,83.2315,-0.65538
24,480.0,83.88686,-1.31075,84.54222,-1.31075
25,500.0,85.19758,-1.31076,85.19759,-1.31076
26,520.0,85.85295,-1.96613,87.16368,-1.96612
27,540.0,87.16368,-1.96613,89.12977,-1.96612
28,560.0,89.78513,-1.96612,90.44049,-2.62148
29,580.0,91.75121,-2.62148,92.40656,-2.62148
30,600.0,93.06193,-3.27684,93.71729,-3.27684
31,620.0,94.37264,-3.93221,94.37265,-4.58756
32,640.0,96.99409,-9.17512,100.27092,-20.31642
33,660.0,104.20307,-28.18083,104.85843,-28.1808
34,680.0,103.54774,-28.18077,104.20309,-28.83612
35,700.0,103.54774,-29.49146,102.89238,-29.49145
36,720.0,102.89238,-30.1468,102.89238,-30.1468
