,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-1.0000000003174e-05,0.0,-0.65535999999999
2,40.0,9.9999999960687e-06,-0.65537,9.9999999960687e-06,-1.31073
3,60.0,1.9999999999243e-05,-1.31074,1.9999999999243e-05,-1.31074
4,80.0,-0.65534,-1.9661,-0.65534,-2.62146
5,100.0,-0.65533,-2.62147,-0.65533,-3.27683
6,120.0,9.83053,-5.24294,27.52549,-1.96618
7,140.0,40.63289,3.93204,43.90978,7.20884
8,160.0,41.94371,9.17492,41.28833,9.83028
9,180.0,41.28833,11.79636,41.94368,12.45173
10,200.0,41.28831,13.76244,41.2883,13.76245
11,220.0,40.63293,13.76244,40.63293,13.76245
12,240.0,40.63292,13.76244,40.63291,13.76245
13,260.0,40.63292,13.76244,40.63291,13.10708
14,280.0,41.28827,13.10708,41.28827,12.45172
15,300.0,41.94363,12.45171,41.28827,11.79636
16,320.0,41.94363,12.45171,41.94363,11.79636
17,340.0,42.59899,11.14098,42.599,10.48563
18,360.0,43.25435,10.48563,43.25435,9.83027
19,380.0,43.25436,9.83026,43.25436,9.17491
20,400.0,43.25436,8.51954,38.01143,4.58739
21,420.0,29.49164,-0.00012000000000256,27.52551,-1.96619
22,440.0,28.83624,-1.31083,28.83624,-0.65546999999999
23,460.0,28.83625,-1.31084,28.83625,-1.31083
24,480.0,29.49161,-1.31084,29.49161,-1.96619
25,500.0,29.49161,-1.9662,30.14698,-1.96619
26,520.0,29.49161,-1.9662,30.14697,-2.62156
27,540.0,30.14698,-3.27692,30.14698,-3.27692
28,560.0,30.14698,-3.27692,30.14697,-3.93228
29,580.0,30.14697,-3.93229,30.14697,-4.58764
30,600.0,30.14697,-4.58765,30.14697,-5.243
31,620.0,30.14698,-4.58765,30.14697,-4.58765
32,640.0,30.14697,-4.58765,30.80233,-4.58765
33,660.0,30.80234,-4.58765,30.80233,-4.58765
34,680.0,30.80234,-5.24301,30.80234,-5.89837
35,700.0,30.80234,-5.24302,30.80234,-5.89837
36,720.0,36.04526,-4.58767,56.36163,-1.96624
37,740.0,79.9548,0.65519,85.19777,2.62128
38,760.0,83.88705,3.93199,83.88705,5.24272
39,780.0,83.88705,7.2088,83.88705,7.2088
40,800.0,83.88704,7.20879,83.88704,7.86416
41,820.0,83.88705,8.51951,83.23168,9.83024
42,840.0,83.88705,9.83023,83.88704,9.17488
43,860.0,83.88704,9.17487,83.88704,9.17488
44,880.0,83.88704,9.83023,83.88704,9.83023
45,900.0,83.23168,9.83023,83.23168,9.83023
46,920.0,83.23169,9.83023,82.57633,10.48559
47,940.0,82.57633,11.14095,82.57633,11.14095
48,960.0,82.57633,11.79631,81.92097,11.79631
49,980.0,81.92097,11.79631,81.92097,11.79631
50,1000.0,81.92097,11.79631,81.92096,11.79631
51,1020.0,81.92096,12.45167,81.92095,13.10704
52,1040.0,81.92095,13.76239,81.92094,13.7624
53,1060.0,81.26558,14.41776,81.92093,13.7624
54,1080.0,81.92093,14.41776,81.92093,13.7624
55,1100.0,81.92093,13.7624,81.92093,14.41776
56,1120.0,82.57629,15.07312,82.57629,13.76241
57,1140.0,82.5763,13.7624,82.5763,13.7624
58,1160.0,83.23166,13.10703,83.23166,13.10704
59,1180.0,82.5763,13.10703,83.23166,11.79631
60,1200.0,83.23166,11.79631,83.23165,11.14095
61,1220.0,83.23165,11.14095,83.23164,10.48559
62,1240.0,83.23165,11.14094,83.23164,9.83023
63,1260.0,83.23164,9.83022,82.57628,9.17487
64,1280.0,70.77972,7.20879,53.08486,7.20881
65,1300.0,43.25437,4.58738,44.56509,3.93202
66,1320.0,45.87582,4.58737,45.22045,5.24273
67,1340.0,45.87581,5.24273,45.87581,5.24274
68,1360.0,46.53117,5.89809,46.53117,4.58738
69,1380.0,46.53116,4.58737,46.53116,5.24274
70,1400.0,46.53117,5.24273,47.84188,3.93201
71,1420.0,47.84188,3.27664,48.49724,2.62129
72,1440.0,49.1526,1.96592,49.1526,1.31057
73,1460.0,49.80796,1.31056,49.80796,0.6552
74,1480.0,49.80796,-0.00016000000000105,51.11868,-1.31088
75,1500.0,50.46332,-1.96625,51.11868,-1.96625
76,1520.0,51.11868,-2.62162,51.11868,-2.62161
77,1540.0,51.77404,-2.62162,51.77404,-1.96625
78,1560.0,51.77404,-1.96626,51.77403,-1.96625
79,1580.0,52.4294,-0.65554,52.4294,-0.65553
80,1600.0,51.77404,-0.00018000000000029,51.77404,-0.00016999999999712
81,1620.0,51.11868,2.62126,49.80796,4.58736
82,1640.0,40.63286,9.17489,28.83627,13.76246
83,1660.0,25.55944,15.72854,25.55943,16.38391
84,1680.0,26.2148,18.34999,24.90407,20.97144
85,1700.0,24.24872,22.28214,24.90408,22.93752
86,1720.0,24.24872,23.59287,24.24872,24.24824
87,1740.0,24.24872,24.24823,24.90408,24.24824
88,1760.0,24.24871,24.9036,24.90406,24.9036
89,1780.0,24.90406,25.55896,24.90405,26.21432
90,1800.0,24.90405,26.21432,24.90405,25.55897
91,1820.0,24.90404,25.55896,24.90404,25.55896
92,1840.0,25.5594,24.90359,25.55939,25.55896
93,1860.0,25.55939,24.24823,26.21475,23.59288
94,1880.0,26.21474,22.93751,26.8701,21.62679
95,1900.0,26.8701,21.62679,24.90398,19.00536
96,1920.0,14.41808,15.07322,1.9661,11.79645
97,1940.0,-1.9661,11.14109,-1.9661,13.10718
98,1960.0,-2.62147,14.41789,-3.27683,15.07326
99,1980.0,-3.27683,15.72862,-3.27684,15.72862
100,2000.0,-3.27684,16.38398,-3.27684,16.38399
101,2020.0,-3.9322,16.38398,-3.27685,17.03935
102,2040.0,-3.93221,16.38398,-3.27685,17.03935
103,2060.0,-3.27685,17.03935,-3.27686,16.38399
104,2080.0,-3.27686,15.72862,-2.6215,15.07327
105,2100.0,-3.27686,15.07326,-3.27686,15.07327
106,2120.0,-3.27686,14.4179,-2.6215,13.76254
107,2140.0,-3.27686,13.10717,-3.27686,12.45182
108,2160.0,-3.27686,12.45181,-2.6215,11.79645
109,2180.0,-2.6215,11.14108,-2.6215,10.48572
110,2200.0,-2.6215,10.48571,-2.6215,9.83036
111,2220.0,-2.62149,9.17499,-2.62149,7.86427
112,2240.0,3.2768,8.51961,9.83046,8.51961
113,2260.0,10.48583,7.86423,10.48583,7.86424
114,2280.0,10.48584,8.51959,10.48584,7.86423
115,2300.0,10.48585,7.86422,9.83048,7.86423
116,2320.0,10.48585,7.86422,10.48584,7.20886
117,2340.0,9.83048,7.20886,10.48584,6.5535
118,2360.0,10.48585,5.89813,10.48585,5.89814
119,2380.0,10.48585,5.89813,10.48585,5.24278
120,2400.0,10.48584,5.24277,10.48585,5.24277
121,2420.0,10.48586,5.24277,10.48585,4.58742
122,2440.0,10.48586,3.93205,10.48585,3.27669
123,2460.0,10.48585,3.93205,10.48585,3.27669
124,2480.0,9.8305,2.62132,10.48585,1.96597
125,2500.0,10.48585,1.96596,10.48585,1.31061
126,2520.0,10.48586,0.65524,14.41806,1.31059
127,2540.0,24.90399,7.86417,34.7345,12.45169
128,2560.0,35.38989,14.41776,35.38987,13.76241
129,2580.0,34.73451,15.07313,35.38986,16.38385
130,2600.0,34.73449,17.03921,34.73449,16.38386
131,2620.0,34.73448,17.69457,35.38983,17.69458
132,2640.0,35.38983,18.34994,35.38983,17.69458
133,2660.0,35.38982,17.69458,36.04518,17.03923
134,2680.0,36.04518,18.34993,36.04518,17.69458
135,2700.0,36.04518,17.69458,36.04517,17.69458
136,2720.0,36.04517,18.34994,36.70053,17.69458
137,2740.0,36.70053,18.34994,36.70053,17.69458
