,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.9999999992137e-05,-0.65537,-1.0000000003174e-05,-0.65535999999999
2,40.0,-0.65536,-0.65538,-1.0000000003174e-05,-0.65538
3,60.0,6.55365,-2.62153,17.03959,-3.93229
4,80.0,22.28258,-4.58769,22.28257,-2.62158
5,100.0,21.62721,-1.96621,22.2826,-1.96621
6,120.0,22.2826,-1.96622,22.28256,-1.31086
7,140.0,22.28256,-1.96622,22.93792,-1.31086
8,160.0,22.93795,-1.96622,22.93791,-0.65549
9,180.0,22.93794,-1.31086,22.93791,-0.6555
10,200.0,22.93793,-1.31087,22.9379,-0.6555
11,220.0,22.93791,-0.6555,22.9379,-0.65549
12,240.0,22.9379,-0.65551,22.9379,0.65522
13,260.0,22.9379,-0.00014000000000181,22.93793,0.65523
14,280.0,22.93789,0.65523,22.9379,1.3106
15,300.0,22.93789,1.31059,22.9379,2.62133
16,320.0,22.28254,1.96597,22.28253,2.62134
17,340.0,22.28256,2.62134,22.28255,3.93207
18,360.0,21.62718,3.27671,22.28253,4.58744
19,380.0,21.62717,3.93207,20.97182,5.2428
20,400.0,21.62721,4.58745,21.62718,5.24281
21,420.0,21.6272,4.58745,21.62716,5.24282
22,440.0,21.62719,4.58746,21.62715,5.89819
23,460.0,21.62715,5.24283,21.62717,5.8982
24,480.0,21.62715,5.24284,20.97178,5.89822
25,500.0,20.97179,5.24285,20.97181,5.89821
26,520.0,20.97178,5.24285,19.66104,5.24288
27,540.0,7.86445,4.58758,-4.58753,5.8984
28,560.0,-5.89827,7.20915,-5.2429,9.17527
29,580.0,-5.24289,9.17527,-5.24287,9.83064
30,600.0,-5.2429,9.83064,-5.24287,10.486
31,620.0,-5.2429,10.486,-5.24291,11.14137
32,640.0,-5.2429,10.48601,-5.24291,11.14138
33,660.0,-5.24291,10.48601,-5.2429,11.14137
34,680.0,-5.24288,10.486,-5.24288,11.14137
35,700.0,-5.24292,10.486,-5.24291,11.14137
36,720.0,-5.24292,11.14136,-5.24293,11.14138
37,740.0,-5.24292,10.486,-5.24292,11.79673
38,760.0,-5.24292,10.486,-5.24292,11.14136
39,780.0,-5.24292,10.48599,-5.24292,11.14136
40,800.0,-5.24292,10.48599,-5.89829,10.48599
41,820.0,-5.89828,9.83061,-5.89828,10.48598
42,840.0,-5.89828,10.48598,-5.89829,10.48598
43,860.0,-5.89828,10.48597,-6.55362,10.48598
44,880.0,-5.89829,10.48597,-6.55366,10.48597
45,900.0,-6.55365,9.8306,-5.89829,9.8306
46,920.0,1.0000000003174e-05,7.86447,11.14131,7.20907
47,940.0,14.41818,5.24291,14.41819,7.20902
48,960.0,13.76281,6.55366,14.41817,7.20902
49,980.0,13.76283,7.20901,13.7628,7.86437
50,1000.0,14.41816,7.20901,14.41819,7.86436
51,1020.0,13.76283,7.209,13.76279,7.86436
52,1040.0,13.76279,7.20899,13.76279,7.86436
53,1060.0,13.76281,7.20899,13.76279,7.86435
54,1080.0,13.76279,7.20898,13.76279,7.86435
55,1100.0,13.76279,7.86435,13.76281,7.86435
56,1120.0,13.10745,7.86433,13.10742,7.86434
57,1140.0,13.76281,7.86434,13.10745,7.20898
58,1160.0,13.10742,7.20897,13.10743,7.86434
59,1180.0,13.76278,6.5536,20.97184,5.24285
60,1200.0,31.45778,3.27675,34.07928,4.58748
61,1220.0,33.42391,3.93213,33.42389,4.58749
62,1240.0,33.4239,4.58749,33.42389,5.24286
63,1260.0,33.42389,4.5875,33.42389,5.24286
64,1280.0,34.07925,4.58749,34.07924,5.24287
65,1300.0,34.07924,5.24286,34.07923,5.24286
66,1320.0,34.73458,5.24286,34.07926,5.24287
67,1340.0,34.07923,5.24286,34.73459,5.89823
68,1360.0,34.73458,5.24287,34.07922,5.89823
69,1380.0,36.04531,4.5875,41.94368,4.58752
70,1400.0,45.22055,3.93212,44.56519,4.5875
71,1420.0,43.90983,4.5875,44.56519,5.24286
72,1440.0,44.56518,3.93213,44.56518,5.24286
73,1460.0,44.56519,4.58749,44.56519,4.58749
74,1480.0,45.22054,4.58749,44.56518,4.58749
75,1500.0,44.56518,4.58749,44.5652,5.24286
76,1520.0,45.22054,4.58749,44.56517,5.24285
77,1540.0,44.56517,4.58749,44.5652,4.58748
78,1560.0,44.56518,4.58748,44.56517,4.58749
79,1580.0,45.22053,3.93212,45.22053,4.58748
80,1600.0,45.22054,4.58747,44.56518,4.58748
81,1620.0,45.22054,3.9321,45.87591,3.9321
82,1640.0,52.42962,1.96598,57.01728,1.96596
83,1660.0,57.01728,1.96598,57.01727,2.62134
84,1680.0,57.67264,2.62134,57.67266,3.2767
85,1700.0,57.67264,2.62133,57.67265,3.2767
86,1720.0,57.67265,2.62133,58.32802,2.62133
87,1740.0,58.32804,2.62132,58.32802,2.62132
88,1760.0,58.32802,1.96596,58.98339,2.62131
89,1780.0,58.32803,1.96594,58.32803,2.62131
90,1800.0,58.32802,1.96594,58.98339,2.6213
91,1820.0,58.32803,1.96593,58.32803,2.62129
92,1840.0,58.32803,1.96593,58.32805,1.96593
93,1860.0,58.98338,1.31056,58.32803,1.96592
94,1880.0,58.98339,1.96592,58.32803,1.96592
95,1900.0,58.98339,1.31055,58.98341,1.96591
96,1920.0,58.98339,1.31054,58.98339,1.31055
97,1940.0,59.63876,0.65517999999999,67.50321,-0.65553999999999
98,1960.0,76.02306,-1.96627,77.3338,-0.00018999999999636
99,1980.0,76.67845,-0.00016000000000105,76.67843,0.65521
100,2000.0,77.33379,0.65599,77.33378,1.31058
101,2020.0,77.33378,0.65521,77.33378,1.31058
102,2040.0,77.98913,1.31057,77.98915,1.31059
103,2060.0,77.98914,1.31058,78.6445,1.96595
104,2080.0,78.64449,1.96594,78.6445,1.96595
105,2100.0,79.29987,1.96595,78.64449,2.62131
106,2120.0,78.64449,1.96595,79.29985,2.62132
107,2140.0,79.29986,1.96595,78.6445,2.62132
108,2160.0,79.29985,2.62131,78.64448,3.27668
109,2180.0,79.29984,2.62131,79.29984,3.27668
110,2200.0,79.29984,2.62132,79.29983,3.27668
111,2220.0,79.29983,2.62131,79.29983,2.62131
112,2240.0,81.92132,2.62135,82.57671,3.27674
113,2260.0,82.57671,3.27673,82.5767,4.58747
114,2280.0,82.5767,3.9321,82.57673,4.58747
115,2300.0,83.23207,3.9321,83.23206,4.58746
116,2320.0,83.23208,3.93209,83.23207,4.58746
117,2340.0,83.23209,3.93209,83.23207,3.93209
118,2360.0,83.88742,3.27671,83.88742,3.93208
119,2380.0,83.88745,3.27672,83.88743,3.93209
120,2400.0,83.88745,3.27671,83.88743,3.27672
121,2420.0,83.88743,3.2767,83.88745,3.2767
122,2440.0,83.88742,2.62134,84.54279,3.2767
123,2460.0,84.54279,2.62132,84.54279,2.62133
124,2480.0,83.88741,1.31058,68.81394,-1.31088
125,2500.0,47.84211,-5.89846,24.90417,-7.20908
126,2520.0,9.17532,-7.20906,7.20919,-4.58756
127,2540.0,7.86459,-2.62145,7.86459,0.65539
128,2560.0,7.86456,2.6215,7.2092,4.58761
129,2580.0,7.20919,5.89834,7.20919,7.20908
130,2600.0,7.20918,7.20908,7.20917,7.86445
131,2620.0,7.20918,7.86444,7.20917,8.51981
132,2640.0,7.20917,7.86444,6.55381,8.51981
133,2660.0,7.20917,8.5198,5.24307,9.83056
