,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.65536,-0.65536,0.65537
2,40.0,-0.65535999999999,0.65537,-0.65535,0.65537
3,60.0,1.0000000003174e-05,1.31074,-0.65535,1.31073
4,80.0,-0.65535,0.65537,-0.65535,0.65537
5,100.0,-0.65535,1.31074,-1.3107,1.31073
6,120.0,-1.3107,1.31073,-1.96605,1.31073
7,140.0,-1.31069,1.31073,-2.62141,1.31074
8,160.0,-1.31068,1.96611,-1.96604,1.31075
9,180.0,-1.96604,1.9661,-1.96604,1.9661
10,200.0,-1.96603,1.9661,-2.62139,1.9661
11,220.0,-1.96603,1.31074,-3.27674,1.31074
12,240.0,-1.96602,1.96611,-2.62139,1.31074
13,260.0,-2.62139,1.31074,-2.62139,1.31074
14,280.0,-1.31067,1.31074,-1.31067,1.31075
15,300.0,-1.31066,1.96611,-1.31067,1.31075
16,320.0,-0.65531,1.96611,-1.31067,1.31075
17,340.0,-1.31066,1.96611,-1.31066,1.31076
18,360.0,-1.31065,1.96613,-1.31065,2.62149
19,380.0,-1.31064,3.27687,-1.31063,3.93224
20,400.0,-0.65526999999999,4.58761,-0.65526,5.24299
21,420.0,-0.65525,5.243,-1.31061,5.24299
22,440.0,-1.31059,5.243,-1.96595,5.24299
23,460.0,-1.31059,5.243,-1.96594,4.58764
24,480.0,-1.96595,3.93226,-1.96594,3.27691
25,500.0,-1.96594,3.93227,-3.27667,3.93227
26,520.0,-2.62131,4.58763,-2.6213,5.243
27,540.0,-1.96594,5.89836,-3.27665,5.89837
28,560.0,-1.96593,6.55373,-3.27666,5.89836
29,580.0,-2.62129,5.89837,-2.62128,5.89836
30,600.0,-2.62129,5.89837,-2.62128,5.89837
31,620.0,-1.96592,5.89837,-3.27664,5.89836
32,640.0,-2.62128,6.55373,-2.62127,5.243
33,660.0,4.58774,5.24302,5.89849,5.89839
34,680.0,5.24314,7.20912,4.58779,7.20912
35,700.0,5.24315,7.86449,4.58779,7.86449
36,720.0,5.24316,8.51986,4.5878,8.51986
37,740.0,5.24317,8.51986,4.5878,8.51986
38,760.0,5.24317,9.17522,5.24319,9.17523
39,780.0,5.89856,10.48597,5.24321,10.48598
40,800.0,5.89858,11.79672,5.89861,12.4521
41,820.0,6.55397,12.45211,5.89861,13.10748
42,840.0,6.55399,13.76285,6.55399,14.41823
43,860.0,7.20935,14.41823,6.55399,13.76287
44,880.0,6.55399,13.10749,5.89863,11.14139
45,900.0,7.8647,9.83065,29.49167,7.20921
46,920.0,52.42944,5.89851,53.7402,6.55387
47,940.0,52.42945,7.8646,51.77409,8.51997
48,960.0,52.42945,9.17534,51.77408,9.8307
49,980.0,51.77408,10.48606,51.11872,10.48607
50,1000.0,51.77408,11.14143,51.11872,10.48606
51,1020.0,51.11872,11.79679,50.46336,12.45216
52,1040.0,51.11873,12.45216,50.46337,12.45216
53,1060.0,51.11873,13.10753,51.11872,12.45217
54,1080.0,51.77409,13.10754,51.77409,13.10754
55,1100.0,52.42945,13.7629,51.77409,13.10754
56,1120.0,52.42945,13.76291,52.42945,13.76291
57,1140.0,53.74017,14.41827,53.08481,13.76292
58,1160.0,53.74017,14.41828,53.74017,15.07364
59,1180.0,54.39553,15.07365,53.74017,15.72901
60,1200.0,55.0509,16.38438,54.39553,15.72902
61,1220.0,55.0509,15.72902,64.22602,15.72905
62,1240.0,72.09045,16.38444,74.05658,17.69518
63,1260.0,73.40123,18.35055,73.40122,19.66127
64,1280.0,73.40122,20.31664,73.40122,19.66128
65,1300.0,73.40121,20.31664,72.74586,20.31664
66,1320.0,73.40121,20.97201,72.74585,20.972
67,1340.0,73.40122,21.62736,72.74586,21.62737
68,1360.0,73.40122,22.28274,72.74586,22.9381
69,1380.0,73.40123,22.9381,72.74586,23.59346
70,1400.0,73.40122,24.24884,73.40121,24.90419
71,1420.0,73.40121,24.9042,72.74585,24.9042
72,1440.0,76.67805,24.90422,85.85324,26.21497
73,1460.0,95.02843,28.83645,96.33917,30.80254
74,1480.0,95.68379,33.424,95.02841,34.73473
75,1500.0,95.68376,36.70083,95.02839,36.70083
76,1520.0,95.68375,37.3562,95.68374,37.3562
77,1540.0,95.68373,38.66692,95.68372,38.01156
78,1560.0,96.33907,38.01156,95.6837,38.01157
79,1580.0,96.33906,38.66693,96.33905,38.66692
80,1600.0,96.99441,38.66693,95.68369,38.66693
81,1620.0,96.99441,39.32229,96.33904,39.32229
82,1640.0,96.9944,39.97766,96.33903,39.32229
83,1660.0,96.99439,39.97766,95.68367,40.63303
84,1680.0,96.99438,40.63303,95.68365,40.63303
85,1700.0,96.99438,40.63304,96.33901,40.63304
86,1720.0,96.99437,41.28841,96.339,41.28841
87,1740.0,96.339,42.59913,99.61583,41.28842
88,1760.0,108.79101,42.59919,113.37864,43.90993
89,1780.0,114.68935,45.87603,112.72325,46.5314
90,1800.0,114.03397,47.84213,113.3786,47.84213
91,1820.0,114.03395,48.4975,113.37858,48.4975
92,1840.0,114.03394,48.4975,113.37858,48.4975
93,1860.0,114.03393,48.4975,113.37857,48.4975
94,1880.0,113.37857,48.4975,113.37857,48.4975
95,1900.0,114.03393,48.4975,113.37857,48.4975
96,1920.0,114.03393,48.4975,113.37857,48.4975
97,1940.0,114.03393,48.4975,113.37857,48.4975
98,1960.0,-53.08287,48.4975,112.72321,48.4975
99,1980.0,114.03393,48.4975,113.37856,48.4975
100,2000.0,114.03392,48.4975,113.37856,48.4975
101,2020.0,113.37856,48.4975,113.37856,48.4975
102,2040.0,113.37856,48.4975,114.03392,48.4975
103,2060.0,115.34463,48.4975,115.34464,48.4975
104,2080.0,117.9661,48.4975,127.79664,48.4975
105,2100.0,144.83629,48.4975,149.42394,48.4975
106,2120.0,149.42391,48.4975,148.76852,47.84214
107,2140.0,150.07923,47.84214,151.38993,47.84214
108,2160.0,154.66672,47.18678,154.66671,47.84214
109,2180.0,155.97742,47.84214,156.63277,47.18678
110,2200.0,157.94349,47.18678,157.94348,46.53141
111,2220.0,158.59885,47.18677,157.94348,47.84214
112,2240.0,155.97735,48.4975,153.35591,48.4975
113,2260.0,153.35591,48.4975,154.01127,48.4975
114,2280.0,154.66663,48.4975,154.01127,48.4975
115,2300.0,154.66662,48.4975,154.66663,48.4975
