,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535999999999,0.65536,-0.65536,0.65536
2,40.0,-0.65535999999999,0.0,-0.65536,0.65536
3,60.0,-1.31073,0.65536,-1.31072,0.65536
4,80.0,-1.31073,0.65537,-1.31073,0.65537
5,100.0,-1.31074,0.65537,-1.96609,0.65537
6,120.0,-1.31074,0.65537,-1.31073,0.65536
7,140.0,-1.9661,0.0,-1.9661,0.0
8,160.0,-1.96611,0.0,-1.9661,0.0
9,180.0,-2.62147,-0.65536,-2.62147,-0.65536
10,200.0,-2.62148,-1.31072,-2.62148,-1.31073
11,220.0,-2.62149,-1.96609,-2.62149,-1.9661
12,240.0,-2.6215,-1.9661,-2.62149,-1.9661
13,260.0,-3.27686,-1.9661,-2.62149,-1.9661
14,280.0,-2.62149,-1.9661,-2.62226,-1.9661
15,300.0,-2.62149,-1.31074,-2.62148,-1.31074
16,320.0,-2.62149,-1.31073,-2.62148,-1.31074
17,340.0,-3.9322,-0.65537,-3.27683,-0.65537
18,360.0,-3.9322,-1.31073,-3.93219,-0.65537
19,380.0,-3.93219,-0.65537,-4.58754,-0.65537
20,400.0,-4.58755,-0.65536,-4.58754,-0.65537
21,420.0,-3.93218,-0.65537,-4.58753,-1.0000000003174e-05
22,440.0,-5.2429,-1.0000000003174e-05,-3.93216,-1.0000000003174e-05
23,460.0,7.86444,-1.0000000003174e-05,17.03962,0.65536
24,480.0,19.6611,0.65538,19.00574,1.31074
25,500.0,18.35038,1.9661,18.3504,1.9661
26,520.0,19.00575,1.96611,18.35041,2.62147
27,540.0,17.69504,2.62148,18.35041,2.62147
28,560.0,17.69505,2.62148,17.69505,2.62147
29,580.0,17.69505,2.62148,17.69506,1.96611
30,600.0,18.35041,1.96611,18.35041,1.96611
31,620.0,19.00575,1.96611,19.00576,1.96611
32,640.0,19.00575,1.31075,19.6611,1.31075
33,660.0,19.66109,0.65538,26.21475,1.31075
34,680.0,41.94364,2.62152,51.11886,3.27689
