,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535,0.0,0.0,0.0
2,40.0,-0.65535,0.65536,-0.65536,0.0
3,60.0,-1.31071,1.31073,-0.65535000000001,0.65536
4,80.0,-1.31071,1.31073,-0.65536,1.31072
5,100.0,-0.65534,1.96609,-0.65535000000001,1.31072
6,120.0,-0.65534,1.31073,-0.65535000000001,1.31072
7,140.0,-1.31071,1.96609,-1.31072,1.96609
8,160.0,-1.96607,1.96609,-1.96608,1.31073
9,180.0,-1.96607,1.96609,-1.96608,1.96609
10,200.0,-1.96607,2.62146,-1.96608,1.96608
11,220.0,-1.96607,2.62146,-1.96608,1.96608
12,240.0,-2.62143,2.62146,-1.96608,1.96609
13,260.0,-2.62144,2.62146,-1.96608,2.62145
14,280.0,-2.62144,3.27682,-1.96609,2.62145
15,300.0,-2.62144,3.27682,-1.96608,3.27681
16,320.0,-1.96607,3.27682,-1.96608,3.27681
17,340.0,-2.62143,3.93217,-1.96607,3.2768
18,360.0,-1.96607,3.93218,-1.96607,3.93217
19,380.0,-2.62142,4.58753,-1.31071,3.93216
20,400.0,-1.96606,3.93217,-1.31071,3.27681
21,420.0,-1.96606,4.58753,-1.96607,4.58752
22,440.0,-1.96606,4.58753,-1.96607,4.58752
23,460.0,-1.3107,5.24289,-1.96607,4.58752
24,480.0,-1.96606,5.24289,-1.31071,4.58753
25,500.0,-1.96606,5.24289,-1.31071,4.58753
26,520.0,-1.3107,5.24289,-1.31072,4.58752
27,540.0,-1.3107,4.58753,-1.3107,4.58752
28,560.0,-1.31069,5.24289,-1.3107,4.58752
29,580.0,-1.31069,4.58753,-0.65534,4.58752
30,600.0,-1.31069,5.2429,-0.65534,4.58753
31,620.0,-1.3107,5.24289,-0.65534,5.24289
32,640.0,-0.65533,5.89826,2.9999999995312e-05,4.58753
33,660.0,-1.31069,5.89825,1.9999999999243e-05,5.24289
34,680.0,-1.31069,5.89826,-0.65535000000001,5.24289
35,700.0,-1.3107,5.89826,-1.3107,5.89826
36,720.0,1.9999999999243e-05,5.89827,8.51976,3.93219
37,740.0,10.48588,5.24293,9.83049,5.24293
38,760.0,9.8305,5.8983,9.83049,5.24293
39,780.0,9.8305,5.89831,10.48585,5.89829
