,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-9.9999999960687e-06,-0.65536,0.0,-0.65537
2,40.0,-9.9999999960687e-06,-1.31073,0.0,-1.31073
3,60.0,-0.65537,-1.31073,0.0,-1.31073
4,80.0,-0.65537,-1.96609,-0.65537,-1.31074
5,100.0,-0.65537,-1.9661,-0.65536,-1.9661
6,120.0,-0.65538,-2.62146,-0.65536,-1.96611
7,140.0,-0.65537,-2.62147,-0.65536,-2.62147
8,160.0,-0.65537,-3.93219,-1.31073,-3.27683
9,180.0,-0.65537,-3.93219,-0.65537,-3.9322
10,200.0,0.65535000000001,-4.58755,1.31074,-3.27683
11,220.0,1.31072,-4.58755,1.31073,-3.27683
12,240.0,1.31072,-3.27683,1.31073,-3.27683
13,260.0,1.31072,-3.93219,1.31073,-3.27683
14,280.0,1.31072,-3.93219,1.31073,-3.27683
15,300.0,1.31072,-3.93219,1.31073,-3.27683
16,320.0,1.31073,-4.58755,1.31074,-3.93219
17,340.0,1.31073,-3.93219,1.9661,-3.9322
18,360.0,1.96609,-3.93219,1.9661,-3.9322
19,380.0,1.96609,-3.93219,1.9661,-3.27684
20,400.0,1.96609,-3.93219,1.9661,-3.9322
21,420.0,1.31073,-4.58755,1.31074,-3.9322
22,440.0,1.31073,-4.58755,1.31074,-3.9322
23,460.0,1.31073,-4.58756,1.31074,-3.9322
24,480.0,1.31073,-4.58756,1.31074,-3.9322
25,500.0,1.31073,-4.58756,1.31074,-4.58756
26,520.0,1.31073,-5.24292,1.31074,-4.58757
27,540.0,0.65537,-5.24293,1.31073,-4.58757
28,560.0,1.31073,-5.24293,0.65538,-4.58757
29,580.0,0.65537,-5.24293,0.65537,-5.24293
30,600.0,0.65537,-5.89829,0.65538,-5.24293
31,620.0,0.65536,-5.89829,0.65538,-5.24293
32,640.0,0.65537,-5.89829,0.65538,-5.24294
33,660.0,0.65537,-5.24293,0.65538,-5.24294
34,680.0,0.65537,-5.8983,1.9999999999243e-05,-5.24294
35,700.0,1.0000000003174e-05,-5.8983,1.9999999999243e-05,-5.24294
36,720.0,1.0000000003174e-05,-5.8983,9.9999999960687e-06,-5.89831
37,740.0,0.0,-5.89831,9.9999999960687e-06,-5.89831
38,760.0,0.0,-6.55367,-0.65535,-5.89831
39,780.0,-0.65535999999999,-5.89831,-0.65535,-5.89831
40,800.0,-0.65535999999999,-6.55367,-0.65535,-5.89831
41,820.0,-0.65535999999999,-6.55367,-0.65535,-5.89831
42,840.0,-0.65535,-5.89831,-0.65534,-5.89832
43,860.0,-0.65535,-6.55367,-0.65535,-5.89832
44,880.0,-0.65535999999999,-6.55367,9.9999999960687e-06,-5.89832
45,900.0,0.0,-5.89831,9.9999999960687e-06,-4.58759
46,920.0,0.0,-4.58758,9.9999999960687e-06,-3.27686
47,940.0,-0.65535999999999,-4.58758,9.9999999960687e-06,-3.93222
48,960.0,-0.65535999999999,-2.62149,-0.65534,-3.9999999998486e-05
49,980.0,-0.65535,1.3107,-0.65533,3.93215
50,1000.0,-0.65534,8.51971,-0.65532,13.76262
51,1020.0,-1.31067,19.00554,-1.96601,24.90382
52,1040.0,-1.966,29.49138,-2.62134,32.76821
53,1060.0,-3.2767,35.38968,-3.27668,38.6665
54,1080.0,-3.93204,39.97724,-3.93203,41.94333
55,1100.0,-4.5874,41.94334,-4.58738,43.25407
56,1120.0,-4.5874,43.90944,-4.58738,45.22015
57,1140.0,-4.58739,43.90943,-5.24274,43.90943
58,1160.0,-5.24275,43.25407,-5.24274,43.90943
59,1180.0,-5.24275,43.25406,-3.93199,45.22014
60,1200.0,-0.65511,45.22015,-1.31045,45.87551
61,1220.0,-1.31046,45.22015,-1.31045,45.22014
62,1240.0,-1.31047,43.90941,-1.31046,43.25404
63,1260.0,-1.31047,41.94332,-1.31046,41.28794
64,1280.0,-0.65512,39.32185,-0.65511,38.66648
65,1300.0,-0.65512,36.7004,-0.65511,36.04502
66,1320.0,-0.65513,34.73429,-0.65512,34.07892
67,1340.0,2.62169,33.42356,9.83084,33.42356
68,1360.0,13.76308,32.11284,13.10772,32.11283
69,1380.0,13.10772,31.45747,13.10773,30.8021
70,1400.0,13.76308,29.49138,13.76308,29.49137
71,1420.0,13.76307,28.18064,13.76308,28.18064
72,1440.0,13.1077,27.52528,13.76308,26.86991
73,1460.0,13.76306,26.21455,13.76307,25.55918
74,1480.0,13.76306,24.90382,13.76307,24.24845
75,1500.0,13.76306,23.59309,14.41843,23.59308
76,1520.0,13.76306,22.28236,13.76307,22.28235
77,1540.0,14.41842,20.97162,28.18116,20.31628
78,1560.0,39.32244,17.69487,41.28853,17.03952
79,1580.0,39.97778,16.38417,39.97778,17.03951
80,1600.0,39.97777,15.72879,39.97778,15.72879
81,1620.0,39.97776,15.07342,39.32241,15.07342
82,1640.0,39.3224,14.41806,39.97777,15.07342
83,1660.0,39.32239,14.41806,39.3224,14.41805
84,1680.0,39.32239,13.10733,39.32241,13.76268
85,1700.0,39.32239,13.10733,39.3224,13.10732
86,1720.0,39.32239,12.45196,39.3224,12.45195
87,1740.0,39.32238,11.7966,39.97775,11.79658
88,1760.0,38.01165,7.8644,36.70094,7.86438
89,1780.0,37.35629,7.20903,37.3563,7.86439
90,1800.0,36.70093,7.20903,37.3563,7.20903
91,1820.0,37.35629,7.20902,37.3563,7.86438
92,1840.0,37.35629,7.20903,36.70094,7.86438
93,1860.0,37.35629,7.20903,37.3563,7.86438
94,1880.0,37.35629,7.86438,37.3563,8.51974
95,1900.0,37.35629,7.86438,37.3563,7.20902
96,1920.0,41.94383,7.8644,44.56537,7.86444
97,1940.0,44.56541,7.86447,43.91005,8.51984
98,1960.0,43.25468,9.17519,43.25469,9.1752
99,1980.0,43.25467,9.17519,42.59932,9.83055
100,2000.0,43.25467,9.1752,42.59933,9.83055
101,2020.0,42.59931,9.1752,42.59932,9.83055
102,2040.0,42.59931,9.17519,41.94396,9.83055
103,2060.0,42.59931,9.17518,41.94396,9.17518
104,2080.0,41.94395,9.17519,41.94396,9.83054
105,2100.0,41.94395,9.17518,41.94396,9.83054
106,2120.0,41.28859,8.51982,41.2886,9.17518
107,2140.0,41.28859,8.51982,41.2886,8.51981
108,2160.0,43.91009,8.51985,50.46381,8.5199
109,2180.0,51.77456,8.51992,50.46384,9.83063
110,2200.0,50.46383,9.17528,50.46384,9.83063
111,2220.0,50.46383,9.17527,49.80848,9.83063
112,2240.0,50.46383,9.83063,50.46384,9.83063
113,2260.0,50.46383,9.83063,50.46384,10.48598
114,2280.0,50.46383,9.83062,50.46383,9.83062
115,2300.0,49.80847,9.83063,49.80848,10.48599
116,2320.0,49.80846,11.14135,49.80848,12.45208
117,2340.0,49.15311,13.10745,48.49776,15.07354
118,2360.0,48.49776,16.38427,48.49778,17.695
119,2380.0,48.49777,19.6611,47.84242,20.97183
120,2400.0,47.84242,22.28257,47.84243,25.55939
121,2420.0,47.18706,26.21477,47.18707,28.18085
122,2440.0,47.18705,28.18086,47.18706,30.14694
123,2460.0,46.53169,30.14695,46.5317,31.45767
124,2480.0,51.77465,33.4238,58.3284,36.04528
125,2500.0,57.01769,36.70066,57.01768,38.66674
126,2520.0,57.01768,38.01139,57.67305,39.3221
127,2540.0,57.01768,38.66675,57.67305,38.66674
128,2560.0,57.67304,38.66674,57.67305,39.3221
129,2580.0,57.67304,38.66674,57.67305,38.66673
130,2600.0,57.67303,38.01137,57.67304,38.01137
131,2620.0,58.32839,36.70064,58.32839,37.356
132,2640.0,58.32838,36.70063,58.32839,36.70063
133,2660.0,58.32838,35.38991,58.32838,35.3899
134,2680.0,58.32838,34.73454,58.98374,34.73454
135,2700.0,58.98374,34.07918,58.98374,34.73453
136,2720.0,59.6391,33.42381,59.63911,33.4238
137,2740.0,59.6391,32.76844,59.63911,32.76844
138,2760.0,59.6391,32.76844,59.63911,33.4238
139,2780.0,59.6391,32.11308,59.63911,32.11307
140,2800.0,59.6391,31.45771,59.63911,30.80234
141,2820.0,60.29446,30.14698,60.29446,30.14698
142,2840.0,60.29445,29.49162,60.29447,29.49161
143,2860.0,60.29445,28.83625,60.29446,28.83625
144,2880.0,60.29445,28.18089,60.94983,28.18088
145,2900.0,60.94982,27.52553,60.94983,27.52552
146,2920.0,60.94982,26.87016,60.94983,27.52551
147,2940.0,60.94981,26.87016,60.94983,26.87015
148,2960.0,60.94981,26.21479,60.94982,25.55942
149,2980.0,60.94981,24.90407,60.94982,24.90406
