,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.65536,-0.65536,0.0
2,40.0,1.0000000003174e-05,0.65536,-0.65535,0.0
3,60.0,1.0000000003174e-05,0.65536,1.9999999999243e-05,1.0000000003174e-05
4,80.0,1.0000000003174e-05,0.65536,1.9999999999243e-05,0.65537
5,100.0,1.0000000003174e-05,0.65536,1.9999999999243e-05,0.65536
6,120.0,1.0000000003174e-05,1.31072,-0.65535,1.31073
7,140.0,-0.65535,1.96609,-1.31071,1.31073
8,160.0,-0.65536,1.96609,-1.31071,1.31073
9,180.0,-1.31072,2.62145,-1.96608,1.9661
10,200.0,-1.96608,2.62146,-1.96607,1.9661
11,220.0,-1.31072,2.62146,-1.96608,2.62146
12,240.0,-1.31072,2.62146,-1.96607,2.62145
13,260.0,-1.31071,3.27682,-1.31071,2.62146
14,280.0,-1.31071,3.27682,-1.96607,3.27682
15,300.0,-1.96607,3.93218,-2.62143,3.27682
16,320.0,-1.96607,3.93218,-2.62143,3.93218
17,340.0,-1.96607,3.93218,-2.62142,3.93219
18,360.0,-2.62143,4.58754,-2.62142,3.9322
19,380.0,-2.62142,4.58755,-2.62141,3.9322
20,400.0,-2.62141,4.58755,-3.27677,4.58755
21,420.0,-3.27676,5.24291,-3.27676,4.58755
22,440.0,-3.27677,4.58755,-3.27677,4.58755
23,460.0,-3.27678,4.58755,-2.62143,3.93219
24,480.0,-2.62144,3.93218,-2.62144,3.27682
25,500.0,0.65538,5.89827,0.6554,5.24292
26,520.0,0.65539,5.24291,0.65539,5.24291
27,540.0,0.65539,5.89828,0.65539,5.24292
28,560.0,0.65539,5.89828,0.65539,5.24292
29,580.0,1.31075,5.89828,0.65539,5.89828
30,600.0,0.65538,5.89828,0.65539,5.24292
31,620.0,1.31074,5.89828,1.31074,5.24292
32,640.0,1.31074,5.24292,1.31074,4.58756
33,660.0,1.31074,5.24292,1.31074,4.58756
34,680.0,1.31073,5.24291,1.31074,3.93219
35,700.0,5.8983,5.89827,20.31641,7.20899
36,720.0,24.90404,6.55361,24.90405,6.55361
37,740.0,24.90404,7.20898,24.90405,6.55362
38,760.0,25.5594,7.20898,24.90404,6.55362
39,780.0,25.55939,7.20898,25.55939,6.55362
40,800.0,25.55938,7.20897,25.55938,6.55362
41,820.0,25.55938,6.55362,25.55938,5.8989
42,840.0,25.55937,6.55362,25.55938,5.89826
43,860.0,25.55937,6.55362,24.90401,6.55362
44,880.0,25.55936,6.55362,25.55936,5.89826
45,900.0,25.55936,6.55362,24.904,5.89827
46,920.0,24.90399,6.55362,24.24863,6.55363
47,940.0,24.24862,6.55363,24.24862,5.89827
48,960.0,22.93789,5.89828,20.31641,3.93219
49,980.0,20.31642,3.93218,20.31642,3.93218
50,1000.0,20.31641,3.93219,19.66106,3.93219
51,1020.0,-42.59816,4.58756,19.00569,3.9322
52,1040.0,19.00569,5.24292,19.00569,3.9322
53,1060.0,19.00569,4.58756,19.00568,4.58756
54,1080.0,18.35032,4.58756,18.35032,3.9322
55,1100.0,19.00567,3.9322,20.3164,3.93219
56,1120.0,31.45767,7.86432,39.97754,9.17505
57,1140.0,39.97757,9.17505,38.66683,9.83042
58,1160.0,38.66683,10.48579,38.66682,10.48579
59,1180.0,38.66682,11.14115,38.66682,9.83043
60,1200.0,38.66682,11.14115,38.66681,10.4858
61,1220.0,39.32217,11.14115,38.6668,10.48579
62,1240.0,38.6668,11.14115,38.6668,10.4858
63,1260.0,39.32215,11.14115,38.6668,11.14116
64,1280.0,38.6668,11.14115,38.6668,10.48579
65,1300.0,39.32215,11.14115,39.32215,10.4858
66,1320.0,39.32215,11.14115,38.66679,9.83043
67,1340.0,41.94361,11.79651,54.39565,13.7626
68,1360.0,60.94941,13.10724,59.63868,13.76262
69,1380.0,58.32794,14.41798,57.67259,13.76262
70,1400.0,58.32794,14.41798,57.67258,14.41799
71,1420.0,57.67257,15.07335,57.01721,15.07335
72,1440.0,57.01721,15.07336,57.01721,14.418
73,1460.0,57.0172,15.07336,56.36184,14.418
74,1480.0,56.36184,15.07337,56.36184,14.41801
75,1500.0,55.70648,15.07336,55.70648,14.41801
76,1520.0,56.36184,15.07336,56.36183,15.07337
77,1540.0,56.36182,14.418,56.36181,14.418
78,1560.0,57.01715,14.41799,56.36179,13.76264
79,1580.0,57.01713,14.41799,57.01712,14.41799
80,1600.0,57.01712,15.07335,57.01712,15.07335
81,1620.0,57.01711,15.07335,57.01711,15.07336
82,1640.0,57.67246,15.7293,57.0171,15.07336
83,1660.0,57.0171,15.72871,57.67246,15.72872
84,1680.0,68.15836,20.97163,76.0229,22.93776
85,1700.0,75.36757,24.24849,74.05684,28.18067
86,1720.0,73.40148,32.11286,72.74611,34.73431
87,1740.0,72.09074,37.35576,71.43538,38.6665
88,1760.0,70.78001,40.63259,70.78001,40.6326
89,1780.0,70.78001,41.94332,70.12464,42.59869
90,1800.0,70.78,43.25406,70.12464,42.5987
91,1820.0,70.12464,43.25406,70.12464,42.5987
92,1840.0,70.77999,43.25406,70.12463,42.5987
93,1860.0,70.77999,43.25406,70.12462,42.59871
94,1880.0,70.77997,43.25406,70.77998,42.5987
95,1900.0,76.02293,43.25406,77.98906,42.59869
96,1920.0,77.98906,43.25405,77.33369,42.5987
97,1940.0,77.33369,43.25406,77.3337,42.5987
98,1960.0,77.98905,43.25406,77.98906,42.59869
99,1980.0,77.33369,43.25406,77.33369,42.5987
100,2000.0,77.98905,43.25406,77.3337,42.5987
101,2020.0,77.98906,43.25406,77.33369,42.5987
102,2040.0,77.33369,43.25406,77.33369,42.59871
103,2060.0,77.98905,43.25406,77.98906,42.5987
104,2080.0,71.43536,39.32189,45.87586,26.21467
105,2100.0,9.83049,17.03962,-24.24864,13.10749
106,2120.0,-29.49156,17.03966,-28.83613,19.66112
107,2140.0,-28.18076,20.97183,-28.83612,20.31648
108,2160.0,-28.83611,21.6272,-28.18074,21.6272
109,2180.0,-28.18075,21.6272,-28.18074,21.6272
110,2200.0,-28.18074,22.28256,-28.18074,22.28256
111,2220.0,-28.18074,22.93792,-28.8361,22.28256
112,2240.0,-28.18074,22.93792,-28.8361,22.93792
113,2260.0,-28.8361,22.93826,-28.18074,22.28256
114,2280.0,-28.18074,22.93791,-28.18073,22.28255
115,2300.0,-28.18074,22.28255,-28.18072,22.28255
116,2320.0,-28.8361,22.28255,-29.49147,21.62718
117,2340.0,-28.8361,21.62718,-29.49145,21.62718
118,2360.0,-29.49146,21.62718,-29.49144,20.97182
119,2380.0,-29.49144,21.62718,-29.49144,20.97183
120,2400.0,-29.49144,20.97182,-29.49145,20.31646
121,2420.0,-29.49145,20.31646,-30.14681,19.6611
122,2440.0,-30.14682,19.66111,-30.80219,19.00575
123,2460.0,-30.14684,18.35039,-30.14686,17.69503
124,2480.0,-30.14688,17.69503,-30.80226,17.03967
125,2500.0,-30.14693,17.03966,-30.14694,16.3843
126,2520.0,-29.49159,16.3843,-30.14696,15.72894
127,2540.0,-29.49161,16.3843,-29.49161,15.72894
128,2560.0,-28.83626,15.72894,-29.49161,15.72894
129,2580.0,-28.83625,15.72893,-28.83624,15.07357
130,2600.0,-28.83625,15.07357,-28.83624,15.07357
131,2620.0,-28.18089,15.72892,-22.28254,19.00571
132,2640.0,-9.83048,20.97178,-8.51972,19.66105
133,2660.0,-9.1751,20.97178,-9.83046,21.62715
134,2680.0,-9.17511,22.2825,-9.83047,21.62714
135,2700.0,-9.83048,22.28251,-9.83048,21.62715
136,2720.0,-9.83048,22.2825,-9.82794,21.62715
137,2740.0,-9.83049,22.2825,-9.8305,20.97178
138,2760.0,-9.17514,21.62713,-9.8305,20.97178
139,2780.0,-9.17516,20.97177,-9.83052,20.97178
140,2800.0,-9.83054,20.97177,-3.27689,22.28248
141,2820.0,5.89828,23.5932,7.20903,22.93783
142,2840.0,6.55365,23.59319,6.55366,22.93784
143,2860.0,6.55365,24.24855,6.55365,23.59319
144,2880.0,7.20902,24.24855,7.20902,23.59319
145,2900.0,7.20902,24.24854,7.86438,24.24854
146,2920.0,8.51974,24.24854,7.86439,24.24854
147,2940.0,8.51975,24.24854,8.51975,24.24854
148,2960.0,8.51975,24.90389,8.51975,24.24853
149,2980.0,9.17511,24.24853,8.51975,24.24854
150,3000.0,8.51975,24.24853,8.51975,24.24853
151,3020.0,8.51975,24.24853,7.86439,23.59317
152,3040.0,8.51975,23.59317,8.51975,22.93781
153,3060.0,8.51974,22.93781,8.51975,22.9378
154,3080.0,8.51975,23.59316,8.51975,22.9378
155,3100.0,8.51975,23.59316,8.51975,22.93781
156,3120.0,8.51975,22.9378,8.51975,22.9378
157,3140.0,7.86439,22.9378,8.51976,22.9378
158,3160.0,8.51975,22.93779,8.51976,22.28244
159,3180.0,8.51975,22.28243,8.51976,21.62707
160,3200.0,10.48584,22.28242,28.18076,24.90385
161,3220.0,40.63284,26.21456,41.94364,24.90384
162,3240.0,39.97755,26.86992,39.97756,26.86993
163,3260.0,39.97755,26.86992,39.97756,26.21456
164,3280.0,40.63292,26.86992,40.63292,25.5592
165,3300.0,41.28828,26.21455,41.94364,25.55919
166,3320.0,41.94362,24.90383,42.59898,24.90382
167,3340.0,43.25432,24.90382,43.25432,24.24846
168,3360.0,43.90967,24.90382,43.90967,24.24846
169,3380.0,43.90966,24.24845,43.9122,23.59309
170,3400.0,43.90964,23.59308,43.90964,22.93773
171,3420.0,43.25427,22.93773,43.25427,22.28237
172,3440.0,43.90963,22.93772,44.56499,22.93772
173,3460.0,55.70628,26.21452,61.60465,25.55916
174,3480.0,62.26004,25.55916,61.60467,24.90381
175,3500.0,61.60466,25.55916,61.60466,24.9038
176,3520.0,61.60465,24.9038,61.60465,24.24844
177,3540.0,61.60464,24.9038,60.94929,24.24844
178,3560.0,61.60464,24.24844,60.94928,22.93771
179,3580.0,61.60464,23.59307,61.60464,22.28235
180,3600.0,61.60464,22.28235,61.60464,22.28235
181,3620.0,61.60464,22.28235,61.60465,22.28235
182,3640.0,62.26001,22.28234,62.26002,22.28235
183,3660.0,62.91539,22.28235,62.9154,22.28235
184,3680.0,63.57077,22.28234,66.19224,22.9377
185,3700.0,76.67819,26.86987,81.26584,24.24843
186,3720.0,80.61047,24.90379,79.95511,24.9038
187,3740.0,79.95511,24.9038,79.95512,24.24844
188,3760.0,79.29974,24.24843,79.29975,24.24844
189,3780.0,79.29974,24.24843,78.64438,23.59308
190,3800.0,78.64436,23.59308,77.98901,22.93772
191,3820.0,78.64436,23.59307,77.989,23.59308
192,3840.0,77.989,23.59307,77.98899,22.93771
193,3860.0,77.989,23.59307,77.98899,22.93772
194,3880.0,77.98899,22.93771,77.98899,22.93772
195,3900.0,77.33363,23.59307,77.33362,22.93772
196,3920.0,77.33363,22.93771,77.33363,22.28236
197,3940.0,77.33362,22.28235,77.33363,21.62698
198,3960.0,76.67826,19.6609,60.294,11.14121
199,3980.0,30.14691,1.31079,-3.27687,-4.58742
200,4000.0,-20.97178,-4.58743,-21.62711,-2.62134
201,4020.0,-19.66102,-2.62135,-20.31639,-3.27672
202,4040.0,-19.66105,-4.58745,-19.0057,-7.20891
203,4060.0,-19.00571,-7.86428,-19.00572,-10.48573
204,4080.0,-42.59868,-14.41792,-17.03964,-19.66083
205,4100.0,-17.03964,-20.97156,-17.03963,-24.24837
206,4120.0,-17.03963,-26.21447,-17.03962,-27.52519
207,4140.0,-16.38426,-27.5252,-17.03962,-28.83592
208,4160.0,-16.38425,-28.83593,-16.38424,-29.49128
209,4180.0,-19.00571,-30.14664,-24.24868,-32.76809
210,4200.0,-24.90405,-32.11274,-24.24868,-32.11272
211,4220.0,-24.24869,-30.802,-24.24869,-32.11272
212,4240.0,-24.24868,-31.45736,-24.90405,-30.802
213,4260.0,-24.24869,-30.14664,-24.90404,-30.80199
214,4280.0,-24.90405,-29.49128,-24.24869,-30.14664
215,4300.0,-24.24869,-29.49128,-24.24869,-29.49127
216,4320.0,-24.2487,-28.83591,-24.2487,-29.49127
217,4340.0,-24.2487,-28.18056,-24.2487,-28.83591
218,4360.0,-23.59335,-28.18055,-24.2487,-28.18055
219,4380.0,-24.24871,-28.18055,-24.2487,-28.18054
220,4400.0,-24.24872,-26.86983,-24.2487,-27.52518
221,4420.0,-24.24871,-26.86981,-24.2487,-26.86981
222,4440.0,-24.24871,-26.21445,-24.2487,-26.21445
223,4460.0,-24.24871,-25.55909,-24.2487,-25.55908
224,4480.0,-24.2487,-24.90373,-24.2487,-25.55909
225,4500.0,-16.38428,-21.62693,-7.20906,-19.66085
226,4520.0,-4.58756,-19.66086,-5.89829,-19.66085
227,4540.0,-5.89829,-17.69476,-5.89829,-17.69476
228,4560.0,-5.89831,-16.38403,-5.89831,-15.72866
229,4580.0,-5.89831,-14.41794,-5.89831,-14.41794
230,4600.0,-5.89832,-13.76257,-42.59848,-13.76257
231,4620.0,-6.55368,-12.45185,-6.55367,-11.79649
232,4640.0,-6.55368,-11.79649,-7.20904,-12.45185
233,4660.0,-7.20904,-12.45186,3.27681,-9.83042
234,4680.0,20.31642,-8.51971,22.28258,-9.83043
235,4700.0,20.97184,-7.86435,20.31647,-7.20897
236,4720.0,20.97183,-6.55362,21.62718,-7.20898
237,4740.0,21.62717,-6.55363,22.28252,-6.55362
238,4760.0,21.62715,-6.55363,22.2825,-7.20899
239,4780.0,22.93785,-6.55363,22.93785,-6.55363
240,4800.0,23.5932,-5.89827,22.93784,-6.55363
241,4820.0,23.59319,-6.55363,23.59319,-6.55363
242,4840.0,23.59319,-5.89828,23.59319,-6.55363
243,4860.0,24.24855,-6.55364,24.24855,-7.86436
244,4880.0,24.24855,-7.209,24.24854,-7.86436
245,4900.0,24.24854,-7.209,24.24854,-7.86436
246,4920.0,24.24854,-7.209,24.24854,-8.51972
247,4940.0,24.24852,-7.86436,24.24853,-8.51972
248,4960.0,34.73439,-5.8983,49.80796,-3.27686
249,4980.0,53.08487,-3.93222,51.77414,-3.27686
250,5000.0,51.77413,-3.27685,51.77412,-3.27685
251,5020.0,52.42947,-2.6215,51.77411,-2.6215
252,5040.0,52.42946,-1.96613,51.77409,-1.96613
253,5060.0,52.42944,-1.31078,51.77408,-1.96613
254,5080.0,51.77407,-1.96614,51.77407,-1.96613
255,5100.0,51.77406,-1.31077,51.77406,-1.96613
256,5120.0,51.77406,-1.31077,51.77406,-1.96613
257,5140.0,52.42942,-1.31077,52.42942,-1.31077
258,5160.0,52.42941,-1.31077,52.42942,-1.31077
259,5180.0,53.08477,-1.31077,53.08478,-1.31077
260,5200.0,53.08477,-1.31077,53.08477,-1.31077
261,5220.0,53.08477,-1.31077,53.08477,-1.31077
262,5240.0,52.42941,-1.31077,53.08477,-1.31076
263,5260.0,53.08477,-0.6554,53.08477,42.59836
264,5280.0,53.08477,-0.6554,53.08477,-1.31076
265,5300.0,53.08477,-0.6554,53.08477,-1.31076
266,5320.0,53.08477,-0.6554,53.08478,-1.31076
267,5340.0,53.08477,-0.6554,53.08477,-1.31076
268,5360.0,61.60456,3.27676,72.74594,4.5875
269,5380.0,76.67821,3.93213,75.36748,3.93214
270,5400.0,75.36747,4.58751,74.71212,4.5875
271,5420.0,75.36748,5.24287,74.71211,5.24287
272,5440.0,74.71212,5.24288,74.71211,4.58751
273,5460.0,74.71211,5.24287,74.71211,5.24288
274,5480.0,74.71211,5.24288,74.05675,4.58752
275,5500.0,74.71211,5.24288,74.7121,4.58751
276,5520.0,74.71209,5.24287,74.71209,4.58751
277,5540.0,75.36743,5.24287,74.71207,4.58751
278,5560.0,75.36742,5.24287,75.36741,4.58751
279,5580.0,75.3674,5.24287,74.71205,5.24287
280,5600.0,75.36741,5.89823,75.3674,5.24288
281,5620.0,75.3674,5.89824,75.3674,5.24288
282,5640.0,75.3674,5.89824,75.36741,5.89824
283,5660.0,75.36741,6.5536,75.36741,5.89824
284,5680.0,75.36741,6.5536,75.36741,6.5536
285,5700.0,75.3674,6.5536,74.71204,5.89824
286,5720.0,74.71204,6.5536,74.71204,6.5536
287,5740.0,74.71204,6.5536,74.71205,5.89824
288,5760.0,74.71204,6.5536,74.71205,6.55361
289,5780.0,74.71204,6.55361,74.71204,5.89824
290,5800.0,74.71204,6.5536,74.05668,5.24288
291,5820.0,74.71204,5.89824,74.71204,5.24288
292,5840.0,74.71204,5.89824,74.71204,5.24287
293,5860.0,74.71458,5.24287,74.71204,4.58751
294,5880.0,74.71204,4.5875,72.09057,1.96608
295,5900.0,51.1187,-3.27679,19.66091,-11.1411
296,5920.0,-11.79674,-15.72861,-19.6611,-14.41789
297,5940.0,-17.03962,-11.14108,-16.38424,-10.48572
298,5960.0,-16.38426,-9.83036,-17.03962,-9.83036
299,5980.0,-16.38426,-9.17501,-16.38426,-9.83036
300,6000.0,-17.03962,-9.175,-16.38425,-9.83037
301,6020.0,-16.38425,-9.17501,-16.38425,-9.83038
302,6040.0,-16.38426,-9.83038,-16.38425,-10.48574
303,6060.0,-16.38426,-9.83038,-16.38425,-10.48575
304,6080.0,-16.38426,-9.83039,-19.00571,-11.14111
305,6100.0,-24.24866,-12.45184,-24.90403,-12.45184
306,6120.0,-24.24866,-11.79648,-24.24866,-11.79647
307,6140.0,-24.24866,-11.14111,-24.24866,-11.79647
308,6160.0,-24.24866,-11.14111,-24.24865,-11.14111
309,6180.0,-24.24866,-11.14111,-24.24865,-11.14111
310,6200.0,-24.24866,-11.14112,-24.24865,-11.79647
311,6220.0,-24.24866,-11.14111,-24.24865,-11.79648
312,6240.0,-24.24866,-11.79648,-24.24866,-12.45184
313,6260.0,-23.59331,-12.45184,-23.59332,-13.1072
314,6280.0,-23.59333,-12.45185,-23.59333,-13.10721
315,6300.0,-22.93798,-13.10721,-22.28262,-13.10721
316,6320.0,-22.28262,-12.45185,-22.28261,-13.10721
317,6340.0,-21.62726,-13.10722,-21.62725,-13.10722
318,6360.0,-21.62726,-13.10722,-21.62725,-13.76258
319,6380.0,-20.97189,-13.10722,-20.97189,-13.76258
320,6400.0,-20.97189,-13.76258,-20.96934,-13.76258
321,6420.0,-20.9719,-14.41794,-20.9719,-15.0733
322,6440.0,-20.9719,-14.41795,-19.00581,-14.41795
323,6460.0,-5.24308,-12.45189,4.58746,-14.41799
324,6480.0,4.58747,-13.76263,3.93211,-13.76261
325,6500.0,4.58746,-13.10726,4.58746,-13.76262
326,6520.0,4.58745,-13.10726,3.9321,-13.76261
327,6540.0,4.58745,-13.76262,3.93209,-14.41798
328,6560.0,4.58744,-13.76262,3.93208,-13.76262
329,6580.0,4.58744,-14.41798,4.58744,-15.07334
330,6600.0,4.58743,-14.41798,3.93207,-15.07334
331,6620.0,3.93207,-14.41799,3.93207,-15.07334
332,6640.0,3.93206,-14.41799,3.27671,-15.07335
333,6660.0,7.21143,-14.418,21.62698,-13.10729
