,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-0.65537,-9.9999999960687e-06,-0.65537
2,40.0,0.65536,-1.31074,-9.9999999960687e-06,-1.31073
3,60.0,0.65537,-1.31074,-9.9999999960687e-06,-0.65537
4,80.0,0.65536,-1.31074,0.65535000000001,-1.31073
5,100.0,0.65537,-1.31074,0.65535000000001,-1.31073
6,120.0,1.31073,-1.31074,0.0,-1.31073
7,140.0,1.31073,-1.9661,0.65536,-1.31074
8,160.0,1.31073,-1.9661,0.65536,-1.9661
9,180.0,0.65537,-1.96611,0.65536,-1.9661
10,200.0,1.31005,-2.62148,0.65536,-1.96612
11,220.0,1.31073,-2.62148,1.0000000003174e-05,-2.62147
12,240.0,1.31074,-2.62149,0.65536,-2.62149
13,260.0,1.31073,-3.27685,1.31072,-3.93222
14,280.0,1.96609,-6.55369,2.62142,-10.48591
15,300.0,3.93219,-24.90395,-2.62125,-49.15254
16,320.0,-15.07278,-98.96029,-22.93663,-157.9433
17,340.0,-25.55724,-209.7172,-22.93414,-249.69405
18,360.0,-17.03589,-271.97573,-20.96829,-271.31953
19,380.0,-19.65757,-271.97438,-20.9683,-271.31878
20,400.0,-16.38082,-271.97408,-10.48266,-271.31886
21,420.0,0.65827,-271.97461,6.55587,-271.31987
22,440.0,15.73033,-271.97595,19.66236,-264.76749
23,460.0,11.79802,-231.99981,7.86529,-197.26567
24,480.0,8.52007,-165.80821,9.83037,-137.62745
25,500.0,11.79626,-113.37889,9.8301,-92.40713
26,520.0,9.17471,-74.71221,6.55326,-60.94949
27,540.0,6.55328,-50.4636,5.24257,-41.9438
28,560.0,4.58724,-35.39011,3.27652,-30.14715
29,580.0,3.27654,-28.18102,1.96582,-25.55953
30,600.0,1.96839,-23.59342,1.31048,-21.6273
31,620.0,1.3105,-20.97192,0.65513,-19.66117
32,640.0,1.31051,-19.66116,0.65515000000001,-19.00579
33,660.0,1.31052,-19.00579,0.65515000000001,-19.00578
34,680.0,1.31053,-19.00577,0.65516,-18.35039
35,700.0,1.31053,-18.35039,0.65516,-18.35038
36,720.0,1.31054,-18.35039,1.31053,-17.69502
37,740.0,1.96591,-17.69502,1.31054,-17.03965
38,760.0,1.96591,-17.03964,1.31054,-16.38427
39,780.0,1.31056,-16.38427,0.65518,-15.7289
40,800.0,1.31056,-16.38426,0.65518,-15.72889
41,820.0,1.3131,-16.38426,0.65518,-15.72889
42,840.0,1.31056,-15.7289,0.65519,-15.72888
43,860.0,1.31055,-16.38425,0.65518,-15.72888
