,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,4.9999999994554e-05,0.65537,-0.65535,0.65537
2,40.0,-0.6553,1.31074,-1.31071,0.65537
3,60.0,-0.65531,1.31074,-0.65535,0.65537
4,80.0,-0.6553,1.31074,-1.3107,0.65537
5,100.0,-0.6553,1.31074,-1.96606,0.65537
6,120.0,-0.6553,1.31074,-1.96606,0.65537
7,140.0,-0.6553,1.31074,-1.3107,0.65537
8,160.0,-0.65531,0.65537,-0.65535,-0.65537
9,180.0,0.65539999999999,0.65536000000001,0.65535000000001,-1.31073
10,200.0,1.31075,0.0,0.65534,-1.31073
11,220.0,1.31074,0.0,0.65533000000001,-1.31073
12,240.0,1.31073,0.0,0.65533000000001,-1.31073
13,260.0,1.31073,0.0,0.65533000000001,-1.31074
14,280.0,1.31074,-0.65535999999999,0.65534,-1.31074
15,300.0,11.79669,0.0,17.69503,-0.65537
16,320.0,16.38434,0.65537,15.07357,0.65536
17,340.0,15.72897,1.31074,14.4182,0.65537
18,360.0,15.0736,1.9661,14.4182,1.31072
19,380.0,15.07359,1.9661,13.76283,0.65536
20,400.0,15.07359,1.31073,14.41818,0.65537
21,420.0,14.41822,1.31073,13.76282,0.65536
22,440.0,14.41821,0.65537,13.76281,0.0
23,460.0,13.10748,0.65537,12.45208,-0.65536
24,480.0,13.10748,1.0000000003174e-05,12.45206,-0.65536
25,500.0,13.10747,-0.65535,12.45206,-0.65536
26,520.0,13.10746,-0.65535,12.45206,-1.31073
27,540.0,13.10746,-0.65535999999999,12.45207,-1.31073
28,560.0,13.10747,-1.31072,11.79671,-1.31073
29,580.0,13.10748,-0.65535999999999,11.79671,-1.96609
30,600.0,12.45212,-1.31072,11.79671,-1.96609
31,620.0,12.45212,-1.31072,11.79672,-1.96609
32,640.0,11.79676,-1.96608,11.14136,-2.62145
33,660.0,12.45212,-1.96608,11.14135,-3.27681
34,680.0,12.45212,-2.62144,11.79672,-3.27682
35,700.0,12.45212,-2.62145,11.79672,-3.27682
36,720.0,13.10748,-2.62145,12.45208,-3.27682
37,740.0,13.10748,-3.27681,12.45207,-3.93219
38,760.0,14.41818,-3.27682,14.41813,-4.58755
39,780.0,15.07352,-4.58755,15.07348,-5.24292
40,800.0,16.38423,-4.58755,15.72882,-5.89829
41,820.0,17.03958,-5.89828,17.03953,-6.55366
42,840.0,17.69493,-5.89829,17.03954,-6.55367
43,860.0,18.35029,-6.55366,18.35026,-7.20903
44,880.0,19.00566,-6.55366,18.35026,-7.8644
45,900.0,20.97175,-7.20902,29.49156,-7.86439
46,920.0,33.42383,-6.55366,30.80232,-7.20903
47,940.0,30.80235,-5.89829,30.80231,-6.55366
48,960.0,30.80235,-5.89829,30.14694,-6.55366
49,980.0,30.14698,-5.89828,30.14694,-6.55366
50,1000.0,30.14698,-5.89828,30.14693,-6.55366
51,1020.0,30.14697,-5.89828,30.14693,-6.55366
52,1040.0,30.14697,-5.24292,30.14692,-5.8983
53,1060.0,30.14696,-5.24293,29.49156,-6.55366
54,1080.0,30.80232,-5.89829,29.49156,-6.55366
55,1100.0,30.14696,-5.24293,29.49156,-6.55366
56,1120.0,30.14696,-5.89829,29.49156,-6.55366
57,1140.0,29.4916,-5.24293,28.8362,-6.55366
58,1160.0,29.4916,-5.89829,30.14694,-5.8983
59,1180.0,35.38997,-5.24292,36.04531,-5.89829
60,1200.0,35.38998,-4.58755,34.73458,-5.24292
61,1220.0,34.73462,-4.58754,34.07922,-5.24292
62,1240.0,34.73462,-4.58754,33.42386,-4.58755
63,1260.0,33.4239,-3.93218,32.11315,-3.93218
64,1280.0,32.76856,-1.96609,31.4578,-1.96609
65,1300.0,31.45784,2.0000000006348e-05,30.14708,0.65537
66,1320.0,30.14713,1.96611,29.49172,1.96611
67,1340.0,30.14712,3.27685,29.49172,3.27684
68,1360.0,30.14711,4.58757,29.49171,3.9322
69,1380.0,30.1471,5.24293,29.4917,4.58757
70,1400.0,30.1471,5.24293,29.4917,4.58756
71,1420.0,30.1471,5.89829,29.4917,5.24292
72,1440.0,30.14711,5.89829,29.4917,5.24292
73,1460.0,30.14711,5.8983,29.49171,5.24292
74,1480.0,29.49175,5.8983,28.83634,5.24292
75,1500.0,29.49175,5.8983,28.83634,5.24292
76,1520.0,29.49174,5.8983,29.4917,5.89828
77,1540.0,29.49174,6.55365,28.83634,5.24292
78,1560.0,30.1471,5.8983,29.4917,5.24292
79,1580.0,30.1471,6.55365,29.4917,5.24292
80,1600.0,36.70081,6.55365,45.87603,5.89828
81,1620.0,48.49756,6.55365,46.53141,6.55365
82,1640.0,46.53146,7.20903,46.53141,6.55365
83,1660.0,47.18681,7.86439,46.53141,7.20902
84,1680.0,46.53144,7.8644,45.87604,7.20903
85,1700.0,46.53144,7.8644,45.22068,7.86439
86,1720.0,45.87608,8.51976,45.22068,7.86439
87,1740.0,45.87608,8.51977,44.56532,8.51976
88,1760.0,45.22073,8.51977,44.56532,7.8644
89,1780.0,44.56537,9.17513,43.90997,8.51976
90,1800.0,44.56536,8.51978,43.90996,7.8644
91,1820.0,44.56537,9.17514,43.2546,8.51977
92,1840.0,43.91,9.17514,43.2546,7.86441
93,1860.0,43.91,9.17514,43.2546,8.51977
