,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,0.0,0.65536,0.0
2,40.0,0.65536,-1.0000000003174e-05,0.65536,0.0
3,60.0,0.65536,-1.0000000003174e-05,0.65536,0.0
4,80.0,0.65536,-1.0000000003174e-05,0.65536,-0.65536
5,100.0,0.65536,-0.65537,0.65536,0.0
6,120.0,0.65536,-1.0000000003174e-05,1.31072,0.0
7,140.0,0.65535000000001,0.0,0.65535000000001,0.0
8,160.0,1.31071,0.65535000000001,1.31072,0.0
9,180.0,1.31072,0.0,1.31071,0.0
10,200.0,0.65536,0.0,0.65535000000001,1.0000000003174e-05
11,220.0,1.31071,0.65536,1.31071,0.0
12,240.0,1.31071,0.0,1.96607,0.0
13,260.0,1.31071,0.0,1.3107,-0.65536
14,280.0,1.31071,0.0,1.96606,-0.65536
15,300.0,1.3107,-0.65536,1.96606,-0.65536
16,320.0,1.3107,-0.65536,1.3107,-0.65535
17,340.0,1.3107,-0.65536,1.3107,-0.65535
18,360.0,0.65534,-0.65536,0.65534,-0.65536
19,380.0,0.65535000000001,-0.65536,0.65534,-0.65536
20,400.0,0.65534,-0.65537,0.65534,-1.31072
21,420.0,0.65535000000001,-1.31072,0.65534,-1.31072
22,440.0,0.65534,-1.31073,0.65534,-1.31072
23,460.0,0.65534,-0.65537,0.65534,-1.31072
24,480.0,0.65535000000001,-0.65536,0.65535000000001,-0.65535
25,500.0,-9.9999999960687e-06,-0.65536,0.65534,-0.65536
26,520.0,0.65535000000001,-0.65536,0.65534,0.0
27,540.0,0.65535000000001,0.0,0.65535000000001,1.0000000003174e-05
28,560.0,0.65535000000001,0.0,0.65535000000001,1.0000000003174e-05
29,580.0,0.65536,0.0,0.65535000000001,1.0000000003174e-05
30,600.0,0.65536,0.0,0.65535000000001,1.0000000003174e-05
31,620.0,0.65536,0.0,0.65535000000001,-0.65535
32,640.0,0.65536,0.0,0.65535000000001,-0.65535
33,660.0,0.65536,0.0,0.65535000000001,0.0
34,680.0,0.65536,0.0,0.65535000000001,1.0000000003174e-05
35,700.0,0.65535000000001,0.0,0.65535000000001,-0.65535
36,720.0,0.65535000000001,0.0,0.65535000000001,-0.65535
37,740.0,0.65535000000001,0.0,0.65535000000001,1.0000000003174e-05
38,760.0,0.65535000000001,1.0000000003174e-05,0.65535000000001,1.0000000003174e-05
39,780.0,-9.9999999960687e-06,0.0,0.65535000000001,2.0000000006348e-05
40,800.0,-9.9999999960687e-06,1.0000000003174e-05,0.65536,0.65538000000001
41,820.0,4.58759,1.31073,6.55372,1.96609
42,840.0,5.243,2.62145,5.24299,2.62146
43,860.0,5.243,2.62146,5.24299,2.62146
44,880.0,5.24299,3.27682,5.24299,2.62147
45,900.0,5.24299,3.27682,5.24299,2.62146
46,920.0,5.89835,2.62146,5.24299,3.27683
47,940.0,5.89835,3.27682,5.89835,2.62147
48,960.0,5.89834,2.62146,5.89834,1.9661
49,980.0,5.89835,2.62146,5.9009,1.9661
50,1000.0,5.89835,2.62146,5.24299,1.96611
51,1020.0,5.24299,2.62146,5.24299,1.96611
52,1040.0,5.24299,2.62146,5.24299,1.96611
53,1060.0,5.243,1.96609,5.243,2.62146
54,1080.0,5.243,2.62145,5.243,2.62146
55,1100.0,5.243,2.62145,5.243,2.62146
56,1120.0,5.24301,3.27682,5.24301,2.62147
57,1140.0,4.58764,2.62146,4.58764,2.62146
58,1160.0,4.58765,2.62146,4.58765,2.62146
59,1180.0,8.51989,2.62144,11.14144,2.62144
60,1200.0,11.79683,3.2768,11.14146,3.93217
61,1220.0,11.14146,4.58752,11.79683,4.58753
62,1240.0,11.79683,4.58753,11.14146,4.58753
63,1260.0,11.14147,4.58753,11.14146,5.24289
64,1280.0,11.14146,5.24289,11.14146,5.2429
65,1300.0,11.14146,5.24289,11.14146,5.2429
66,1320.0,11.14146,5.24289,11.79682,5.2429
67,1340.0,11.14146,5.24289,11.79682,5.24289
68,1360.0,11.14146,5.24289,11.79682,5.24289
69,1380.0,11.14147,5.24289,11.14401,5.2429
70,1400.0,11.14146,5.24289,11.79682,5.2429
71,1420.0,11.14146,5.24289,11.14146,5.2429
72,1440.0,11.79682,5.24289,11.79682,5.2429
73,1460.0,11.14146,5.24289,11.14146,5.2429
74,1480.0,11.79683,5.24289,11.79682,4.58754
75,1500.0,13.10765,4.58752,20.31682,5.24287
76,1520.0,24.24908,6.55359,22.28299,6.55361
77,1540.0,21.62763,7.20896,22.28299,7.20897
78,1560.0,22.28298,7.86433,22.28298,7.20898
79,1580.0,22.28298,7.20897,22.28298,7.20897
80,1600.0,22.28298,7.20897,22.28298,7.20898
81,1620.0,22.28298,7.20898,22.28297,6.55362
82,1640.0,22.28297,7.20897,22.28297,6.55362
83,1660.0,22.28297,7.20897,22.28297,6.55362
84,1680.0,22.28297,6.55362,21.6276,6.55363
85,1700.0,21.62761,6.55362,21.62761,6.55362
86,1720.0,21.62761,6.55362,21.6276,6.55362
87,1740.0,21.6276,6.55361,21.6276,5.89826
88,1760.0,21.6276,6.55361,21.62759,6.55362
89,1780.0,21.6276,5.89825,20.97224,5.89826
90,1800.0,20.97224,5.89825,20.97224,5.89826
91,1820.0,21.6276,5.89825,20.97224,5.2429
92,1840.0,20.97224,5.89825,20.97223,5.24289
93,1860.0,20.97224,5.24289,20.97223,5.89826
94,1880.0,20.97223,5.89825,20.97224,5.24289
95,1900.0,20.97223,5.24288,20.31687,5.24289
96,1920.0,20.97224,5.24289,20.97223,4.58754
97,1940.0,20.97223,5.24289,20.97223,5.24289
98,1960.0,20.97223,5.24289,20.97224,5.2429
99,1980.0,20.97223,5.24289,20.97223,5.2429
100,2000.0,20.97223,5.24289,20.97224,5.24289
101,2020.0,21.6276,5.24289,20.97223,5.24289
102,2040.0,21.62759,5.24289,20.97224,5.24289
103,2060.0,20.97224,5.89825,21.6276,5.2429
104,2080.0,21.6276,5.89825,21.62759,5.24289
105,2100.0,21.6276,5.24289,21.6276,5.2429
106,2120.0,21.62759,5.24289,21.62759,5.2429
107,2140.0,21.62759,5.24289,21.62759,5.2429
108,2160.0,22.28295,5.89888,22.28295,5.2429
109,2180.0,22.28295,5.89825,22.28295,5.2429
110,2200.0,21.62759,5.89826,22.28295,5.2429
111,2220.0,22.28295,5.24289,22.28295,5.2429
112,2240.0,22.28295,5.2429,22.9383,5.2429
113,2260.0,22.28294,5.2429,22.28294,4.58755
114,2280.0,22.9383,4.58754,22.9383,5.24291
115,2300.0,22.28294,5.2429,22.28295,4.58755
116,2320.0,22.28295,4.58754,22.28295,4.58755
117,2340.0,22.28295,4.58754,22.28295,4.58754
118,2360.0,21.62759,4.58753,21.62759,4.58754
119,2380.0,21.62759,4.58753,21.62759,3.93218
120,2400.0,22.28296,3.93217,21.62759,3.93217
121,2420.0,21.6276,4.58753,21.6276,3.93218
122,2440.0,21.6276,4.58753,21.6276,3.93217
123,2460.0,25.55981,5.2429,36.7011,6.55363
124,2480.0,42.59945,7.20899,42.59947,7.86436
