,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535,0.65537,0.0,0.0
2,40.0,-1.31071,0.65537,-0.65536,0.65536
3,60.0,-1.31071,0.65536,-1.31072,0.65537
4,80.0,-1.96607,1.31073,-1.96608,0.65537
5,100.0,-2.62144,1.31073,-1.96609,0.65536
6,120.0,-1.96608,0.65537,-1.31074,0.0
7,140.0,-1.31074,1.31073,-3.0000000002417e-05,0.65537
8,160.0,-0.65539,0.65537,0.65532,0.65537
9,180.0,-3.9999999998486e-05,1.31073,1.31067,0.65537
10,200.0,0.65532,9.9999999960687e-06,1.31066,0.0
11,220.0,0.65532,0.65537,1.31067,0.65537
12,240.0,1.31067,1.31073,1.31066,1.31073
13,260.0,1.31067,1.31074,1.96601,1.31074
14,280.0,0.65531,1.31074,1.96601,1.96611
15,300.0,1.31066,1.96611,1.96601,1.9661
16,320.0,1.31065,1.96611,1.96601,1.96611
17,340.0,1.31066,2.62147,1.96601,2.62147
18,360.0,1.31066,2.62147,1.96601,2.62148
19,380.0,1.31066,2.62148,1.966,2.62147
20,400.0,1.31065,3.27684,1.966,2.62148
21,420.0,1.96601,3.27685,2.62136,3.27685
22,440.0,1.96601,3.27685,2.62136,2.62149
23,460.0,1.31065,3.27685,2.62136,3.93222
24,480.0,1.96601,3.93223,1.966,3.93223
25,500.0,1.966,3.93223,2.62135,3.93223
26,520.0,1.96601,4.5876,2.62135,3.93224
27,540.0,1.3132,4.58761,1.966,4.58761
28,560.0,1.31065,4.58761,1.31064,4.5876
29,580.0,1.31065,4.58761,1.966,4.58761
30,600.0,0.65529,3.93226,1.31064,3.27689
31,620.0,4.5875,3.2769,5.89823,3.93227
32,640.0,4.58751,4.58764,5.24287,5.24301
33,660.0,4.58751,5.89838,5.24286,5.24302
34,680.0,4.58751,5.89838,5.24286,6.55375
35,700.0,4.58751,6.55375,4.5875,5.89839
36,720.0,4.58751,6.55376,4.5875,6.55376
37,740.0,3.93215,7.20912,4.5875,6.55375
38,760.0,3.93215,7.20912,4.5875,6.55376
39,780.0,3.93215,6.55375,4.58749,6.55375
40,800.0,3.93214,6.55375,3.93213,6.55376
41,820.0,3.27679,6.55376,3.93213,5.24303
42,840.0,5.89826,5.89839,9.1751,6.55375
43,860.0,9.17513,7.86449,8.51976,7.86449
44,880.0,8.51977,8.51986,8.51976,7.86449
45,900.0,7.86441,7.20913,9.17511,7.20913
46,920.0,8.51976,6.55377,9.83046,5.8984
47,940.0,9.17511,6.55377,10.48582,5.89841
48,960.0,11.79657,5.24304,24.24857,3.27695
49,980.0,26.87011,4.58769,28.18083,6.55379
50,1000.0,26.87012,7.86452,28.18083,8.51989
51,1020.0,27.52548,8.51989,28.18082,9.17524
52,1040.0,27.52548,9.17524,28.18082,9.17524
53,1060.0,28.18083,9.8306,28.83618,9.83059
54,1080.0,28.18083,9.83059,28.83618,9.17523
55,1100.0,28.18083,9.17523,28.83618,9.17523
56,1120.0,28.18083,9.17522,28.83618,9.17522
57,1140.0,28.83618,9.17522,29.49154,8.51986
58,1160.0,28.18083,8.51985,32.113,7.20913
59,1180.0,45.87581,7.86451,56.36177,6.55381
60,1200.0,57.67256,7.20919,57.67255,8.51992
61,1220.0,56.36184,9.83064,57.01718,9.17527
62,1240.0,56.36182,9.17527,57.01718,9.83063
63,1260.0,56.36181,9.83063,57.01717,9.83062
64,1280.0,56.36182,9.17526,57.01717,9.17526
65,1300.0,55.70645,9.17526,57.01717,8.51989
66,1320.0,56.36181,9.17525,57.01716,8.51989
67,1340.0,55.70645,9.17525,56.3618,7.86452
68,1360.0,55.70646,8.51989,56.3618,7.86452
69,1380.0,55.70645,7.20916,56.36181,6.55379
70,1400.0,55.0511,6.55379,56.36181,5.89843
71,1420.0,55.0511,5.24306,55.70646,4.5877
72,1440.0,55.0511,5.24306,55.70646,3.93233
73,1460.0,55.0511,3.93233,55.70646,3.93233
74,1480.0,54.39575,3.93233,55.0511,2.6216
75,1500.0,54.39575,3.27696,55.0511,2.62159
76,1520.0,53.74039,2.62159,55.0511,1.96623
77,1540.0,53.74039,1.31086,54.39574,-1.3106
78,1560.0,43.90985,-6.55349,30.14704,-11.79641
79,1580.0,24.90409,-11.14105,22.93799,-10.48569
80,1600.0,22.28264,-9.83034,22.93799,-8.51961
81,1620.0,21.62727,-8.51962,22.93799,-9.175
82,1640.0,20.97193,-9.83037,21.62729,-10.48574
83,1660.0,20.97195,-9.17502,20.97195,-9.83038
84,1680.0,19.66125,-9.83038,20.3166,-9.83037
85,1700.0,19.66126,-8.51965,20.3166,-8.51965
86,1720.0,20.31661,-7.86428,20.97195,-7.20892
87,1740.0,20.97195,-6.55355,21.6273,-5.89819
88,1760.0,20.97194,-4.58747,21.62728,-4.58746
89,1780.0,20.97193,-4.58746,21.62727,-3.9321
90,1800.0,26.21487,-3.93207,39.97763,-3.93205
91,1820.0,47.18674,-2.6213,46.53138,0.00014999999999787
92,1840.0,46.53137,1.96625,47.84207,3.93233
93,1860.0,47.84206,5.24307,49.15276,5.89844
94,1880.0,48.49741,6.55381,49.15275,6.55381
95,1900.0,48.49739,7.20917,49.8081,7.20917
96,1920.0,49.15275,7.20918,49.8081,8.5199
97,1940.0,49.15274,8.51991,49.80809,7.86455
98,1960.0,53.08494,7.86457,64.88162,6.55387
99,1980.0,70.12463,7.20925,69.46926,9.83071
100,2000.0,67.50317,12.45217,68.81388,13.10754
101,2020.0,68.15852,14.41826,68.81387,13.7629
102,2040.0,67.50316,15.07363,68.15851,15.07363
103,2060.0,67.50316,16.38436,68.15851,15.729
104,2080.0,67.50316,15.729,68.15851,16.38437
105,2100.0,66.8478,17.69509,67.50315,17.69509
106,2120.0,66.84779,18.35047,67.50314,17.6951
107,2140.0,69.46745,17.69511,78.64444,17.03977
108,2160.0,80.61061,17.03979,79.95523,18.35052
109,2180.0,79.29987,19.66125,79.29986,19.66125
110,2200.0,78.64451,20.31661,79.29986,20.31661
111,2220.0,78.64451,20.97197,78.64449,20.97198
112,2240.0,78.6445,21.62734,78.64449,21.62733
113,2260.0,77.98914,21.62733,78.64449,20.97197
114,2280.0,77.33378,21.62733,78.64449,22.28269
115,2300.0,77.33378,21.62733,77.98913,21.62732
116,2320.0,77.33378,22.28268,77.98913,20.97195
117,2340.0,76.67842,21.62732,77.33377,20.97196
118,2360.0,76.67842,20.97195,77.33378,19.66122
119,2380.0,76.02307,20.31658,77.33378,19.66122
120,2400.0,76.02307,19.00585,77.33378,17.03976
121,2420.0,85.8536,16.38443,99.6164,15.07375
122,2440.0,100.92723,15.07377,100.27185,16.3845
123,2460.0,99.6165,18.35058,100.27185,19.00594
124,2480.0,99.61649,18.35057,100.27184,18.35057
125,2500.0,98.96113,19.00593,100.27184,19.00593
126,2520.0,98.96113,19.00593,99.61648,19.00593
127,2540.0,98.96112,19.00593,99.61647,19.00593
128,2560.0,98.30576,19.00592,99.61647,19.00592
129,2580.0,98.30576,19.00593,98.96111,19.66129
130,2600.0,97.6504,19.66129,98.96111,19.66129
131,2620.0,98.30575,20.31665,98.30575,19.66129
132,2640.0,98.30576,20.31665,98.30575,19.66128
133,2660.0,97.6504,20.31665,97.65038,19.66128
134,2680.0,96.99503,20.31665,97.65038,20.31665
135,2700.0,96.99504,20.97201,97.65039,20.31665
136,2720.0,96.33968,20.972,96.99503,20.972
137,2740.0,96.33968,20.97201,93.06282,19.00591
138,2760.0,70.12482,13.10762,40.63304,0.65567
139,2780.0,15.07361,-6.55333,4.58765,-3.9319
140,2800.0,4.58768,2.62172,5.89841,5.24317
