,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65535999999999,-0.65537,-0.65535999999999,-1.0000000003174e-05
2,40.0,0.0,-0.65538,0.0,-1.0000000003174e-05
3,60.0,0.65535,-0.65538,0.0,-0.65538
4,80.0,0.65535999999999,-1.31074,-9.9999999960687e-06,-1.0000000003174e-05
5,100.0,0.65535,-0.65538,-0.65537,-1.9999999999243e-05
6,120.0,-1.0000000003174e-05,-0.65538,0.0,-1.9999999999243e-05
7,140.0,0.65535999999999,-1.31075,0.0,-0.65539
8,160.0,1.31072,-1.31075,-9.9999999960687e-06,-1.9999999999243e-05
9,180.0,0.65535,-1.31076,0.65536,-0.65539
10,200.0,1.31072,-1.96613,1.31071,-1.96612
11,220.0,1.31072,-2.62148,1.31072,-1.31075
12,240.0,1.96608,-1.96612,1.31072,-1.96612
13,260.0,1.96608,-1.96612,1.31073,-1.31075
14,280.0,1.31073,-1.96612,0.65537,-0.65539
15,300.0,1.31074,-1.31075,0.65538,-1.9999999999243e-05
16,320.0,1.31074,-1.31074,0.65538,-1.0000000003174e-05
17,340.0,0.65537999999999,-0.65537,1.9999999999243e-05,0.65535
18,360.0,0.65537999999999,-1.9999999999243e-05,3.0000000002417e-05,-1.0000000003174e-05
19,380.0,0.65539,-0.65537,0.65539,0.65536
20,400.0,0.6554,-9.9999999960687e-06,4.0000000005591e-05,0.65536
21,420.0,0.6554,0.0,4.0000000005591e-05,1.31073
22,440.0,0.6554,0.0,4.0000000005591e-05,1.31073
23,460.0,0.65541,0.65536,4.0000000005591e-05,1.31073
24,480.0,0.6554,0.65536,4.0000000005591e-05,1.31073
25,500.0,4.9999999994554e-05,1.0000000003174e-05,1.31082,1.31075
26,520.0,5.24308,0.65538,2.62162,1.96612
27,540.0,1.31089,3.27687,0.65554,4.5876
28,560.0,1.3109,3.93223,1.3109,3.93224
29,580.0,1.96626,3.27687,1.3109,3.93223
30,600.0,1.3109,3.27687,1.3109,3.93223
31,620.0,1.96627,2.6215,1.31091,3.93223
32,640.0,1.96626,2.6215,1.3109,3.93224
33,660.0,1.96627,3.27687,1.3109,3.93223
34,680.0,1.3109,3.27687,0.00017000000000422,5.24298
35,700.0,-1.31056,6.55371,-1.96591,7.86444
36,720.0,-1.31054,7.20908,-2.62127,7.86446
37,740.0,-1.31055,7.20908,-1.96591,7.20908
38,760.0,-1.31055,6.55371,-1.96592,6.55372
39,780.0,-0.6552,5.89834,-1.31056,6.55372
40,800.0,-1.31056,6.55371,-1.96593,6.55372
41,820.0,7.20925,3.93223,18.35051,4.58758
42,840.0,18.35054,5.24296,15.07372,6.5537
43,860.0,15.72909,5.89834,15.72908,7.20906
44,880.0,16.38444,5.89833,16.38443,6.55369
45,900.0,17.03979,5.89832,16.38443,6.55369
46,920.0,17.03979,5.89832,16.38443,6.55369
47,940.0,17.03979,5.89832,16.38443,7.20904
48,960.0,17.69514,5.89831,16.38442,6.55368
49,980.0,17.69515,5.89831,17.03978,6.55368
50,1000.0,17.03978,5.89831,16.38442,6.55368
51,1020.0,17.03978,5.89832,16.38442,6.55369
52,1040.0,17.03979,5.89832,16.38443,7.20905
53,1060.0,17.03979,6.55368,16.38443,7.20906
54,1080.0,17.03979,6.55369,17.03978,7.20905
55,1100.0,30.80244,7.20906,51.11878,9.17517
56,1120.0,58.32782,8.5198,54.39566,10.48592
57,1140.0,54.39566,10.48592,54.39566,11.1413
58,1160.0,54.39566,9.83056,54.39566,10.48592
59,1180.0,54.39566,9.83055,53.74029,10.48591
60,1200.0,54.39565,9.83055,54.39564,10.48591
61,1220.0,54.39565,9.17518,54.39565,9.83054
62,1240.0,55.05101,9.17517,54.39565,9.83054
63,1260.0,55.05101,9.17517,54.39565,9.83053
64,1280.0,55.05101,8.5198,54.39564,9.17517
65,1300.0,55.051,8.51981,53.74028,9.17518
66,1320.0,54.39564,9.17518,53.08491,9.83055
67,1340.0,53.08492,9.17519,52.42955,9.83055
68,1360.0,60.9493,9.17519,77.9889,11.1413
69,1380.0,87.16409,11.79668,84.54265,12.45206
70,1400.0,83.23192,11.7967,83.88729,13.10743
71,1420.0,84.54264,12.45206,83.88727,13.10742
72,1440.0,84.54262,11.79669,83.88726,12.45205
73,1460.0,83.88725,12.45205,83.23188,12.45205
74,1480.0,84.5426,11.79668,83.23188,12.45204
75,1500.0,83.88724,11.79667,83.88723,12.45203
76,1520.0,85.19794,11.1413,83.88722,11.1413
77,1540.0,85.19794,10.48593,84.54258,11.14129
78,1560.0,85.19794,9.83056,85.19794,10.48593
79,1580.0,85.19794,9.83056,85.19794,10.48593
80,1600.0,85.19794,10.48593,84.54258,11.79666
81,1620.0,85.19794,11.14129,84.54258,12.45203
82,1640.0,85.19794,11.79666,83.88722,12.45203
83,1660.0,88.47478,11.14129,98.96069,11.79666
84,1680.0,106.82513,11.1413,105.51441,12.45204
85,1700.0,104.20368,11.79668,104.20368,12.45204
86,1720.0,105.5144,11.79667,104.20368,12.45204
87,1740.0,105.51439,11.1413,104.85902,11.1413
88,1760.0,105.51438,10.48592,104.85902,11.14129
89,1780.0,104.85902,9.83056,104.85901,11.14128
90,1800.0,105.51437,10.48591,104.85901,11.14128
91,1820.0,105.51438,10.48592,104.85901,11.14128
92,1840.0,105.51437,11.14127,105.51437,11.14127
93,1860.0,106.16974,10.4859,105.51437,11.79663
94,1880.0,106.16973,11.14126,105.51437,11.79663
95,1900.0,106.82509,10.4859,105.51437,11.14126
96,1920.0,106.82509,10.48589,106.16973,10.4859
97,1940.0,106.82509,9.83052,106.16973,10.4859
98,1960.0,106.82509,9.83052,107.48047,11.14126
99,1980.0,110.75733,10.4859,109.4466,11.79664
100,2000.0,108.79124,11.79664,108.79124,13.10738
101,2020.0,108.79125,12.45201,108.13588,13.10738
102,2040.0,108.79125,12.452,107.48052,13.10737
103,2060.0,108.79124,11.79663,108.13588,12.45199
104,2080.0,109.4466,11.14126,108.79124,11.79663
105,2100.0,109.44659,10.4859,108.79123,11.79663
106,2120.0,108.79123,11.14126,108.13586,12.452
107,2140.0,108.79123,11.79663,107.4805,12.45201
108,2160.0,107.48051,12.45199,107.4805,13.10736
109,2180.0,108.13587,11.79663,107.4805,12.45199
110,2200.0,108.13587,11.14126,108.13587,11.14127
111,2220.0,107.48051,9.83053,107.4805,10.4859
112,2240.0,114.03416,9.17517,133.69521,9.83054
113,2260.0,142.87043,9.83051,138.93826,12.45201
114,2280.0,137.62753,12.45202,137.62753,13.76275
115,2300.0,138.93825,13.10737,137.62752,13.76273
116,2320.0,138.93824,13.10736,138.28287,13.10735
117,2340.0,138.93822,12.45198,138.93822,12.45198
118,2360.0,139.59358,11.14125,139.59358,11.7966
119,2380.0,140.24894,11.14124,139.59358,12.45197
120,2400.0,140.24893,11.14123,139.59357,12.45196
121,2420.0,139.59357,11.7966,138.93821,12.45196
122,2440.0,139.59357,11.79659,138.93821,12.45195
123,2460.0,140.24893,15.07343,139.59361,16.38418
124,2480.0,140.24897,15.7288,140.24896,16.38417
125,2500.0,140.90432,15.07344,140.24896,15.7288
126,2520.0,140.90432,14.41806,140.90431,14.41806
127,2540.0,141.55967,13.76268,140.9043,13.76268
128,2560.0,142.21503,12.45195,141.55966,13.76267
129,2580.0,142.21502,12.45194,140.90429,12.45194
130,2600.0,142.21501,11.79656,141.55964,11.79657
131,2620.0,123.86473,5.24292,81.26582,0.65537
132,2640.0,32.76867,-2.62144,-5.89781,0.65544
133,2660.0,-7.20853,2.62154,-4.58706,5.24299
134,2680.0,-3.27636,5.24299,-3.93174,6.5537
135,2700.0,-2.62103,6.55369,-3.27639,8.51978
136,2720.0,-2.62104,9.17514,-3.2764,11.79659
137,2740.0,-2.62104,12.45195,-3.93177,14.41803
138,2760.0,-3.27641,15.0734,-3.93178,17.03949
139,2780.0,-3.27642,16.38413,-3.93178,18.35022
140,2800.0,-4.58714,19.00558,-8.51933,20.31634
141,2820.0,-9.1747,20.31634,-10.48542,23.59317
142,2840.0,-9.83006,24.90392,-11.79614,26.21466
143,2860.0,-11.79614,26.21466,-11.79614,26.87002
144,2880.0,-11.14078,26.21465,-11.79614,26.87002
145,2900.0,-10.48542,25.55928,-11.14078,26.21465
146,2920.0,-10.48541,25.55928,-6.55321,25.55929
147,2940.0,9.17561,24.90392,15.07392,25.55928
148,2960.0,13.10782,24.90392,12.45246,25.5593
149,2980.0,13.76318,24.90393,13.10781,26.21465
150,3000.0,13.10781,25.55928,12.45244,25.55928
151,3020.0,13.1078,24.24855,12.45243,24.9039
152,3040.0,13.10779,23.59317,13.10779,23.59317
153,3060.0,13.76315,22.9378,13.10778,23.59317
154,3080.0,13.76315,22.9378,13.10778,22.9378
155,3100.0,13.76315,22.28244,2.62196,22.28246
156,3120.0,-11.79617,20.97175,-17.69451,22.28249
157,3140.0,-15.72836,23.59323,-15.07297,24.90397
158,3160.0,-14.41763,24.90397,-15.073,25.55933
159,3180.0,-13.76228,24.2486,-13.76228,24.24859
160,3200.0,-13.10692,23.59322,-13.10692,23.59323
161,3220.0,-11.7962,22.93785,-12.45157,22.93785
162,3240.0,-11.14086,22.28247,-11.79622,22.28248
163,3260.0,-10.4855,20.97174,-11.14086,21.62711
164,3280.0,-10.4855,21.6271,-11.14087,21.6271
165,3300.0,-10.48551,20.97173,-10.48551,21.6271
166,3320.0,-10.48551,20.31637,-10.48552,20.97173
167,3340.0,-9.83015,20.31636,-10.48552,21.62709
168,3360.0,-9.83016,20.31636,-10.48552,20.97173
169,3380.0,-9.83016,20.31636,-10.48552,20.31705
170,3400.0,-9.83016,19.00563,-9.1748,19.00563
171,3420.0,-7.20869,17.69491,28.18107,20.97179
172,3440.0,85.85339,20.3164,122.55414,17.69484
173,3460.0,132.3848,24.24854,123.86511,30.8023
174,3480.0,121.89899,31.45766,123.86506,31.45766
175,3500.0,125.17576,30.80227,125.17574,30.1469
176,3520.0,126.48644,28.83615,126.48642,28.18078
177,3540.0,127.79713,26.87004,127.79712,26.87003
178,3560.0,129.10782,26.21466,129.10781,26.21466
179,3580.0,129.76316,24.90392,129.76316,24.90392
180,3600.0,131.07387,24.24854,130.4185,24.24853
181,3620.0,131.07386,22.9378,131.07385,23.59316
182,3640.0,132.38457,22.28243,131.7292,22.28243
183,3660.0,132.38456,21.62707,132.38456,21.62707
184,3680.0,133.03992,20.9717,132.38456,21.62707
185,3700.0,133.03991,22.28244,132.38455,22.93782
186,3720.0,130.41845,22.28247,104.20378,20.97177
187,3740.0,60.94951,17.69496,8.52028,20.97183
188,3760.0,-17.03895,28.83626,-19.66035,36.70069
189,3780.0,-17.03889,39.32215,-17.69428,40.63289
190,3800.0,-16.38359,39.97751,-15.72825,39.32215
191,3820.0,-15.07289,38.66677,-14.41756,38.66677
192,3840.0,-13.7622,38.0114,-13.76222,38.0114
193,3860.0,-13.10687,37.35603,-13.76223,38.01139
194,3880.0,-13.10688,37.35602,-13.10689,38.66675
195,3900.0,-12.45153,36.70066,-13.1069,37.35602
196,3920.0,-11.79618,36.04529,-12.45154,36.70065
197,3940.0,-11.14082,35.38992,-11.79618,36.04528
198,3960.0,-11.14083,34.73454,-11.14083,35.38991
199,3980.0,-10.48547,34.73455,-11.14084,34.73455
200,4000.0,-10.48548,34.73455,-14.4177,37.35604
201,4020.0,-16.38381,37.35606,-16.38378,38.66679
202,4040.0,-15.72842,38.6668,-16.38379,38.66681
203,4060.0,-15.72843,38.01144,-15.72843,38.01144
204,4080.0,-15.07307,36.7007,-15.72844,36.70071
205,4100.0,-14.41772,35.38997,-15.07308,36.04533
206,4120.0,-14.41772,34.7346,-15.07308,35.38997
207,4140.0,-13.76236,34.7346,-15.07309,34.73461
208,4160.0,-13.76236,34.07923,-14.41773,34.07924
209,4180.0,-13.76237,33.42387,-9.83011,32.11314
210,4200.0,11.14164,31.45776,15.07386,32.7685
211,4220.0,10.48632,32.76852,9.83096,33.42389
212,4240.0,11.79704,32.76852,11.14167,32.76853
213,4260.0,11.79702,32.11315,11.79701,32.11314
214,4280.0,13.10773,30.8024,12.45237,30.80241
215,4300.0,13.10773,30.14703,13.10772,30.14703
216,4320.0,13.76307,29.49167,13.1077,29.49167
217,4340.0,14.41841,28.18094,13.76305,29.49167
218,4360.0,13.76304,28.8363,13.76304,28.83631
219,4380.0,36.04542,26.87021,55.05106,26.87019
220,4400.0,59.63865,28.18094,55.05112,30.14704
221,4420.0,55.70648,29.49168,56.36184,29.49168
222,4440.0,57.01719,28.8363,56.36182,29.49166
223,4460.0,58.3279,27.52556,57.67254,27.52557
224,4480.0,58.3279,26.21483,57.67253,26.8702
225,4500.0,58.32789,25.55947,57.67252,26.8702
226,4520.0,58.32788,25.55947,57.01715,26.21484
227,4540.0,57.67252,25.55946,57.01715,26.21483
228,4560.0,58.32787,24.9041,57.01715,25.55947
229,4580.0,58.32787,24.90409,57.6725,25.55946
230,4600.0,66.19228,25.55948,74.71211,27.52558
231,4620.0,75.36749,26.21486,72.74602,26.87023
232,4640.0,73.40138,27.52559,73.40138,27.5256
233,4660.0,73.40138,26.87022,72.74601,27.52559
234,4680.0,73.40137,26.87022,72.746,27.52559
235,4700.0,73.40137,27.52559,73.40136,27.52559
236,4720.0,74.05672,26.87022,74.05672,26.87023
237,4740.0,74.71208,26.21485,74.71208,26.87022
238,4760.0,75.36744,26.21485,74.05672,26.21485
239,4780.0,75.36743,26.21484,74.71207,26.87021
240,4800.0,75.36743,25.55948,75.36743,26.21485
241,4820.0,76.02534,24.90411,75.36743,24.90412
242,4840.0,76.02278,24.24875,75.36742,24.24876
243,4860.0,76.02278,23.59338,75.36742,24.90411
244,4880.0,76.67814,23.59338,76.02278,24.24875
245,4900.0,77.3335,23.59337,76.02278,23.59337
246,4920.0,77.3335,22.938,76.67813,23.59336
247,4940.0,77.3335,22.938,76.67814,23.59336
248,4960.0,76.67813,22.28263,76.67812,22.28263
249,4980.0,88.47473,21.62727,104.85897,21.62727
250,5000.0,110.75732,22.938,106.82516,25.55948
251,5020.0,106.1698,25.55948,106.82516,26.21485
252,5040.0,107.4805,24.9041,106.82514,25.55946
253,5060.0,107.4805,24.24872,108.13585,24.90408
254,5080.0,108.79121,23.59334,108.79121,23.59334
255,5100.0,108.7912,22.2826,108.7912,22.93797
256,5120.0,110.10191,21.62723,110.10191,22.28259
257,5140.0,110.1019,21.62722,109.44654,22.28259
258,5160.0,110.1019,22.28258,109.44653,22.28259
259,5180.0,110.10189,20.97185,117.31093,19.66111
260,5200.0,131.72904,19.00573,134.35055,20.31648
261,5220.0,132.38446,19.66112,131.72909,20.31648
262,5240.0,133.69517,19.00574,133.0398,19.00574
263,5260.0,133.69516,17.695,132.38443,17.695
264,5280.0,133.69514,17.03962,133.69514,17.69498
265,5300.0,134.3505,17.0396,133.03977,17.69497
266,5320.0,133.69513,17.0396,133.03976,17.69495
267,5340.0,134.35048,16.38422,133.69512,17.03958
268,5360.0,133.69513,15.72885,133.03976,16.38421
269,5380.0,134.35048,15.07348,133.69512,15.72883
270,5400.0,134.35047,15.07347,133.69511,15.07347
271,5420.0,133.69511,14.41809,133.03974,14.41809
272,5440.0,133.6951,13.10735,133.03974,13.76272
273,5460.0,133.03974,13.10734,133.03973,13.10733
274,5480.0,134.35046,12.45196,133.6951,11.7966
275,5500.0,134.35046,10.48585,127.14144,8.51976
276,5520.0,115.34481,5.24291,112.06797,7.20903
277,5540.0,114.68946,7.20904,114.0341,7.86441
278,5560.0,114.68945,7.20903,114.68944,7.86439
279,5580.0,115.3448,7.20902,114.68943,7.20902
280,5600.0,115.3448,6.55364,114.68943,7.209
281,5620.0,114.68943,5.89827,114.68943,6.55363
282,5640.0,116.00015,5.89825,115.34479,6.55363
283,5660.0,116.00015,5.89825,115.34479,6.55362
284,5680.0,116.00015,5.89824,116.00015,5.89825
285,5700.0,116.65551,5.89824,116.00015,5.89823
286,5720.0,116.00015,4.5875,120.58771,4.5875
287,5740.0,134.35046,3.93213,138.28271,6.55362
288,5760.0,135.00589,6.55363,134.35052,7.20899
289,5780.0,135.66125,5.89825,135.66124,6.55361
290,5800.0,136.3166,5.89824,135.66123,6.55359
291,5820.0,136.97195,5.89822,136.31659,5.89821
292,5840.0,136.31659,5.24284,136.97195,5.8982
293,5860.0,137.6273,4.58747,136.97193,4.58747
294,5880.0,123.20924,-0.65544,87.164,-8.51983
295,5900.0,46.53122,-12.45202,15.07372,-8.51978
296,5920.0,9.83083,-3.27682,11.14157,1.9999999999243e-05
297,5940.0,12.45483,0.65538,11.7969,2.62147
298,5960.0,13.76298,1.9661,13.10761,2.62145
299,5980.0,15.07368,1.96607,14.41832,2.62144
300,6000.0,15.72904,1.3107,16.38439,1.96606
301,6020.0,17.69511,1.31069,14.41829,3.93215
302,6040.0,7.86467,7.8644,1.96642,9.8305
303,6060.0,3.27714,9.83049,3.27713,11.14124
304,6080.0,3.9325,10.48586,3.27713,10.48586
305,6100.0,3.93248,9.17512,-60.94816,9.83048
306,6120.0,3.93248,9.1751,3.27712,9.83047
307,6140.0,3.93248,8.51973,3.27712,9.83046
308,6160.0,3.93247,8.51973,3.27711,9.83046
309,6180.0,1.96639,8.51973,-6.55337,9.1751
310,6200.0,-8.51948,9.1751,-8.51946,10.48584
311,6220.0,-7.20874,10.48584,-8.51947,10.48584
312,6240.0,-7.20875,10.48583,-7.86412,10.48583
313,6260.0,-7.20876,9.17509,-7.20876,9.83045
314,6280.0,-6.5534,8.51972,-7.20876,9.17508
315,6300.0,-5.89804,7.86435,-6.5534,8.51971
316,6320.0,-5.24268,8.51969,-5.89804,8.5197
317,6340.0,-5.24268,7.86433,-5.24268,8.51969
318,6360.0,-4.58732,7.20896,-5.24269,7.86433
319,6380.0,3.93243,6.55359,47.18654,5.89821
320,6400.0,71.4352,6.55352,73.40138,9.17503
321,6420.0,69.4692,9.8304,68.81382,11.14114
322,6440.0,70.77991,11.14112,70.12453,11.79649
323,6460.0,70.77988,11.1411,69.46915,11.79647
324,6480.0,70.77987,11.14109,70.1245,11.14109
325,6500.0,70.77986,11.14108,70.1245,12.45181
326,6520.0,70.77985,11.14108,69.46913,11.79644
327,6540.0,70.12449,11.14107,69.46912,11.79643
328,6560.0,70.12448,11.79642,69.46911,11.79643
329,6580.0,69.46912,11.14106,64.88156,13.10717
330,6600.0,61.60472,12.45182,60.94936,13.10718
331,6620.0,61.60473,12.45183,60.94937,13.1072
332,6640.0,61.60473,12.45181,61.60473,12.45181
333,6660.0,62.26009,11.14108,61.60473,10.48571
334,6680.0,62.26009,9.83034,62.26009,9.83034
335,6700.0,62.91545,9.17497,62.26009,9.17497
336,6720.0,62.91544,8.5196,62.26009,9.17497
337,6740.0,62.91545,8.5196,63.57081,8.51961
338,6760.0,76.02281,7.86425,90.44096,9.17498
339,6780.0,93.06246,9.17497,89.13027,9.83035
340,6800.0,90.44099,9.17499,90.44099,9.83035
341,6820.0,91.09635,9.17497,90.44098,9.83034
342,6840.0,91.7517,7.86425,90.44097,8.51961
343,6860.0,91.09634,7.86424,90.44097,8.51961
344,6880.0,91.09633,8.5196,89.7856,9.17496
345,6900.0,90.44097,8.51959,90.44096,9.17495
346,6920.0,91.09632,8.51958,89.78561,8.51959
347,6940.0,91.09633,7.86421,91.09633,8.51958
348,6960.0,91.7517,7.86421,91.09634,7.20885
349,6980.0,93.71781,3.932,93.71782,5.8981
350,7000.0,93.71781,6.55348,93.06245,7.20885
351,7020.0,93.71782,5.89812,93.06246,6.55347
352,7040.0,94.37318,5.24274,93.71782,5.24274
353,7060.0,94.37318,4.58736,93.71782,4.58736
354,7080.0,94.37317,3.93199,94.37318,3.93198
355,7100.0,95.02854,3.27661,94.37318,3.27661
356,7120.0,97.65,1.3105,114.0342,2.62122
357,7140.0,131.72916,3.93197,135.66143,5.89807
358,7160.0,133.69534,3.93198,133.03997,4.58736
359,7180.0,134.35069,3.93198,133.69532,4.58734
360,7200.0,134.35067,3.2766,134.35066,3.93196
361,7220.0,135.00603,2.62121,134.35066,2.62122
362,7240.0,135.00602,1.96584,134.35066,1.96584
363,7260.0,135.00602,0.65509,135.006,0.65508
364,7280.0,136.31672,-0.00028999999999968,135.66135,0.65508
365,7300.0,135.66136,-0.00028999999999968,134.35062,1.31045
366,7320.0,135.66135,0.65508000000001,135.00599,1.96582
367,7340.0,135.66135,1.31045,135.66134,1.96581
368,7360.0,135.00599,0.65508000000001,135.66135,1.31045
369,7380.0,136.31671,-0.00028999999999968,136.97208,0.65508
370,7400.0,142.87042,0.65508000000001,144.18117,1.31046
371,7420.0,144.18116,0.65511,143.52579,1.96583
372,7440.0,144.18116,1.31046,143.52579,1.31045
373,7460.0,144.18115,0.65508000000001,144.18114,1.31045
374,7480.0,144.83649,0.65507,143.52577,1.31044
375,7500.0,144.18113,1.31043,144.18116,1.31043
376,7520.0,144.83649,0.65506,144.18112,0.65506
377,7540.0,145.49184,-0.00030999999999892,143.52574,-0.65567
378,7560.0,125.17545,-5.89858,85.85338,-10.48612
379,7580.0,43.91241,-13.76289,1.96653,-13.10751
380,7600.0,-8.51929,-11.79677,-5.24246,-9.17531
381,7620.0,-3.2764,-9.17531,-3.93178,-7.8646
382,7640.0,-1.96572,-8.51998,-1.96573,-7.86461
383,7660.0,-1.31037,-8.51999,-1.31038,-8.52
384,7680.0,0.00032999999999817,-9.17538,-0.65504,-7.86465
385,7700.0,0.00031999999999499,-8.52003,0.00030999999999892,-7.86467
386,7720.0,1.31103,-8.52004,0.65566,-7.2093
