,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65537,0.0,-0.65536,0.0
2,40.0,-1.31073,0.0,-7.86443,-0.65536
3,60.0,-12.45204,0.0,-12.45202,0.0
4,80.0,-12.45202,1.0000000003174e-05,-11.79666,0.0
5,100.0,-11.79667,0.0,-11.79666,-0.65536
6,120.0,-11.14132,-0.65536,-10.48596,-0.65537
7,140.0,-10.48597,-0.65537,-9.8306,-1.31073
8,160.0,-9.83062,-0.65537,-9.83061,-1.31073
9,180.0,-9.83062,-0.65538,-9.17525,-1.31074
10,200.0,-9.17526,-1.31074,-9.17525,-1.31074
11,220.0,-9.17526,-0.65538,-8.51989,-1.31075
12,240.0,-8.5199,-0.65538,-8.51989,-1.31075
13,260.0,-8.5199,-0.65538,-8.51989,-0.65538
14,280.0,-8.51989,-0.65538,-7.86453,-1.31075
15,300.0,-7.86453,-0.65539,-7.86453,-0.65539
16,320.0,-8.51989,-0.65539,-8.51988,-0.65539
17,340.0,-7.86453,-0.65538,-8.51988,-0.65539
18,360.0,-8.51989,-0.65538,-8.51988,-3.0000000002417e-05
19,380.0,-8.51989,-0.65539,-7.86452,-0.65539
20,400.0,-8.51989,-0.65538,-7.86452,-0.65539
21,420.0,-8.51989,-0.65539,-7.86453,-0.65539
22,440.0,-7.86453,-0.65539,-8.51989,-0.65539
23,460.0,-7.86454,-1.31075,-8.51989,-1.31076
24,480.0,-8.51989,-1.31075,-8.51989,-1.31076
25,500.0,-9.83061,-0.65539,-9.8306,-0.65539
26,520.0,-10.48596,-3.0000000002417e-05,-11.14131,0.65533
27,540.0,-11.79668,0.65533,-11.79667,0.65532
28,560.0,-5.89832,-0.65542,3.93227,-1.31079
29,580.0,4.58768,-1.31078,2.62159,-0.65543
30,600.0,1.31086,-5.9999999997729e-05,0.65551,-0.65542
31,620.0,0.65551,-5.9999999997729e-05,0.00014999999999787,-7.0000000000903e-05
32,640.0,-0.65521,-7.0000000000903e-05,0.00016000000000105,0.65529
33,660.0,0.00016000000000105,-7.0000000000903e-05,0.65552,0.65528
34,680.0,0.65552,0.65528,1.31089,-7.9999999996971e-05
35,700.0,0.65552,-7.9999999996971e-05,1.31088,-0.65545
36,720.0,1.31087,-9.0000000000146e-05,1.31087,-0.65545
37,740.0,1.31085,-0.65545,1.96621,-1.31082
38,760.0,1.96619,-1.31082,5.24302,-1.31082
39,780.0,18.35044,-1.96618,24.2488,-2.62154
40,800.0,22.2827,-0.65545,21.62733,-0.65545
41,820.0,21.62733,-0.65545,22.28269,-0.65545
42,840.0,21.62733,-0.65544,22.2827,-9.0000000000146e-05
43,860.0,21.62733,-7.9999999996971e-05,21.62734,-0.65545
44,880.0,21.62733,-1.31081,21.62733,-1.31082
45,900.0,20.97195,-1.96618,20.97194,-2.62154
46,920.0,20.31656,-2.62154,19.66119,-3.27691
47,940.0,18.35043,-3.27691,17.03969,-3.93227
48,960.0,15.72894,-4.58763,14.41819,-4.58764
49,980.0,20.31651,-5.243,38.01153,-5.89836
50,1000.0,46.53137,-6.55371,45.22064,-6.55372
51,1020.0,42.59915,-5.24299,41.94378,-5.89835
52,1040.0,41.28841,-5.89835,41.2884,-5.89835
53,1060.0,39.97766,-5.24298,39.32229,-5.24299
54,1080.0,38.01155,-5.24298,38.01155,-4.58762
55,1100.0,36.70081,-3.93226,36.04543,-3.93227
56,1120.0,34.73469,-3.2769,34.07931,-3.2769
57,1140.0,32.11321,-3.2769,31.45784,-3.27691
58,1160.0,30.80246,-3.27691,29.49173,-3.27691
59,1180.0,28.83635,-2.62154,28.18099,-2.62155
