,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,0.0,0.0
2,40.0,0.0,0.0,0.0,0.65535999999999
3,60.0,-0.65538,0.65535,-0.65538,0.65537
4,80.0,-0.65538,0.65537,-1.9999999999243e-05,1.31074
5,100.0,-0.65538,1.31073,-1.9999999999243e-05,0.65538
6,120.0,-0.65537,0.65538,-1.9999999999243e-05,0.65538
7,140.0,-1.9999999999243e-05,0.65537,-1.9999999999243e-05,0.65538
8,160.0,-1.0000000003174e-05,0.65538,-0.65537,0.65538
9,180.0,-1.0000000003174e-05,0.65537,-0.65537,0.65539
10,200.0,-0.65537,0.65537,-1.0000000003174e-05,0.65539
11,220.0,-1.0000000003174e-05,1.31074,-1.0000000003174e-05,0.65538
12,240.0,-1.0000000003174e-05,0.65538,-1.0000000003174e-05,1.9999999999243e-05
13,260.0,-1.0000000003174e-05,1.0000000003174e-05,-1.0000000003174e-05,0.65539
14,280.0,-1.0000000003174e-05,0.65538,-0.65537,0.65539
15,300.0,-0.65537,0.65538,-1.0000000003174e-05,0.65539
16,320.0,-1.0000000003174e-05,0.65538,-0.65537,1.31076
17,340.0,-0.65537,0.65539,-0.65537,0.6554
18,360.0,-0.65536,1.31075,0.0,1.31076
19,380.0,0.0,1.31075,-0.65536,0.6554
20,400.0,-0.65536,0.65539,-1.31073,1.31076
21,420.0,-1.31072,1.31075,-1.31072,0.6554
22,440.0,-1.31072,1.31076,-1.31072,1.31076
23,460.0,-1.96608,1.31075,-1.31072,1.31076
24,480.0,11.14117,1.31075,43.90937,2.62149
25,500.0,48.49698,3.27685,45.87552,3.93223
26,520.0,44.56479,4.58759,43.90943,5.24296
27,540.0,43.25407,5.24296,43.25407,5.24298
28,560.0,43.25407,5.24297,43.25407,5.24298
29,580.0,43.25407,5.24297,43.25407,5.89834
30,600.0,42.59871,5.24297,43.25407,5.89833
31,620.0,43.25407,5.89833,42.59871,5.89834
32,640.0,43.25407,5.89832,43.25407,5.89833
33,660.0,40.63262,5.24295,37.3558,5.24296
34,680.0,38.66652,5.24295,38.66652,5.24297
35,700.0,38.66653,5.89832,38.66653,5.89833
36,720.0,38.66653,5.89832,38.66653,5.24297
37,740.0,38.66653,5.24296,38.66653,5.24297
38,760.0,38.66654,5.24296,38.66654,5.24297
39,780.0,39.3219,5.89832,38.66654,5.24296
40,800.0,38.66654,5.24296,38.66654,5.24296
41,820.0,38.66654,5.24295,38.01118,4.5876
42,840.0,47.18627,5.24294,57.67218,5.24295
43,860.0,58.98294,5.24294,58.32756,5.89832
44,880.0,57.6722,6.55368,57.6722,5.89832
45,900.0,57.6722,5.89831,58.32755,5.89832
46,920.0,57.67219,5.24295,57.67219,5.24296
47,940.0,57.67219,5.89831,57.67219,5.24296
48,960.0,57.6722,5.89831,57.6722,5.24296
49,980.0,57.6722,5.24295,57.67219,5.24296
50,1000.0,57.6722,5.24295,57.01684,5.24296
51,1020.0,57.01684,5.24296,57.01685,5.24296
52,1040.0,57.01684,5.24295,57.01684,5.24296
53,1060.0,56.36149,5.24295,58.32757,5.24296
54,1080.0,66.84736,5.89832,73.40107,6.5537
55,1100.0,72.74573,7.20905,72.09035,7.86443
56,1120.0,72.09035,7.86443,71.43499,7.86444
57,1140.0,72.09035,7.86443,71.43499,7.86444
58,1160.0,71.43499,8.5198,71.43499,7.86516
59,1180.0,71.43499,8.5198,71.43499,8.51981
60,1200.0,71.43499,8.5198,70.77963,7.86445
61,1220.0,70.77964,7.86444,71.43499,8.51981
62,1240.0,70.77963,7.86444,70.77964,7.86445
63,1260.0,70.77963,7.86445,70.77963,8.51981
64,1280.0,71.435,7.86444,71.43499,7.86445
65,1300.0,72.09035,7.86444,72.09034,7.86444
66,1320.0,72.09034,7.86443,72.74569,7.86444
67,1340.0,72.7457,7.86443,72.74569,7.20907
68,1360.0,80.61008,7.86443,89.78525,9.17588
69,1380.0,90.44065,9.17516,89.78527,9.83054
70,1400.0,89.1299,9.83053,89.1299,10.48591
71,1420.0,89.1299,10.4859,89.78525,10.48591
72,1440.0,89.12989,10.4859,89.12989,10.48591
73,1460.0,89.12989,9.83054,89.78524,9.83055
74,1480.0,89.12988,10.4859,89.12988,10.48591
75,1500.0,89.12987,10.4859,88.47451,10.48591
76,1520.0,89.12988,9.83055,89.12987,15.07343
77,1540.0,89.12988,9.83054,89.12987,9.83055
78,1560.0,88.47451,10.4859,89.12988,9.83055
79,1580.0,88.47452,9.83054,88.47452,9.83055
80,1600.0,88.47452,9.83054,89.12988,9.83055
81,1620.0,88.47452,9.83054,88.47452,9.83055
82,1640.0,91.75134,9.83054,104.20333,10.48592
83,1660.0,108.79098,11.14127,108.13562,11.79665
84,1680.0,106.82488,11.79665,106.82488,12.45202
85,1700.0,106.82488,12.45202,106.82488,12.45203
86,1720.0,106.82489,12.45202,106.16953,12.45203
87,1740.0,106.16953,12.45202,106.16953,12.45203
88,1760.0,105.51417,12.45202,106.16954,12.45202
89,1780.0,105.51417,12.45202,105.51418,11.79667
90,1800.0,105.51418,11.79665,104.85881,11.79665
91,1820.0,104.20346,11.14128,105.51418,10.48592
92,1840.0,110.10177,11.14128,110.75715,11.79666
93,1860.0,109.44642,12.45202,109.44641,12.45203
94,1880.0,109.44642,11.79666,108.79106,11.79667
95,1900.0,109.44642,12.45203,108.79106,11.79667
96,1920.0,108.79105,12.45203,108.13569,11.79667
97,1940.0,108.79106,11.79666,108.79105,12.45203
98,1960.0,108.1357,12.45202,108.79105,11.79667
99,1980.0,108.1357,11.79666,108.1357,11.79668
100,2000.0,108.1357,11.79667,108.1357,11.79668
101,2020.0,107.48034,11.79667,107.48034,11.79668
102,2040.0,107.48034,11.79667,107.48034,11.79668
103,2060.0,107.48034,11.79666,108.1357,11.79667
104,2080.0,108.1357,11.1413,108.79106,11.1413
105,2100.0,106.16957,9.83054,88.47459,5.24295
106,2120.0,60.94909,-2.9999999995312e-05,30.80221,-3.27685
107,2140.0,5.8984,-3.27685,10.48593,-1.9661
108,2160.0,14.41813,-1.9661,13.76276,-1.31073
109,2180.0,13.1074,-1.31073,13.1074,-0.65536
110,2200.0,13.1074,-0.65536,13.1074,-0.65535000000001
111,2220.0,13.1074,-0.65536,13.1074,-0.65535000000001
112,2240.0,12.45204,-0.65536,12.45204,9.9999999960687e-06
113,2260.0,13.1074,1.0000000003174e-05,13.10739,1.9999999999243e-05
114,2280.0,13.10739,1.0000000003174e-05,13.10739,0.65538
115,2300.0,13.76275,0.65537,14.41811,1.9999999999243e-05
116,2320.0,14.41811,1.0000000003174e-05,1.96622,-0.65536
117,2340.0,-3.27675,-0.65537,-3.93212,-0.65535000000001
118,2360.0,-2.62139,1.0000000003174e-05,-2.62139,2.9999999995312e-05
119,2380.0,-2.62139,1.9999999999243e-05,-1.96603,2.9999999995312e-05
120,2400.0,-2.62139,0.65539,-1.96603,0.6554
121,2420.0,-1.96603,0.65539,-1.96603,0.6554
122,2440.0,-2.62138,0.6554,-1.96603,0.6554
123,2460.0,-2.62139,0.6554,-1.96602,0.65541
124,2480.0,-2.62138,0.6554,-1.96602,0.65541
125,2500.0,-2.62138,0.6554,-1.96602,0.65541
126,2520.0,-2.62138,0.6554,-2.62138,0.65541
127,2540.0,-1.96602,0.6554,-2.62138,0.65541
128,2560.0,-2.62137,0.65539,-1.96602,0.65541
129,2580.0,-2.62138,0.65539,-2.62138,0.6554
130,2600.0,-2.62137,3.0000000002417e-05,-3.27675,2.9999999995312e-05
131,2620.0,-3.27676,1.9999999999243e-05,-3.27676,0.6554
132,2640.0,-3.27676,0.65539,-3.27676,0.6554
133,2660.0,-3.93211,0.65539,-3.27676,0.6554
134,2680.0,-3.27676,0.65539,-3.27675,0.6554
135,2700.0,-3.27676,0.6554,-3.93211,0.65541
136,2720.0,-3.93211,0.6554,-3.27676,3.9999999998486e-05
137,2740.0,-3.93212,0.6554,-3.27676,0.65541
138,2760.0,-3.93211,0.65541,-3.93211,0.65541
139,2780.0,-3.93211,0.6554,-3.93211,4.9999999994554e-05
140,2800.0,-3.93211,3.9999999998486e-05,4.58763,0.65541
141,2820.0,23.59319,1.96613,23.59321,1.96614
142,2840.0,22.28248,2.6215,21.62711,2.62152
143,2860.0,21.62712,3.27687,21.62712,3.27688
144,2880.0,20.97176,3.27687,21.62712,3.27688
145,2900.0,21.62712,3.27688,21.62712,3.27688
146,2920.0,21.62712,3.27688,22.28247,3.27688
147,2940.0,22.28247,3.27687,22.93782,3.27688
148,2960.0,22.93781,3.27687,23.59317,3.27687
149,2980.0,23.59317,3.27686,23.59317,3.27687
150,3000.0,23.59317,3.27686,23.59317,3.27687
151,3020.0,22.93781,3.27686,24.90389,3.27686
152,3040.0,45.8755,3.93221,55.70607,4.58759
153,3060.0,55.7061,4.58758,54.39536,5.24296
154,3080.0,54.39536,5.89831,54.39536,5.89833
155,3100.0,54.39535,5.89831,54.39536,5.89832
156,3120.0,54.39535,5.89831,54.39535,5.89832
157,3140.0,54.39535,5.89831,54.39535,5.24296
158,3160.0,54.39535,5.24295,53.73999,5.24296
159,3180.0,53.74,5.24295,53.73999,5.24296
160,3200.0,53.73999,4.58759,53.74,4.5876
161,3220.0,53.73999,5.24294,53.74,5.24295
162,3240.0,53.74,4.58758,54.39536,5.24296
163,3260.0,53.74,4.58759,54.39536,4.58759
164,3280.0,54.39536,4.58758,54.39536,4.58759
165,3300.0,53.74,4.58758,53.74,4.58759
166,3320.0,53.74001,4.58758,53.74001,4.58759
167,3340.0,53.74001,4.58758,53.74001,4.58759
168,3360.0,53.08465,3.93222,53.08465,4.58759
169,3380.0,53.08466,4.58758,53.08466,3.93223
170,3400.0,55.05075,3.93221,65.53663,5.24295
171,3420.0,72.74571,5.89831,72.09037,6.55368
172,3440.0,71.435,6.55368,71.435,6.55369
173,3460.0,71.435,6.55369,71.435,7.20906
174,3480.0,70.77964,7.20905,71.435,7.20906
175,3500.0,70.77964,7.20905,71.435,7.20907
176,3520.0,71.435,7.86442,71.43499,7.20907
177,3540.0,70.77964,7.86442,70.77964,7.20907
178,3560.0,71.435,7.20906,70.77964,7.20908
179,3580.0,70.77964,7.20906,70.77964,7.20907
180,3600.0,70.77964,7.20906,70.77964,7.20907
181,3620.0,70.77964,7.20906,70.77964,7.20908
182,3640.0,70.77965,7.20906,70.12429,7.20907
183,3660.0,70.77965,6.5537,71.43501,6.55371
184,3680.0,82.57624,7.20906,92.4068,8.5198
185,3700.0,93.06221,8.51979,91.75147,9.17517
186,3720.0,91.09611,9.17517,91.75146,9.17518
187,3740.0,91.75146,9.17517,91.75146,9.83054
188,3760.0,91.75146,9.17517,91.0961,9.83054
189,3780.0,91.0961,9.17517,91.75146,9.17518
190,3800.0,92.40681,9.17517,92.40681,9.17518
191,3820.0,92.4068,9.17516,93.06216,9.83053
192,3840.0,93.06216,9.83052,93.71752,9.17517
193,3860.0,93.71751,9.17516,93.71751,9.83053
194,3880.0,93.71751,9.83052,93.71751,9.83053
195,3900.0,93.71751,9.83053,93.71751,9.83053
196,3920.0,93.71751,9.83052,93.71752,9.17518
197,3940.0,93.71752,9.83052,93.71752,9.83053
198,3960.0,93.71751,9.83052,93.71752,9.17517
199,3980.0,94.37288,9.17516,100.92656,9.17517
200,4000.0,105.51418,9.83053,104.85882,10.4859
201,4020.0,104.85881,10.48589,104.85881,10.4859
202,4040.0,104.85881,10.4859,104.85881,10.48591
203,4060.0,104.20345,10.4859,104.20345,10.48591
204,4080.0,104.20345,10.4859,104.20344,10.48591
205,4100.0,104.20345,10.4859,104.20345,10.4859
206,4120.0,104.20345,10.48589,104.20344,10.48591
207,4140.0,104.20345,10.4859,104.20599,10.48591
208,4160.0,104.20344,10.4859,104.20344,10.48591
209,4180.0,104.20345,10.4859,104.20344,10.48591
210,4200.0,103.54809,10.4859,103.54808,10.48591
211,4220.0,103.54809,10.4859,105.51418,10.48591
212,4240.0,105.5142,11.14127,104.85884,11.14128
213,4260.0,104.85883,11.79664,105.5142,11.14128
214,4280.0,104.85883,11.14128,105.5142,11.79665
215,4300.0,104.85883,11.79664,104.20347,11.79666
216,4320.0,104.85883,11.79665,104.85884,12.45202
217,4340.0,104.20347,12.45202,104.20346,12.45203
218,4360.0,104.20347,12.45202,104.20347,12.45203
219,4380.0,104.20347,12.45202,103.54811,12.45203
220,4400.0,103.54811,12.45202,94.37294,9.83054
221,4420.0,71.43503,6.55366,48.49711,3.27684
222,4440.0,18.35033,0.65536,11.14131,1.96611
223,4460.0,14.41813,3.27685,15.72886,3.93224
224,4480.0,15.0735,4.5876,15.72886,4.58761
225,4500.0,15.0735,5.24297,15.0735,5.24298
226,4520.0,15.0735,5.24297,15.0735,5.24298
227,4540.0,15.0735,4.58761,14.41814,4.58762
228,4560.0,14.41814,4.58761,14.41814,3.93226
229,4580.0,14.41815,3.93224,14.41814,3.93225
230,4600.0,14.41814,3.93224,14.41814,3.93225
231,4620.0,14.41814,3.27688,-56.36074,3.27688
232,4640.0,7.86452,2.6215,-2.62134,1.96613
233,4660.0,-3.9321,1.96612,-2.62138,1.96614
234,4680.0,-1.96602,1.96612,-1.31066,1.96614
235,4700.0,-1.31066,1.96613,-1.31066,1.96614
236,4720.0,-1.31066,1.31077,-0.65531,1.31077
237,4740.0,-0.65531,1.31077,-0.65531,1.31077
238,4760.0,-1.31067,1.31076,-1.31067,1.31077
239,4780.0,-1.31067,1.31076,-0.65531,0.65541
240,4800.0,-0.65531,1.31076,-0.65531,0.65541
241,4820.0,-0.65531,0.65539,-0.65531,0.6554
242,4840.0,-0.65531,0.65539,-0.65532,0.6554
243,4860.0,-0.65531,0.65539,-0.65531,0.6554
244,4880.0,-0.65531,0.65539,-0.65531,3.9999999998486e-05
245,4900.0,-0.65531,3.0000000002417e-05,-0.65531,0.6554
246,4920.0,-0.6553,3.0000000002417e-05,5.89832,0.65539
247,4940.0,41.28795,1.96611,49.80777,1.96613
248,4960.0,48.49706,2.62148,47.84168,2.6215
249,4980.0,47.84169,3.27685,47.84168,3.27687
250,5000.0,47.84168,3.93223,47.84168,3.27688
251,5020.0,47.84168,3.27687,47.84168,3.27688
252,5040.0,47.84168,3.27687,47.18632,3.27688
253,5060.0,47.18632,3.27687,47.18632,3.93224
254,5080.0,47.18632,3.27687,47.18632,3.27688
255,5100.0,47.18632,3.27687,47.18632,3.27688
256,5120.0,47.18632,3.27687,46.53097,3.27688
257,5140.0,47.18633,3.27686,40.63269,1.96614
258,5160.0,34.07902,1.96613,33.42365,1.96614
259,5180.0,34.07902,2.6215,34.07902,1.96615
260,5200.0,34.07901,1.96614,34.07901,2.62151
261,5220.0,34.07901,1.96614,33.42365,2.62151
262,5240.0,33.42365,1.96615,33.42366,1.96615
263,5260.0,33.42366,1.96614,33.42366,1.96615
264,5280.0,33.42366,1.96614,33.42366,1.96615
265,5300.0,33.42366,1.96614,33.42366,1.96615
266,5320.0,33.42366,1.96614,33.42366,1.96615
267,5340.0,33.42367,1.96614,32.7683,1.31079
268,5360.0,32.76831,1.31078,32.7683,1.31079
269,5380.0,33.42366,1.31077,33.42365,1.31078
270,5400.0,34.07901,1.31077,35.38973,1.31077
271,5420.0,48.49701,1.96612,60.94904,1.96613
272,5440.0,62.25982,2.62149,60.94908,3.27686
273,5460.0,60.94908,3.27686,60.94908,3.27687
274,5480.0,60.29372,3.27687,60.29371,3.93224
275,5500.0,60.29372,3.27687,60.29372,3.27688
276,5520.0,60.29372,3.27687,60.29371,3.27688
277,5540.0,60.29372,3.27687,60.29372,3.27688
278,5560.0,60.29372,3.27687,60.29371,3.27687
279,5580.0,60.29372,3.27686,60.29372,3.27687
280,5600.0,60.29372,3.27687,60.29372,2.62152
281,5620.0,60.29372,2.6215,61.60445,2.6215
282,5640.0,72.09031,3.93222,77.3333,3.93224
283,5660.0,77.33331,4.58759,76.02258,4.5876
284,5680.0,76.02258,4.5876,76.02258,4.5876
285,5700.0,76.67794,4.5876,76.67794,4.58761
286,5720.0,76.02258,4.5876,76.67794,4.58761
287,5740.0,76.67794,4.5876,76.02259,4.58761
288,5760.0,76.02259,3.93224,76.02258,4.5876
289,5780.0,76.02259,3.93224,76.02259,3.93225
290,5800.0,76.02259,4.5876,76.02259,3.93225
291,5820.0,76.02259,3.93224,76.02259,3.93225
292,5840.0,76.0226,3.93223,76.0226,3.93225
293,5860.0,76.0226,3.93224,76.0226,3.27688
294,5880.0,75.36724,3.27687,79.29943,3.27688
295,5900.0,83.23165,3.27687,83.23165,3.27688
296,5920.0,82.57628,3.27688,82.57629,3.27689
297,5940.0,82.57629,3.27688,82.57629,3.27689
298,5960.0,82.57629,3.27688,82.57629,3.2769
299,5980.0,81.92093,3.27688,82.57629,3.27689
300,6000.0,81.92093,3.27688,81.92093,3.2769
301,6020.0,81.92093,3.27689,82.5763,3.2769
302,6040.0,89.78534,3.27689,95.02831,3.93226
303,6060.0,95.68368,3.93225,95.68367,3.93227
304,6080.0,95.68367,4.58762,96.99438,4.58763
305,6100.0,96.99438,3.93226,96.99438,3.93227
306,6120.0,97.64974,4.58762,97.64973,4.58763
307,6140.0,96.99437,4.58762,97.64973,4.58764
308,6160.0,97.64972,4.58762,97.64973,4.58764
309,6180.0,97.64973,4.58762,97.64972,4.58764
310,6200.0,97.64972,4.58762,97.64972,4.58764
311,6220.0,97.64972,4.58762,96.99436,4.58763
312,6240.0,101.58191,3.93226,112.06782,5.24299
313,6260.0,116.65545,5.89835,116.00009,5.89836
314,6280.0,115.34471,6.55372,114.68936,7.2091
315,6300.0,114.68935,6.55373,114.68935,6.55374
316,6320.0,114.68935,6.55374,114.68935,6.55374
317,6340.0,114.68935,6.55373,114.68934,6.55374
318,6360.0,114.68934,6.55373,114.03398,6.55374
319,6380.0,114.03398,7.20909,114.03398,7.20911
320,6400.0,114.03397,6.55374,114.03397,7.20911
321,6420.0,114.03396,7.2091,114.03397,7.20912
322,6440.0,113.37861,7.20911,114.03396,7.20912
323,6460.0,113.37861,6.55374,115.34471,7.20911
324,6480.0,119.27694,7.2091,119.27694,7.20912
325,6500.0,118.62157,7.86447,118.62156,7.86449
326,6520.0,118.62157,8.51985,117.9662,8.51986
327,6540.0,117.9662,8.51986,117.9662,9.17523
328,6560.0,117.31083,9.17523,117.96619,9.17524
329,6580.0,117.31082,9.83059,117.31083,9.8306
330,6600.0,117.31083,9.8306,116.65546,9.83061
331,6620.0,116.0001,10.48597,117.31082,10.48598
332,6640.0,116.65547,9.83061,110.75714,7.86449
333,6660.0,89.78532,3.27688,64.88129,-0.65531
334,6680.0,46.53096,-1.96605,39.32192,5.9999999997729e-05
335,6700.0,39.97729,0.65543,39.97729,1.31081
336,6720.0,39.97729,1.31081,39.97729,1.96618
337,6740.0,39.97729,1.96618,39.97729,1.96619
338,6760.0,39.9773,1.31082,39.32194,1.31083
339,6780.0,39.32194,1.31082,39.32193,1.31083
340,6800.0,39.32194,0.65546000000001,39.32194,0.65546
341,6820.0,39.32194,0.65545,39.32194,0.65546
342,6840.0,39.32194,0.65545,39.32193,9.0000000000146e-05
343,6860.0,39.9773,7.0000000000903e-05,27.5254,-1.96602
344,6880.0,5.24299,-3.27678,3.2768,-3.27676
345,6900.0,3.93216,-3.27677,4.58753,-3.27676
346,6920.0,4.58753,-3.27677,4.58753,-3.27675
347,6940.0,4.58753,-3.27676,4.58753,-3.27676
348,6960.0,4.58753,-3.27677,4.58753,-3.93212
349,6980.0,4.58753,-3.93214,5.24289,-3.93213
350,7000.0,4.58753,-4.5875,4.58753,-4.5875
351,7020.0,5.24288,-4.58751,5.24288,-4.5875
352,7040.0,5.24288,-5.24287,5.24288,-5.24287
353,7060.0,5.89824,-5.24288,5.24288,-5.24287
354,7080.0,5.24288,-5.24288,5.89824,-5.24287
355,7100.0,5.24288,-5.24288,5.24289,-5.89824
356,7120.0,17.69483,-5.24289,35.38969,-5.24288
357,7140.0,36.04508,-4.58752,35.3897,-4.58751
358,7160.0,35.3897,-3.93216,35.3897,-4.58751
359,7180.0,35.3897,-3.93216,35.3897,-4.58751
360,7200.0,35.3897,-3.93216,35.3897,-4.58752
361,7220.0,38.66651,-5.24288,54.39526,-4.58753
362,7240.0,63.57047,-4.58754,63.5705,-3.93217
363,7260.0,62.25976,-3.93218,61.6044,-3.93216
364,7280.0,61.6044,-3.93217,60.94904,-3.2768
365,7300.0,60.94904,-3.93217,61.6044,-3.93216
366,7320.0,60.94904,-3.27681,60.94904,-3.2768
367,7340.0,60.94904,-3.27681,60.94904,-3.93217
368,7360.0,60.94905,-3.93218,60.29368,-3.27681
369,7380.0,60.29369,-3.93218,60.29369,-3.93216
370,7400.0,60.29369,-3.93217,60.29369,-3.93217
371,7420.0,59.63833,-4.58754,59.63833,-3.93217
372,7440.0,59.63833,-3.93218,59.63833,-4.58753
373,7460.0,59.63833,-4.58754,59.63833,-4.58753
374,7480.0,59.63833,-4.58754,59.63833,-4.58753
375,7500.0,58.98297,-4.58754,58.98297,-5.2429
376,7520.0,61.60443,-5.24291,74.0564,-5.2429
377,7540.0,80.61013,-4.58754,79.95479,-4.58753
378,7560.0,79.29942,-3.93217,79.29941,-3.93216
379,7580.0,79.29942,-3.93217,79.29941,-3.93215
380,7600.0,79.29942,-3.93216,79.29942,-3.93215
381,7620.0,78.64406,-3.93216,79.29942,-3.93214
382,7640.0,78.64406,-4.58752,79.29942,-3.93215
383,7660.0,78.64406,-3.93216,78.64406,-3.93215
384,7680.0,78.64406,-3.93216,78.64406,-3.93215
385,7700.0,78.64406,-3.93216,79.29942,-3.93215
386,7720.0,79.95478,-4.58753,87.1638,-3.93215
387,7740.0,91.7514,-3.93216,91.7514,-3.27679
388,7760.0,91.09603,-3.27679,91.75138,-3.27678
389,7780.0,91.75138,-3.27679,91.75138,-3.27679
390,7800.0,91.09602,-3.2768,91.75138,-3.93214
391,7820.0,91.75138,-3.93215,91.75138,-3.27678
392,7840.0,91.75138,-3.93216,91.75138,-3.27679
393,7860.0,91.75138,-3.93216,91.75139,-3.27679
394,7880.0,91.75138,-3.93216,91.75138,-3.93215
395,7900.0,98.30505,-3.93216,104.85875,-3.27678
396,7920.0,104.85877,-2.62143,104.20339,-1.96605
397,7940.0,104.20339,-1.96606,104.20339,-1.96604
398,7960.0,104.20339,-1.96605,104.20339,-1.96604
399,7980.0,104.20338,-1.96605,104.20338,-1.96604
400,8000.0,104.20339,-1.96604,104.20338,-1.31068
401,8020.0,104.20339,-1.96605,104.85874,-1.96603
402,8040.0,104.20339,-1.96604,104.20339,-1.96603
403,8060.0,104.85874,-1.31068,104.20339,-1.31067
404,8080.0,104.85875,-1.31068,104.20339,-1.31067
405,8100.0,104.85875,-1.96605,112.72317,-1.31068
406,8120.0,120.58764,-0.6553,121.24303,7.0000000000903e-05
407,8140.0,119.27693,0.65543,119.27692,1.3108
408,8160.0,119.27692,0.65543,119.27691,1.3108
409,8180.0,118.62156,1.3108,118.62156,1.3108
410,8200.0,118.62155,1.3108,118.62155,1.31081
411,8220.0,118.62155,1.96617,118.62155,1.96617
412,8240.0,117.96619,1.96617,118.62154,1.96618
413,8260.0,117.96619,1.96617,117.96619,1.96618
414,8280.0,117.96619,1.96617,117.96619,1.31081
415,8300.0,108.79102,-1.31069,87.16382,-3.93216
416,8320.0,62.91517,-5.89827,41.94339,-9.17509
417,8340.0,31.45754,-9.1751,34.079,-7.86434
418,8360.0,36.0451,-6.55361,36.0451,-5.89823
419,8380.0,35.38973,-5.24287,36.0451,-5.24285
420,8400.0,35.38974,-4.5875,35.38973,-4.58749
421,8420.0,35.38974,-4.5875,35.38972,-5.24285
422,8440.0,35.38973,-5.24286,35.38972,-5.24285
423,8460.0,36.04508,-5.89823,36.04507,-5.24287
424,8480.0,36.70044,-5.89823,36.70043,-5.89823
425,8500.0,35.38971,-6.55361,16.3842,-9.17507
426,8520.0,6.55367,-10.48581,6.55366,-9.17507
427,8540.0,7.20903,-9.17507,7.86439,-8.5197
428,8560.0,7.86439,-8.5197,7.86439,-8.5197
429,8580.0,7.86439,-8.5197,7.86439,-8.51969
430,8600.0,7.86439,-8.51971,7.8644,-9.17506
431,8620.0,7.8644,-8.51971,8.51976,-8.5197
432,8640.0,8.51976,-9.17507,8.51976,-9.17506
433,8660.0,8.51976,-9.17507,8.51976,-9.17506
434,8680.0,8.51976,-9.17507,8.51976,-9.17507
435,8700.0,7.8644,-9.83044,8.51976,-9.17507
436,8720.0,8.51976,-9.83044,8.51976,-9.83043
437,8740.0,8.51976,-9.83044,7.8644,-9.83043
438,8760.0,8.51977,-10.48581,8.51976,-9.83044
439,8780.0,8.51977,-10.48581,8.51977,-10.4858
440,8800.0,8.51977,-10.48581,13.10733,-11.14117
441,8820.0,17.03954,-11.14119,17.03954,-10.48582
442,8840.0,16.38418,-10.48582,17.03954,-10.48581
443,8860.0,16.38418,-10.48582,17.03954,-10.48581
444,8880.0,17.03955,-10.48582,17.03955,-10.48582
445,8900.0,16.38419,-11.14118,17.03955,-10.48581
446,8920.0,17.03955,-11.14118,17.03955,-10.48582
447,8940.0,17.03955,-11.14119,17.03955,-11.14117
448,8960.0,16.3842,-11.14119,16.38419,-11.14118
