,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65537,-0.65535000000001,-0.65536,0.65536
2,40.0,-0.65537,9.9999999960687e-06,-1.0000000003174e-05,1.31072
3,60.0,-1.0000000003174e-05,0.65535999999999,0.0,1.31072
4,80.0,-1.0000000003174e-05,1.31072,-1.0000000003174e-05,1.31072
5,100.0,-0.65537,0.65535999999999,-0.65537,0.65536
6,120.0,-0.65537,0.65535999999999,-0.65537,0.65536
7,140.0,-1.31074,0.0,-0.65538,0.65536
8,160.0,-1.31074,0.65535999999999,-1.31074,1.31072
9,180.0,-1.31074,0.65537,-1.31074,1.31072
10,200.0,-1.31075,1.31072,-1.31073,1.96609
11,220.0,-1.31074,1.31072,-1.31074,1.96608
12,240.0,-1.96611,1.96608,-1.9661,2.62143
13,260.0,-1.96611,1.96608,-1.9661,2.62143
14,280.0,-2.62148,2.62143,-1.96611,2.62144
15,300.0,-2.62147,2.62144,-2.62147,3.27679
16,320.0,-2.62148,3.2768,-3.27683,4.58751
17,340.0,-3.27683,3.93216,-3.27682,4.58752
18,360.0,-3.27683,4.58752,-3.27682,5.24287
19,380.0,-3.93219,4.58751,-3.93219,5.24287
20,400.0,-4.58755,5.24288,-3.93218,5.24287
21,420.0,-4.58755,5.24287,-5.24291,5.89823
22,440.0,-5.89827,5.24287,-6.55363,5.24287
23,460.0,-7.86436,5.24287,-9.17509,4.58751
24,480.0,-10.48582,3.27679,-11.79655,3.27679
25,500.0,-13.10729,2.62144,-14.41802,3.2768
26,520.0,-16.38411,1.96608,-17.03948,1.96608
27,540.0,-19.00558,1.31073,-19.66094,1.31073
28,560.0,-18.35021,2.62145,-9.83044,5.89825
29,580.0,-4.58749,7.86434,-5.24286,9.17505
30,600.0,-6.5536,9.17505,-6.5536,9.83041
31,620.0,-5.89824,8.51969,-5.89823,9.83041
32,640.0,-5.24288,9.17505,-5.24287,9.17505
33,660.0,-5.24287,9.17507,-4.58751,9.17506
34,680.0,-4.58751,8.51971,-4.58751,9.17507
35,700.0,-5.24287,8.51971,-5.24286,8.51971
36,720.0,-5.89824,7.86436,-5.89824,7.86435
37,740.0,-7.20898,7.209,-7.20897,6.55365
38,760.0,-7.86434,5.24293,-7.20898,5.24293
39,780.0,2.62153,6.55368,17.69499,9.17514
40,800.0,27.52549,11.14123,28.83623,13.1073
41,820.0,27.52804,13.1073,27.5255,13.10729
42,840.0,28.18086,12.45194,28.18087,13.1073
43,860.0,28.18086,13.1073,28.83623,13.76265
44,880.0,28.18086,13.10729,28.83622,13.76265
45,900.0,27.5255,13.76266,28.18087,13.76265
46,920.0,28.18086,13.1073,28.18086,13.76265
47,940.0,26.87013,13.1073,27.5255,13.10729
48,960.0,26.87014,13.10729,26.87014,13.10729
49,980.0,25.5594,12.45193,20.97185,12.45193
50,1000.0,18.35037,11.14121,18.35037,12.45192
51,1020.0,17.69501,12.45192,17.69502,12.45191
52,1040.0,17.69501,11.79656,17.69502,11.79656
53,1060.0,17.69502,10.48584,18.35039,11.14119
54,1080.0,18.35039,10.48583,18.35039,11.1412
55,1100.0,18.35039,10.48584,19.00576,11.14119
56,1120.0,18.3504,10.48583,19.66113,10.48583
57,1140.0,19.00576,9.83047,19.00577,10.48583
58,1160.0,19.00576,9.17511,23.59333,12.45193
59,1180.0,39.32214,15.72876,53.08489,20.3163
60,1200.0,57.01712,20.97167,55.05103,22.28237
61,1220.0,53.08493,22.28237,53.74029,22.28237
62,1240.0,53.73889,21.62701,53.08494,22.28236
63,1260.0,53.74029,21.62701,53.74029,22.28236
64,1280.0,53.08492,21.627,53.74028,22.28235
65,1300.0,53.08492,20.97164,53.74028,21.62699
66,1320.0,53.08491,20.97164,53.08491,20.97163
67,1340.0,53.08491,20.31627,53.08491,19.66091
68,1360.0,52.42954,19.66092,52.42954,20.31627
69,1380.0,51.77417,19.00555,51.11881,19.00555
70,1400.0,51.77416,17.69484,51.77416,17.69484
71,1420.0,52.42951,17.03949,52.42952,17.03948
72,1440.0,53.08487,16.38413,53.08488,16.38414
73,1460.0,53.74023,15.72878,53.74024,15.72877
74,1480.0,38.66685,10.4859,5.89857,4.58766
75,1500.0,-22.93757,-3.93198,-39.97712,-6.55341
76,1520.0,-44.56473,-5.24271,-42.59864,-2.62129
77,1540.0,-43.254,-1.96593,-42.59863,-1.96595
78,1560.0,-41.94328,-2.6213,-41.94328,-2.62131
79,1580.0,-41.28793,-3.27667,-41.28792,-3.93204
80,1600.0,-40.63257,-4.58739,-39.9772,-5.24276
81,1620.0,-39.9772,-5.89812,-39.32184,-5.89812
82,1640.0,-39.32185,-6.55348,-38.66648,-6.55349
83,1660.0,-38.66648,-7.20885,-38.66647,-7.20885
84,1680.0,-38.01112,-7.86421,-37.35575,-6.5535
85,1700.0,-36.70039,-7.20885,-36.70038,-6.5535
86,1720.0,-36.04502,-6.55349,-29.49132,-3.27671
87,1740.0,-19.66083,-2.62134,-14.41789,-1.31062
88,1760.0,-14.41789,-1.96599,-15.07325,-1.31063
89,1780.0,-15.07326,-1.96599,-15.07325,-1.96599
90,1800.0,-15.07326,-2.62134,-15.07326,-2.62135
91,1820.0,-15.07327,-3.93206,-15.07326,-3.93207
92,1840.0,-15.72862,-4.58742,-15.07326,-3.93123
93,1860.0,-15.07327,-4.58742,-15.07326,-3.93206
94,1880.0,-15.07327,-4.58742,-15.07326,-3.93207
95,1900.0,-15.07326,-4.58742,-9.83032,-1.31062
96,1920.0,0.65555999999999,0.65547,10.48607,3.93228
97,1940.0,17.03974,4.58764,16.38438,5.89835
98,1960.0,15.729,5.24299,16.38437,5.24299
99,1980.0,16.38437,5.243,16.38437,5.24299
100,2000.0,16.38437,3.93227,15.72901,4.58763
101,2020.0,15.729,3.93227,15.07365,4.58763
102,2040.0,14.41828,3.93227,14.41829,4.58763
103,2060.0,14.41828,4.58763,14.41828,5.24299
104,2080.0,14.41828,5.24299,14.41829,5.24299
105,2100.0,14.41828,5.24299,14.41829,5.89835
106,2120.0,15.07364,5.243,15.72901,5.243
107,2140.0,15.729,5.24301,16.38438,6.55373
108,2160.0,16.38437,5.89837,16.38437,6.55373
109,2180.0,16.38437,6.55373,16.38437,6.55374
110,2200.0,16.38436,5.89838,16.38437,5.89838
111,2220.0,16.38436,5.89838,15.72901,5.89838
112,2240.0,17.03974,5.89839,26.21491,8.51985
113,2260.0,39.97761,10.48595,47.84203,13.76275
114,2280.0,49.15276,13.10739,47.84203,14.4181
115,2300.0,47.84202,13.76274,47.84203,13.10738
116,2320.0,47.84203,12.45203,47.84203,11.79666
117,2340.0,47.18666,11.79667,47.18667,11.79741
118,2360.0,47.18666,11.79667,46.5313,12.45203
119,2380.0,47.18665,11.14131,46.53129,11.79667
120,2400.0,46.53129,10.48595,45.87593,11.14131
121,2420.0,45.87592,10.48595,45.22056,10.48595
122,2440.0,44.56518,9.8306,38.01152,9.17523
123,2460.0,34.0793,8.51987,33.42394,9.83058
124,2480.0,33.42393,10.48594,32.76858,10.48593
125,2500.0,32.76857,10.48594,33.42394,10.48594
126,2520.0,33.42393,9.83057,33.42394,10.48593
127,2540.0,32.76857,9.83057,33.42394,10.48593
128,2560.0,33.42394,9.83058,33.42394,10.48593
129,2580.0,32.76858,9.83058,33.42394,9.83057
130,2600.0,27.52567,5.89842,0.00037999999999982,-1.96587
131,2620.0,-26.21429,-10.48551,-39.32161,-15.07301
132,2640.0,-40.63239,-14.41767,-40.63239,-11.79625
133,2660.0,-42.59847,-12.45161,-43.25385,-13.10697
134,2680.0,-43.90922,-15.07305,-44.56459,-15.07305
135,2700.0,-45.87534,-17.03912,-46.5307,-17.69449
136,2720.0,-47.18608,-19.00521,-47.84145,-18.34985
137,2740.0,-47.84148,-19.00521,-48.49684,-18.34985
138,2760.0,-49.15223,-19.00521,-49.15224,-15.72842
139,2780.0,-49.80762,-14.41771,-49.15227,-13.76236
140,2800.0,-49.80764,-13.76237,-49.15228,-13.10702
141,2820.0,-48.49692,-13.76237,-48.49691,-13.10702
142,2840.0,-47.84155,-13.76237,-47.18618,-14.41774
143,2860.0,-47.18618,-14.41773,-46.53082,-14.41774
144,2880.0,-46.53081,-15.07309,-45.87545,-15.07309
145,2900.0,-45.22009,-15.72845,-45.22008,-15.72845
146,2920.0,-45.22008,-15.72845,-44.56471,-15.72846
147,2940.0,-44.56471,-16.38381,-49.80763,-15.07308
148,2960.0,-53.08448,-15.07308,-53.08449,-14.41772
149,2980.0,-53.0845,-14.41772,-52.42914,-13.76238
150,3000.0,-51.77377,-14.41773,-51.11841,-13.76238
151,3020.0,-51.11841,-13.76238,-51.11841,-13.76238
152,3040.0,-49.15232,-13.76237,-33.42353,-5.89807
153,3060.0,-3.93199,2.62164,20.97199,9.83062
154,3080.0,35.39009,11.79671,36.70083,13.1074
155,3100.0,34.07935,13.76275,33.42398,13.10738
156,3120.0,32.11323,11.1413,30.8025,10.48594
157,3140.0,28.83639,8.51985,27.52565,7.86448
158,3160.0,25.55954,5.8984,23.59344,5.24303
159,3180.0,20.97196,3.93231,19.00587,3.27694
160,3200.0,17.69512,1.96622,16.38438,1.9662
161,3220.0,14.41829,1.31085,13.76291,1.31083
162,3240.0,12.45217,0.65548,11.79681,1.31082
163,3260.0,9.83071,1.31083,2.62169,3.2769
164,3280.0,-1.96589,3.2769,-2.62127,5.24297
165,3300.0,-2.62129,5.89832,-2.62128,5.89831
166,3320.0,-1.96594,5.89831,-1.31056,5.89831
167,3340.0,-1.31057,5.89831,0.00016000000000105,7.86439
168,3360.0,0.65553,7.8644,1.3109,8.51975
169,3380.0,1.31092,9.17511,2.62165,9.83047
170,3400.0,2.62166,9.83048,3.9324,10.48584
171,3420.0,5.24313,11.14121,6.55388,11.79656
172,3440.0,7.86461,11.14121,9.17536,11.79657
173,3460.0,10.48609,11.14121,13.10756,11.79657
174,3480.0,14.4183,10.48586,15.07368,9.8305
175,3500.0,14.4183,8.51979,16.3844,8.51978
176,3520.0,17.03977,7.20906,18.35051,7.20906
