,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65538,0.0,5.24298,0.65535
2,40.0,5.89836,1.3107,6.55369,1.96606
3,60.0,5.89831,1.96606,5.8983,1.96606
4,80.0,6.55366,1.3107,7.20902,1.96605
5,100.0,6.55366,1.96606,7.20902,1.96605
6,120.0,7.20902,1.96605,7.20901,2.62141
7,140.0,7.20902,2.62142,7.86436,3.27677
8,160.0,7.209,2.62141,7.86435,3.27677
9,180.0,7.209,3.27677,7.86435,3.27677
10,200.0,7.209,2.62142,7.209,3.27677
11,220.0,6.55364,2.62142,7.86436,3.27677
12,240.0,6.55363,2.62142,7.20898,3.27677
13,260.0,7.20898,3.27678,7.86433,3.27677
14,280.0,7.86434,3.27677,8.5197,3.93213
15,300.0,7.86434,3.27678,8.5197,3.93213
16,320.0,7.86435,3.27678,8.5197,3.93213
17,340.0,7.86434,3.93213,8.51969,4.58749
18,360.0,8.51969,4.58749,8.51969,4.58749
19,380.0,7.86433,3.27677,7.86432,4.58749
20,400.0,7.86432,3.93213,8.51968,3.93213
21,420.0,8.51968,3.93214,8.51968,3.93213
22,440.0,7.86434,3.93213,8.51971,3.93213
23,460.0,8.51973,3.27678,8.51974,3.27678
24,480.0,7.8644,1.96606,8.51977,2.62142
25,500.0,7.86443,1.96607,8.51979,1.96607
26,520.0,7.86445,1.96608,8.5198,1.96607
27,540.0,7.86444,1.96607,8.5198,1.96607
28,560.0,8.5198,1.96607,8.5198,1.96607
29,580.0,8.5198,1.96607,9.17516,1.96607
30,600.0,8.5198,1.31071,8.5198,1.31071
31,620.0,7.86444,1.31072,2.62149,1.96609
32,640.0,-9.17518,2.62146,-10.48592,3.27681
33,660.0,-8.51982,2.62146,-7.86446,3.27681
34,680.0,-8.51983,2.62145,-7.86447,2.62145
35,700.0,-7.86192,2.62144,-7.86448,2.62144
36,720.0,-7.86447,1.96608,-7.86448,3.2768
37,740.0,-8.51984,2.62144,-7.8645,3.27679
38,760.0,-8.51986,2.62143,-8.51987,3.27679
39,780.0,-8.51986,2.62144,-8.51986,2.62143
40,800.0,-9.17522,2.62144,-9.17523,2.62143
41,820.0,-9.17522,2.62144,-8.51987,2.62143
42,840.0,-9.17522,2.62144,-8.51987,2.62143
43,860.0,-8.51987,2.62144,-8.51988,2.62143
44,880.0,-8.51988,2.62143,-8.51989,3.27679
45,900.0,-8.51988,1.96608,-7.86453,2.62143
46,920.0,-7.86453,1.96607,-2.62158,2.62142
47,940.0,3.93218,3.27677,7.20903,3.93211
48,960.0,7.209,3.93211,7.20898,3.93211
49,980.0,6.55362,3.93211,7.20898,3.93211
50,1000.0,7.20899,3.27675,7.20899,3.27675
51,1020.0,7.209,3.27676,7.209,3.27676
52,1040.0,7.20901,2.62141,6.55365,3.27676
53,1060.0,6.55366,2.62141,-57.01625,2.62141
54,1080.0,5.89831,2.62141,5.89831,2.62141
55,1100.0,5.24295,2.62141,5.89831,2.62142
56,1120.0,4.5876,2.62142,5.24296,2.62142
57,1140.0,4.58761,2.62143,4.5876,3.27678
58,1160.0,3.93225,3.27678,3.93225,3.27678
59,1180.0,3.93224,3.27678,9.17522,3.93213
60,1200.0,15.729,4.58749,20.31657,5.89818
61,1220.0,19.66118,6.55355,20.31651,6.55354
62,1240.0,19.66114,6.55355,19.66112,7.2089
63,1260.0,20.31649,7.2089,27.52555,8.5196
64,1280.0,31.45779,9.17496,32.11309,11.14101
65,1300.0,30.14695,11.79637,30.14692,11.79636
66,1320.0,30.14691,11.79636,30.14688,13.10707
67,1340.0,30.14686,13.10707,30.80221,13.76242
68,1360.0,30.14685,13.10706,30.14684,13.76242
69,1380.0,30.14683,13.10706,30.14683,13.76242
70,1400.0,30.14684,13.10707,30.14684,13.10707
71,1420.0,30.14684,12.45172,30.8022,12.45172
72,1440.0,30.80221,12.45173,31.45757,12.45174
73,1460.0,31.45758,11.79639,34.73442,12.45174
74,1480.0,37.35592,12.45174,39.322,13.10711
75,1500.0,39.32199,13.10712,39.97735,13.10712
76,1520.0,39.97735,13.10713,41.28808,13.10714
77,1540.0,41.94343,13.10715,43.25415,13.76252
78,1560.0,44.56487,13.76253,45.22024,14.4179
79,1580.0,47.84168,14.41791,58.98298,15.07327
80,1600.0,67.50285,15.72865,70.77966,17.69473
81,1620.0,70.77963,17.69475,70.77961,17.69475
82,1640.0,70.77961,17.69475,71.43496,18.35011
83,1660.0,72.09033,17.69476,72.09032,18.35012
84,1680.0,71.43496,17.69477,72.09031,18.35013
85,1700.0,71.43495,17.69477,72.0903,18.35013
86,1720.0,71.43494,17.69478,72.74566,18.35014
87,1740.0,72.0903,17.69478,72.09029,17.69478
88,1760.0,72.09031,17.69478,72.09031,17.69478
89,1780.0,72.09031,17.03942,77.33327,17.69478
90,1800.0,79.95481,17.69478,81.26552,19.00549
91,1820.0,80.61015,17.69477,80.61015,18.35012
92,1840.0,80.61017,17.69476,81.26553,17.69476
93,1860.0,-57.67077,17.03939,80.61019,17.69473
94,1880.0,80.61021,17.69474,81.26556,17.69474
95,1900.0,80.61021,17.03938,80.6102,17.69474
96,1920.0,80.61021,17.03938,81.26556,17.03937
97,1940.0,80.6102,17.03938,80.6102,17.03937
98,1960.0,81.26556,17.03936,81.26555,17.69472
99,1980.0,80.61019,17.03936,84.54239,17.69473
100,2000.0,95.02841,18.35011,102.23752,20.31618
101,2020.0,100.92675,20.31617,100.27135,20.97155
102,2040.0,99.61599,20.31619,100.27135,20.31617
103,2060.0,99.61599,20.31619,100.27134,20.97155
104,2080.0,99.61598,20.31619,100.27133,20.31619
105,2100.0,99.61597,20.3162,99.61596,20.31619
106,2120.0,98.96059,20.31619,98.96058,20.3162
107,2140.0,98.30522,20.3162,98.30521,20.3162
108,2160.0,98.30521,19.66085,98.30521,19.66085
109,2180.0,98.30521,19.66084,98.96056,19.66084
110,2200.0,98.3052,19.00548,98.96056,19.00547
111,2220.0,98.30521,19.00547,83.23176,19.00549
112,2240.0,47.18642,17.69475,10.48569,19.66086
113,2260.0,-8.51998,20.31624,-7.86463,21.62694
114,2280.0,-57.67196,22.28228,-5.89856,22.28226
115,2300.0,-6.55393,22.93762,-5.24322,22.93761
116,2320.0,-5.24323,22.28224,-4.58789,22.9376
117,2340.0,-4.58789,22.9376,-4.58791,22.93759
118,2360.0,-4.58792,22.93758,-3.93258,23.59294
119,2380.0,-3.93259,23.59294,-3.93261,24.24829
120,2400.0,-3.93261,24.24829,-3.93264,24.90364
121,2420.0,-3.93263,24.24828,-3.27728,24.90363
122,2440.0,-3.93264,24.24827,-3.27728,24.90363
123,2460.0,0.65492,24.24827,11.14082,24.9036
124,2480.0,15.72841,25.55895,17.03913,25.55894
125,2500.0,15.72839,25.55895,15.72839,26.2143
126,2520.0,15.72838,25.55894,15.72838,25.55895
127,2540.0,15.72838,25.55895,16.38373,26.2143
128,2560.0,15.72838,25.55895,16.38374,25.55894
129,2580.0,15.72838,24.90359,15.72837,24.90358
130,2600.0,15.72837,24.90358,15.72837,24.90358
131,2620.0,15.72838,24.90358,15.72838,24.90358
132,2640.0,22.93745,24.90357,34.07878,26.86964
133,2660.0,39.97712,26.86962,41.28784,26.86963
134,2680.0,40.63248,26.21427,40.63248,26.21427
135,2700.0,39.97712,25.55892,40.63248,26.21428
136,2720.0,39.97713,24.90356,40.63249,25.55892
137,2740.0,40.63249,24.24821,40.63249,24.90356
138,2760.0,40.63249,24.90357,40.63249,24.90357
139,2780.0,40.6325,24.24821,40.6325,24.90357
140,2800.0,40.63251,24.24821,40.63251,24.24822
141,2820.0,40.63253,23.59286,41.28789,24.24821
142,2840.0,40.63254,23.59286,41.2879,23.59286
143,2860.0,46.53089,22.9375,51.11848,22.93749
144,2880.0,51.11848,22.93749,51.11846,22.9375
145,2900.0,51.11846,22.9375,51.11846,22.93749
146,2920.0,51.11847,22.9375,51.77383,22.9375
147,2940.0,51.11849,22.28215,51.77384,22.9375
