,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.0000000003174e-05,1.31073,-0.65535999999999,1.9999999999243e-05
2,40.0,-0.65535,0.65537,-0.65537,9.9999999960687e-06
3,60.0,-0.65535,0.65537,-1.31073,-0.65535
4,80.0,-1.31071,1.0000000003174e-05,-1.31073,9.9999999960687e-06
5,100.0,-1.31071,0.65538,-1.31073,1.9999999999243e-05
6,120.0,-1.96607,0.65537,-1.96609,9.9999999960687e-06
7,140.0,-1.96607,0.65537,-1.96609,-0.65535
8,160.0,-1.96607,1.9999999999243e-05,-1.96609,1.9999999999243e-05
9,180.0,-1.96607,0.65537,-2.62145,-0.65535
10,200.0,-2.62143,0.65537,-1.96609,1.9999999999243e-05
11,220.0,-3.27679,1.0000000003174e-05,-2.62146,-0.65535
12,240.0,-3.2768,1.0000000003174e-05,-3.27682,-1.31071
13,260.0,-3.2768,-0.65535,-3.27681,-1.31071
14,280.0,-3.2768,1.0000000003174e-05,-3.27682,-0.65535
15,300.0,-3.2768,1.0000000003174e-05,-3.93217,-0.65535
16,320.0,-3.93215,1.0000000003174e-05,-3.93217,-0.65536
17,340.0,-3.93215,0.0,-3.93217,-0.65535
18,360.0,-4.58752,1.0000000003174e-05,-4.58753,-0.65535
19,380.0,-5.24287,1.0000000003174e-05,-5.24289,-0.65535
20,400.0,-5.24287,1.0000000003174e-05,-5.89825,-0.65535
21,420.0,-5.24287,1.0000000003174e-05,-5.89825,9.9999999960687e-06
22,440.0,-5.24287,1.0000000003174e-05,-6.5536,9.9999999960687e-06
23,460.0,-5.89823,0.65537,-5.89825,0.65537
24,480.0,-5.89822,1.31073,-5.89825,0.65537
25,500.0,-5.24287,0.65536,-4.58753,0.0
26,520.0,-3.93215,0.65536,-3.93217,0.0
27,540.0,-3.27679,0.65536,-3.27681,0.0
28,560.0,-3.2768,0.65536,-2.62146,0.0
29,580.0,-2.62143,0.65535,-2.62145,-0.65537
30,600.0,-2.62143,-9.9999999960687e-06,-2.62145,-0.65537
31,620.0,-2.62143,-9.9999999960687e-06,-2.62144,-0.65537
32,640.0,-2.62143,-9.9999999960687e-06,-2.62144,-0.65538
33,660.0,-1.96607,-1.9999999999243e-05,-1.96608,-1.31074
34,680.0,-1.96606,-0.65538,-1.96608,-1.96611
35,700.0,-1.96607,-1.96611,-1.96608,-3.27683
36,720.0,-1.96607,-3.27684,-2.62145,-4.58757
37,740.0,-1.96607,-6.55368,-2.62145,-9.17514
38,760.0,-2.62143,-10.48588,-3.2768,-12.45197
39,780.0,-3.27679,-11.79662,-3.27681,-13.10734
40,800.0,-3.93215,-13.10735,-4.58753,-14.41807
41,820.0,-4.58751,-14.41808,-5.24289,-15.7288
42,840.0,-5.24287,-15.72881,-5.24289,-17.6949
43,860.0,-5.24287,-18.35028,-5.89825,-19.66101
44,880.0,-5.89823,-19.66102,-5.89825,-19.66101
45,900.0,-6.55359,-19.00565,-6.5536,-19.00564
46,920.0,-6.55359,-18.35028,-7.20897,-19.00564
47,940.0,-7.20895,-18.35028,-7.20897,-18.35028
48,960.0,-7.20896,-18.35028,-7.86433,-18.35028
49,980.0,-7.20895,-18.35028,-7.86433,-19.661
50,1000.0,-1.31066,-17.03959,14.41816,-15.72889
51,1020.0,17.03971,-15.72889,14.41821,-15.72887
52,1040.0,14.41822,-13.76278,14.41821,-14.41813
53,1060.0,14.41823,-13.10741,14.41821,-13.76276
54,1080.0,14.42078,-12.45204,14.41821,-13.1074
55,1100.0,14.41823,-11.79667,13.76285,-11.79667
56,1120.0,14.41823,-11.14131,13.76285,-11.79667
57,1140.0,13.76287,-11.14131,13.76285,-11.79667
58,1160.0,13.76287,-11.14131,13.1075,-11.14131
59,1180.0,13.10751,-10.48594,13.1075,-11.1402
60,1200.0,13.10752,-9.83058,12.45214,-10.48594
61,1220.0,12.45216,-9.17522,18.35043,-6.55376
62,1240.0,20.31659,-4.58767,18.35049,-5.24302
63,1260.0,19.00585,-3.27693,19.00584,-3.27692
64,1280.0,19.00585,-2.62155,19.6612,-3.27692
65,1300.0,20.31658,-2.62156,20.31655,-2.62155
66,1320.0,20.97193,-1.96619,20.97191,-2.62155
67,1340.0,21.62729,-1.96619,20.97191,-2.62154
68,1360.0,21.62729,-1.96619,21.62727,-2.62155
69,1380.0,22.28264,-1.31083,21.62727,-1.96618
70,1400.0,21.62729,-1.31082,21.62727,-1.96619
71,1420.0,29.49168,3.27669,41.94367,7.86424
72,1440.0,44.56521,9.17497,43.90983,9.17498
73,1460.0,43.90984,10.48571,43.90981,10.48572
74,1480.0,43.90983,11.14109,43.90981,11.14109
75,1500.0,43.90983,12.45182,43.90981,12.45182
76,1520.0,43.25447,13.10719,43.25445,13.1072
77,1540.0,43.25447,14.41792,43.25445,13.76257
78,1560.0,43.25447,14.41793,43.25445,14.41793
79,1580.0,43.25447,15.07329,43.25445,14.41794
80,1600.0,43.25447,15.72866,47.18665,16.38401
81,1620.0,60.29404,20.31616,64.88165,20.31615
82,1640.0,64.22631,22.28225,63.57091,22.28228
83,1660.0,63.57092,23.59301,62.91555,23.59301
84,1680.0,62.91557,24.24838,63.57091,23.59301
85,1700.0,62.91556,24.24838,62.91554,24.24839
86,1720.0,62.91556,24.90374,62.26018,24.24839
87,1740.0,62.2602,25.55911,62.26018,24.90375
88,1760.0,62.2602,25.55912,62.26018,24.90376
89,1780.0,62.2602,25.55912,61.60482,25.55913
90,1800.0,61.60483,26.21449,61.60481,25.55913
91,1820.0,61.60483,26.21449,60.94946,26.21449
92,1840.0,60.94947,26.86986,60.94945,26.2145
93,1860.0,60.29411,26.86986,60.29409,25.55913
94,1880.0,60.29411,26.86985,60.29409,26.21449
95,1900.0,59.63875,26.21449,64.88166,27.5252
96,1920.0,79.95516,33.42343,85.19818,34.07878
97,1940.0,83.23211,34.73415,82.57671,35.38955
98,1960.0,82.57673,36.70028,82.57671,36.04493
99,1980.0,81.92136,36.70029,81.92134,36.04494
100,2000.0,81.92136,37.35566,82.57671,36.04494
101,2020.0,82.57672,36.7003,82.5767,35.38958
102,2040.0,83.23208,36.7003,83.88742,35.38958
103,2060.0,84.54279,36.04494,85.19813,35.38957
104,2080.0,85.85351,36.04493,85.85349,34.7342
105,2100.0,86.50886,35.38956,87.1642,34.7342
106,2120.0,87.16422,34.7342,87.16421,34.07884
107,2140.0,87.81958,34.07884,89.78567,34.7342
108,2160.0,-56.35953,36.70029,91.75181,36.70031
109,2180.0,91.75182,38.6664,91.7518,38.66642
110,2200.0,92.40718,39.32177,92.40717,39.32178
111,2220.0,92.40719,40.6325,92.40717,39.97715
112,2240.0,92.40718,40.63251,93.06253,39.97715
113,2260.0,93.06253,41.28787,93.06252,40.63251
114,2280.0,93.06254,41.28788,92.40716,40.63252
115,2300.0,92.40717,41.94324,92.40715,41.28788
116,2320.0,92.40718,41.94324,92.40716,39.97716
117,2340.0,92.40718,39.97714,92.40716,39.97715
118,2360.0,91.75182,41.28788,91.7518,39.97715
119,2380.0,91.75182,39.32178,85.19812,34.07887
120,2400.0,59.63872,22.93767,26.21489,9.17502
121,2420.0,-3.27668,-7.0000000000903e-05,-11.14118,1.31067
122,2440.0,-8.5197,3.93214,-9.17508,4.58752
123,2460.0,-9.17506,6.55361,-8.51972,7.20899
124,2480.0,-8.5197,7.86436,-8.51973,6.55364
125,2500.0,-7.86434,7.209,-7.86437,6.55363
126,2520.0,-7.86435,7.209,-8.51972,6.55363
127,2540.0,-7.86434,7.209,-8.51972,5.89827
128,2560.0,-8.5197,5.24291,-7.86436,4.58754
129,2580.0,-11.79652,1.31071,-22.93777,-4.58757
130,2600.0,-25.55925,-3.27685,-24.90391,-2.62148
131,2620.0,-25.55925,-1.31075,-25.55927,-1.31074
132,2640.0,-25.55925,-9.9999999960687e-06,-25.55927,-0.65537
133,2660.0,-25.55925,0.0,-25.55926,-0.65536
134,2680.0,-25.55924,0.65535,-25.55926,0.0
135,2700.0,-25.55924,0.65536,-25.55926,0.0
136,2720.0,-25.55924,0.65536,-25.55926,0.0
137,2740.0,-25.55924,0.65536,-26.21461,0.0
138,2760.0,-26.2146,1.31072,-26.21461,0.65537
139,2780.0,-26.21459,1.31073,-26.86997,1.31074
140,2800.0,-26.86995,1.96609,-26.86997,1.31073
141,2820.0,-26.21459,1.31073,-26.2146,1.31072
142,2840.0,-17.69483,4.58752,-4.58748,7.20896
143,2860.0,-0.65522,7.86432,0.00012000000000256,7.86433
144,2880.0,0.00014000000000181,8.5197,0.65548,8.5197
145,2900.0,1.31086,9.17507,1.31083,7.86435
146,2920.0,1.96621,7.86434,1.9662,7.20899
147,2940.0,1.31086,8.51971,1.9662,7.86435
148,2960.0,1.96622,8.51971,1.9662,8.51972
149,2980.0,2.62158,9.17508,2.62156,8.51972
150,3000.0,2.62158,9.17508,2.62157,8.51971
151,3020.0,3.27694,8.51971,5.89839,8.5197
152,3040.0,20.31649,13.76257,28.18094,15.0733
