,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-11.14121,5.000000000166e-05,-25.55926,0.65548
2,40.0,-28.83613,9.9999999996214e-05,-26.21465,1.96618
3,60.0,-25.55928,2.62154,-26.87002,3.27691
4,80.0,-26.21467,2.62154,-26.21467,3.2769
5,100.0,-26.87003,1.96618,-26.21468,2.62154
6,120.0,-26.21468,1.96617,-26.87005,2.62154
7,140.0,-26.21469,2.62153,-26.21469,3.2769
8,160.0,-26.21469,3.2769,-26.21469,3.93226
9,180.0,-26.21469,3.27689,-26.21469,3.93226
10,200.0,-26.21469,3.2769,-26.21469,4.58762
11,220.0,-26.21469,3.93283,-26.21469,4.58762
12,240.0,-26.87005,3.93226,-26.87005,3.93226
13,260.0,-26.87005,3.93226,-26.21469,4.58762
14,280.0,-26.21469,3.93226,-25.55934,3.93225
15,300.0,-24.90397,3.93224,-18.35029,3.9322
16,320.0,-17.03953,2.62145,-17.03954,3.9322
17,340.0,-17.03956,3.9322,-17.03956,4.58757
18,360.0,-17.03956,3.9322,-17.03956,4.58756
19,380.0,-17.03956,3.93219,-16.38419,3.27684
20,400.0,-16.3842,2.62147,-16.3842,3.27683
21,420.0,-16.38419,2.62147,-16.38419,3.27683
22,440.0,-16.38419,1.96611,-16.38419,2.62148
23,460.0,-17.03956,2.62147,-17.03955,2.62148
24,480.0,-17.03954,2.62147,-17.03954,2.62148
25,500.0,-17.6949,2.62147,-17.6949,2.62148
26,520.0,-17.69489,1.31075,-17.03953,1.96611
27,540.0,-17.69489,1.31075,-17.69489,1.96611
28,560.0,-17.69488,1.96611,-17.69488,1.96611
29,580.0,-18.35024,1.96611,-18.35024,1.96612
30,600.0,-19.0056,1.96611,-18.35024,1.96612
31,620.0,-18.35024,1.31075,-18.35023,1.96612
32,640.0,-18.35024,1.96611,-18.35023,1.96612
33,660.0,-18.35023,2.62147,-18.35023,2.62148
34,680.0,-18.35023,2.62148,-18.35023,2.62148
35,700.0,-18.35023,2.62148,-18.35022,3.27684
36,720.0,-18.35022,2.62148,-18.35022,3.27685
37,740.0,-18.35022,2.62149,-18.35022,2.62149
38,760.0,-19.00557,2.62149,-19.66093,2.62149
39,780.0,-19.66093,2.62149,-20.31629,3.27685
40,800.0,-20.31628,2.62149,-20.97164,3.27685
41,820.0,-20.97163,2.62149,-21.62698,3.27686
42,840.0,-20.97163,3.27686,-21.62698,3.27686
43,860.0,-20.97162,2.6215,-20.97162,2.62149
44,880.0,-20.97162,1.31077,-20.97162,3.9999999998486e-05
45,900.0,-20.97162,-0.65532,-20.97162,-1.31068
46,920.0,-22.28234,-1.31069,-22.28234,-2.62141
47,940.0,-22.9377,-3.27678,-22.28234,-3.27677
