,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,14.41806,1.96606,23.59324,2.62142
2,40.0,28.18081,3.27676,26.21472,2.62142
3,60.0,28.83617,2.62141,26.87008,2.62142
4,80.0,28.18082,2.62141,26.87008,2.62142
5,100.0,28.18082,2.62141,26.87009,2.62142
6,120.0,28.83618,1.96605,26.87008,2.62142
7,140.0,28.18082,1.96605,26.87009,1.96605
8,160.0,29.49155,1.96605,27.52546,1.96605
9,180.0,29.49156,1.96605,27.52546,1.96605
10,200.0,29.49156,1.96605,27.52546,1.96606
11,220.0,29.49156,1.96605,27.52546,1.31069
12,240.0,29.49156,1.31069,27.52547,1.31069
13,260.0,29.49157,1.31069,27.52547,0.65533
14,280.0,29.49157,1.31068,28.18084,1.31069
15,300.0,30.14694,1.31068,28.18084,1.31069
16,320.0,30.14695,1.31068,28.83621,0.65533
17,340.0,30.8023,1.31068,29.49157,0.65532
18,360.0,32.11302,1.31067,30.14693,0.65533
19,380.0,32.11302,0.65531,30.14693,-3.9999999998486e-05
20,400.0,32.76838,-5.000000000166e-05,31.45766,-0.65541
21,420.0,30.80229,-0.65541,13.10736,-0.65539
22,440.0,1.96608,-1.31075,0.65536,-1.9661
23,460.0,2.62147,-1.31075,0.65537,-1.9661
24,480.0,1.96611,-1.96611,0.65537,-2.62146
25,500.0,3.27683,-1.96611,1.31074,-2.62147
26,520.0,3.93219,-2.62147,1.9661,-1.96611
27,540.0,4.58755,-1.96612,2.62146,-2.62147
28,560.0,4.58755,-1.96612,3.27682,-2.62147
29,580.0,5.24292,-2.62148,3.93218,-2.62147
30,600.0,5.89827,-2.62148,3.93218,-2.62147
31,620.0,5.89826,-2.62148,4.58754,-2.62147
32,640.0,7.20899,-2.62148,5.24289,-2.62147
33,660.0,7.20899,-2.62148,5.24289,-2.62147
34,680.0,7.20899,-2.62148,5.89826,-2.62148
35,700.0,9.83045,-1.96613,22.9378,0.65531
36,720.0,37.3559,1.96601,38.66665,2.62137
37,740.0,39.97739,3.27673,38.66667,2.62138
38,760.0,40.63277,2.62137,38.66668,2.62137
39,780.0,41.28813,2.62137,38.66668,3.27673
40,800.0,41.28814,3.27672,39.32205,3.27672
41,820.0,40.63533,3.27672,38.66669,3.93209
42,840.0,40.63279,3.93207,38.66669,3.93208
43,860.0,39.97743,4.58743,38.6667,4.58744
44,880.0,39.97743,5.24279,38.01134,5.24279
45,900.0,39.97744,5.24278,37.35598,4.58742
46,920.0,39.97744,4.58741,38.01135,3.93204
47,940.0,36.70061,3.27667,23.59326,2.6213
