,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,0.0,0.0
2,40.0,0.65535999999999,0.65535,-9.9999999960687e-06,0.0
3,60.0,0.65535999999999,-1.0000000003174e-05,-9.9999999960687e-06,-0.65535
4,80.0,0.65535999999999,-1.0000000003174e-05,0.65535,0.0
5,100.0,0.65535999999999,0.65535,0.65535,0.0
6,120.0,0.65535,0.0,0.65534,0.0
7,140.0,1.31071,0.0,1.96605,1.0000000003174e-05
8,160.0,1.96606,0.0,1.96605,1.0000000003174e-05
9,180.0,1.96606,0.0,1.31069,-0.65535
10,200.0,1.3107,0.0,1.31069,1.0000000003174e-05
11,220.0,1.96606,9.9999999960687e-06,1.96606,1.0000000003174e-05
12,240.0,1.96607,9.9999999960687e-06,2.62142,1.0000000003174e-05
13,260.0,1.96607,0.0,1.96606,1.0000000003174e-05
14,280.0,2.62143,0.0,1.96606,1.0000000003174e-05
15,300.0,2.62143,0.65536,2.62142,0.0
16,320.0,2.62143,0.0,2.62142,-0.65535999999999
17,340.0,2.62143,0.0,1.96606,0.0
18,360.0,2.62143,0.0,2.62142,0.0
19,380.0,2.62143,-1.0000000003174e-05,2.62142,0.0
20,400.0,2.62143,0.0,2.62142,0.0
21,420.0,2.62143,0.65535,2.62142,0.65536
22,440.0,2.62143,0.65535,1.96606,0.0
23,460.0,2.62143,0.65536,1.96606,0.65536
24,480.0,1.96607,0.65536,1.96607,0.65536
25,500.0,1.96607,1.31072,1.96607,1.31073
26,520.0,1.31072,1.96608,1.31071,1.96609
27,540.0,1.31072,2.62144,1.31071,3.27681
28,560.0,0.65535999999999,3.2768,2.62145,3.93217
29,580.0,2.62147,3.93216,1.9661,4.58752
30,600.0,1.96611,4.58752,1.9661,5.24288
31,620.0,1.31075,5.24287,1.31075,5.89825
32,640.0,1.31075,5.89824,1.31075,5.24288
33,660.0,1.31076,5.89824,1.31075,5.89825
34,680.0,0.6554,6.55359,0.65539,6.5536
35,700.0,0.6554,6.55359,0.65539,7.20896
36,720.0,0.65541,7.20895,0.65539,7.20896
37,740.0,0.65541,7.20895,3.0000000002417e-05,7.20896
38,760.0,3.9999999998486e-05,7.86431,3.9999999998486e-05,7.86432
39,780.0,4.9999999994554e-05,8.51967,3.9999999998486e-05,8.51968
40,800.0,-0.65531,9.17503,-0.65532,9.17504
41,820.0,-0.65531,9.17503,-1.31068,9.8304
42,840.0,-0.65531,9.83039,-0.65532,9.83039
43,860.0,-0.65531,10.48574,-0.65532,9.83039
44,880.0,-0.65531,9.83038,3.0000000002417e-05,10.48575
45,900.0,-0.65532,9.83038,3.0000000002417e-05,9.83038
46,920.0,-0.65533000000001,10.48573,-0.65533,9.83038
47,940.0,-0.65532,10.48573,-1.31069,10.48574
48,960.0,-0.65532,11.1411,-0.65532,10.48575
49,980.0,-1.31067,11.1411,-1.31068,10.48575
50,1000.0,-0.65531,11.14109,-1.31067,10.48574
51,1020.0,-1.31066,10.48573,-0.65531,10.48573
52,1040.0,-0.6553,10.48573,-0.65531,11.14109
53,1060.0,-0.6553,10.48572,-0.65531,9.83037
54,1080.0,-0.6553,10.48572,-0.6553,9.83037
55,1100.0,-0.6553,10.48572,-1.31066,10.48572
56,1120.0,-1.31065,9.83035,-1.31066,9.83036
57,1140.0,-0.6553,9.83035,-0.6553,9.83036
58,1160.0,-0.65529,9.83035,-0.6553,9.83036
59,1180.0,-0.65529,9.83035,-0.6553,9.83036
60,1200.0,-0.65529,9.83034,-0.6553,9.175
61,1220.0,-0.65529,9.83035,-0.65531,9.175
62,1240.0,-0.65529,9.17499,-0.6553,9.175
63,1260.0,5.89836,9.83035,17.69495,10.48573
64,1280.0,20.97181,11.14109,19.00573,11.1411
65,1300.0,19.00574,11.14109,19.00573,11.14109
66,1320.0,18.35038,11.14109,18.35037,11.14109
67,1340.0,18.35038,11.79644,18.35038,11.1411
68,1360.0,18.35039,11.79645,17.69502,11.79646
69,1380.0,17.69503,11.79645,17.69502,11.79646
70,1400.0,17.69503,11.79645,17.69502,11.79646
71,1420.0,17.69503,11.79645,17.69502,11.79646
72,1440.0,17.69503,11.79645,17.69502,11.79645
73,1460.0,18.35039,11.79645,17.69502,11.79646
74,1480.0,18.35039,11.79645,18.35038,11.14109
75,1500.0,18.35039,11.79645,18.35038,11.14109
76,1520.0,17.69503,11.14109,20.31648,11.1411
77,1540.0,26.87016,11.14109,28.83626,11.1411
78,1560.0,28.18091,11.79645,28.1809,11.79646
79,1580.0,28.18091,11.79645,28.1809,11.1411
80,1600.0,28.18091,11.14109,28.1809,11.1411
81,1620.0,28.83627,11.1411,28.83626,10.48575
82,1640.0,28.83627,10.48574,28.83626,10.48575
83,1660.0,28.83627,10.48574,28.83626,10.48575
84,1680.0,28.83627,10.48574,28.83626,10.48575
85,1700.0,35.38993,12.45184,50.46337,13.76261
86,1720.0,60.29388,15.07335,60.94927,15.07336
87,1740.0,59.63856,15.72871,59.63855,15.07336
88,1760.0,59.63856,15.07335,59.63855,15.07336
89,1780.0,59.63856,15.07335,58.98319,15.07336
90,1800.0,59.63856,15.07335,58.98319,15.07336
91,1820.0,58.9832,15.07335,58.98319,15.07336
92,1840.0,58.9832,15.72871,58.98319,15.07336
93,1860.0,58.9832,15.72871,59.63856,15.72872
94,1880.0,58.9832,16.38407,58.9832,15.72872
95,1900.0,58.9832,15.72871,58.98319,15.72871
96,1920.0,58.9832,15.7287,58.98319,15.72871
97,1940.0,58.98321,16.38406,58.98319,15.72871
98,1960.0,58.9832,15.7287,58.98319,15.72871
99,1980.0,58.9832,15.7287,58.98319,15.72871
100,2000.0,58.98321,15.7287,58.9832,15.72871
101,2020.0,58.98321,15.7287,59.63856,15.7287
102,2040.0,58.9832,15.7287,69.46907,18.35018
103,2060.0,87.81942,19.66095,100.27135,20.97172
104,2080.0,102.23745,20.97171,99.616,20.97172
105,2100.0,98.96065,20.97171,99.616,20.97172
106,2120.0,99.61601,21.62707,98.96064,20.97172
107,2140.0,99.61601,21.62707,99.61599,21.62708
108,2160.0,99.616,21.62707,99.61599,21.62708
109,2180.0,99.616,22.28243,98.96063,21.62708
110,2200.0,99.616,22.28243,99.61598,22.28244
111,2220.0,102.8928,22.9378,116.00004,24.24858
112,2240.0,122.55368,25.55933,123.20906,26.21471
113,2260.0,122.5537,26.21471,122.55368,26.21471
114,2280.0,123.20905,26.21471,123.20904,25.55936
115,2300.0,122.55368,26.21472,123.20903,25.55937
116,2320.0,123.20903,25.55936,123.20902,25.55937
117,2340.0,123.20903,26.21473,123.20902,25.55938
118,2360.0,123.20903,25.55937,123.86438,26.21474
119,2380.0,123.86438,25.55938,123.86437,25.55938
120,2400.0,123.86438,25.55937,123.86437,24.90402
121,2420.0,123.86437,25.55937,123.86437,24.90401
122,2440.0,124.51974,25.55936,123.86437,24.90401
123,2460.0,123.86438,24.24864,124.51973,24.24865
124,2480.0,125.1751,24.24865,125.17509,23.5933
125,2500.0,120.58755,21.62717,87.81936,17.69491
126,2520.0,39.97742,9.83051,4.58759,3.93226
127,2540.0,-9.83043,3.27687,-7.8643,5.24296
128,2560.0,-5.89819,5.24294,-5.8982,5.24295
129,2580.0,-5.24283,5.24294,-4.58747,4.58758
130,2600.0,-4.58747,5.24294,-3.93212,4.58759
131,2620.0,-3.92955,5.24295,-3.27676,4.58759
132,2640.0,-3.27674,4.58759,-2.62139,3.93224
133,2660.0,-2.62138,4.58759,-2.62139,3.93224
134,2680.0,-2.62138,3.93223,-2.6214,3.27687
135,2700.0,-2.62139,3.27687,-2.62139,3.27687
136,2720.0,-1.96603,3.27686,-1.96604,3.27687
137,2740.0,0.65544999999999,1.96614,4.58763,0.65543
138,2760.0,4.58764,1.31078,4.58763,1.31078
139,2780.0,3.93228,1.31077,4.58764,1.31077
140,2800.0,4.58764,1.31077,4.58764,0.65541
141,2820.0,4.58764,1.31077,4.58763,1.31078
142,2840.0,5.243,1.31077,5.24299,1.31078
143,2860.0,5.243,1.31076,5.89835,1.31077
144,2880.0,5.89836,1.96612,5.89834,1.31077
145,2900.0,6.55372,1.96612,17.03956,1.96614
146,2920.0,27.52544,2.6215,31.45765,3.27687
147,2940.0,31.45767,2.6215,31.45766,2.62151
148,2960.0,32.11302,2.6215,32.11301,2.6215
149,2980.0,32.11303,2.6215,32.11301,2.6215
150,3000.0,32.11302,2.6215,32.11301,2.62151
151,3020.0,32.11303,2.6215,32.11301,3.27687
152,3040.0,32.76838,2.6215,32.76838,3.27686
153,3060.0,32.76839,2.62149,32.76838,3.27686
154,3080.0,33.42375,3.27685,32.76838,2.62149
155,3100.0,33.42375,2.62148,35.38983,3.27685
156,3120.0,51.11864,5.24295,69.46892,5.89836
157,3140.0,74.05656,7.86444,70.77977,7.20909
158,3160.0,70.12442,7.20907,70.77977,7.86444
159,3180.0,70.77978,7.86443,70.77978,7.86444
160,3200.0,70.77979,7.86443,71.43514,7.86444
161,3220.0,70.77979,7.86443,71.43515,7.86443
162,3240.0,71.43516,7.86442,71.43515,7.20906
163,3260.0,71.43515,7.20906,71.43515,7.20906
164,3280.0,72.09053,7.86441,72.09052,7.20906
165,3300.0,72.09053,7.86441,72.74589,7.20905
166,3320.0,72.7459,7.86441,72.7459,7.20906
167,3340.0,73.40127,7.20904,70.77977,5.24296
168,3360.0,44.56502,0.65541,17.03958,-1.31068
169,3380.0,10.48595,-1.96606,13.10743,-0.65533
170,3400.0,13.76281,-0.65535,13.7628,-0.65534
171,3420.0,14.41816,-0.65536,13.7628,-0.65535
172,3440.0,14.41816,-0.65536,14.41815,-1.31072
173,3460.0,14.41817,-0.65537,15.07351,-1.31072
174,3480.0,15.07352,-1.31074,15.07351,-1.31073
175,3500.0,15.07352,-1.31074,15.72887,-1.31073
176,3520.0,15.72888,-0.65539,15.72887,-1.31074
177,3540.0,15.72888,-1.31075,15.72887,-1.31075
178,3560.0,15.72888,-0.6554,15.72887,-1.31075
179,3580.0,16.38424,-1.31076,15.72887,-1.31075
180,3600.0,16.38424,-0.6554,15.72887,-1.31076
181,3620.0,17.0396,-0.6554,24.90399,-3.9999999998486e-05
182,3640.0,30.14695,0.65532,28.83621,0.65533
183,3660.0,28.18085,0.65532,28.8362,0.65533
184,3680.0,28.83621,-3.9999999998486e-05,28.83619,-2.9999999995312e-05
185,3700.0,28.8362,-3.0000000002417e-05,28.83619,-0.65539
186,3720.0,28.18084,-3.9999999998486e-05,28.18083,-2.9999999995312e-05
187,3740.0,28.8362,-3.9999999998486e-05,28.18083,-0.65538
188,3760.0,41.28815,2.62143,64.88135,3.93221
189,3780.0,75.3673,4.58759,72.74589,4.5876
190,3800.0,70.77981,5.24294,70.7798,5.89831
191,3820.0,70.12446,6.55366,70.12445,6.55367
192,3840.0,70.12446,6.55366,70.12445,6.55366
193,3860.0,69.4691,6.55365,70.12445,6.55366
194,3880.0,69.4691,6.55365,69.4691,6.55366
195,3900.0,69.4691,6.55365,69.46909,6.55365
196,3920.0,69.4691,7.209,70.12446,6.55365
197,3940.0,70.12447,7.209,69.4691,6.55365
198,3960.0,70.12447,7.209,70.12446,6.55365
199,3980.0,70.12447,5.89828,70.12447,6.55364
200,4000.0,70.12448,6.55364,70.12446,5.89828
201,4020.0,70.12448,6.55363,70.12446,5.89828
202,4040.0,70.12447,6.55363,70.12447,5.89828
203,4060.0,72.09058,7.209,77.9889,7.20903
204,4080.0,77.98893,7.86438,77.33355,7.86438
205,4100.0,77.33356,7.86438,77.33356,7.86439
206,4120.0,76.67821,7.86438,77.33356,7.86439
207,4140.0,77.33357,7.86437,77.33356,7.86438
208,4160.0,77.33356,7.20902,77.33355,7.20902
209,4180.0,77.33356,7.20901,76.67819,7.20902
210,4200.0,77.33356,7.86437,77.33355,7.20902
211,4220.0,77.33355,7.20901,77.33354,7.20902
212,4240.0,77.33355,7.20901,77.33354,6.55366
213,4260.0,77.33354,6.55366,82.57645,8.51977
214,4280.0,108.79105,8.51985,126.48581,7.86456
215,4300.0,125.83046,8.51993,122.55365,9.83065
216,4320.0,122.55366,10.486,122.55366,10.48601
217,4340.0,122.55366,11.14136,122.55366,11.14137
218,4360.0,122.55366,11.79672,122.55365,11.79673
219,4380.0,122.55367,12.45208,121.8983,11.79673
220,4400.0,122.55367,12.45209,121.8983,12.45209
221,4420.0,121.89831,13.10744,121.89831,13.10745
222,4440.0,122.55368,13.10745,121.24294,13.10746
223,4460.0,121.89831,13.10745,121.89831,13.10746
224,4480.0,122.55368,13.10745,121.24295,13.10746
225,4500.0,121.89831,13.76281,121.8983,13.76281
226,4520.0,121.24295,13.76281,121.8983,13.76282
227,4540.0,122.55367,13.76281,122.55366,13.76282
228,4560.0,121.24294,14.41817,122.55366,13.76282
229,4580.0,122.55367,13.76281,122.55365,13.76282
230,4600.0,122.55367,14.41818,123.20902,13.76283
231,4620.0,123.86439,13.76283,123.20902,12.45211
232,4640.0,105.51424,9.17522,56.36162,0.00010999999999939
233,4660.0,16.38423,-8.51961,2.62156,-11.79643
234,4680.0,5.24306,-8.51964,5.89843,-7.20892
235,4700.0,5.89843,-7.20893,5.89843,-6.55358
236,4720.0,7.20916,-5.89822,6.55379,-5.89822
237,4740.0,7.20916,-5.89823,7.20914,-5.89823
238,4760.0,7.86451,-5.24288,7.86451,-5.24287
239,4780.0,7.86452,-5.24288,8.51987,-4.58751
240,4800.0,7.86451,-4.58752,8.51987,-5.24287
241,4820.0,8.51988,-4.58752,8.51987,-5.24288
242,4840.0,9.17525,-4.58752,10.48597,-3.27679
243,4860.0,11.79673,-2.62143,12.45208,-2.62143
244,4880.0,12.45209,-2.62144,12.45208,-1.96607
245,4900.0,11.79673,-1.96608,12.45209,-2.62143
246,4920.0,12.45209,-1.96608,12.45463,-2.62143
247,4940.0,12.45209,-2.62144,12.45208,-2.62143
248,4960.0,12.45209,-2.62144,12.45208,-3.2768
249,4980.0,12.45209,-2.62144,12.45208,-2.62144
250,5000.0,13.10745,-1.96608,13.7628,-2.62143
251,5020.0,22.28256,-1.31071,30.80233,-1.96605
252,5040.0,32.76844,-1.3107,32.11307,-1.31069
253,5060.0,32.76844,-1.31069,32.76843,-1.31069
254,5080.0,32.76844,-1.96605,-51.773,-1.96604
255,5100.0,32.76845,-1.31068,32.76844,-1.31067
256,5120.0,32.76845,-1.31068,32.76843,-1.31067
257,5140.0,32.76844,-1.31067,33.42379,-1.31067
258,5160.0,33.42381,-1.31067,33.42379,-1.96603
259,5180.0,33.4238,-1.31068,33.42379,-1.96603
260,5200.0,32.76844,-1.31067,38.6667,-0.6553
261,5220.0,57.01698,1.96617,70.12438,3.93229
262,5240.0,72.74595,4.58765,70.77987,5.24302
263,5260.0,70.77988,5.24301,70.77987,5.24301
264,5280.0,70.77988,5.243,70.12451,4.58765
265,5300.0,70.12453,5.243,70.77988,5.24301
266,5320.0,70.77989,5.243,70.77988,5.24301
267,5340.0,71.43525,5.24299,70.77988,5.243
268,5360.0,71.43525,5.24299,70.77988,5.243
269,5380.0,71.43525,5.24299,70.77989,5.243
270,5400.0,70.77989,5.24299,71.43524,5.24299
271,5420.0,70.77989,5.24299,77.33357,6.55374
272,5440.0,88.47483,7.20912,93.0624,7.8645
273,5460.0,91.7517,7.8645,91.09632,7.8645
274,5480.0,91.09634,7.86449,91.09633,7.86449
275,5500.0,91.09634,7.86449,91.09633,7.86449
276,5520.0,91.09634,7.86448,91.09633,7.86449
277,5540.0,91.09634,7.86448,91.09632,7.86449
278,5560.0,91.09634,7.86448,91.75169,7.86449
279,5580.0,91.09634,7.86448,91.09632,7.86449
280,5600.0,91.75169,7.86448,91.75169,7.86448
281,5620.0,91.75169,8.51983,91.75169,7.86448
282,5640.0,92.40705,8.51984,91.75168,7.86449
283,5660.0,91.75169,8.51984,91.75168,8.51985
284,5680.0,91.75169,8.51984,91.75167,8.51984
285,5700.0,91.75169,8.51983,91.75168,8.51985
286,5720.0,93.71777,9.83057,110.10178,11.7967
287,5740.0,127.14118,15.07358,135.66095,15.729
288,5760.0,136.31636,16.38437,133.6949,16.38438
289,5780.0,135.00562,16.38436,135.00561,16.38438
290,5800.0,135.00561,17.03973,134.35025,16.38437
291,5820.0,134.35026,17.03973,134.35025,17.03974
292,5840.0,134.35027,17.03973,133.6949,17.03974
293,5860.0,134.35027,17.69509,133.6949,17.6951
294,5880.0,133.03955,17.69509,133.6949,18.35046
295,5900.0,133.69491,18.35045,133.6949,18.35046
296,5920.0,133.69491,18.35045,133.6949,18.35046
297,5940.0,133.69491,18.35045,139.59319,19.00588
298,5960.0,142.87005,19.0059,141.55932,19.00591
299,5980.0,140.24861,19.66126,140.2486,19.66127
300,6000.0,139.59325,20.31662,139.59324,19.66127
301,6020.0,139.59325,19.66126,139.59324,19.66127
302,6040.0,139.59325,20.31662,139.59324,20.31663
303,6060.0,139.59325,20.31663,137.62714,19.00587
304,6080.0,116.00006,14.4182,70.12447,5.89842
305,6100.0,33.42389,-2.62131,19.66121,-3.27668
306,6120.0,19.66126,-1.96598,21.62734,-0.65526
307,6140.0,20.97199,9.0000000000146e-05,20.97198,0.00010000000000332
308,6160.0,21.62735,0.65544,21.62734,0.65544000000001
309,6180.0,21.62734,0.65543,22.2827,1.31079
310,6200.0,22.2827,1.96614,22.93805,1.96615
311,6220.0,23.59343,2.6215,23.59342,2.62151
312,6240.0,24.24879,2.6215,24.90414,2.62151
313,6260.0,-51.77297,2.62151,25.55951,2.62152
314,6280.0,26.21488,3.27687,26.21487,2.62152
315,6300.0,26.87024,3.27687,26.87024,3.27688
316,6320.0,26.87025,3.27687,25.5595,2.62152
317,6340.0,25.55951,2.62151,25.5595,2.62153
318,6360.0,25.5595,3.27687,25.5595,3.27688
319,6380.0,25.55951,2.62151,25.5595,2.62152
320,6400.0,25.55951,2.62151,26.21487,2.62152
321,6420.0,26.21487,2.62151,26.21486,2.62152
322,6440.0,26.21487,2.62151,26.21486,2.62152
323,6460.0,26.21487,2.62151,26.21486,2.62152
324,6480.0,26.21487,3.27687,26.21486,2.62152
325,6500.0,26.87022,3.27687,38.66681,5.24298
326,6520.0,57.01709,7.20909,69.46912,9.1752
327,6540.0,71.43532,9.1752,68.81386,9.17521
328,6560.0,68.81387,9.17521,69.46922,9.17521
329,6580.0,69.46923,9.1752,70.12457,9.17522
330,6600.0,70.12457,8.51985,70.12456,8.51985
331,6620.0,70.12457,8.51985,70.12456,8.51985
332,6640.0,70.77993,8.51985,70.12456,8.51986
333,6660.0,70.12457,8.51985,70.77992,8.51986
334,6680.0,70.12457,9.17521,70.12456,8.51986
335,6700.0,70.77993,8.51986,70.12456,8.51986
336,6720.0,70.12457,8.51985,70.77991,7.86451
337,6740.0,70.77992,8.51985,70.12455,7.8645
338,6760.0,70.12457,8.51986,70.12456,7.86451
339,6780.0,70.12456,7.8645,70.12455,7.8645
340,6800.0,70.12456,7.20914,70.12455,7.20915
341,6820.0,70.12456,7.20914,70.77991,7.20914
342,6840.0,70.77993,7.20913,70.12456,7.20915
343,6860.0,74.71213,8.51987,88.47487,9.83064
344,6880.0,98.96069,11.14139,102.23748,11.79677
345,6900.0,100.27141,11.79676,100.2714,11.79677
346,6920.0,100.27141,12.45212,100.2714,11.79677
347,6940.0,100.2714,12.45212,100.2714,11.79677
348,6960.0,99.61605,12.45212,99.61604,12.45213
349,6980.0,99.61605,12.45212,99.61604,12.45212
350,7000.0,100.27142,12.45211,99.61604,12.45212
351,7020.0,100.27142,12.45211,99.61604,12.45212
352,7040.0,100.27141,12.4521,100.2714,12.45212
353,7060.0,100.27141,12.4521,109.44647,13.76286
354,7080.0,128.452,15.07365,136.97172,15.72908
355,7100.0,135.66102,17.0398,133.69494,16.38444
356,7120.0,133.69495,17.03979,133.69495,17.03979
357,7140.0,133.69496,17.03978,133.69495,17.03979
358,7160.0,133.03959,17.03978,133.03958,17.03979
359,7180.0,133.0396,17.03978,133.03959,17.03978
360,7200.0,133.03959,17.03977,133.03958,17.03978
361,7220.0,133.69495,17.03978,133.03958,17.03978
362,7240.0,133.03958,17.03977,141.5593,18.35057
363,7260.0,151.38984,19.00602,154.01133,18.35069
364,7280.0,151.38988,19.00603,151.38986,19.00604
365,7300.0,151.38987,19.66139,151.38986,19.00604
366,7320.0,151.38986,19.00604,151.38985,19.00605
367,7340.0,151.38986,19.00604,151.38985,18.35069
368,7360.0,151.38985,19.00604,151.38984,18.35069
369,7380.0,151.38984,18.35069,151.38984,17.69533
370,7400.0,152.0452,17.69533,152.04519,17.69534
371,7420.0,152.04519,17.69533,151.38982,17.03998
372,7440.0,149.42371,15.07382,119.27686,10.48613
373,7460.0,68.15826,1.31098,29.4916,-5.24265
374,7480.0,17.03972,-5.89805,19.00582,-3.27661
375,7500.0,19.66121,-3.27663,19.66119,-3.27663
376,7520.0,19.6612,-2.62128,20.97192,-2.62128
377,7540.0,20.97192,-2.62129,21.62727,-1.96593
378,7560.0,21.62727,-2.6213,22.28263,-3.27666
379,7580.0,22.28264,-2.62131,22.93799,-3.27666
380,7600.0,22.938,-2.62131,-51.77305,-3.27667
381,7620.0,23.59336,-3.27668,23.59335,-3.93204
382,7640.0,23.59336,-3.93204,23.59335,-3.93204
383,7660.0,23.59336,-3.93205,24.24871,-3.93204
384,7680.0,22.938,-4.58741,22.28261,-6.55349
385,7700.0,22.28262,-5.89814,22.28262,-5.89814
386,7720.0,22.93799,-5.89815,22.93798,-5.89814
387,7740.0,22.28263,-5.89815,22.93799,-6.5535
388,7760.0,22.938,-5.89815,22.93799,-6.5535
389,7780.0,23.59336,-6.55351,23.59335,-6.5535
390,7800.0,23.59336,-6.55351,23.59335,-6.5535
391,7820.0,23.59336,-6.55351,23.59335,-6.5535
392,7840.0,23.59336,-6.55351,24.24871,-6.5535
393,7860.0,24.24871,-6.55351,24.2487,-7.20886
394,7880.0,24.24871,-7.20887,24.90407,-7.20886
395,7900.0,24.90408,-6.55351,24.90407,-7.20887
396,7920.0,24.90408,-6.55351,25.55943,-6.55351
397,7940.0,25.56199,-7.20887,26.21478,-7.20887
398,7960.0,26.87015,-7.20888,26.87014,-8.51959
399,7980.0,26.87014,-7.86424,26.87013,-7.86423
400,8000.0,26.87014,-7.20888,26.21477,-7.86423
401,8020.0,33.4238,-6.5535,49.15259,-6.55346
402,8040.0,54.39555,-6.55345,53.08483,-5.89809
403,8060.0,52.42947,-5.24274,53.08738,-5.89808
404,8080.0,53.08484,-5.24274,53.74019,-5.89809
405,8100.0,53.08484,-5.24274,53.74019,-5.24273
406,8120.0,53.7402,-5.24274,53.74019,-5.24273
407,8140.0,53.7402,-5.8981,53.74019,-5.89809
408,8160.0,54.39556,-5.8981,53.7402,-5.89809
409,8180.0,54.39557,-5.8981,54.39556,-5.89809
410,8200.0,54.39557,-5.8981,55.05092,-5.89809
411,8220.0,55.05094,-5.89809,55.70629,-5.89808
412,8240.0,55.70629,-5.89809,55.70629,-5.89809
413,8260.0,67.50289,-4.58734,84.54248,-4.5873
414,8280.0,89.78551,-2.62122,88.4748,-3.27656
415,8300.0,87.81945,-2.62122,87.81944,-2.62121
416,8320.0,87.81945,-2.62122,88.4748,-1.96585
417,8340.0,87.81946,-1.96585,87.81945,-1.31049
418,8360.0,88.47482,-1.31049,87.81945,-1.31049
419,8380.0,87.81946,-1.31049,87.81945,-1.31049
420,8400.0,88.47482,-0.65514,88.47481,-1.31049
421,8420.0,87.81947,-0.65514,87.81945,-1.31049
422,8440.0,87.81947,-1.3105,87.81945,-0.65513
423,8460.0,87.81947,-0.65514,87.81946,-0.65513
424,8480.0,88.47483,-0.65514,88.47482,-1.31049
425,8500.0,-51.77221,-0.65514,87.81946,-1.31049
426,8520.0,88.47483,-1.31049,88.47482,-1.31049
427,8540.0,88.47483,-1.3105,75.36739,-4.58732
428,8560.0,57.67242,-5.89807,54.3956,-6.55342
429,8580.0,56.36172,-5.89807,55.70635,-5.89806
430,8600.0,55.70636,-5.24272,56.3617,-5.89807
431,8620.0,56.36171,-5.89808,56.3617,-5.89807
432,8640.0,57.01707,-5.89808,57.01706,-6.55343
433,8660.0,57.01707,-5.89808,57.01706,-5.89808
434,8680.0,57.67243,-5.89809,57.67242,-6.55343
435,8700.0,58.32778,-6.55344,58.98313,-6.55344
436,8720.0,58.98313,-6.55345,59.63848,-7.2088
437,8740.0,58.98313,-6.55344,58.98312,-7.20879
438,8760.0,58.98313,-7.20881,58.98312,-7.20879
439,8780.0,58.98312,-7.2088,58.32775,-7.86415
440,8800.0,61.60458,-6.55343,81.92097,-5.24265
441,8820.0,98.30525,-4.58725,102.89283,-3.27651
442,8840.0,100.2714,-3.27652,99.61602,-2.62116
443,8860.0,99.61604,-1.9658,100.27139,-1.9658
444,8880.0,99.61603,-1.96581,99.61602,-1.9658
445,8900.0,99.61603,-1.96581,99.61602,-1.9658
446,8920.0,99.61603,-1.96581,99.61602,-1.9658
447,8940.0,99.61603,-1.96581,99.61602,-2.62117
448,8960.0,99.61603,-1.96581,99.61602,-1.96581
449,8980.0,99.61603,-1.96582,99.61603,-1.96581
450,9000.0,99.61604,-1.31046,99.61603,-1.96581
451,9020.0,99.61604,-1.96582,100.27139,-2.62117
452,9040.0,98.30529,-3.93191,96.99456,-3.27654
