,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-1.0000000003174e-05,0.0,0.0
2,40.0,0.0,-1.0000000003174e-05,0.0,-9.9999999960687e-06
3,60.0,-0.65535,-1.9999999999243e-05,0.0,-0.65538
4,80.0,-0.65535,-1.9999999999243e-05,-0.65535,-0.65537
5,100.0,-0.65535,-0.65539,9.9999999960687e-06,-0.65539
6,120.0,-0.65535,-0.6554,-0.65535,-0.65539
7,140.0,-0.65535,-0.65539,-0.65534,-0.65539
8,160.0,0.65542,-1.31077,1.31078,-2.62149
9,180.0,5.9999999997729e-05,-1.96614,0.65542,-1.96613
10,200.0,0.65543,-1.96614,0.65543,-1.96613
11,220.0,7.0000000000903e-05,-2.6215,0.65544,-2.6215
12,240.0,0.65544,-2.62151,0.65544,-2.6215
13,260.0,7.9999999996971e-05,-3.27687,7.9999999996971e-05,-3.27687
14,280.0,9.0000000000146e-05,-3.27688,9.0000000000146e-05,-3.93223
15,300.0,9.0000000000146e-05,-3.93224,9.0000000000146e-05,-4.58761
16,320.0,-0.65526,-4.58761,-0.65527,-4.58761
17,340.0,-0.65526,-5.24298,-0.65526,-5.89835
18,360.0,-0.65525,-6.55372,0.00010999999999939,-7.20908
19,380.0,0.00012000000000256,-7.86446,0.00012999999999863,-8.51982
20,400.0,0.00014000000000181,-7.86447,0.00014000000000181,-8.51983
21,420.0,0.00014999999999787,-9.1752,0.00016000000000105,-9.1752
22,440.0,0.00016999999999712,-9.17521,0.00016999999999712,-9.83056
23,460.0,0.00016999999999712,-9.83057,0.00016999999999712,-10.48592
24,480.0,0.00016999999999712,-9.83057,0.65552,-9.83056
25,500.0,0.00016000000000105,-9.83056,0.65552,-9.83055
26,520.0,0.00014999999999787,-9.83056,0.65551,-9.83055
27,540.0,0.00014999999999787,-9.1752,0.65551,-9.83055
28,560.0,0.00014999999999787,-9.83056,0.65551,-10.48593
29,580.0,0.00014999999999787,-9.83057,0.00014999999999787,-10.48592
30,600.0,0.00014999999999787,-10.48594,0.6555,-10.48593
31,620.0,0.65551,-10.48594,0.6555,-9.83056
32,640.0,0.6555,-9.83057,0.6555,-9.83056
33,660.0,0.6555,-9.17521,0.00014000000000181,-9.1752
34,680.0,0.00014000000000181,-9.1752,0.00014000000000181,-8.51983
35,700.0,0.00012999999999863,-9.1752,0.00014000000000181,-9.17519
36,720.0,0.6555,-9.1752,0.6555,-9.17519
37,740.0,0.6555,-8.51984,0.65549,-8.51983
38,760.0,0.00014000000000181,-8.51983,0.00014000000000181,-8.51983
39,780.0,0.00014000000000181,-8.51983,0.00012999999999863,-8.51982
40,800.0,0.00012999999999863,-7.86446,0.00010999999999939,-7.86445
41,820.0,-0.65525,-7.20909,-0.65527,-7.86444
42,840.0,-0.6553,-7.86444,-1.31068,-7.86443
43,860.0,-0.65533,-7.86443,-1.31071,-8.51978
44,880.0,-1.31072,-8.51979,-1.31073,-8.51978
45,900.0,-1.31073,-8.51978,-0.65539,-9.17513
46,920.0,-0.65539,-9.17514,-3.9999999998486e-05,-9.17512
47,940.0,-3.9999999998486e-05,-8.51977,0.65531,-9.17512
48,960.0,0.65531,-9.17513,0.65531,-9.17512
49,980.0,0.65532,-9.83049,0.65531,-10.48584
50,1000.0,1.31068,-10.48584,1.96604,-10.48584
51,1020.0,1.96605,-10.48585,2.62141,-11.14122
52,1040.0,2.62142,-11.79659,5.89823,-12.45196
53,1060.0,19.00558,-11.79664,31.45756,-13.10736
54,1080.0,32.11293,-14.4181,31.45756,-13.76273
55,1100.0,31.45759,-13.10738,31.4576,-13.10737
56,1120.0,31.45762,-13.10738,31.45763,-13.10737
