,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65536,1.31073,-2.62148,2.62147
2,40.0,-3.27684,4.58757,-3.27683,5.8983
3,60.0,-3.93218,7.20905,-3.27682,7.20905
4,80.0,-3.27682,7.86442,-3.27682,7.20906
5,100.0,-3.27682,7.86442,-3.27682,7.20906
6,120.0,-3.27682,7.20906,-3.27682,7.20906
7,140.0,-3.93218,7.20906,-3.93218,7.20907
8,160.0,-3.93217,7.20907,-3.93217,6.55371
9,180.0,-3.93217,6.5537,-3.93217,5.89834
10,200.0,-3.93217,5.89833,-3.27681,5.24297
11,220.0,-3.27681,5.89833,-3.27681,4.5876
12,240.0,-3.27681,3.27686,-1.96609,0.6554
13,260.0,-0.65539,-4.58754,0.65529,-13.10731
14,280.0,3.27669,-23.59316,7.2088,-36.04509
15,300.0,9.17484,-41.28803,10.48556,-39.32192
16,320.0,9.83022,-34.07898,8.51951,-29.49141
17,340.0,7.20881,-24.24849,5.8981,-20.31629
18,360.0,4.5874,-15.72874,3.93206,-13.10727
19,380.0,3.93207,-10.48581,3.27672,-8.51971
20,400.0,3.27672,-5.89826,2.62136,-5.89825
21,420.0,3.27672,-3.93215,2.62137,-3.93216
22,440.0,2.62136,-2.62143,2.62136,-3.2768
23,460.0,2.62137,-2.62143,2.62136,-3.2768
24,480.0,1.96601,-2.62144,1.96601,-2.62143
25,500.0,1.966,-2.62144,2.62137,-3.93217
26,520.0,1.966,-3.27681,1.966,-3.93216
27,540.0,1.31065,-2.62144,1.31064,-3.2768
28,560.0,1.96601,-2.62144,1.96601,-3.27681
29,580.0,1.96601,-2.62145,1.96601,-2.62144
30,600.0,1.31065,-1.96608,1.966,-2.62145
31,620.0,1.966,-2.62145,1.966,-3.27682
32,640.0,1.31064,-2.62145,1.966,-3.27682
33,660.0,1.31064,-2.62145,1.966,-2.62145
34,680.0,1.31064,-3.27681,1.966,-5.24291
35,700.0,1.966,-5.89829,2.62136,-6.55365
36,720.0,2.62135,-7.20902,2.62135,-7.20903
37,740.0,2.62135,-6.55366,4.58744,-8.51975
38,760.0,9.1751,-8.51976,9.83062,-8.51976
39,780.0,8.51996,-7.20903,8.51994,-5.24292
40,800.0,7.86456,-3.27681,7.20917,-3.27678
41,820.0,7.20911,-3.93212,7.20907,-5.24281
42,840.0,6.55367,-6.55353,6.55364,-7.86423
43,860.0,6.5536,-11.14103,7.20892,-15.0732
44,880.0,7.2089,-15.07319,7.20889,-13.10706
45,900.0,6.55353,-10.48558,6.55354,-8.51947
46,920.0,5.89819,-5.898,5.24283,-3.93188
47,940.0,4.58747,-1.96578,4.58748,-0.65504
48,960.0,3.27676,0.65571,3.93212,1.31108
49,980.0,3.27676,1.96644,3.27676,2.62181
50,1000.0,3.27676,3.93253,3.27678,3.27717
51,1020.0,3.27678,4.58789,3.27679,4.58788
52,1040.0,2.62143,5.24325,3.2768,4.58788
53,1060.0,3.2768,5.24323,3.27682,5.24322
54,1080.0,3.27684,5.24319,3.27686,4.58781
55,1100.0,3.93224,3.93242,3.27695,1.31095
56,1120.0,5.2432,1.96628,7.20936,1.31091
57,1140.0,7.20939,3.93237,7.20941,3.93236
58,1160.0,6.55407,3.93236,7.20944,3.93235
59,1180.0,7.20944,4.5877,7.86481,3.93233
60,1200.0,8.52018,4.58768,9.17555,4.58767
61,1220.0,9.83091,5.24303,10.48628,5.24302
62,1240.0,10.48629,5.89838,11.14165,5.24301
63,1260.0,11.79701,5.24301,11.79702,4.58764
64,1280.0,11.79702,5.24301,12.45239,5.24301
65,1300.0,12.45239,5.89837,15.7292,5.89836
66,1320.0,45.22059,7.86447,62.26017,8.51983
67,1340.0,61.60484,9.83056,58.98337,10.48593
68,1360.0,58.98338,12.45202,59.63874,12.45202
69,1380.0,59.63874,12.45201,59.63874,11.79664
70,1400.0,60.2941,12.452,60.2941,13.10735
71,1420.0,60.2941,13.76271,60.94947,13.76271
72,1440.0,60.94947,14.41807,61.60483,14.41807
73,1460.0,61.60484,15.07343,62.26021,15.07343
74,1480.0,62.26021,16.38415,62.26021,16.38415
75,1500.0,62.26022,17.03952,62.26022,16.38415
76,1520.0,66.19241,17.69487,76.02298,19.00562
77,1540.0,79.95524,20.31635,77.98915,21.62708
78,1560.0,76.67842,23.59319,76.67844,24.90393
79,1580.0,76.02308,26.21467,76.02308,26.87003
80,1600.0,75.36773,28.18076,75.36772,28.18078
81,1620.0,74.71236,28.83614,74.05701,29.49152
82,1640.0,74.05702,30.14688,73.40166,30.14689
83,1660.0,72.7463,31.45762,72.74631,31.45762
84,1680.0,72.74631,32.11298,72.09096,32.11299
85,1700.0,72.74633,33.42371,72.09097,32.76835
86,1720.0,72.09098,32.76835,72.74635,32.76835
87,1740.0,72.74636,33.42371,72.74636,32.11299
88,1760.0,72.74635,32.76834,72.74636,31.45795
89,1780.0,72.74636,31.45762,72.091,30.80227
90,1800.0,68.15878,29.49155,58.32821,27.52545
91,1820.0,53.08526,28.18082,53.74065,28.18083
92,1840.0,54.39602,29.49155,54.39602,29.49156
93,1860.0,54.39602,29.49156,54.39602,28.8362
94,1880.0,54.39603,29.49156,55.70675,28.83619
95,1900.0,55.70675,28.83618,55.70676,28.18082
96,1920.0,55.70675,27.52546,56.36211,26.87009
97,1940.0,56.36211,26.87009,57.01747,26.87009
98,1960.0,57.01747,26.87008,57.67284,26.21472
99,1980.0,58.3282,26.21472,57.67284,24.90399
100,2000.0,48.49766,21.62717,39.32252,19.66107
101,2020.0,38.66716,20.31642,41.28863,20.97179
102,2040.0,41.944,22.28252,43.25472,21.62715
103,2060.0,43.91009,22.2825,45.22081,22.2825
104,2080.0,45.22082,22.28249,46.53154,21.62713
105,2100.0,46.53154,21.62713,47.1869,20.97177
106,2120.0,47.1869,20.97176,47.18689,20.3164
107,2140.0,47.18689,20.3164,47.84225,19.00567
108,2160.0,47.84224,17.69494,48.4976,16.3842
109,2180.0,49.80831,15.72883,45.22074,13.76274
110,2200.0,41.28854,13.76275,39.97783,14.41811
111,2220.0,40.6332,15.07347,40.63319,13.76274
112,2240.0,39.97783,13.10736,41.28855,11.79662
113,2260.0,57.67263,11.79661,85.85349,11.79663
114,2280.0,108.13617,15.07346,111.41312,15.07347
115,2300.0,107.48095,17.03957,106.82557,19.00567
116,2320.0,107.48093,19.66103,107.48093,20.3164
117,2340.0,106.82556,20.97176,107.48091,20.97176
118,2360.0,106.82555,22.28248,107.4809,22.28248
119,2380.0,106.82554,22.93785,106.82554,22.93785
120,2400.0,106.82554,23.59321,106.17018,22.93786
121,2420.0,105.51482,22.93786,105.51482,23.59323
122,2440.0,104.2041,24.24859,104.2041,23.59324
123,2460.0,104.2041,24.90396,104.2041,25.55933
124,2480.0,104.2041,26.87005,104.2041,26.87005
125,2500.0,103.54874,27.52542,103.54874,28.18078
126,2520.0,102.89338,28.18078,103.54874,28.83614
