,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.65536,0.0,0.0
2,40.0,0.0,0.65536,0.0,0.0
3,60.0,0.0,0.0,0.65536,0.0
4,80.0,0.0,0.65536,1.0000000003174e-05,0.0
5,100.0,0.0,0.65536,1.0000000003174e-05,1.0000000003174e-05
6,120.0,1.0000000003174e-05,1.31073,1.0000000003174e-05,0.65538
7,140.0,-0.65535,1.31073,-0.65535,1.31073
8,160.0,-0.65535,1.31073,-0.65535,1.31074
9,180.0,-0.65535,1.9661,-1.31071,1.31075
10,200.0,-0.65535,1.9661,-1.31071,1.31074
11,220.0,-0.65535,1.9661,-0.65535,1.31074
12,240.0,-1.31071,1.9661,-1.31071,1.31074
13,260.0,-1.31071,1.9661,-1.31071,1.31074
14,280.0,-0.65535,1.9661,-1.31071,1.31074
15,300.0,-1.31071,1.96609,-1.31071,1.31074
16,320.0,-1.31072,1.9661,-1.31071,1.31074
17,340.0,-1.31072,1.31074,-1.31071,1.9999999999243e-05
18,360.0,-1.31072,0.65537,-1.31071,1.9999999999243e-05
19,380.0,-1.31072,0.65537,-1.31071,1.9999999999243e-05
20,400.0,-1.31072,0.65538,-1.31071,1.9999999999243e-05
21,420.0,-1.31072,0.65538,-1.96607,0.65538
22,440.0,-1.31072,0.65538,-1.96607,0.65539
23,460.0,-1.96607,1.31075,-1.96607,0.65539
24,480.0,-1.96608,1.31075,-2.62143,0.65539
25,500.0,-2.62143,0.65539,-2.62143,0.65539
26,520.0,-2.62142,1.31075,-2.62142,0.65539
27,540.0,-2.62142,0.65539,-2.62142,3.0000000002417e-05
28,560.0,-2.62142,2.0000000006348e-05,-1.96606,-0.65534
29,580.0,-1.96607,2.0000000006348e-05,-1.96606,1.0000000003174e-05
30,600.0,-1.96607,1.0000000003174e-05,-1.96607,1.0000000003174e-05
31,620.0,-1.96607,1.0000000003174e-05,-1.31071,1.0000000003174e-05
32,640.0,-1.96607,0.0,-1.96607,1.0000000003174e-05
33,660.0,-1.96606,0.65536,-1.96606,0.0
34,680.0,-1.96606,0.65536,-1.96605,0.0
35,700.0,-1.96606,-9.9999999960687e-06,-1.96605,-0.65537
36,720.0,-1.96606,0.65535000000001,-1.96605,0.0
37,740.0,-2.62141,-9.9999999960687e-06,-2.62141,-9.9999999960687e-06
38,760.0,-2.62141,0.65535000000001,-3.27676,-9.9999999960687e-06
39,780.0,-2.6214,0.65535000000001,-3.27676,0.0
40,800.0,-3.27677,0.65535000000001,-3.27676,0.65535
41,820.0,-3.93212,0.65535000000001,-3.93211,0.65536
42,840.0,-4.58747,0.65535000000001,-3.9321,-9.9999999960687e-06
43,860.0,-3.9321,0.65534,-3.9321,-1.9999999999243e-05
44,880.0,-3.9321,-1.9999999999243e-05,-3.9321,-0.65538
45,900.0,-3.9321,-2.9999999995312e-05,-3.9321,-0.65538
46,920.0,-3.9321,-0.65539,-4.58746,-1.31075
47,940.0,-3.9321,-1.31076,-3.9321,-1.96612
48,960.0,-3.9321,-1.31077,-3.9321,-1.96613
49,980.0,-3.9321,-1.31077,-3.9321,-1.96613
50,1000.0,-4.58746,-1.96615,-4.58747,-2.62151
51,1020.0,-3.93211,-1.96615,-1.96603,-3.27688
52,1040.0,5.000000000166e-05,-3.27688,1.31076,-3.93224
53,1060.0,2.62148,-3.93225,3.27683,-5.24297
54,1080.0,3.93218,-5.24297,3.93218,-6.55369
55,1100.0,3.93218,-5.89833,3.27682,-5.89833
56,1120.0,2.62145,-5.89833,1.96608,-5.89833
57,1140.0,1.31072,-5.89834,3.93219,-6.55371
58,1160.0,8.51988,-6.55372,7.86461,-8.51982
59,1180.0,6.55387,-7.86446,6.55387,-7.86445
60,1200.0,6.55386,-6.55372,5.8985,-6.55372
61,1220.0,5.8985,-5.24301,5.24314,-5.89837
62,1240.0,5.24314,-5.24301,4.58779,-5.89837
63,1260.0,4.58779,-5.24301,3.93243,-5.89838
64,1280.0,3.27708,-5.24302,3.27709,-6.55374
65,1300.0,2.62173,-6.55375,2.62174,-7.20911
66,1320.0,2.62174,-7.20911,2.62175,-8.51983
67,1340.0,1.96639,-7.86448,1.9664,-9.17521
68,1360.0,1.9664,-8.51985,1.96641,-9.83057
69,1380.0,1.96641,-9.83058,1.96641,-10.48594
70,1400.0,1.96641,-9.83059,1.96641,-11.14131
71,1420.0,2.62176,-10.48596,2.62177,-11.14132
72,1440.0,2.62176,-11.14132,2.62177,-11.14133
73,1460.0,2.62176,-11.14133,2.62177,-11.7967
74,1480.0,2.62176,-11.14134,1.96641,-11.7967
75,1500.0,1.96641,-11.79671,2.62177,-12.45207
76,1520.0,1.96641,-12.45208,2.62177,-13.10744
77,1540.0,1.96647,-12.45208,1.96655,-12.45206
78,1560.0,1.96657,-13.10742,1.96657,-13.76278
79,1580.0,1.96657,-13.10743,1.96658,-13.76279
80,1600.0,1.96658,-13.76279,2.62194,-14.41815
81,1620.0,2.62193,-14.41816,2.62194,-15.07352
82,1640.0,2.62194,-14.41816,1.96658,-15.07352
83,1660.0,2.62194,-14.41816,1.96658,-15.07352
84,1680.0,2.62194,-15.07352,2.62194,-15.72888
85,1700.0,2.62194,-15.72889,2.62194,-16.38425
86,1720.0,1.96658,-15.72889,2.62194,-17.03961
87,1740.0,1.31124,-18.35035,-2.62078,-18.35037
88,1760.0,-1.96533,-18.35037,-0.65458,-19.66109
89,1780.0,-0.65459,-19.00573,-0.65458,-19.00573
90,1800.0,-0.65458,-19.00572,0.000780000000006,-19.66109
91,1820.0,-0.65458,-19.00572,-0.65458,-19.66108
92,1840.0,0.00077000000000282,-19.00573,-0.65458,-19.66109
93,1860.0,-0.65459,-19.00573,-0.65459,-19.66109
94,1880.0,-0.65459,-19.66109,-0.65459,-19.66109
95,1900.0,-0.65459,-19.66109,-0.65459,-20.31645
96,1920.0,-0.65459,-19.66109,-1.30995,-20.97181
97,1940.0,-1.30995,-20.31645,-0.65459,-20.97182
98,1960.0,-0.65459,-20.31646,-1.30995,-20.97182
99,1980.0,-0.65459999999999,-20.97183,-0.65459,-21.62718
