,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535999999999,0.65536,9.9999999960687e-06,0.65538
2,40.0,-0.65535999999999,1.31074,9.9999999960687e-06,1.31074
3,60.0,-0.65535,1.9661,9.9999999960687e-06,1.9661
4,80.0,1.0000000003174e-05,2.62146,9.9999999960687e-06,1.96611
5,100.0,2.0000000006348e-05,2.62147,1.9999999999243e-05,1.96611
6,120.0,-0.65534,2.62147,1.9999999999243e-05,2.62148
7,140.0,-0.65534,2.62147,0.65538,2.62148
8,160.0,-0.65534,3.27684,1.9999999999243e-05,2.62148
9,180.0,-0.65534,3.27684,-0.65533,2.62149
10,200.0,-0.65533,3.27684,2.9999999995312e-05,2.62149
11,220.0,-0.65532,3.27684,-0.65532,3.27685
12,240.0,-1.31068,3.27685,-0.65532,3.27685
13,260.0,-1.31068,3.27685,-0.65532,3.27685
14,280.0,-1.31068,3.9322,-0.65531,3.27685
15,300.0,-1.96604,3.27685,-1.96607,1.31076
16,320.0,-5.24296,3.0000000002417e-05,-5.24297,3.0000000002417e-05
17,340.0,-5.24296,3.0000000002417e-05,-5.24296,-0.65532
18,360.0,-5.89832,3.9999999998486e-05,-5.24296,-0.65532
19,380.0,-5.89832,3.9999999998486e-05,-5.24297,5.000000000166e-05
20,400.0,-5.89833,5.000000000166e-05,-5.24297,5.000000000166e-05
21,420.0,-5.24298,5.000000000166e-05,-4.58762,-0.65531
22,440.0,-5.24298,5.000000000166e-05,-5.24298,5.9999999997729e-05
23,460.0,-5.24298,0.65542,-4.58762,0.65542
24,480.0,-5.24298,0.65542,-4.58762,0.65542
25,500.0,-5.89835,0.65542,-5.24298,-0.65531
26,520.0,-5.89835,5.000000000166e-05,-5.24299,-0.65531
27,540.0,-5.24299,0.65541,-5.24299,5.9999999997729e-05
28,560.0,-5.89836,5.9999999997729e-05,-5.243,5.9999999997729e-05
29,580.0,-5.243,5.9999999997729e-05,-5.243,-0.65529
30,600.0,-5.89836,5.9999999997729e-05,-5.24299,7.0000000000903e-05
31,620.0,-5.89835,0.65543,-5.24299,7.0000000000903e-05
32,640.0,-5.24299,0.65543,-5.24299,0.65544
33,660.0,-5.89835,1.31079,-4.58762,0.65544
34,680.0,-5.24299,1.31079,-4.58762,0.65544
35,700.0,-5.24298,1.96616,-4.58762,1.31081
36,720.0,-5.24298,1.96617,-4.58762,1.31082
37,740.0,-5.24298,1.96618,-5.24298,1.96618
38,760.0,-5.24298,2.62155,-5.24298,2.62155
39,780.0,-5.89833,3.27691,-5.24297,2.62156
40,800.0,-5.89833,3.27692,-5.89833,3.27692
41,820.0,-6.55369,3.93229,-5.89832,3.27693
42,840.0,-6.55368,3.93229,-6.55368,3.9323
43,860.0,-7.20904,3.9323,-7.20904,3.9323
44,880.0,-7.86439,3.9323,-7.86439,3.27694
45,900.0,-8.51975,3.9323,-8.51974,3.93231
46,920.0,-5.89818,10.48591,-2.62113,17.03952
47,940.0,-3.93177,19.0056,-4.58715,19.0056
48,960.0,-5.89787,20.31633,-5.2425,20.31633
49,980.0,-5.89786,20.31634,-5.24251,20.31635
50,1000.0,-5.89787,20.31635,-5.24251,20.31635
51,1020.0,-6.55324,20.97171,-5.24251,20.97172
52,1040.0,-6.55324,21.62708,-5.89788,21.62709
53,1060.0,-6.55324,22.93782,-6.55323,22.93782
54,1080.0,-7.2086,24.24854,-7.20859,24.24855
55,1100.0,-7.86394,25.55927,-7.20857,26.21464
56,1120.0,-7.86393,27.52536,-7.20856,28.18072
57,1140.0,-8.51928,28.83607,-8.51927,28.83607
58,1160.0,-8.51927,29.49143,-8.51927,29.49143
59,1180.0,-9.17464,29.49143,-8.51927,28.83609
60,1200.0,-9.17463,29.49144,-8.51927,28.83609
61,1220.0,-9.83,28.83609,-9.17464,28.18074
62,1240.0,-9.82999,30.14682,-5.89764,36.04506
63,1260.0,2.62228,39.32187,7.2099,39.32186
64,1280.0,5.2438,39.32185,5.24379,38.66649
65,1300.0,5.2438,39.32184,5.89916,37.35576
66,1320.0,5.89914,37.35575,6.5545,36.04503
67,1340.0,6.55449,34.7343,7.20985,34.07894
68,1360.0,7.8652,32.76821,7.8652,30.80214
69,1380.0,7.20983,29.49142,7.86517,26.86998
70,1400.0,7.86516,25.55925,8.52051,22.28244
71,1420.0,9.1784,20.31635,9.17584,18.35026
72,1440.0,9.17582,17.69489,9.17581,17.69489
73,1460.0,13.10802,20.9717,26.21544,24.9039
74,1480.0,27.52625,26.86998,25.56014,27.52534
75,1500.0,24.90476,28.83605,24.90477,30.14678
76,1520.0,22.93868,31.4575,24.24939,31.4575
77,1540.0,24.24937,32.11285,24.90472,30.80212
78,1560.0,24.9047,30.14674,26.87076,28.18064
79,1580.0,27.5261,26.86989,30.14753,23.59307
80,1600.0,32.76895,20.31623,36.70109,17.0394
81,1620.0,39.32251,13.76256,44.56536,10.48574
82,1640.0,50.46358,7.86427,58.98176,5.24281
83,1660.0,72.74603,5.2428,81.26586,4.58744
84,1680.0,83.23191,4.58743,85.85333,5.2428
85,1700.0,89.13014,5.24279,92.40696,4.58743
86,1720.0,93.06232,4.58741,95.68377,4.5874
87,1740.0,97.64986,5.24276,98.96058,5.89812
88,1760.0,99.61594,6.55348,101.58202,5.89812
89,1780.0,100.92667,6.55349,101.58204,6.5535
90,1800.0,100.27132,7.86422,100.92668,6.55351
91,1820.0,99.61596,7.86424,100.27131,7.86424
92,1840.0,98.96058,8.51961,98.30521,8.51961
93,1860.0,96.33911,9.17496,95.68374,9.17496
94,1880.0,93.71764,9.83031,92.40691,9.83031
95,1900.0,91.09618,10.48565,89.78546,9.83027
96,1920.0,87.81938,8.51952,87.16401,6.5534
97,1940.0,85.85329,4.58729,85.85329,1.96581
98,1960.0,84.54257,-1.31105,85.8533,-7.86472
99,1980.0,85.85331,-11.79694,87.16404,-16.38451
100,2000.0,87.16405,-19.66135,88.47478,-24.24892
101,2020.0,89.13016,-27.52576,89.13018,-31.45796
102,2040.0,89.1302,-35.39016,89.78558,-39.32235
103,2060.0,89.13021,-40.63308,89.78557,-41.94381
104,2080.0,89.13021,-43.25455,88.47485,-44.56528
105,2100.0,87.81948,-44.56528,87.81948,-44.56528
106,2120.0,86.50875,-43.90993,85.85338,-43.90993
107,2140.0,84.54265,-43.25457,84.54265,-43.25456
108,2160.0,82.57657,-42.5992,82.57657,-41.94384
109,2180.0,81.9212,-41.28848,81.26584,-40.63311
110,2200.0,80.61048,-39.97775,79.29973,-40.63312
111,2220.0,71.43518,-44.56531,66.19212,-45.22069
112,2240.0,65.53678,-42.59923,66.84752,-41.28847
113,2260.0,65.53679,-38.667,65.53679,-36.70089
114,2280.0,64.22607,-34.07943,64.88144,-32.11332
115,2300.0,64.22608,-30.14723,64.88145,-28.83648
116,2320.0,65.53682,-26.21502,66.19219,-24.2489
117,2340.0,65.53684,-20.3167,66.19221,-16.38448
118,2360.0,64.8815,-11.14155,64.22615,-7.8647
119,2380.0,62.26008,-4.58787,61.60474,-3.27712
120,2400.0,60.29403,-1.9664,60.29404,-2.62175
121,2420.0,58.98332,-1.9664,58.98333,-1.9664
122,2440.0,58.32797,-1.31105,57.67261,-1.96641
123,2460.0,57.67262,-1.31106,57.67262,-1.96642
124,2480.0,56.3619,-0.6557,56.3619,-1.31104
125,2500.0,56.36191,-0.00032999999999817,60.2941,0.65504
126,2520.0,77.98911,5.89794,92.40753,9.83012
127,2540.0,95.02932,11.14084,95.02933,10.4855
128,2560.0,94.37394,11.79624,95.68467,12.45274
129,2580.0,95.68468,13.76235,96.9954,14.41773
130,2600.0,96.99541,15.0731,96.99541,15.72848
131,2620.0,96.34005,17.0392,95.6847,18.34994
132,2640.0,93.06327,20.31602,91.75255,20.31602
133,2660.0,88.47576,20.97138,86.5097,22.2821
134,2680.0,82.57754,23.59281,80.61148,22.93745
135,2700.0,76.67932,22.28206,73.40253,21.62671
136,2720.0,69.47038,20.31597,67.5043,19.00525
137,2740.0,64.22751,18.34989,62.91679,16.38381
138,2760.0,60.29535,16.3838,59.64,15.07309
139,2780.0,58.32927,14.41773,57.67392,13.10702
140,2800.0,56.36321,13.10702,56.36322,12.45167
141,2820.0,55.70786,11.79631,55.70787,11.14095
142,2840.0,55.05252,11.14095,55.05252,10.48559
143,2860.0,54.39717,10.48559,54.39717,9.17486
144,2880.0,50.46474,3.27659,39.9784,-7.20924
145,2900.0,9.17592,-16.38433,-2.62098,-30.14694
146,2920.0,-6.5533,-31.45768,-3.27646,-28.83622
147,2940.0,-2.62108,-26.87011,-1.96572,-26.21474
148,2960.0,-1.96572,-24.90401,-0.655,-23.59328
149,2980.0,-1.31036,-22.28254,0.00036000000000058,-21.62717
150,3000.0,0.00036000000000058,-19.66109,1.31108,-19.00571
151,3020.0,0.65572,-18.35034,1.96644,-18.35034
