,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65537,-1.0000000003174e-05,0.0,9.9999999960687e-06
2,40.0,9.9999999960687e-06,0.0,0.0,0.0
3,60.0,0.0,0.0,0.0,0.0
4,80.0,9.9999999960687e-06,-1.0000000003174e-05,0.65536,0.0
5,100.0,0.65536,-1.0000000003174e-05,1.31072,0.0
6,120.0,1.96608,-0.65537,1.96607,-1.31073
7,140.0,-3.9999999998486e-05,-1.31072,-15.7289,-1.31068
8,160.0,-34.07923,0.65542,-39.3222,1.31079
9,180.0,-38.01145,1.96615,-37.35609,2.62151
10,200.0,-37.35609,2.62151,-37.3561,3.27687
11,220.0,-36.70073,3.27687,-36.70074,3.93223
12,240.0,-36.70073,3.93223,-36.70074,3.93223
13,260.0,-36.70074,4.58759,-36.70075,4.58759
14,280.0,-36.70074,4.58759,-36.70075,4.58759
15,300.0,-36.04538,4.58759,-36.04539,5.24295
16,320.0,-36.04538,4.58759,-36.70075,5.24295
17,340.0,-36.04538,5.24295,-36.04538,5.24295
18,360.0,-36.04538,5.24294,-39.97758,5.24295
19,380.0,-41.94369,5.89831,-41.28832,5.89832
20,400.0,-41.28832,5.89832,-41.28832,5.89832
21,420.0,-41.28832,6.55367,-41.28832,6.55367
22,440.0,-41.28832,6.55367,-41.28832,6.55368
23,460.0,-41.28832,6.55367,-41.28832,6.55368
24,480.0,-41.28832,6.55367,-41.94368,7.20904
25,500.0,-41.28831,7.20903,-41.94368,6.55368
26,520.0,-41.28831,6.55367,-41.28832,7.20904
27,540.0,-41.28832,7.20904,-41.94368,7.20904
28,560.0,-41.94367,7.20903,-41.28832,7.20904
29,580.0,-41.94367,7.20903,-41.94368,7.20904
30,600.0,-41.28831,7.20904,-41.94368,7.20904
31,620.0,-41.94367,7.20904,-41.94367,7.8644
32,640.0,-41.94367,7.86439,-41.94367,7.8644
33,660.0,-41.94367,7.8644,-41.94367,7.8644
34,680.0,-41.94367,7.86439,-41.94368,7.8644
35,700.0,-41.94367,7.86439,-41.94367,7.8644
36,720.0,-41.28831,7.86439,-41.94367,7.8644
37,740.0,-41.94367,7.86439,-41.94367,7.8644
38,760.0,-41.94367,7.86439,-39.32221,8.51975
39,780.0,-26.8702,7.86437,-22.2826,7.209
40,800.0,-24.24868,8.51972,-24.90405,8.51973
41,820.0,-24.24868,8.51973,-24.24869,8.51973
42,840.0,-23.59332,7.86437,-23.59333,8.51973
43,860.0,-24.24868,7.86436,-23.59333,7.86436
44,880.0,-22.93797,7.86436,-22.28262,7.86436
45,900.0,-21.62726,8.51972,-22.28263,8.51972
46,920.0,-21.62727,7.86436,-22.28263,7.86436
47,940.0,-21.62727,8.51972,-22.28264,7.86436
48,960.0,-22.28263,8.51972,-22.28264,8.51972
49,980.0,-22.28263,7.86436,-21.62727,8.51972
50,1000.0,-22.28263,8.51972,-22.28263,8.51973
51,1020.0,-21.62726,8.51972,-21.62727,8.51972
52,1040.0,-21.62726,8.51972,-21.62727,8.51972
53,1060.0,-21.62727,8.51972,-21.62727,7.86436
54,1080.0,-22.28262,8.51972,-22.28263,7.86436
55,1100.0,-22.28263,7.86436,-22.28263,7.86436
56,1120.0,-22.93799,7.209,-22.28263,7.20901
57,1140.0,-22.93799,6.55364,-22.93799,6.55364
58,1160.0,-22.93799,6.55364,-23.59335,6.55365
59,1180.0,-23.59335,5.89829,-23.59335,5.89829
60,1200.0,-23.59335,6.55364,-15.07358,6.55363
61,1220.0,-6.55374,5.24289,-7.20909,6.55361
62,1240.0,-8.51982,7.20898,-8.51981,7.20898
63,1260.0,-8.51981,7.86434,-8.51981,7.86433
64,1280.0,-8.5198,7.86433,-7.86444,8.51969
65,1300.0,-8.51979,8.51969,-8.5198,8.51969
66,1320.0,-8.51979,8.51969,-8.51979,8.51969
67,1340.0,-8.51979,8.51969,-9.17515,8.51969
68,1360.0,-9.17514,8.51968,-9.17515,8.51969
69,1380.0,-9.17514,8.51969,-9.8305,8.51969
70,1400.0,-9.8305,8.51968,-10.48586,8.51969
71,1420.0,-9.8305,8.51969,-10.48586,8.51969
72,1440.0,-10.48586,8.51968,-10.48586,8.51969
73,1460.0,-10.48585,8.51968,-10.48586,8.51969
74,1480.0,-10.48585,8.51968,-3.27681,9.17504
75,1500.0,9.83059,8.51967,15.07356,9.17503
76,1520.0,14.41822,9.83039,13.76284,9.83039
77,1540.0,13.76284,10.48575,14.4182,9.83039
78,1560.0,15.07355,9.83039,15.07354,10.48575
79,1580.0,15.7289,9.83039,15.7289,10.48575
80,1600.0,15.7289,9.83039,15.72889,9.83039
81,1620.0,15.72889,10.48575,15.72889,10.48575
82,1640.0,15.72889,10.48574,15.72889,10.48575
83,1660.0,15.07353,9.83039,4.58765,9.17504
84,1680.0,-3.93215,8.51967,-3.2768,8.51967
85,1700.0,-1.96605,9.17503,-2.62142,9.17504
86,1720.0,-2.62142,9.83039,-1.96607,9.17503
87,1740.0,-1.96607,9.17503,-1.96607,9.83039
88,1760.0,-1.96606,9.83039,-1.96607,9.8304
89,1780.0,-1.96607,9.83039,-1.96607,9.8304
90,1800.0,-1.96606,9.17504,-1.31071,9.83039
91,1820.0,-1.96606,9.83039,-1.96607,9.83039
92,1840.0,-5.2429,9.17504,-11.79661,9.17504
93,1860.0,-12.45199,8.51967,-11.7966,9.17504
94,1880.0,-11.7966,9.17504,-11.7966,9.17504
95,1900.0,-11.14125,9.17503,-11.14125,9.17504
96,1920.0,-11.14124,9.17504,-11.14124,9.17504
97,1940.0,-10.48588,9.17503,-11.14124,9.17503
98,1960.0,-11.14124,9.17503,-11.14124,9.17503
99,1980.0,-11.7966,9.17503,-11.7966,9.17504
100,2000.0,-11.14123,9.83039,-11.14124,9.17503
101,2020.0,-11.14123,9.17503,-11.14124,9.83039
102,2040.0,-11.79659,9.17503,-11.7966,9.17503
103,2060.0,-11.14123,9.17503,-11.7966,9.17503
104,2080.0,-11.79659,9.17503,-11.7966,9.17503
105,2100.0,-11.79659,9.17503,-11.7966,9.17503
106,2120.0,-12.45195,9.17503,-12.45196,9.83039
107,2140.0,-11.79659,9.17503,-12.45196,9.17503
108,2160.0,-8.51977,9.83038,2.62151,9.17501
109,2180.0,11.79669,9.175,13.10744,10.48573
110,2200.0,12.45209,10.48573,13.10743,10.48573
111,2220.0,13.7628,10.48573,14.41815,10.48573
