,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.0,1.0000000003174e-05,9.9999999960687e-06
2,40.0,0.0,0.0,1.0000000003174e-05,9.9999999960687e-06
3,60.0,-0.65536,-0.65536,0.0,0.0
4,80.0,-0.65536,-0.65536,-0.65535,0.0
5,100.0,-0.65536,-0.65536,1.0000000003174e-05,-0.65536
6,120.0,9.9999999960687e-06,-1.31073,0.65538,-1.31073
7,140.0,0.65537,-1.96609,0.65538,-1.96609
8,160.0,0.65537,-2.62146,1.31074,-1.96609
9,180.0,1.31073,-2.62146,1.31074,-1.9661
10,200.0,1.31073,-2.62146,1.31074,-2.62146
11,220.0,1.31074,-3.27683,1.31074,-2.62147
12,240.0,1.31074,-3.27683,1.31074,-3.27682
13,260.0,1.31074,-3.93219,1.31075,-3.27683
14,280.0,0.65538,-3.27683,0.65539,-2.62147
15,300.0,0.65539,-3.27683,0.6554,-2.62146
16,320.0,0.65539,-2.62146,3.9999999998486e-05,-1.9661
17,340.0,3.9999999998486e-05,-2.62146,3.9999999998486e-05,-1.9661
18,360.0,-0.65532,-2.62146,3.9999999998486e-05,-1.9661
19,380.0,-0.65532,-2.62147,-0.65532,-1.9661
20,400.0,-1.31069,-2.62146,-1.31068,-1.96609
21,420.0,-1.96605,-2.62146,2.62153,-0.65538
22,440.0,9.17522,-1.31074,9.17523,-0.65538
23,460.0,7.86449,-0.65537,7.20913,0.0
24,480.0,7.20912,-0.65536,7.86449,0.0
25,500.0,7.86447,0.0,7.86448,0.65537
26,520.0,7.86447,0.65537,7.86448,1.9661
27,540.0,5.24302,2.62148,-3.93211,4.58758
28,560.0,-5.24283,5.89831,-4.58745,7.20905
29,580.0,-5.24283,7.20905,-5.24282,8.51977
30,600.0,-5.24282,7.86441,-5.24281,8.51978
31,620.0,-5.24282,7.86442,-5.24281,8.51979
32,640.0,-5.24282,8.51978,-5.2428,9.83051
33,660.0,-5.24281,9.17514,-5.24281,9.83051
34,680.0,-5.24281,9.83051,-5.2428,11.14124
35,700.0,-5.89817,10.48587,-5.89816,11.14124
36,720.0,-5.24281,11.14124,-5.89816,11.79661
37,740.0,-5.89817,11.14123,-5.2428,11.7966
38,760.0,-5.24281,11.14123,-5.2428,11.79659
39,780.0,-5.24281,11.79659,-5.2428,12.45195
40,800.0,-5.24281,11.79659,-5.2428,13.10731
41,820.0,0.65549,11.79657,4.58772,13.76266
42,840.0,3.93235,13.1073,3.93234,13.76266
43,860.0,3.93235,13.1073,3.93235,13.76266
44,880.0,3.93235,13.10729,3.93236,13.1073
45,900.0,3.93235,12.45193,3.93236,12.45193
46,920.0,3.93235,12.45193,3.277,12.45193
47,940.0,3.27699,11.79657,3.277,12.45193
48,960.0,3.277,11.79656,3.277,11.79656
49,980.0,3.277,11.1412,3.93237,11.1412
50,1000.0,3.277,10.48583,3.277,10.48583
51,1020.0,3.27699,9.83047,3.277,10.48583
52,1040.0,4.58773,9.83046,15.72898,13.10726
53,1060.0,19.66121,12.45191,19.6612,12.45191
54,1080.0,19.00583,12.45191,19.00584,12.45192
55,1100.0,19.00583,11.79655,19.00584,12.45191
56,1120.0,19.00583,11.14118,19.00584,11.79655
57,1140.0,19.00583,11.14118,19.6612,11.79654
58,1160.0,19.6612,11.14117,19.6612,11.79653
59,1180.0,19.66119,11.14176,19.6612,11.14117
60,1200.0,19.00583,10.4858,19.6612,11.14117
61,1220.0,19.66119,10.4858,19.6612,10.48581
62,1240.0,19.66119,9.83044,19.6612,9.83044
63,1260.0,19.00583,9.17507,19.6612,9.83044
64,1280.0,19.00583,9.17507,19.00584,9.17508
65,1300.0,19.00583,8.51971,19.66119,8.51971
66,1320.0,22.28265,9.17506,35.39001,13.10725
67,1340.0,40.63297,13.10725,39.32225,13.10726
68,1360.0,39.32223,13.10726,39.32224,13.76263
69,1380.0,38.66687,13.10727,38.66687,13.76263
70,1400.0,38.66686,13.10727,38.01151,13.76264
71,1420.0,38.0115,13.10727,38.0115,13.10728
72,1440.0,38.0115,12.45191,38.01151,12.45191
73,1460.0,37.35614,11.79655,37.35614,12.45192
74,1480.0,36.70077,11.79655,37.35614,12.45192
75,1500.0,36.70078,11.14119,36.70078,11.79656
76,1520.0,36.70077,11.14119,36.70078,11.79656
77,1540.0,36.70077,11.14119,37.35614,11.79656
78,1560.0,36.04542,11.14119,36.70078,11.1412
79,1580.0,36.04541,10.48583,36.04542,11.1412
80,1600.0,36.04541,10.48584,36.04541,11.14121
81,1620.0,36.04541,10.48584,36.04541,11.14121
82,1640.0,35.39005,10.48584,36.04542,11.14121
83,1660.0,35.39004,9.83048,35.39005,10.48585
84,1680.0,35.39005,9.83048,35.39006,10.48585
85,1700.0,35.39005,10.48584,35.39006,10.48585
86,1720.0,35.39005,10.48584,35.39006,11.14121
87,1740.0,34.73469,10.48584,34.73469,11.79658
88,1760.0,34.07932,11.14121,34.07932,12.45194
89,1780.0,33.42396,11.79658,32.7686,12.45194
90,1800.0,34.73468,12.45194,43.90987,16.38412
91,1820.0,48.49748,15.72875,47.84211,15.72875
92,1840.0,47.18673,15.07339,46.53138,15.0734
93,1860.0,46.53137,14.41803,46.53137,14.41804
94,1880.0,46.53137,13.10731,46.53137,13.76267
95,1900.0,45.876,12.45195,46.53137,12.45195
96,1920.0,46.53136,11.79659,46.53137,12.45195
97,1940.0,46.53136,11.79658,46.53137,12.45195
98,1960.0,46.53136,11.79657,47.18673,11.79657
99,1980.0,46.53137,9.83048,47.8421,9.83048
100,2000.0,47.8421,7.86439,47.84211,7.20901
101,2020.0,47.84211,6.55363,48.49747,6.55363
102,2040.0,48.49748,5.2429,47.84213,5.2429
103,2060.0,47.84213,4.58752,55.05117,7.86434
104,2080.0,66.19244,11.79653,68.15858,12.45189
105,2100.0,66.84785,12.45189,67.5032,13.10726
106,2120.0,67.5032,12.45191,66.84784,12.45192
107,2140.0,66.84782,12.45191,66.19247,12.45193
108,2160.0,65.5371,11.79656,65.5371,12.45193
109,2180.0,64.88173,11.79656,65.5371,11.79657
110,2200.0,64.88173,11.79657,64.88174,12.45193
111,2220.0,64.88173,11.79656,65.5371,12.45193
112,2240.0,64.88174,11.79656,64.88174,12.45193
113,2260.0,64.88174,11.79656,64.88174,12.45193
114,2280.0,64.88173,11.79656,64.88174,12.45193
115,2300.0,64.88173,12.45192,70.78004,13.76265
116,2320.0,77.33377,14.41801,77.98915,15.07338
117,2340.0,77.33377,14.41802,77.33378,15.07339
118,2360.0,76.67842,14.41802,77.33378,14.41803
119,2380.0,77.33377,13.76266,77.98914,14.41803
120,2400.0,77.33377,13.76266,77.98914,14.41803
121,2420.0,77.98913,13.76266,77.98914,13.76266
122,2440.0,77.98913,13.1073,79.29986,13.76266
123,2460.0,87.1643,17.03949,92.40728,17.69486
124,2480.0,92.40728,16.38412,92.40728,17.03949
125,2500.0,91.75191,17.03949,92.40728,17.03949
126,2520.0,91.75191,17.03948,92.40729,17.03949
127,2540.0,92.40728,16.38412,93.06264,17.69485
128,2560.0,92.40728,17.03948,92.40729,17.69484
129,2580.0,92.40728,17.03947,92.40729,17.69484
130,2600.0,92.40729,17.03948,92.40729,17.69484
131,2620.0,92.40729,17.03947,92.4073,17.69484
132,2640.0,91.75194,17.69483,91.75195,17.69484
133,2660.0,91.75194,17.69484,91.75195,18.3502
134,2680.0,91.75194,18.3502,91.09659,19.00557
135,2700.0,91.09658,18.3502,91.09659,19.00557
136,2720.0,91.09659,18.3502,91.09659,18.35021
137,2740.0,90.44123,17.69485,90.44123,17.69485
138,2760.0,84.54291,15.72878,56.36201,12.45201
139,2780.0,20.31675,7.8645,-7.20859,4.58766
140,2800.0,-13.76219,4.58761,-8.5193,6.55373
141,2820.0,-8.51932,6.55373,-7.86396,7.20909
142,2840.0,-7.20861,6.55372,-6.55325,7.20909
143,2860.0,-6.55327,5.89836,-5.89792,5.89836
144,2880.0,-5.24257,5.24299,-5.24258,5.89835
145,2900.0,-5.24259,5.24298,-4.58723,5.24299
146,2920.0,-5.24261,5.24298,-5.24261,5.24298
147,2940.0,-5.24262,5.24297,-9.17481,8.51981
148,2960.0,-9.83018,8.51982,-8.51945,8.51981
149,2980.0,-8.51946,7.86444,-8.51945,7.86444
150,3000.0,-8.51946,6.55371,-7.86409,6.55371
151,3020.0,-7.8641,5.89834,-7.20874,6.55371
152,3040.0,-7.20874,5.89834,-7.20874,5.89834
153,3060.0,-7.86411,5.89833,-7.20874,5.89833
154,3080.0,-7.86411,5.24297,-7.20875,5.24298
155,3100.0,-7.20875,4.5876,-6.55339,5.24297
156,3120.0,-6.55339,3.93224,-5.24266,4.5876
157,3140.0,7.20929,5.24295,17.03984,7.20903
158,3160.0,17.6952,6.55366,17.03984,7.20904
159,3180.0,17.03983,6.55367,17.6952,7.20904
160,3200.0,17.03983,6.55367,17.69519,7.20904
161,3220.0,17.69518,6.55367,17.69519,7.20903
162,3240.0,17.69518,5.89831,17.69518,6.55366
163,3260.0,17.69518,5.24293,17.69518,5.24293
164,3280.0,17.69516,3.9322,17.69516,2.62147
165,3300.0,18.35052,-3.93219,23.59338,-13.76269
166,3320.0,33.42373,-25.55926,51.77385,-28.83605
167,3340.0,68.8133,-30.80213,70.7794,-26.21456
168,3360.0,64.88118,-22.28241,59.63828,-18.35025
169,3380.0,54.39543,-14.41807,50.4633,-8.5198
