,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-0.65535999999999,0.0,1.0000000003174e-05
2,40.0,-0.65535,0.0,0.0,0.0
3,60.0,-0.65535,0.0,9.9999999960687e-06,1.0000000003174e-05
4,80.0,-0.65535,1.0000000003174e-05,9.9999999960687e-06,0.65537
5,100.0,-0.65535,0.65536,9.9999999960687e-06,0.65537
6,120.0,-0.6528,0.65537,-0.65535000000001,0.65537
7,140.0,-1.31071,1.31073,-0.65535000000001,1.31073
8,160.0,-1.3107,1.31073,-1.31071,1.31073
9,180.0,-1.96607,0.65537,-1.3107,1.31073
10,200.0,-1.96606,1.31073,-1.3107,0.65537
11,220.0,-1.96606,1.31073,-1.3107,1.31073
12,240.0,-1.96607,0.65537,-1.3107,0.65537
13,260.0,-1.96606,1.31073,-1.31071,0.65537
14,280.0,-1.31072,0.65536,-0.65536,0.65536
15,300.0,-0.65537,0.65536,-1.0000000003174e-05,0.0
16,320.0,-9.9999999960687e-06,-9.9999999960687e-06,0.65534,-9.9999999960687e-06
17,340.0,-0.65539,0.65536,-4.0000000005591e-05,1.96609
18,360.0,-0.65537999999999,1.31073,-3.0000000002417e-05,1.96609
19,380.0,-2.9999999995312e-05,2.62145,0.65533,1.96609
20,400.0,-2.9999999995312e-05,2.62144,0.65533,2.62145
21,420.0,-1.9999999999243e-05,1.96609,1.31069,1.96609
22,440.0,-2.9999999995312e-05,1.96608,1.31069,1.96609
23,460.0,0.65533000000001,1.31072,1.31068,1.96609
24,480.0,0.65533000000001,1.96608,1.31069,1.96608
25,500.0,0.65532,1.96608,1.31069,1.96608
26,520.0,0.65532,1.96608,1.31069,1.96608
27,540.0,0.65533000000001,1.96608,1.31068,1.96608
28,560.0,0.65532,1.31072,1.31068,1.96608
29,580.0,0.65532,1.96608,1.31068,1.96608
30,600.0,0.65532,1.96608,1.31068,1.96609
31,620.0,0.65532,1.96609,1.31068,2.62145
32,640.0,0.65532,2.62144,0.65532,2.62145
33,660.0,0.65532,3.27681,0.65533,3.27681
34,680.0,-3.9999999998486e-05,3.27681,0.65533,3.27681
35,700.0,0.65533000000001,3.27681,0.65532,3.93217
36,720.0,-2.9999999995312e-05,3.27681,0.65532,3.93218
37,740.0,-2.9999999995312e-05,4.58754,0.65533,4.58754
38,760.0,-2.9999999995312e-05,4.58754,-3.0000000002417e-05,3.93218
39,780.0,-2.9999999995312e-05,3.93217,-4.0000000005591e-05,4.58754
40,800.0,-0.65539,4.58754,-4.0000000005591e-05,4.58754
41,820.0,-0.6554,4.58754,-4.0000000005591e-05,3.93218
42,840.0,-0.6554,4.58754,-4.0000000005591e-05,4.58754
43,860.0,-1.31076,4.58754,-0.65541,4.58755
44,880.0,-1.96613,4.58755,-1.31077,4.58755
45,900.0,-2.6215,4.58755,-1.31078,4.58755
46,920.0,3.27684,5.89825,8.5198,7.20897
47,940.0,6.55369,7.20897,7.20904,7.86434
48,960.0,7.20903,7.20897,7.86438,7.20897
49,980.0,7.20902,7.20897,8.51974,7.20897
50,1000.0,7.86437,7.20896,8.51974,7.20897
51,1020.0,7.86438,7.20897,8.51974,7.86433
52,1040.0,8.51974,7.86432,9.1751,7.86433
53,1060.0,7.86439,7.86432,9.17511,7.20896
54,1080.0,8.51975,7.20896,9.17511,7.20895
55,1100.0,8.51975,7.20896,9.17511,7.20896
56,1120.0,8.51975,6.55359,9.1751,6.55359
57,1140.0,7.86438,5.89823,8.51974,6.55359
58,1160.0,7.86438,5.24287,7.86439,5.24287
59,1180.0,7.20903,5.24287,7.86438,5.24287
60,1200.0,7.20903,4.58751,7.86438,4.58751
61,1220.0,9.17513,4.5875,17.03957,5.24285
62,1240.0,20.31644,5.8982,20.31644,6.55356
63,1260.0,19.66107,6.55357,20.31644,6.55357
64,1280.0,19.66108,7.20893,19.66108,6.55357
65,1300.0,19.00572,6.55357,19.66108,7.20893
66,1320.0,18.35036,7.20893,19.00572,6.55357
67,1340.0,17.695,5.89821,18.35036,5.89821
68,1360.0,17.69499,5.89821,24.24868,7.20892
69,1380.0,34.07929,8.51962,36.04542,9.17498
70,1400.0,33.42395,9.83034,34.07931,10.48571
71,1420.0,34.07932,10.48571,34.73468,11.14108
72,1440.0,33.42396,11.14107,34.07931,11.14108
73,1460.0,33.42395,11.14108,34.07932,11.79644
74,1480.0,33.42395,11.79644,33.42395,11.79644
75,1500.0,32.76859,11.79644,33.42394,11.79645
76,1520.0,32.11323,11.79645,32.76858,11.79645
77,1540.0,32.11322,11.79644,32.76858,11.79644
78,1560.0,32.11322,11.79644,32.76857,11.79645
79,1580.0,32.11321,11.79644,35.39004,11.79644
80,1600.0,45.22062,13.10714,51.77437,14.41785
81,1620.0,50.46363,14.41785,51.11898,15.07322
82,1640.0,51.11898,15.07322,51.11897,15.72858
83,1660.0,51.11897,15.72857,51.77433,15.72858
84,1680.0,51.11897,15.72858,51.77432,15.72858
85,1700.0,51.11896,15.72858,51.11896,15.72858
86,1720.0,50.4636,15.72858,51.11895,15.72858
87,1740.0,50.46359,15.72858,50.46358,15.07322
88,1760.0,49.80822,15.07322,49.80822,15.07323
89,1780.0,49.15285,15.07323,49.15285,15.07323
90,1800.0,48.49748,15.07323,48.49747,15.07323
91,1820.0,47.84211,14.41786,48.49746,14.41787
92,1840.0,47.8421,13.7625,53.74042,14.41785
93,1860.0,63.57105,14.41784,63.57107,14.41783
94,1880.0,60.94958,14.41783,62.26031,15.0732
95,1900.0,61.60495,15.72856,62.2603,15.72856
96,1920.0,61.60494,16.38392,62.2603,16.38393
97,1940.0,61.60493,15.72857,61.60493,16.38393
98,1960.0,61.60492,16.38392,61.60492,16.38393
99,1980.0,61.60492,16.38393,61.60492,16.38393
100,2000.0,60.94956,17.03929,61.60492,17.69465
101,2020.0,60.94956,17.69466,60.94955,18.35002
102,2040.0,60.29419,19.00538,60.94955,19.66075
103,2060.0,60.29419,19.66074,60.29419,20.31611
104,2080.0,59.63882,20.97147,60.29418,20.97147
105,2100.0,59.63882,20.31611,58.32808,19.00539
106,2120.0,42.59919,12.45179,22.28262,4.58749
107,2140.0,2.62152,-1.31072,-9.8305,-3.27677
108,2160.0,-11.79658,-2.62142,-9.83046,-0.65533
109,2180.0,-10.48585,3.0000000002417e-05,-9.83049,0.65539
110,2200.0,-9.83049,1.31075,-9.17513,1.96611
111,2220.0,-9.8305,1.96611,-8.51978,2.62147
112,2240.0,-9.17514,2.62147,-8.51978,3.27683
113,2260.0,-9.17514,3.27683,-7.86442,3.27683
114,2280.0,-8.51978,3.27683,-7.86442,3.27683
115,2300.0,-7.86442,3.27682,-7.20906,3.27683
116,2320.0,-7.20906,2.62146,-6.55371,2.62147
117,2340.0,-7.20907,2.62145,-5.89835,2.62146
118,2360.0,-6.55371,2.62145,-5.24299,2.62146
119,2380.0,-5.89835,2.62145,-5.24299,2.62145
120,2400.0,-6.55371,2.62145,-1.31078,2.62144
121,2420.0,9.17517,3.93213,15.07352,3.93212
122,2440.0,14.41814,4.58748,15.72886,4.58748
123,2460.0,15.07351,4.58748,15.72886,4.58749
124,2480.0,15.07351,4.58748,15.72886,3.93212
125,2500.0,15.0735,3.93212,15.0735,3.93212
126,2520.0,14.41814,3.93212,15.0735,3.93213
127,2540.0,14.41814,3.27676,15.0735,3.27676
128,2560.0,14.41814,3.27676,14.41814,3.93213
129,2580.0,14.41814,3.27677,14.41814,3.93213
130,2600.0,13.76278,3.27677,15.07351,3.93212
131,2620.0,23.59334,5.24283,30.80244,5.89818
132,2640.0,29.49171,6.55354,30.14706,6.55354
133,2660.0,30.14707,6.55354,30.14707,7.20891
134,2680.0,29.49171,6.55354,30.14706,6.55354
135,2700.0,30.14706,5.89818,30.14706,6.55354
136,2720.0,30.14705,5.89818,30.80241,5.89818
137,2740.0,30.14705,5.89818,31.45776,5.89818
138,2760.0,30.8024,5.89818,31.45775,5.89818
139,2780.0,30.80239,5.24282,31.45775,5.24282
140,2800.0,30.80239,5.24282,31.45775,5.89818
141,2820.0,30.80239,5.89818,30.8024,5.89818
142,2840.0,30.80239,5.89819,31.45776,5.89819
143,2860.0,30.14704,6.55355,30.80239,5.89819
144,2880.0,30.14704,5.89819,30.80239,6.55355
145,2900.0,30.14703,6.55355,30.80239,6.55355
146,2920.0,29.49167,6.55355,30.14703,6.55356
147,2940.0,23.59336,4.58749,19.00574,3.93213
148,2960.0,18.35038,3.27677,19.66112,3.93214
149,2980.0,18.35039,3.93214,19.00575,3.93214
150,3000.0,19.00575,3.93214,19.66111,3.27678
151,3020.0,19.00575,3.27677,19.6611,3.27678
152,3040.0,19.00575,3.27678,19.00575,3.93214
153,3060.0,18.35039,3.93214,19.00575,3.93214
154,3080.0,19.00575,4.5875,19.00575,4.5875
155,3100.0,18.3504,4.5875,19.00575,4.58751
156,3120.0,17.69503,4.58751,18.35039,5.24287
157,3140.0,17.69503,5.24287,18.35039,5.24287
158,3160.0,17.69503,5.89823,18.35039,5.89824
159,3180.0,17.69503,5.89824,18.35039,5.89824
160,3200.0,17.69503,5.24288,20.97187,5.24287
161,3220.0,36.70076,7.20892,47.18674,8.51962
162,3240.0,43.90991,9.17499,43.9099,10.48572
163,3260.0,44.56527,11.79645,44.56526,13.10717
164,3280.0,43.25454,13.10718,43.9099,14.41791
165,3300.0,43.25453,14.41791,43.9099,14.41791
166,3320.0,42.59917,14.41791,43.90989,14.41791
167,3340.0,43.25453,15.07327,43.25453,15.07327
168,3360.0,42.59917,15.07327,43.25453,15.07327
169,3380.0,42.59916,15.07327,43.90987,15.72863
170,3400.0,43.2545,15.72863,43.90986,15.72863
171,3420.0,43.90986,15.72863,44.56521,15.72863
172,3440.0,43.90985,16.38399,45.22057,15.72863
173,3460.0,44.56521,15.72862,45.22057,15.72863
174,3480.0,44.56521,15.72863,45.87593,15.72863
175,3500.0,50.46355,17.03934,54.39578,17.6947
176,3520.0,53.08504,17.6947,53.74039,17.6947
177,3540.0,53.74039,17.6947,54.39575,18.35006
178,3560.0,53.74039,17.6947,54.39575,17.6947
179,3580.0,53.74038,17.6947,54.39574,17.6947
180,3600.0,53.74038,17.6947,53.74038,17.6947
181,3620.0,53.08501,17.6947,53.74038,17.6947
182,3640.0,53.74037,18.35006,53.74037,18.35007
183,3660.0,53.08501,18.35006,55.70648,18.35006
184,3680.0,60.29409,19.00542,60.94946,19.66078
185,3700.0,60.29409,19.66078,60.94944,20.31614
186,3720.0,60.29408,20.31615,60.29409,20.97151
187,3740.0,-49.15104,20.97151,60.29408,21.62687
188,3760.0,59.63872,21.62687,60.29408,22.28223
189,3780.0,59.63872,22.28223,60.29408,22.28223
