,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65535,-1.31073,0.0,-1.31073
2,40.0,1.3107,-2.62146,0.65535,-3.27682
3,60.0,1.3107,-5.24292,1.31071,-5.89828
4,80.0,2.6214,-7.86438,2.62141,-9.1751
5,100.0,3.93212,-11.79655,3.93213,-12.4519
6,120.0,4.58746,-14.41798,3.9321,-14.41798
7,140.0,3.93206,-16.38407,2.62134,-15.07334
8,160.0,3.27666,-15.72871,1.96593,-15.7287
9,180.0,2.62126,-17.03944,1.9659,-17.03944
10,200.0,3.2766,-18.35016,3.2766,-17.6948
11,220.0,3.93195,-18.35018,3.27661,-17.69482
12,240.0,4.58732,-18.3502,3.27661,-17.69483
13,260.0,3.93196,-18.35021,3.93199,-17.69486
14,280.0,3.93197,-18.35023,3.93199,-17.03951
15,300.0,4.58734,-17.69488,3.932,-17.69488
16,320.0,3.93197,-19.66098,1.96585,-19.66098
17,340.0,3.27656,-19.66098,2.62122,-19.00561
18,360.0,3.27657,-19.66097,2.62122,-18.35024
19,380.0,3.27656,-19.0056,1.96586,-17.69487
20,400.0,3.27657,-18.35024,2.62122,-17.03951
21,420.0,2.62121,-17.69488,1.96586,-15.72879
22,440.0,2.62121,-16.38416,1.31051,-15.07344
23,460.0,1.31049,-15.07345,-0.00021000000000271,-13.76272
24,480.0,0.65514,-13.76274,-1.31091,-12.45201
25,500.0,-0.65556,-12.45201,-1.96625,-11.14129
26,520.0,-1.3109,-11.1413,-2.6216,-10.48593
27,540.0,-1.96624,-10.48594,-2.62158,-9.83057
28,560.0,-1.96623,-10.48594,-2.62159,-10.48592
29,580.0,-1.31088,-11.14129,-1.96623,-10.48592
30,600.0,-1.31088,-11.79665,-1.31088,-11.79664
31,620.0,-0.65554,-12.45201,-1.3109,-12.452
32,640.0,-0.00018000000000029,-13.76272,-1.3109,-13.10736
33,660.0,-0.00019000000000347,-13.76273,-1.31091,-13.10736
34,680.0,-0.00019999999999953,-13.76273,-1.3109,-13.10736
35,700.0,-1.31091,-13.10737,-1.96626,-12.45201
36,720.0,-1.31091,-13.10737,-1.96625,-11.79665
37,740.0,-1.3109,-12.45202,-1.96625,-11.79665
38,760.0,-1.3109,-12.45202,-2.62161,-11.79666
39,780.0,-1.3109,-12.45203,-1.96625,-11.79666
40,800.0,-1.31091,-13.1074,-1.31089,-13.76276
41,820.0,3.2767,-16.38421,3.93213,-15.72884
42,840.0,3.9321,-16.38421,3.27674,-15.07348
43,860.0,3.9321,-15.72885,3.27675,-15.72885
44,880.0,3.93209,-17.03957,3.27674,-15.72885
45,900.0,4.58745,-17.03958,3.93211,-16.38422
46,920.0,4.58745,-17.03959,3.9321,-17.03959
47,940.0,4.58745,-18.35031,3.9321,-17.69496
48,960.0,4.58744,-19.00569,3.9321,-18.35033
49,980.0,4.58744,-19.66105,4.58746,-19.00569
50,1000.0,5.2428,-19.66106,4.58746,-19.66106
51,1020.0,5.24279,-20.97179,3.93207,-22.28252
52,1040.0,1.96591,-24.904,1.96592,-24.24863
53,1060.0,3.27663,-25.55936,2.62128,-25.55935
54,1080.0,3.93198,-27.52544,3.27664,-26.87008
55,1100.0,3.93198,-28.1808,3.27663,-26.87008
56,1120.0,3.93196,-28.18081,3.27661,-27.52544
57,1140.0,4.58732,-28.83617,3.93196,-28.18081
58,1160.0,4.5873,-30.1469,3.93195,-29.49153
59,1180.0,4.58729,-30.80226,3.93194,-30.1469
60,1200.0,5.898,-31.45763,5.24265,-30.80226
61,1220.0,5.898,-32.11299,5.24265,-31.45763
62,1240.0,6.55336,-32.113,5.89801,-30.80227
63,1260.0,5.898,-32.113,5.89801,-31.45763
64,1280.0,6.55335,-32.76836,5.89801,-31.45763
65,1300.0,6.55335,-32.76836,5.898,-32.113
66,1320.0,6.55335,-32.76837,5.89799,-32.11299
67,1340.0,6.55334,-33.42372,5.89799,-32.76836
68,1360.0,6.55334,-33.42372,5.89799,-32.76836
69,1380.0,6.55333,-34.07909,5.89799,-34.07908
70,1400.0,10.48554,-36.04517,18.35004,-37.35589
71,1420.0,21.62691,-38.01125,19.66083,-36.04515
72,1440.0,19.66081,-35.38979,19.66083,-34.07906
73,1460.0,19.66082,-34.07906,19.00548,-32.76833
74,1480.0,19.66082,-33.4237,19.00548,-32.76833
75,1500.0,19.66083,-32.76833,18.35012,-32.11296
76,1520.0,19.00547,-32.76833,18.35013,-32.11296
77,1540.0,19.00548,-32.76833,18.35012,-32.11296
78,1560.0,19.00547,-33.42368,18.35012,-32.76832
79,1580.0,19.00547,-33.42369,17.69476,-32.76833
