,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65536,-1.31072,-0.65536,-1.31073
2,40.0,-0.65537,-1.96608,-0.65537,-2.62145
3,60.0,-1.31074,-3.2768,-1.31073,-3.27681
4,80.0,-1.31074,-3.93217,-1.31073,-4.58754
5,100.0,-1.31074,-5.2429,-1.31073,-5.2429
6,120.0,-1.31074,-5.89826,-1.96609,-5.89826
7,140.0,-2.62146,-6.55362,-2.62145,-5.89758
8,160.0,-2.62146,-6.55362,-2.62146,-6.55363
9,180.0,-1.9661,-6.55363,1.0000000003174e-05,-5.2429
10,200.0,9.9999999960687e-06,-5.24288,1.0000000003174e-05,-5.24289
11,220.0,0.0,-5.89825,1.0000000003174e-05,-5.24289
12,240.0,-0.65535,-5.24288,1.0000000003174e-05,-4.58753
13,260.0,-0.65536,-5.24288,-0.65534,-4.58752
14,280.0,-0.65535,-5.24288,-0.65534,-3.93217
15,300.0,-1.31071,-4.58752,-1.3107,-4.58753
16,320.0,-0.65535,-4.58752,-1.31071,-3.93217
17,340.0,-1.31071,-4.58753,-1.31071,-4.58754
18,360.0,-1.31072,-5.24289,-0.65534,-4.58754
19,380.0,3.93221,-5.2429,4.5876,-4.58754
20,400.0,4.58759,-5.2429,5.24295,-4.58754
21,420.0,4.58759,-5.24289,4.58759,-4.58753
22,440.0,3.93222,-4.58753,3.93223,-3.93217
23,460.0,3.93222,-4.58752,4.58758,-3.93216
24,480.0,3.93221,-4.58751,3.93221,-5.24288
25,500.0,3.93221,-6.55359,3.93221,-7.20895
26,520.0,3.93221,-8.51966,3.93221,-9.17503
27,540.0,3.9322,-11.1411,3.9322,-11.79646
28,560.0,3.93218,-13.10717,3.27682,-13.76253
29,580.0,3.27681,-15.07324,3.27682,-15.07324
30,600.0,3.2768,-15.72859,3.27681,-15.07324
31,620.0,3.2768,-16.38395,3.27681,-16.38395
32,640.0,3.2768,-17.03931,13.76266,-17.03932
33,660.0,22.28253,-18.35002,23.59333,-18.35003
34,680.0,22.28257,-18.35002,22.28257,-18.35001
35,700.0,22.28257,-18.35,22.28258,-18.35
36,720.0,22.28257,-18.34999,22.28258,-17.69462
37,740.0,21.62721,-17.69462,22.28258,-17.03925
38,760.0,21.62721,-17.69459,21.62721,-17.03923
39,780.0,21.6272,-17.69458,21.62721,-17.69458
40,800.0,21.6272,-18.34993,21.6272,-17.69458
41,820.0,20.97183,-18.34993,19.00825,-17.69457
42,840.0,16.38421,-18.34992,16.38422,-17.69455
43,860.0,16.38421,-17.69454,16.38421,-17.03918
44,880.0,15.72885,-17.69453,15.72885,-17.03917
45,900.0,15.72885,-17.69452,15.72885,-17.03917
46,920.0,14.41813,-17.69452,14.41813,-17.03916
47,940.0,14.41813,-17.03916,13.76278,-17.03916
48,960.0,13.10741,-17.69451,13.10741,-17.03916
49,980.0,13.10741,-17.69451,12.45205,-17.69451
50,1000.0,12.45205,-18.34987,11.79669,-17.69451
51,1020.0,11.79669,-18.34988,11.79671,-17.69452
52,1040.0,11.7967,-18.34987,13.10746,-17.69451
53,1060.0,16.38433,-19.00524,17.03972,-18.34988
54,1080.0,15.72898,-18.34987,16.38435,-18.34987
55,1100.0,16.38434,-19.00523,16.38434,-18.34987
56,1120.0,15.72898,-19.00522,16.38434,-19.00523
57,1140.0,15.72897,-19.66059,16.38434,-19.00524
58,1160.0,15.72897,-19.6606,16.38434,-19.00524
59,1180.0,16.38433,-19.6606,16.38433,-19.6606
60,1200.0,16.38432,-20.31596,17.03969,-19.66061
61,1220.0,17.03967,-20.31597,17.03968,-20.31597
62,1240.0,16.38431,-20.31596,17.03967,-20.31597
63,1260.0,16.3843,-20.97133,17.03966,-20.97133
64,1280.0,17.03966,-21.6267,17.03966,-21.6267
65,1300.0,17.03966,-21.6267,17.69502,-21.6267
66,1320.0,17.69501,-22.93742,17.69502,-22.28207
67,1340.0,17.69501,-22.93743,17.69501,-22.93743
68,1360.0,17.695,-22.93743,19.00578,-22.28208
69,1380.0,22.93816,-22.28207,25.55974,-22.28208
70,1400.0,24.249,-22.28207,24.24899,-21.62671
71,1420.0,24.249,-22.28206,24.90436,-22.28207
72,1440.0,24.24899,-22.93743,24.249,-22.28207
73,1460.0,24.24899,-22.28207,24.249,-22.28208
74,1480.0,24.24899,-22.93743,24.90436,-22.28208
75,1500.0,24.24899,-22.93744,24.90435,-22.28208
76,1520.0,24.90434,-23.5928,24.90435,-22.93745
77,1540.0,24.24898,-23.5928,24.90435,-23.59281
78,1560.0,24.90434,-24.24817,24.90435,-23.59281
79,1580.0,24.90435,-24.24817,24.90435,-24.24818
80,1600.0,24.24894,-24.90354,24.24893,-24.24818
81,1620.0,24.24893,-24.90353,24.24893,-24.24817
82,1640.0,24.24893,-24.90353,24.24893,-24.24817
83,1660.0,24.24893,-24.90353,24.24894,-24.24817
84,1680.0,24.24893,-24.90353,24.24893,-24.24818
85,1700.0,24.24892,-24.90354,24.24893,-24.90354
86,1720.0,24.24892,-25.5589,24.90428,-24.90354
87,1740.0,24.90428,-25.5589,24.90428,-25.55891
88,1760.0,24.90427,-26.21427,24.90427,-25.55891
89,1780.0,24.90426,-26.21427,24.90427,-25.55892
90,1800.0,24.90426,-26.21427,24.90427,-26.21429
91,1820.0,30.80268,-23.59284,42.59938,-22.93747
92,1840.0,42.5994,-23.59282,40.6333,-22.93746
93,1860.0,41.94401,-22.93745,41.94402,-22.93745
94,1880.0,41.944,-23.59281,41.94401,-22.93745
95,1900.0,41.944,-22.93745,41.944,-22.93746
96,1920.0,42.59935,-23.59281,42.59935,-22.93746
97,1940.0,41.944,-22.93745,42.59936,-22.93746
98,1960.0,41.94399,-22.93746,41.944,-22.93746
99,1980.0,41.94399,-22.93746,41.944,-22.93746
100,2000.0,41.28863,-22.93746,41.28864,-22.93747
101,2020.0,41.28863,-22.93746,41.28864,-23.59283
102,2040.0,41.28863,-23.59282,41.28864,-23.59283
103,2060.0,41.28863,-24.24819,48.49766,-22.93747
104,2080.0,51.11916,-22.93745,51.11916,-22.93746
105,2100.0,51.11915,-22.93745,51.11915,-22.28209
106,2120.0,50.46379,-22.28208,51.11916,-22.28208
107,2140.0,50.46379,-22.93744,51.11916,-22.28209
108,2160.0,51.11916,-22.93744,51.11916,-22.93745
109,2180.0,51.11916,-22.93745,51.11917,-22.28209
110,2200.0,51.11916,-22.93745,51.11917,-22.93745
111,2220.0,51.11916,-23.59281,50.46381,-22.93745
112,2240.0,50.4638,-23.59281,49.80845,-23.59281
113,2260.0,49.15308,-23.5928,48.49773,-22.93745
114,2280.0,47.84237,-23.5928,47.84237,-23.59281
115,2300.0,47.187,-24.24816,47.18701,-24.24816
116,2320.0,46.53165,-24.90352,46.53166,-24.24817
117,2340.0,46.53166,-24.90352,46.53167,-24.24817
118,2360.0,45.22094,-25.5589,40.63337,-25.55891
119,2380.0,39.978,-25.5589,40.63339,-24.90354
120,2400.0,40.63338,-25.5589,39.97803,-24.90354
121,2420.0,39.97802,-25.5589,40.63339,-25.5589
122,2440.0,40.63338,-25.5589,40.63339,-25.55891
123,2460.0,40.63338,-25.55891,40.63339,-25.55891
124,2480.0,41.28874,-26.21427,41.28875,-25.55892
125,2500.0,41.28875,-26.21427,41.28875,-25.55891
126,2520.0,41.28875,-25.55891,41.94411,-25.55892
127,2540.0,41.9441,-25.55892,41.94411,-24.90356
128,2560.0,41.9441,-25.55891,41.94411,-25.55892
129,2580.0,41.9441,-25.55892,41.94411,-25.55892
130,2600.0,41.9441,-26.21428,41.9441,-25.55893
131,2620.0,42.59946,-26.21429,40.63337,-25.55893
132,2640.0,36.04579,-26.21428,35.39042,-25.55892
133,2660.0,36.0458,-26.21428,36.70116,-24.90355
134,2680.0,35.39043,-25.55891,36.0458,-24.90355
135,2700.0,36.04579,-25.5589,36.0458,-24.90355
136,2720.0,36.04579,-25.5589,36.70116,-24.90355
137,2740.0,35.39043,-25.55891,36.04579,-24.90355
138,2760.0,36.04579,-25.55891,36.0458,-24.90355
139,2780.0,36.04579,-25.55891,36.0458,-24.90355
140,2800.0,35.39043,-25.5589,35.39044,-24.90355
141,2820.0,35.39043,-24.90355,35.39044,-24.90355
142,2840.0,35.39043,-25.55891,35.39043,-24.90356
143,2860.0,35.39042,-25.55892,47.187,-22.93748
144,2880.0,72.74629,-21.62673,76.02319,-21.62673
145,2900.0,72.09098,-21.62672,71.43561,-20.97136
146,2920.0,71.43561,-21.62671,72.09097,-20.97135
147,2940.0,70.78024,-20.97135,71.4356,-20.31599
148,2960.0,71.4356,-20.97134,71.43561,-20.31599
149,2980.0,71.4356,-20.97134,72.09096,-20.31599
150,3000.0,71.4356,-20.97135,72.09096,-20.31599
151,3020.0,72.09096,-20.97135,72.74632,-20.316
152,3040.0,72.09095,-20.97136,72.09096,-20.97136
153,3060.0,71.43558,-20.97136,76.6785,-20.316
154,3080.0,85.85366,-20.31599,87.81979,-19.66063
155,3100.0,87.1644,-20.31598,87.16441,-19.66062
156,3120.0,87.81976,-19.66062,87.81977,-19.66062
157,3140.0,87.81976,-19.66062,87.81977,-19.00527
158,3160.0,88.47513,-19.00526,88.47513,-19.00527
159,3180.0,88.47513,-19.66063,88.47513,-19.00527
160,3200.0,88.47513,-19.00527,88.47513,-19.00528
161,3220.0,88.47512,-19.00527,88.47513,-19.00528
162,3240.0,88.47512,-19.66064,88.47513,-19.66064
163,3260.0,88.47512,-20.31599,88.47513,-19.00528
164,3280.0,87.81976,-20.31601,88.47513,-19.66065
165,3300.0,87.81976,-19.66064,87.81977,-19.00529
166,3320.0,87.81976,-19.66064,87.81977,-19.00529
167,3340.0,87.81976,-19.66065,87.81977,-19.00529
168,3360.0,87.81976,-19.66065,87.81977,-19.00529
169,3380.0,87.1644,-19.66065,87.16441,-19.00529
170,3400.0,86.50904,-19.66065,86.50905,-19.0053
171,3420.0,86.50904,-19.66065,86.50905,-19.00529
172,3440.0,85.85368,-19.00529,85.19832,-18.34994
173,3460.0,85.19832,-17.69456,84.54296,-17.69456
174,3480.0,84.54296,-17.69455,85.19832,-17.0392
175,3500.0,85.19832,-17.69455,85.19833,-16.38383
176,3520.0,84.54296,-17.03919,84.54297,-17.0392
177,3540.0,84.54297,-17.03919,84.54297,-16.38384
178,3560.0,83.88761,-17.03919,84.54297,-16.38384
179,3580.0,83.8876,-17.03919,83.88761,-17.0392
180,3600.0,83.8876,-17.69456,83.88761,-17.03921
181,3620.0,83.8876,-17.69456,83.88761,-17.03921
182,3640.0,83.8876,-17.69456,82.57688,-17.69457
183,3660.0,79.95539,-17.0392,79.95542,-16.38384
184,3680.0,80.61078,-17.03919,79.95542,-16.38383
185,3700.0,79.95542,-16.38383,80.61078,-16.38383
186,3720.0,79.95541,-17.03919,79.95542,-16.38384
187,3740.0,79.95541,-17.0392,80.61078,-16.38385
188,3760.0,79.95542,-16.38385,78.64471,-16.38386
189,3780.0,77.98935,-17.69458,78.64471,-16.38387
190,3800.0,77.98934,-16.38386,77.98935,-15.7285
191,3820.0,77.33399,-16.38386,76.67863,-15.07315
192,3840.0,76.02327,-15.07314,76.02328,-14.41779
193,3860.0,76.02328,-14.41779,76.02329,-14.4178
194,3880.0,76.02328,-15.07316,76.0233,-15.07316
195,3900.0,76.02329,-15.72852,76.67865,-15.07316
196,3920.0,76.67864,-16.38388,77.33401,-15.72852
197,3940.0,76.67865,-15.72852,76.67864,-15.07316
198,3960.0,83.88763,-14.41779,105.51482,-10.48559
199,3980.0,-43.25161,-10.48556,116.65626,-10.48557
200,4000.0,113.3794,-10.48555,114.03477,-9.17482
201,4020.0,115.34548,-9.83016,115.34547,-9.17481
202,4040.0,115.34546,-9.1748,115.34546,-9.1748
203,4060.0,114.69009,-8.51943,114.69009,-7.86407
204,4080.0,114.69008,-7.86407,114.69009,-7.20871
205,4100.0,114.03471,-7.86407,114.03472,-7.20871
206,4120.0,114.03471,-7.20872,113.37935,-7.20872
207,4140.0,113.37934,-7.86408,114.03471,-7.8641
208,4160.0,114.0347,-9.17482,114.0347,-8.51947
209,4180.0,114.03469,-9.8302,114.0347,-9.83023
210,4200.0,113.37933,-12.4517,113.37935,-16.38395
211,4220.0,111.41323,-25.55917,108.79172,-36.70062
212,4240.0,106.17023,-58.98329,109.44689,-83.8873
213,4260.0,111.41287,-108.13578,113.37893,-114.68941
214,4280.0,112.72359,-106.16962,112.06826,-91.75156
215,4300.0,112.72366,-76.02275,114.03447,-62.26004
216,4320.0,114.03451,-53.08486,114.03454,-46.53116
217,4340.0,114.03456,-43.25429,114.68994,-39.32207
218,4360.0,115.3453,-37.35593,116.00066,-34.73445
219,4380.0,115.3453,-33.42369,115.34531,-30.80222
220,4400.0,115.3453,-30.80219,115.34531,-28.83608
221,4420.0,115.34531,-28.18069,115.34532,-26.21459
222,4440.0,115.34532,-25.5592,115.34533,-24.24847
223,4460.0,115.34533,-23.59309,116.0007,-22.93772
224,4480.0,121.24365,-20.97163,125.83128,-19.00551
225,4500.0,125.17592,-18.35012,124.52055,-16.38402
226,4520.0,124.52056,-16.384,125.17593,-15.07327
227,4540.0,124.52056,-14.41789,125.17593,-13.76252
228,4560.0,125.17593,-13.76251,125.17593,-13.10715
229,4580.0,123.86521,-12.45178,124.52058,-12.45178
230,4600.0,123.86521,-12.45177,124.52058,-11.79641
231,4620.0,123.86521,-11.7964,124.52058,-11.14104
232,4640.0,124.52057,-11.79639,124.52058,-10.48567
233,4660.0,123.86521,-11.14102,124.52058,-11.14102
234,4680.0,123.86522,-11.14101,124.52059,-10.48565
235,4700.0,123.86522,-10.48565,123.86522,-9.83029
236,4720.0,123.86522,-10.48564,123.86522,-9.83028
237,4740.0,123.86522,-10.48563,123.86523,-9.83027
238,4760.0,123.20986,-9.83026,123.20987,-9.1749
239,4780.0,123.20986,-9.83025,123.20987,-9.1749
240,4800.0,122.55451,-9.83024,123.20987,-9.17489
241,4820.0,122.5545,-9.83025,111.4132,-11.14097
242,4840.0,56.36227,-14.41777,13.10778,-16.38388
243,4860.0,-5.89806,-16.38388,-10.48563,-15.07317
244,4880.0,-6.55344,-13.76241,-5.89807,-12.45167
245,4900.0,-6.55344,-11.7963,-5.24271,-10.48558
246,4920.0,-4.58735,-10.48556,-3.93199,-9.17484
247,4940.0,-3.93199,-9.17483,-2.62126,-8.51947
248,4960.0,-3.27663,-8.51946,-2.62127,-8.51946
249,4980.0,-2.62127,-7.8641,-1.96591,-7.8641
250,5000.0,-1.96592,-8.51946,-1.31055,-7.8641
251,5020.0,-1.31056,-7.86411,-1.31056,-7.86413
252,5040.0,-1.96593,-9.17487,-9.83034,-9.17488
253,5060.0,-11.79646,-10.48562,-9.83035,-9.83026
254,5080.0,-8.51961,-10.48561,-8.51961,-9.83027
255,5100.0,-8.51961,-10.48562,-8.5196,-11.14099
256,5120.0,-8.5196,-11.79634,-8.5196,-11.79635
257,5140.0,-9.17496,-11.79634,-8.5196,-11.79634
258,5160.0,-9.17497,-12.4517,-9.17496,-12.45171
259,5180.0,-9.17498,-13.10707,-9.17497,-13.10708
260,5200.0,-9.17498,-13.76244,-9.17498,-13.76244
261,5220.0,-9.17499,-14.41779,-9.17498,-13.76244
262,5240.0,-9.83035,-13.76244,-9.83034,-13.76245
263,5260.0,-9.83035,-13.76245,-11.79644,-13.76245
264,5280.0,-11.79645,-14.41781,-10.48571,-14.41782
265,5300.0,-10.48572,-15.07317,-11.14109,-15.07317
266,5320.0,-11.14109,-15.72853,-10.48573,-15.07317
267,5340.0,-11.14109,-15.72853,-10.48573,-15.07318
268,5360.0,-10.48573,-15.72853,-10.48573,-15.07318
269,5380.0,-11.1411,-15.72854,-11.1411,-15.07318
270,5400.0,-11.79646,-15.72853,-11.79646,-15.07318
271,5420.0,-11.79647,-15.72853,-11.79646,-15.07318
272,5440.0,-12.45183,-15.72853,-11.79647,-15.72854
273,5460.0,-12.45184,-15.72854,-11.79647,-15.72854
274,5480.0,-11.79648,-16.3839,-11.14112,-16.38391
275,5500.0,-11.14113,-17.03926,-11.14111,-17.03927
276,5520.0,-11.79649,-17.69463,-13.10721,-17.69464
277,5540.0,-13.76259,-18.35,-12.45186,-17.69463
