,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,-0.65536,0.65536,0.0
2,40.0,1.31072,-0.65535,0.65536,2.0000000006348e-05
3,60.0,1.31072,-0.65534,0.65536,0.65537
4,80.0,1.96608,-0.65534,1.31072,1.0000000003174e-05
5,100.0,1.96608,-0.65535,1.31072,1.0000000003174e-05
6,120.0,2.62144,-0.65535,1.31073,-0.65535
7,140.0,2.62145,-0.65535,1.96608,-0.65535
8,160.0,2.62145,-1.31071,1.96609,-1.31071
9,180.0,2.62144,-1.31071,1.96608,-1.31072
10,200.0,2.62144,-1.96608,1.96608,-1.31073
11,220.0,3.2768,-2.62144,2.62144,-1.96609
12,240.0,3.2768,-3.27681,3.2768,-2.62145
13,260.0,3.93216,-3.27681,3.2768,-2.62146
14,280.0,3.93216,-3.27682,3.93216,-3.27682
15,300.0,4.58752,-3.93218,3.93216,-3.27683
16,320.0,4.58752,-3.93218,3.93215,-3.27683
17,340.0,4.58752,-3.93218,3.93215,-3.93219
18,360.0,4.58751,-4.58755,3.93215,-3.93219
19,380.0,4.58751,-4.58755,4.58751,-3.93219
20,400.0,5.24287,-5.24291,4.58751,-4.58755
21,420.0,5.24287,-5.24291,4.58751,-4.58755
22,440.0,5.24287,-4.58755,4.58751,-4.58755
23,460.0,5.24287,-5.24291,4.58751,-5.24291
24,480.0,5.89824,-5.24291,5.24288,-5.24291
25,500.0,5.89824,-5.89827,5.89824,-5.24292
26,520.0,6.55359,-5.89827,5.89823,-5.89827
27,540.0,6.55359,-5.89827,5.89823,-5.89828
28,560.0,6.55359,-6.55364,7.86432,-7.86438
29,580.0,24.24849,-13.76267,38.01129,-20.31635
30,600.0,47.84187,-26.87002,46.53114,-26.21468
31,620.0,48.49719,-27.5254,48.49718,-26.87005
32,640.0,50.46325,-27.52541,49.80788,-27.52542
33,660.0,51.1186,-28.18078,50.46323,-27.52543
34,680.0,51.77395,-28.83614,51.11859,-28.18079
35,700.0,52.42931,-28.83615,52.4293,-28.83615
36,720.0,53.08467,-29.49151,52.42931,-28.83615
37,740.0,53.74003,-29.49151,53.08467,-28.83615
38,760.0,54.39539,-28.83615,53.74003,-28.83615
39,780.0,54.39539,-29.49151,55.05075,-28.83616
40,800.0,55.05075,-29.49151,55.05075,-28.18079
41,820.0,55.70611,-28.83615,55.70611,-28.1808
42,840.0,55.70611,-28.18079,55.05075,-28.18079
43,860.0,56.36147,-28.18079,50.46318,-21.62716
44,880.0,37.35585,-9.17518,17.69491,-0.65539
45,900.0,5.89836,1.96609,3.93227,2.62144
46,920.0,5.24298,1.96608,4.58761,3.2768
47,940.0,5.24295,2.62145,4.58759,3.2768
48,960.0,5.24295,3.27681,4.58758,3.27681
49,980.0,5.24295,3.27681,5.24294,3.93217
50,1000.0,5.89831,3.27682,5.89831,4.58754
51,1020.0,6.55367,3.93219,6.55367,4.58755
52,1040.0,7.20903,4.58755,6.55368,5.24291
53,1060.0,7.20904,4.58756,7.20904,5.24363
54,1080.0,7.8644,5.24291,7.20905,5.24291
55,1100.0,8.51977,5.24291,7.20906,5.89827
56,1120.0,7.86442,5.24291,7.20906,5.89827
57,1140.0,7.86442,5.89827,7.20906,6.55363
58,1160.0,7.86442,6.55364,7.20907,6.55364
