,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,9.9999999960687e-06,0.0,1.0000000003174e-05,0.0
2,40.0,0.65537,0.0,0.65537,0.0
3,60.0,0.65538,1.0000000003174e-05,0.65538,0.65537
4,80.0,0.65539,0.65537,0.65539,0.65537
5,100.0,3.0000000002417e-05,1.0000000003174e-05,0.65539,0.65537
6,120.0,3.9999999998486e-05,1.0000000003174e-05,3.0000000002417e-05,0.65537
7,140.0,0.6554,1.0000000003174e-05,0.6554,0.65538
8,160.0,0.6554,0.65537,1.96611,1.0000000003174e-05
9,180.0,1.96612,0.0,2.62146,-0.65535999999999
10,200.0,3.27683,-0.65535999999999,3.27682,0.0
11,220.0,3.27683,0.0,3.27682,0.0
12,240.0,3.93218,0.0,3.27681,0.65537
13,260.0,3.27682,1.0000000003174e-05,2.62146,0.65537
14,280.0,3.27682,1.0000000003174e-05,2.62146,0.65537
15,300.0,1.96611,1.0000000003174e-05,1.9661,-0.65535
16,320.0,1.96611,-1.31071,1.96609,-1.31071
17,340.0,1.96609,-1.31072,1.31073,-1.96608
18,360.0,2.62145,-1.96608,14.41805,-1.96608
19,380.0,20.3164,-3.2768,15.07346,-1.31072
20,400.0,14.4181,-1.31072,14.4181,-1.31071
21,420.0,14.41811,-1.31072,13.76274,-1.31071
22,440.0,14.41812,-1.96608,13.76275,-1.31072
23,460.0,13.76276,-1.96608,13.76276,-1.96608
24,480.0,13.76277,-2.62144,13.76277,-2.62144
25,500.0,13.76278,-2.62144,13.10741,-2.62144
26,520.0,13.10742,-2.62144,13.10742,-2.62143
27,540.0,13.10742,-2.62144,13.10741,-2.62143
28,560.0,12.45206,-3.27679,12.45205,-2.62143
29,580.0,13.10742,-3.2768,9.83059,-3.93216
30,600.0,5.000000000166e-05,-5.89826,-0.65534,-5.89826
31,620.0,1.31078,-5.24289,6.0000000004834e-05,-5.24288
32,640.0,7.0000000000903e-05,-5.89825,0.65543,-5.24289
33,660.0,0.65543,-5.89825,7.0000000000903e-05,-5.89824
34,680.0,0.65543,-5.89824,7.0000000000903e-05,-5.24288
35,700.0,0.65543,-5.24288,6.0000000004834e-05,-5.24288
36,720.0,0.65542,-5.89824,6.0000000004834e-05,-5.24287
37,740.0,5.9999999997729e-05,-5.24288,5.000000000166e-05,-4.58751
38,760.0,5.9999999997729e-05,-5.24287,-0.65531,-5.24287
39,780.0,-0.65531,-4.58752,-0.65531,-4.58752
40,800.0,-0.65531,-4.58752,-0.65532,-5.24288
41,820.0,-0.65532,-5.24288,-0.65533,-4.58752
42,840.0,-0.65533,-5.24288,-1.3107,-4.58752
43,860.0,-1.3107,-4.58752,-1.31072,-4.58752
44,880.0,-1.96608,-4.58752,-2.62145,-4.58752
45,900.0,-2.62145,-5.24288,-3.27683,-5.24288
46,920.0,-2.62147,-5.24289,-3.27684,-5.24288
47,940.0,-3.27683,-5.24289,-3.27684,-5.24288
48,960.0,-2.62148,-5.24289,-1.96612,-5.24288
49,980.0,-1.31076,-5.2429,-0.65539999999999,-5.89825
