,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,0.65536,0.0,0.65536
2,40.0,1.0000000003174e-05,1.31073,0.0,0.65537
3,60.0,0.0,1.31074,-0.65535,0.65537
4,80.0,1.0000000003174e-05,1.31074,1.0000000003174e-05,1.31073
5,100.0,1.0000000003174e-05,1.31074,0.65537,1.31074
6,120.0,0.65537,1.31073,0.65536,1.31072
7,140.0,1.31071,1.31072,1.31071,1.31071
8,160.0,1.31071,1.31071,1.96607,1.31071
9,180.0,1.96606,1.96608,2.62142,1.31071
10,200.0,1.96606,1.96608,1.96606,1.96608
11,220.0,2.62142,2.62145,2.62142,2.62144
12,240.0,2.62142,3.93218,2.62142,3.27681
13,260.0,2.62142,3.93219,3.27678,3.93217
14,280.0,3.27677,3.93218,3.27678,3.93218
15,300.0,3.93213,4.58755,3.27678,3.93218
16,320.0,3.93214,4.58755,3.93214,2.62146
17,340.0,3.93214,2.62147,3.93214,3.93219
18,360.0,3.93214,3.9322,3.93214,3.93219
19,380.0,3.93214,3.9322,3.93214,3.27683
20,400.0,3.93214,3.9322,3.27678,3.27683
21,420.0,3.27678,3.93219,3.27678,3.27683
22,440.0,3.27678,3.27684,3.27678,3.27683
23,460.0,3.27678,3.27684,2.62143,3.27683
24,480.0,2.62143,3.27684,2.62143,2.62146
25,500.0,3.27679,3.27683,2.62143,2.62146
26,520.0,2.62143,3.27682,2.62143,3.27682
27,540.0,2.62143,3.93218,1.96607,3.27682
28,560.0,2.62143,3.93219,2.62144,3.93218
29,580.0,2.62143,3.93219,2.62144,3.27682
30,600.0,7.20899,4.58756,7.20901,3.93219
31,620.0,6.55364,3.93219,6.55363,3.93219
32,640.0,5.89828,5.24292,6.55364,5.24292
33,660.0,5.89829,5.89829,5.89829,5.89829
34,680.0,6.55365,6.55366,5.89829,6.55365
35,700.0,5.89829,7.20902,5.8983,6.55365
36,720.0,5.89829,7.86439,5.24294,7.20903
37,740.0,5.8983,7.86439,5.24294,7.86439
38,760.0,5.24294,7.86439,4.58758,7.86439
39,780.0,5.24294,7.86439,4.58758,7.86439
40,800.0,4.58758,8.51975,4.58758,7.86439
41,820.0,4.58758,8.51976,4.58758,7.86439
42,840.0,4.58758,8.51976,4.58758,7.86438
43,860.0,5.24294,8.51975,5.24293,7.86438
44,880.0,5.89828,8.51974,5.24293,7.20901
45,900.0,5.89828,7.20901,5.89828,7.209
46,920.0,5.89828,7.20901,5.89827,6.55364
47,940.0,5.89827,6.55364,5.24291,6.55364
48,960.0,5.2429,7.20901,5.24291,6.55363
49,980.0,5.2429,5.89827,5.2429,5.89826
50,1000.0,5.24545,5.89827,5.2429,5.2429
51,1020.0,5.2429,5.2429,5.2429,4.58753
52,1040.0,5.2429,5.24289,5.2429,4.58753
53,1060.0,5.2429,4.58753,5.2429,4.58753
54,1080.0,5.2429,4.58753,4.58754,4.58753
55,1100.0,5.2429,4.58753,4.58754,3.93217
56,1120.0,5.2429,4.58753,4.58755,3.93216
57,1140.0,5.2429,4.58753,4.58755,3.93216
58,1160.0,4.58754,4.58752,4.58755,3.2768
59,1180.0,4.58755,3.93216,4.58755,3.2768
60,1200.0,4.58755,3.2768,4.58755,3.2768
61,1220.0,5.24291,3.93216,4.58755,3.27679
62,1240.0,4.58755,3.2768,4.58755,3.2768
63,1260.0,5.24291,3.27679,4.58756,3.27678
64,1280.0,5.24292,3.27679,4.58756,2.62142
65,1300.0,4.58756,2.62142,4.58756,1.96605
66,1320.0,5.24292,2.62142,4.58756,1.96605
67,1340.0,4.58756,2.62141,4.58756,1.31068
68,1360.0,4.58756,1.31068,14.41801,1.31069
69,1380.0,49.80772,3.27681,57.01679,1.96606
70,1400.0,51.77385,3.27679,-41.94264,3.2768
71,1420.0,51.77385,3.93217,50.46312,4.58753
72,1440.0,50.46312,5.24291,49.80776,5.89827
73,1460.0,49.80777,5.89827,49.80777,5.89826
74,1480.0,49.80776,6.55364,49.15241,6.55364
75,1500.0,49.15241,6.55364,49.15241,6.55364
76,1520.0,48.49705,6.55365,49.15241,5.89828
77,1540.0,49.15241,6.55365,49.15241,5.89828
78,1560.0,48.49705,6.55364,48.49705,5.89827
79,1580.0,48.49705,6.55364,49.15242,5.89827
80,1600.0,49.15242,5.89828,48.49706,5.89828
81,1620.0,48.49705,5.89828,48.49706,5.24291
82,1640.0,48.49705,5.24291,47.84169,4.58755
83,1660.0,47.8417,5.24291,47.84169,4.58754
84,1680.0,50.46313,4.58754,69.46877,6.55366
85,1700.0,82.57615,6.55367,81.26541,6.55365
86,1720.0,80.61003,6.55366,81.2654,5.89829
87,1740.0,81.26539,6.55366,81.92075,5.89829
88,1760.0,81.92074,6.55366,81.26538,6.55365
89,1780.0,81.92074,6.55366,81.92073,6.55366
90,1800.0,81.92073,7.20902,81.92072,5.8983
91,1820.0,81.92071,6.55366,81.92072,5.89829
92,1840.0,82.57607,6.55365,82.57607,5.89829
93,1860.0,82.57606,6.55365,82.57606,5.89829
94,1880.0,82.57605,5.89829,82.57605,5.89829
95,1900.0,83.23141,5.89829,82.57605,5.24293
96,1920.0,83.23141,5.24293,82.57604,5.24293
97,1940.0,82.57604,5.24293,82.57604,5.24293
98,1960.0,82.57604,5.24293,82.57604,4.58756
99,1980.0,82.57604,4.58756,85.1975,3.93219
100,2000.0,100.92636,5.89831,114.03377,7.20906
101,2020.0,116.65525,7.86442,115.3445,7.20905
102,2040.0,115.3445,7.86443,115.3445,7.86443
103,2060.0,115.3445,9.17517,114.68914,8.5198
104,2080.0,114.68914,9.83053,114.68914,9.17517
105,2100.0,114.68914,9.83054,114.68914,9.83053
106,2120.0,114.68914,9.83054,114.68913,9.17517
107,2140.0,114.68913,9.83054,114.68913,9.83053
108,2160.0,115.34449,9.83054,114.68913,9.83053
109,2180.0,114.03376,9.83054,114.68912,8.51981
110,2200.0,122.55354,10.48593,136.31631,9.83058
111,2220.0,137.62704,9.1752,135.66092,9.1752
112,2240.0,135.66093,9.83058,136.31629,9.83058
113,2260.0,135.66093,10.48595,135.66093,9.83059
114,2280.0,135.66093,11.14132,135.66092,10.48595
115,2300.0,135.66092,11.14132,135.00556,10.48595
116,2320.0,135.00556,11.14132,134.3502,10.48596
117,2340.0,135.00556,11.14133,134.35019,10.48596
118,2360.0,133.69483,10.48597,133.69484,10.48596
119,2380.0,134.35019,10.48597,133.69483,10.48596
120,2400.0,133.69483,10.48597,133.69483,10.48597
121,2420.0,133.69483,11.14134,133.69483,10.48597
122,2440.0,133.69483,10.48597,133.69483,9.83061
123,2460.0,133.69483,11.14134,133.69483,10.48599
124,2480.0,133.69483,11.14135,133.03947,10.48598
125,2500.0,133.69483,11.14135,133.03947,10.48599
126,2520.0,133.03946,10.48599,133.03947,10.48599
127,2540.0,133.03947,9.83063,143.52536,11.1414
128,2560.0,162.53113,13.7629,169.74019,11.14145
129,2580.0,167.77408,12.45217,167.77407,13.10753
130,2600.0,167.11872,13.76291,168.42943,14.41827
131,2620.0,168.42943,15.07364,168.42942,15.07364
132,2640.0,168.42942,15.07364,168.42942,15.07364
133,2660.0,169.08478,15.72901,168.42943,15.72901
134,2680.0,169.08478,16.38438,168.42943,16.38438
135,2700.0,169.08478,17.03974,167.77406,16.38438
136,2720.0,169.08478,17.69511,169.08478,17.69511
137,2740.0,168.42943,17.69511,169.08479,17.69511
138,2760.0,169.08479,18.35047,169.08479,17.69511
139,2780.0,169.08479,18.35048,169.08479,17.69512
140,2800.0,169.08479,18.35049,168.43194,18.35048
141,2820.0,168.42943,19.00585,167.77407,19.00584
142,2840.0,168.42943,19.66122,168.42943,19.66122
143,2860.0,168.42943,19.66122,167.77408,19.66122
144,2880.0,167.77408,20.31659,165.80798,17.03975
145,2900.0,138.93786,1.31088,86.50835,-13.76263
146,2920.0,38.66639,-25.55927,21.62682,-27.52539
147,2940.0,25.55904,-24.24854,24.90369,-23.59319
148,2960.0,23.59296,-22.28244,24.24834,-20.31636
149,2980.0,24.24835,-19.00562,23.59299,-18.35025
150,3000.0,23.593,-17.03952,23.59301,-16.38416
151,3020.0,23.593,-15.72879,22.93765,-15.07343
152,3040.0,23.59301,-13.7627,22.93766,-14.41807
153,3060.0,22.93766,-13.7627,22.2823,-13.76272
154,3080.0,22.2823,-14.41808,22.28229,-17.03956
155,3100.0,22.28229,-18.3503,22.28228,-20.31642
156,3120.0,21.62692,-22.28253,21.62691,-24.24866
157,3140.0,20.97155,-25.5594,20.31619,-28.18088
158,3160.0,19.66083,-27.52553,19.00546,-28.18091
159,3180.0,18.3501,-28.18091,17.69474,-28.83628
160,3200.0,17.69474,-28.83628,17.03938,-29.49165
161,3220.0,16.38402,-29.49164,16.38402,-29.49165
162,3240.0,16.38403,-28.83628,17.03939,-29.49165
163,3260.0,17.69475,-28.83628,17.69475,-29.49165
164,3280.0,18.35012,-28.18092,18.35013,-28.18092
165,3300.0,18.35013,-28.18091,18.35013,-28.18092
166,3320.0,23.59302,-27.52556,58.98274,-24.2487
167,3340.0,85.19751,-23.5933,89.12976,-24.90405
168,3360.0,85.8529,-24.24869,87.16363,-23.59331
169,3380.0,87.16363,-22.28258,87.16362,-21.62722
