,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65535,0.65537,0.65536,9.9999999960687e-06
2,40.0,1.31072,1.9999999999243e-05,0.65536,1.9999999999243e-05
3,60.0,1.31072,0.65538,0.65536,1.9999999999243e-05
4,80.0,1.31072,0.65539,0.65537,1.9999999999243e-05
5,100.0,1.31072,0.65538,0.65536,1.9999999999243e-05
6,120.0,1.31072,1.31075,0.65537,1.9999999999243e-05
7,140.0,1.31072,0.65539,0.65537,0.65537999999999
8,160.0,1.31072,0.65539,1.31073,0.65537999999999
9,180.0,1.31072,0.65539,1.31073,0.65537999999999
10,200.0,1.31072,1.31076,1.31073,0.65539
11,220.0,1.31072,1.31076,1.31072,0.65537999999999
12,240.0,1.96608,1.31075,1.31073,0.65539
13,260.0,1.96608,0.65539,1.31072,1.9999999999243e-05
14,280.0,1.96608,1.31076,1.31073,0.65539
15,300.0,1.96608,0.65539,1.96609,0.65537999999999
16,320.0,2.62144,1.31075,1.31073,0.65539
17,340.0,1.96608,0.65539,1.31074,-0.65534
18,360.0,1.31073,3.0000000002417e-05,0.65537999999999,1.9999999999243e-05
19,380.0,1.31074,1.31076,0.65537,0.65539
20,400.0,0.65537,0.6554,1.0000000003174e-05,0.65539
21,420.0,0.65537,1.31077,2.0000000006348e-05,1.31076
22,440.0,1.0000000003174e-05,1.31077,-0.65534,1.31077
23,460.0,-0.65534,1.96614,-1.31069,1.96614
24,480.0,-0.65533,2.62151,-1.31068,1.96614
25,500.0,-0.65532,2.62151,-1.96604,2.6215
26,520.0,-1.31067,2.62151,-1.96603,2.62151
27,540.0,-1.31067,3.27688,-1.96602,2.62151
28,560.0,-1.31067,3.93224,-1.96602,3.27687
29,580.0,-1.31067,3.93224,-1.96602,3.27687
30,600.0,-1.31066,3.93225,-1.96602,3.93224
31,620.0,-1.31067,4.5876,-1.96602,3.93224
32,640.0,-1.31066,3.93225,-1.96602,3.93224
33,660.0,-1.31066,4.58762,-1.96602,4.58761
34,680.0,-1.31066,5.24298,-2.62138,4.58761
35,700.0,-1.96602,5.24298,-1.96602,5.24298
36,720.0,-1.96602,5.89835,-2.62137,5.24298
37,740.0,-1.96602,5.89835,-1.96601,5.24299
38,760.0,-1.31065,5.89835,-1.96601,5.24299
39,780.0,-1.31065,5.89836,-1.96601,5.89835
40,800.0,-1.31065,5.89836,-1.966,5.24299
41,820.0,-1.31065,5.89836,-1.966,5.24299
42,840.0,-1.31064,5.89837,-1.966,5.89836
43,860.0,-1.31064,6.55373,-1.966,5.89836
44,880.0,-1.966,6.55373,-2.62135,5.89837
45,900.0,-1.96599,6.55374,-2.62135,6.55373
46,920.0,-1.96599,7.2091,-2.62134,6.55373
47,940.0,-1.96598,7.2091,-3.2767,6.55373
48,960.0,-1.96598,7.2091,-2.62134,7.20909
49,980.0,-1.96598,7.2091,-2.62134,6.55373
50,1000.0,-1.96598,7.2091,-2.62133,6.55373
51,1020.0,-1.96598,7.2091,-2.62133,6.55373
52,1040.0,-1.96598,7.2091,-3.27669,6.55373
53,1060.0,-2.62133,7.2091,-3.93206,6.55373
54,1080.0,-3.2767,7.2091,-3.27671,6.55373
55,1100.0,-2.62135,7.20909,-3.27671,5.89837
56,1120.0,-2.62136,6.55374,-2.62135,6.55373
57,1140.0,-1.966,7.2091,-2.62136,6.55373
