,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65535,0.0,0.65536,-0.65537
2,40.0,1.31071,-0.65537,0.65536,-0.65538
3,60.0,1.31072,-0.65537,1.31072,-1.31073
4,80.0,1.96608,-1.9661,1.96608,-1.9661
5,100.0,1.96608,-2.62146,1.96609,-1.96611
6,120.0,2.62144,-1.9661,2.62145,-3.27683
7,140.0,3.2768,-3.27683,2.62145,-3.9322
8,160.0,3.27681,-3.9322,3.27681,-4.58756
9,180.0,3.93217,-4.58756,3.27681,-4.58756
10,200.0,3.93218,-4.58757,3.27682,-5.24293
11,220.0,3.93218,-4.58757,3.27683,-5.24294
12,240.0,3.93219,-5.24293,3.27684,-5.24294
13,260.0,3.9322,-5.24294,3.27685,-5.8983
14,280.0,3.9322,-5.24294,3.27686,-5.8983
15,300.0,3.93222,-6.55366,3.93222,-7.20902
16,320.0,3.93221,-7.20902,3.93222,-8.51973
17,340.0,4.58757,-9.83045,4.58757,-10.48579
18,360.0,5.89828,-10.48578,5.24293,-11.14112
19,380.0,5.89828,-10.48574,5.89828,-10.48572
20,400.0,7.20898,-9.17497,5.89826,-7.86426
21,420.0,6.5536,-5.89816,5.24289,-3.27671
22,440.0,4.58751,-1.31062,3.93215,0.00010000000000332
23,460.0,3.27678,1.31082,1.96605,2.62155
24,480.0,1.96604,1.96619,1.31068,1.9662
25,500.0,1.31068,1.31084,0.65531,0.00012000000000256
26,520.0,0.65531,-0.65524,-0.65541,-1.31062
27,540.0,-5.000000000166e-05,-1.31062,-1.31075,-1.31064
28,560.0,-0.6554,-1.31065,-1.31075,-1.31065
29,580.0,-1.31075,-1.31066,-1.9661,-1.31067
30,600.0,-0.65538,-0.65532,-1.96609,-0.65532
31,620.0,-0.65537,-0.65533,-1.31072,-1.31069
32,640.0,5.24292,12.45192,22.28254,45.22017
33,660.0,40.63283,45.22045,44.56504,45.22052
34,680.0,41.28818,45.22052,36.04526,45.22052
35,700.0,30.80234,45.22052,26.2148,45.22052
36,720.0,22.93798,45.22052,19.66118,45.22052
37,740.0,19.00581,45.22052,17.69765,45.22052
38,760.0,17.6951,45.22052,16.38439,45.22052
39,780.0,17.03975,45.22052,17.03976,45.22052
40,800.0,17.03976,45.22052,17.03977,45.22052
41,820.0,17.69513,45.22052,17.03978,45.22052
42,840.0,17.69514,45.22052,17.69515,45.22052
43,860.0,17.69514,45.22052,17.69515,45.22052
44,880.0,18.3505,45.22052,17.69514,45.22052
45,900.0,18.3505,45.22052,18.35051,45.22052
46,920.0,18.3505,45.22052,19.00587,45.22052
47,940.0,19.00587,45.22052,19.00588,45.22052
48,960.0,15.72902,45.22052,14.4183,45.22052
49,980.0,15.07365,45.22052,14.41829,45.22052
50,1000.0,15.07364,45.22052,15.07364,45.22052
51,1020.0,15.72899,45.22052,15.72899,45.22052
52,1040.0,17.0397,45.22052,17.03971,45.22052
53,1060.0,17.69506,45.22052,17.69507,45.22052
54,1080.0,18.35044,45.22052,18.35044,45.22052
55,1100.0,19.66115,45.22052,18.35044,45.22052
56,1120.0,18.35044,45.22052,17.03973,45.22052
57,1140.0,16.38437,45.22052,15.07366,45.22052
58,1160.0,15.07365,45.22052,13.10758,45.22052
59,1180.0,13.76293,45.22052,19.00589,45.22052
60,1200.0,32.1133,45.22052,34.07946,45.22052
61,1220.0,32.76872,45.22052,30.80263,45.22052
62,1240.0,30.80262,45.22052,29.49191,45.22052
63,1260.0,30.14726,45.22052,29.4919,45.22052
64,1280.0,29.49188,45.22052,28.83652,45.22052
65,1300.0,29.49187,45.22052,28.83651,45.22052
66,1320.0,29.49187,45.22052,28.18116,45.22052
67,1340.0,29.49186,45.22052,28.83651,45.22052
68,1360.0,28.83651,45.22052,28.83651,45.22052
69,1380.0,29.49187,45.22052,29.49188,45.22052
70,1400.0,29.49187,45.22052,29.49188,45.22052
71,1420.0,30.14724,45.22052,29.49189,45.22052
72,1440.0,30.14724,45.22052,30.14725,45.22052
73,1460.0,30.14724,45.22052,30.14726,45.22052
74,1480.0,30.14724,45.22052,29.4919,45.22052
75,1500.0,30.14725,45.22052,29.4919,45.22052
76,1520.0,30.14726,45.22052,29.49191,45.22052
77,1540.0,30.80263,45.22052,30.14728,45.22052
78,1560.0,30.80263,45.22052,30.14728,45.22052
79,1580.0,30.80264,45.22052,30.14729,45.22052
80,1600.0,30.80264,45.22052,30.80265,45.22052
81,1620.0,36.04555,45.22052,48.4976,45.22052
82,1640.0,53.74055,45.22052,53.08519,45.22052
83,1660.0,53.08518,45.22052,52.42981,45.22052
84,1680.0,52.42981,45.22052,51.77445,45.22052
85,1700.0,52.4298,45.22052,51.77445,45.22052
86,1720.0,52.4298,45.22052,51.77444,45.22052
87,1740.0,53.08514,45.22052,53.08514,45.22052
88,1760.0,55.0512,45.22052,55.70653,45.22052
89,1780.0,57.01723,45.22052,56.36185,45.22052
90,1800.0,57.0172,45.22052,55.70648,45.22052
91,1820.0,55.05111,45.22052,53.08503,45.22052
92,1840.0,52.42966,45.22052,50.46358,45.22052
93,1860.0,49.80822,45.22052,48.49751,45.22052
94,1880.0,49.15286,45.22052,48.49751,45.22052
95,1900.0,51.11896,45.22052,64.22635,45.22052
96,1920.0,72.09077,45.22052,71.43541,45.22052
97,1940.0,71.43538,45.22052,71.43539,45.22052
98,1960.0,71.43538,45.22052,71.43537,45.22052
99,1980.0,71.43537,45.22052,70.78001,45.22052
100,2000.0,70.78,45.22052,70.78,45.22052
101,2020.0,71.43536,45.22052,70.12464,45.22052
102,2040.0,70.78,45.22052,70.12465,45.22052
103,2060.0,70.78001,45.22052,70.12466,45.22052
104,2080.0,70.78002,45.22052,70.78003,45.22052
105,2100.0,71.43539,45.22052,70.78005,45.22052
106,2120.0,70.78005,45.22052,70.12469,45.22052
