,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65535,1.0000000003174e-05,0.0,0.0
2,40.0,-0.65535,1.0000000003174e-05,0.0,0.65537
3,60.0,-0.65535,0.65537,-0.65537,0.0
4,80.0,-1.31072,-0.65535999999999,-0.65536,-0.65536
5,100.0,-1.31071,-0.65535999999999,-0.65536,1.0000000003174e-05
6,120.0,-1.31071,2.0000000006348e-05,-0.65536,1.0000000003174e-05
7,140.0,-1.31071,-0.65534,-0.65536,1.0000000003174e-05
8,160.0,-0.65534,3.0000000002417e-05,-0.65535,0.65539
9,180.0,-0.65534,0.6554,9.9999999960687e-06,0.65539
10,200.0,-0.65534,0.65541,1.9999999999243e-05,1.31076
11,220.0,-0.65534,0.65542,1.9999999999243e-05,1.31077
12,240.0,-0.65533,0.65541,1.9999999999243e-05,1.31077
13,260.0,-1.31069,1.31078,1.9999999999243e-05,1.31078
14,280.0,-1.31069,1.31079,-0.65534,1.31078
15,300.0,1.9999999999243e-05,1.31078,0.65536,0.6554
16,320.0,0.65536,0.65539,1.96607,0.65538
17,340.0,1.96607,0.65538,2.62142,0.65537
18,360.0,2.62143,1.31075,3.27678,1.9661
19,380.0,2.62143,1.96611,3.27678,2.62147
20,400.0,2.62144,2.62149,3.27679,3.27683
21,420.0,2.62144,3.27685,3.27679,3.27684
22,440.0,1.96608,3.27685,2.62143,3.93221
23,460.0,1.31071,3.93221,1.96607,3.93221
24,480.0,1.31071,3.27685,1.31071,3.27684
25,500.0,-7.86439,3.93223,-20.31633,5.89833
26,520.0,-24.2485,7.20908,-22.28242,7.86445
27,540.0,-22.93777,8.51983,-22.28242,9.17519
28,560.0,-22.93777,9.83056,-22.28241,9.83055
29,580.0,-22.93777,9.83057,-22.28241,10.48592
30,600.0,-22.93777,10.48594,-22.93777,10.48593
31,620.0,-22.93777,10.48594,-22.28242,10.48593
32,640.0,-23.59313,9.83057,-22.93778,10.48592
33,660.0,-24.90385,10.48593,-24.24851,10.48592
34,680.0,-24.90386,10.48593,-24.24851,10.48592
35,700.0,-24.90387,9.83057,-24.90387,9.83056
36,720.0,-26.21459,9.17521,-25.55924,9.83056
37,740.0,-26.86995,9.83056,-26.2146,9.17519
38,760.0,-26.86996,8.51984,-26.21461,7.86446
39,780.0,-26.86996,7.86447,-26.86997,7.86446
40,800.0,-27.52532,7.20911,-26.86997,7.20909
41,820.0,-27.52531,6.55374,-26.86996,6.55372
42,840.0,-27.52531,6.55373,-26.86996,6.55372
43,860.0,-27.52531,5.89836,-27.52531,5.89836
44,880.0,-27.52531,5.89837,-27.52531,5.89836
45,900.0,-28.18066,5.89837,-28.18067,5.89836
46,920.0,-28.18066,5.24301,-26.86994,5.243
47,940.0,-28.18065,5.24301,-27.5253,5.243
48,960.0,-28.18064,5.24301,-28.18065,4.58764
49,980.0,-28.836,4.58765,-28.18065,3.93227
50,1000.0,-28.836,3.93228,-28.18064,3.93227
51,1020.0,-28.18063,3.27692,-28.18064,2.62154
52,1040.0,-28.18062,2.62156,-27.52527,2.62154
53,1060.0,-28.18062,1.96618,-27.52526,1.96618
54,1080.0,-27.52525,1.96619,-27.52526,1.31081
55,1100.0,-27.52525,1.96619,-26.8699,1.96618
56,1120.0,-27.52525,1.96619,-26.86989,1.96618
57,1140.0,-27.52524,1.96619,-26.86989,1.96619
58,1160.0,-27.52524,1.9662,-26.86988,1.96619
59,1180.0,-27.52524,1.31084,-26.86989,9.0000000000146e-05
60,1200.0,-17.03943,-1.96602,3.93225,-2.62139
61,1220.0,13.10744,-3.9321,10.48598,-2.62139
62,1240.0,5.89842,-0.65526999999999,5.24305,9.0000000000146e-05
63,1260.0,5.24306,0.65546000000001,5.89841,1.31082
64,1280.0,-40.63215,1.31085,5.24304,1.9662
65,1300.0,5.24305,1.96621,5.24304,2.62156
66,1320.0,4.58769,2.62158,5.24304,2.62157
67,1340.0,3.93233,2.62158,4.58768,2.62159
68,1360.0,3.93232,2.62159,4.58768,2.62159
69,1380.0,3.27697,3.27696,3.93232,3.93232
70,1400.0,2.62161,3.93233,3.27696,3.93233
71,1420.0,1.96624,4.5877,2.62159,4.5877
72,1440.0,2.62158,4.5877,3.27693,4.58769
73,1460.0,2.62157,4.5877,2.62156,4.58768
74,1480.0,-1.31062,5.24306,-3.27672,6.5538
75,1500.0,-2.62133,6.5538,-3.2767,7.86454
76,1520.0,-3.93207,9.17529,-3.93207,9.83066
77,1540.0,-4.58742,9.83067,-4.58742,10.48604
78,1560.0,-5.24277,11.14142,-5.24278,11.14142
79,1580.0,-6.55349,11.79679,-5.89814,11.79679
80,1600.0,-6.55349,11.79681,-6.5535,12.45218
81,1620.0,-7.86421,12.4522,-7.20886,13.10755
82,1640.0,-7.86421,13.10757,-7.86422,13.76293
83,1660.0,-9.17493,13.76295,-9.17495,13.76295
84,1680.0,-9.83029,13.76296,-9.83031,13.10758
85,1700.0,0.00016000000000105,14.41832,13.10752,14.41832
86,1720.0,13.76292,15.72906,11.7968,17.69515
87,1740.0,11.14145,18.35053,11.7968,19.66126
88,1760.0,11.14144,19.66127,11.7968,20.31662
89,1780.0,11.14144,20.31664,11.79679,20.31662
90,1800.0,11.7968,20.31663,11.79679,19.66124
91,1820.0,11.14144,19.00589,12.45215,19.66125
92,1840.0,12.45216,19.66125,13.10751,19.66124
93,1860.0,12.45216,19.66123,13.10751,19.00586
94,1880.0,12.45216,18.35051,13.10752,19.00585
