,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65535,-1.0000000003174e-05,-1.0000000003174e-05,-0.65535
2,40.0,0.65535,0.0,-1.0000000003174e-05,0.0
3,60.0,0.65535,0.65535,-1.0000000003174e-05,0.0
4,80.0,-9.9999999960687e-06,-1.0000000003174e-05,-0.65537,0.65536
5,100.0,-9.9999999960687e-06,0.65536,-0.65537,0.65536
6,120.0,-9.9999999960687e-06,0.65536,0.0,0.65537
7,140.0,0.0,0.65535,-1.31073,0.65536
8,160.0,-0.65537,0.65535,-1.96608,1.31072
9,180.0,-1.31073,0.65535,-1.96609,0.65536
10,200.0,-1.31073,1.31072,-1.96608,1.31072
11,220.0,1.0000000003174e-05,1.96607,5.24296,4.58754
12,240.0,7.20909,6.55363,5.243,7.20899
13,260.0,5.89836,7.20899,5.243,7.20899
14,280.0,5.89836,7.20898,4.58764,6.55363
15,300.0,5.24299,6.55362,4.58764,6.55442
16,320.0,5.243,7.20898,4.58764,7.20899
17,340.0,4.58764,7.20898,3.93228,7.20899
18,360.0,-0.65528,8.51971,-7.20894,9.17509
19,380.0,-6.55358,9.83045,-6.55356,9.83045
20,400.0,-5.8982,10.4858,-7.20892,10.48582
21,420.0,-6.55356,11.14117,-7.20892,10.48581
22,440.0,-7.20892,11.14116,-7.86427,10.48581
23,460.0,-6.55356,11.14116,-7.86427,10.48581
24,480.0,-7.86427,11.14116,-8.51963,10.48581
25,500.0,-7.86428,11.14117,-9.17499,10.48581
26,520.0,-8.51963,10.4858,-9.17499,9.83044
27,540.0,-9.17499,9.83043,-9.83035,9.83044
28,560.0,-9.175,9.17508,-9.83036,9.17508
29,580.0,-9.17501,8.51972,-9.17502,8.51973
30,600.0,-8.51967,7.86435,-9.17503,7.209
31,620.0,-8.51968,7.20899,-9.17505,7.209
32,640.0,-7.86434,6.55363,-9.17506,5.89828
33,660.0,-8.5197,5.89827,-9.83043,5.24292
34,680.0,-9.17507,5.89827,-9.83043,5.24292
35,700.0,-9.17508,5.89827,-3.27676,6.55362
36,720.0,1.9662,7.20898,0.00012000000000256,7.20898
37,740.0,-0.65525,7.86434,-0.65525,7.20899
38,760.0,-0.65525,7.86434,-1.96597,7.86435
39,780.0,-1.31061,7.86434,-2.62133,7.86435
40,800.0,-2.62134,8.51971,-3.27669,7.86435
41,820.0,-2.62134,7.86434,-3.2767,7.86435
42,840.0,-3.2767,8.5197,-3.93206,8.51971
43,860.0,-3.2767,8.5197,-3.93206,8.5197
44,880.0,-3.2767,8.5197,-3.93206,8.5197
45,900.0,-3.2767,8.5197,-4.58742,8.51971
46,920.0,-3.2767,7.86434,-4.58742,7.86434
47,940.0,-3.93205,8.5197,-4.58741,7.86434
48,960.0,0.65552,8.51969,3.27701,8.5197
49,980.0,3.27702,8.51968,2.62165,9.17505
50,1000.0,3.27702,9.17505,2.62166,9.17505
51,1020.0,2.62166,9.17504,2.62166,9.17505
52,1040.0,2.62167,9.17504,1.96631,9.17505
53,1060.0,2.62167,9.17504,1.96631,8.51969
54,1080.0,1.96631,9.17504,1.31095,9.17505
55,1100.0,1.96631,9.17504,1.31096,9.17505
56,1120.0,1.31096,9.17504,0.6556,9.17505
57,1140.0,1.31096,9.17503,0.6556,9.17505
58,1160.0,1.31096,9.17504,0.6556,9.17505
59,1180.0,1.31097,9.17505,1.31096,8.51969
60,1200.0,2.62168,8.51969,1.96631,7.86433
61,1220.0,3.27703,7.20896,2.62167,7.20897
62,1240.0,3.27702,7.20896,2.62165,6.5536
63,1260.0,3.27701,7.20897,2.62165,6.55361
64,1280.0,2.62164,7.20897,1.96629,7.20898
65,1300.0,3.27701,7.20897,1.96629,7.20898
66,1320.0,2.62165,7.20897,2.62166,7.20898
67,1340.0,7.20922,7.86433,8.51998,7.20898
68,1360.0,7.86461,7.86432,7.20925,7.86434
69,1380.0,7.20925,7.86433,7.20925,7.86434
70,1400.0,7.20925,7.86433,6.55389,8.5197
71,1420.0,6.55389,8.5197,5.89853,7.86434
72,1440.0,6.55389,8.51969,5.89853,8.5197
73,1460.0,6.55389,8.51969,5.89853,8.5197
74,1480.0,5.89853,8.51969,5.89853,8.5197
75,1500.0,6.55389,8.51969,5.89853,8.5197
76,1520.0,6.55389,8.51969,5.89853,8.5197
77,1540.0,5.89853,8.51969,5.24317,8.5197
78,1560.0,5.89853,8.51969,8.51999,9.17505
79,1580.0,25.55957,10.48576,30.8026,9.8304
80,1600.0,28.18113,11.1411,26.21503,11.14112
81,1620.0,27.52575,11.1411,26.87039,10.48575
82,1640.0,27.52575,11.14109,26.87039,10.48574
83,1660.0,27.52575,11.14109,26.87039,10.48574
84,1680.0,27.52574,10.48573,26.87039,10.48573
85,1700.0,26.87039,10.48573,26.87038,10.48573
86,1720.0,27.52574,10.48573,26.21502,10.48574
87,1740.0,26.87037,10.48573,26.87037,10.48573
88,1760.0,27.52573,10.48573,26.87037,9.83037
89,1780.0,26.87038,9.83036,26.87037,9.83037
90,1800.0,27.52574,9.83036,26.87037,9.83037
91,1820.0,27.52573,9.83036,26.87037,9.83036
92,1840.0,28.18108,9.17499,28.18108,8.51964
93,1860.0,29.4918,8.51963,29.49179,8.51964
94,1880.0,30.80251,7.86427,30.14714,7.20892
95,1900.0,31.45786,7.86427,30.8025,7.86428
96,1920.0,31.45785,7.86427,30.80249,7.20892
97,1940.0,31.45786,7.86427,31.45785,7.86428
98,1960.0,32.11321,7.86427,31.45785,7.86428
99,1980.0,32.11321,7.86427,31.45785,7.86428
100,2000.0,32.11322,7.20891,31.45786,7.20892
101,2020.0,32.11322,7.20891,34.07931,7.20892
102,2040.0,44.56522,9.83037,47.84212,10.48574
103,2060.0,47.18675,11.14109,46.53138,11.1411
104,2080.0,47.18674,11.1411,46.53137,11.1411
