,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.65536,0.65537,1.0000000003174e-05,1.0000000003174e-05
2,40.0,0.65536,0.65538,0.65537,0.65537
3,60.0,0.65536,1.31074,0.65537,1.31074
4,80.0,0.65536,1.96611,0.65537,1.9661
5,100.0,1.0000000003174e-05,2.62148,1.0000000003174e-05,2.62147
6,120.0,1.0000000003174e-05,3.27684,0.65538,3.27683
7,140.0,2.6215,4.58757,3.27686,5.24294
8,160.0,3.27686,6.55368,3.27686,6.55368
9,180.0,3.27686,7.86441,3.27686,7.20904
10,200.0,3.93222,8.51977,3.93222,7.20904
11,220.0,3.93222,8.51977,3.93223,8.51977
12,240.0,3.93223,9.17514,3.93223,8.5203
13,260.0,5.24295,9.17513,5.24295,9.17513
14,280.0,5.89831,9.8305,6.55368,9.83049
15,300.0,7.20903,9.8305,7.20904,9.83049
16,320.0,7.86439,10.48585,8.51975,9.83049
17,340.0,8.51975,11.14122,9.17511,9.83049
18,360.0,11.79658,9.17513,22.28245,7.20902
19,380.0,28.83611,5.89829,29.49148,6.55366
20,400.0,29.49147,7.8644,29.49148,7.20903
21,420.0,30.14684,7.8644,30.14685,7.20903
22,440.0,30.14685,7.20903,30.14685,6.55367
23,460.0,29.49149,6.55367,29.4915,5.8983
24,480.0,29.4915,6.55367,28.83615,4.58758
25,500.0,28.83615,5.24294,28.83616,3.93221
26,520.0,28.83616,3.93222,28.83616,2.62149
27,540.0,28.83616,2.6215,28.83616,1.31076
28,560.0,28.83615,1.96612,28.18079,0.65539
29,580.0,28.83614,0.6554,28.18078,0.65539
30,600.0,28.18077,2.9999999995312e-05,27.52541,-0.65534
31,620.0,27.5254,1.9999999999243e-05,27.5254,-0.65535
32,640.0,26.87004,-0.65534,27.52541,-1.31071
33,660.0,26.87005,-0.65534,26.87005,-1.96607
34,680.0,27.52541,-1.96607,27.52541,-2.62145
35,700.0,27.52541,-1.96608,27.52542,-2.62145
36,720.0,27.52542,-2.62144,26.87006,-3.27681
37,740.0,26.87006,-1.96609,26.2147,-1.9661
38,760.0,26.2147,-1.96609,26.21471,-1.9661
39,780.0,26.21471,-1.31074,26.21473,-2.62147
40,800.0,25.55937,-2.62147,25.55938,-3.93221
41,820.0,19.66111,-4.58756,14.4182,-4.58758
42,840.0,15.07357,-3.27683,15.72894,-3.27683
43,860.0,15.72894,-2.62146,15.72894,-2.62148
44,880.0,15.72895,-1.96611,15.07359,-1.96611
45,900.0,15.0736,-0.65539,15.0736,-0.6554
46,920.0,15.0736,-3.0000000002417e-05,15.07361,-0.6554
47,940.0,14.41825,-0.65539,14.41826,-1.96612
48,960.0,14.41826,-1.31075,11.79681,-2.62149
49,980.0,-1.96587,-1.96613,-3.93202,-1.31078
50,1000.0,-3.27665,0.65533,-1.96592,1.31069
51,1020.0,-1.96592,1.96607,-1.96592,1.96607
52,1040.0,-1.31056,2.62143,-1.31056,1.31071
53,1060.0,-1.31056,1.96609,-1.31056,1.31072
54,1080.0,-0.65521,1.31073,-1.31057,1.0000000003174e-05
55,1100.0,-0.65522,0.65538,-0.65522,1.0000000003174e-05
56,1120.0,0.00012999999999863,0.65538,0.00012999999999863,0.65538
57,1140.0,0.65548,1.96611,0.65547,2.62147
58,1160.0,1.96618,4.58756,2.62153,4.58755
59,1180.0,4.5876,6.55365,5.24294,7.209
60,1200.0,6.55365,9.1751,9.17512,9.17509
61,1220.0,11.79659,10.48582,12.45193,10.48582
62,1240.0,12.4519,10.48583,12.45189,9.17509
63,1260.0,11.79652,9.17509,11.79652,7.20899
64,1280.0,11.14116,6.55363,10.4858,4.58753
65,1300.0,9.83043,3.27681,8.51972,1.31071
66,1320.0,7.86438,-0.65538,6.55367,-2.62148
67,1340.0,6.5537,-3.93221,5.89835,-6.55368
68,1360.0,6.55373,-6.55368,5.89838,-8.51978
69,1380.0,6.55376,-8.51977,6.55377,-9.17514
70,1400.0,6.55377,-8.51978,6.55378,-9.17516
71,1420.0,6.55378,-8.51905,11.14133,-9.17517
72,1440.0,28.18085,-10.4859,39.32208,-12.452
73,1460.0,37.35599,-10.4859,35.3899,-9.17516
74,1480.0,36.04526,-9.17515,36.04527,-9.17516
75,1500.0,36.04527,-8.51979,36.04527,-9.17516
76,1520.0,36.04527,-9.17515,36.04527,-9.17517
77,1540.0,36.04527,-8.51979,35.38992,-8.5198
78,1560.0,35.38992,-7.86443,34.73457,-7.86445
79,1580.0,34.73457,-7.20908,34.73457,-7.20908
80,1600.0,34.73457,-6.55371,34.07922,-6.55372
81,1620.0,34.07922,-5.89835,33.42387,-5.89836
82,1640.0,33.42387,-5.24299,33.42388,-5.243
83,1660.0,33.42387,-4.58763,32.76853,-4.58764
84,1680.0,32.76853,-3.2769,32.76853,-3.93228
85,1700.0,32.76853,-2.62154,32.76854,-3.27692
86,1720.0,32.76854,-3.27691,32.11319,-3.27692
87,1740.0,32.11319,-2.62154,34.07929,-3.27692
88,1760.0,49.80806,-3.27693,55.70641,-5.89838
89,1780.0,55.70641,-3.27692,54.39568,-2.62155
90,1800.0,55.05105,-1.96618,54.39569,-1.96619
91,1820.0,54.39569,-0.65546000000001,54.3957,-1.96619
92,1840.0,53.74033,-1.31081,53.74034,-1.31082
93,1860.0,53.08498,-0.65546000000001,53.08498,-1.31084
94,1880.0,53.08497,-1.9662,52.4296,-2.62158
95,1900.0,51.77423,-2.62158,51.77422,-3.27696
96,1920.0,51.11885,-2.62159,51.11885,-4.58768
97,1940.0,50.46348,-3.93231,50.46347,-4.58768
98,1960.0,50.46347,-5.24304,49.80811,-5.8984
99,1980.0,49.8081,-5.8984,49.8081,-7.20912
100,2000.0,49.8081,-7.20912,49.8081,-7.86449
101,2020.0,49.8081,-8.51984,49.8081,-9.17521
102,2040.0,49.80809,-8.51984,50.46345,-9.17522
103,2060.0,50.46344,-8.51985,50.46344,-9.17522
104,2080.0,50.46343,-7.86449,50.46343,-7.86451
105,2100.0,51.11878,-7.20914,55.05097,-7.86452
106,2120.0,-42.59751,-7.20919,70.77986,-8.51994
107,2140.0,71.43521,-7.20919,70.77983,-6.55384
108,2160.0,71.43518,-6.55383,71.43518,-7.20921
109,2180.0,71.43517,-7.2092,70.77981,-7.86457
110,2200.0,70.7798,-7.86457,70.12444,-7.8637
111,2220.0,70.12443,-7.86458,69.46908,-8.51995
112,2240.0,69.46908,-7.20921,69.46907,-7.86458
113,2260.0,69.46908,-7.86457,68.81373,-8.51994
114,2280.0,68.81372,-7.86457,68.81373,-9.1753
115,2300.0,68.81373,-8.51993,68.81374,-9.83065
116,2320.0,68.81375,-9.17529,68.81376,-9.83065
117,2340.0,68.81376,-9.17528,68.81377,-9.83064
118,2360.0,68.81377,-9.83063,68.81378,-10.486
119,2380.0,68.81378,-9.83063,68.81379,-10.48599
120,2400.0,68.81378,-10.48599,69.46915,-11.14135
121,2420.0,70.1245,-10.48598,70.12451,-11.14135
122,2440.0,70.1245,-11.14134,71.43522,-11.7967
123,2460.0,71.43522,-11.14133,72.74596,-10.48597
124,2480.0,76.67816,-7.86451,77.33353,-6.55377
125,2500.0,77.33352,-3.93231,77.33352,-3.93231
126,2520.0,77.98887,-3.27694,76.67815,-3.93231
127,2540.0,77.33349,-2.62158,77.33348,-2.62159
128,2560.0,77.33347,-1.31086,77.33347,-1.31086
129,2580.0,77.33346,0.65523,77.33346,1.31058
130,2600.0,77.98881,2.62132,77.9888,2.62131
131,2620.0,78.64416,3.93204,79.95489,4.5874
132,2640.0,80.61024,5.89814,81.92096,6.5535
133,2660.0,81.92096,9.17497,82.57633,9.17497
134,2680.0,82.57633,11.14107,82.57633,11.14107
135,2700.0,82.57633,11.79644,81.92098,11.79644
136,2720.0,81.92097,13.10717,81.26562,12.45181
137,2740.0,81.26562,13.76254,80.61026,13.76254
138,2760.0,81.26562,14.41791,80.61026,15.07327
139,2780.0,80.61026,16.38401,80.61025,16.384
140,2800.0,80.61025,17.69473,79.95488,17.69474
141,2820.0,79.95488,18.35011,79.95488,19.00547
