,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-9.9999999960687e-06,0.0,0.0,0.0
2,40.0,-9.9999999960687e-06,0.0,0.0,-0.65536
3,60.0,-9.9999999960687e-06,0.0,0.0,-0.65536
4,80.0,-9.9999999960687e-06,9.9999999960687e-06,0.65536,-0.65536
5,100.0,0.65536,-0.65535,0.65536,-0.65536
6,120.0,-1.31074,9.9999999960687e-06,-2.62146,2.9999999995312e-05
7,140.0,-2.62146,1.9999999999243e-05,-2.62145,0.65538
8,160.0,-2.62146,0.65538,-2.62145,0.65538
9,180.0,-2.62146,0.65538,-2.62145,1.9999999999243e-05
10,200.0,-3.27681,0.65538,-2.62145,0.65538
11,220.0,-2.62145,0.65538,-2.62144,0.65538
12,240.0,-3.27681,0.65539,-2.62144,0.65538
13,260.0,-3.27681,0.65539,-3.2768,1.31074
14,280.0,-3.27681,1.31075,-3.27679,0.65539
15,300.0,-3.93217,0.65539,-3.2768,1.31075
16,320.0,-3.93216,1.31076,-3.93215,1.31075
17,340.0,-3.93216,1.31075,-3.93215,1.31075
18,360.0,-3.93216,1.31076,-3.93215,1.31075
19,380.0,-3.93216,1.31076,-3.93215,1.31075
20,400.0,-3.93216,1.31076,-4.58751,1.31076
21,420.0,-3.93215,1.31076,-3.93214,1.31076
22,440.0,-3.93215,1.31076,-3.27677,1.31076
23,460.0,-3.27678,1.31076,-2.62141,1.31076
24,480.0,-2.62142,1.31076,-2.62143,1.31076
25,500.0,-3.2768,1.31077,-2.62144,1.31076
26,520.0,-2.62144,1.31077,-2.62144,1.31076
27,540.0,-2.62145,1.31076,-2.62145,1.31076
28,560.0,-3.27681,1.31076,-2.62145,1.31076
29,580.0,-3.27682,1.31076,-3.27682,1.31076
30,600.0,-3.27682,1.31076,-2.62145,1.31076
31,620.0,-3.27682,1.31076,-3.27682,1.31076
32,640.0,-2.62147,1.31076,-2.62146,0.6554
33,660.0,-2.62147,1.31076,-2.62146,1.31076
34,680.0,-2.62147,1.31076,-2.62147,0.6554
35,700.0,-2.62147,0.6554,-2.62147,0.6554
36,720.0,-2.62147,0.65541,-3.27682,0.6554
37,740.0,-3.27683,0.65541,-3.93218,0.6554
38,760.0,-3.27683,0.65541,-3.27683,0.6554
39,780.0,-3.93219,0.65541,-3.27683,0.65541
40,800.0,-3.27683,4.9999999994554e-05,-3.27682,3.9999999998486e-05
41,820.0,-3.27683,4.9999999994554e-05,-3.27682,4.9999999994554e-05
42,840.0,1.96609,4.9999999994554e-05,11.79663,5.9999999997729e-05
43,860.0,14.41811,5.9999999997729e-05,14.41811,0.65541
44,880.0,13.10738,5.9999999997729e-05,13.10738,0.65542
45,900.0,13.10739,5.9999999997729e-05,13.10739,5.9999999997729e-05
46,920.0,13.10739,5.9999999997729e-05,13.1074,5.9999999997729e-05
47,940.0,12.45203,5.9999999997729e-05,12.45204,5.9999999997729e-05
48,960.0,12.45203,5.9999999997729e-05,12.45205,5.9999999997729e-05
49,980.0,11.79668,5.9999999997729e-05,11.79669,5.9999999997729e-05
50,1000.0,11.79668,5.9999999997729e-05,11.14133,5.9999999997729e-05
51,1020.0,11.14133,5.9999999997729e-05,11.14133,7.0000000000903e-05
52,1040.0,11.14133,0.65543,11.14133,0.65543
53,1060.0,10.48597,0.65543,10.48598,7.0000000000903e-05
54,1080.0,10.48598,0.65543,10.48598,0.65542
55,1100.0,10.48598,0.65543,13.76283,0.65543
56,1120.0,17.03967,0.65543,17.03968,0.65542
57,1140.0,16.38431,0.65543,16.38432,7.0000000000903e-05
58,1160.0,16.38432,0.65543,15.72897,0.65543
59,1180.0,15.72896,0.65544,15.72897,0.65543
60,1200.0,15.72897,0.65544,15.72898,0.65543
61,1220.0,15.07361,0.65544,15.72898,0.65544
62,1240.0,15.07362,0.65544999999999,15.07363,0.65544
63,1260.0,15.07362,0.65544999999999,15.07363,1.31081
64,1280.0,15.07363,1.31081,15.07363,0.65544999999999
65,1300.0,15.07363,1.31081,14.41828,0.65546
66,1320.0,15.07364,1.31082,15.07364,0.65546
67,1340.0,14.41828,1.31082,14.41828,1.31083
68,1360.0,14.41827,1.31083,14.41828,1.31083
69,1380.0,14.41827,1.31083,14.41828,1.31083
70,1400.0,14.41828,1.31084,14.41828,1.31083
71,1420.0,14.41828,1.31084,14.41828,1.31083
72,1440.0,14.41828,1.31084,12.45218,1.96621
73,1460.0,11.79681,1.96622,11.79682,1.96621
74,1480.0,11.79682,1.96622,11.79683,1.96622
75,1500.0,11.79682,1.96622,11.79683,1.96621
76,1520.0,11.79683,2.62157,11.79684,1.96621
77,1540.0,11.79684,1.96622,11.79684,1.96621
78,1560.0,11.79684,2.62157,11.79685,1.9662
79,1580.0,11.79685,2.62156,11.79685,1.96619
80,1600.0,11.79684,1.96619,12.4522,1.96619
81,1620.0,12.45218,1.96619,12.45219,1.96618
82,1640.0,13.10754,1.96618,12.45219,1.96618
83,1660.0,15.07365,1.96618,16.3844,1.96619
84,1680.0,16.38439,1.96618,16.38439,1.96617
85,1700.0,16.38439,1.96617,16.3844,1.3108
86,1720.0,17.03975,1.96616,17.03976,1.96616
87,1740.0,17.03976,1.96616,17.69513,1.31079
88,1760.0,17.03976,1.96616,17.69513,1.3108
89,1780.0,17.69512,1.96616,18.35049,1.96615
90,1800.0,18.35048,1.96615,19.00584,1.96615
91,1820.0,19.00583,1.96615,19.00584,1.96615
92,1840.0,19.00584,1.96615,19.00585,1.31079
93,1860.0,18.35049,1.96615,18.35049,1.31078
94,1880.0,18.35049,1.96613,19.00586,1.96612
95,1900.0,19.66123,1.96612,19.66124,1.9661
96,1920.0,19.66125,1.96609,22.93808,1.96608
97,1940.0,24.90419,1.96607,24.9042,1.96605
98,1960.0,24.90419,1.96604,24.90419,1.96602
99,1980.0,24.90418,1.96601,24.90418,1.96599
100,2000.0,24.90416,1.96598,24.90416,2.62132
101,2020.0,24.90414,2.62132,25.55949,3.27667
102,2040.0,25.55949,3.27667,25.55949,3.27741
103,2060.0,26.21484,3.27666,26.8702,3.27665
104,2080.0,27.52556,3.27665,28.18093,3.27664
105,2100.0,28.83628,3.27664,30.14701,3.27663
106,2120.0,30.147,3.93199,30.80237,3.93198
107,2140.0,30.80237,3.93199,31.45773,3.93197
108,2160.0,30.80238,3.93196,30.80238,4.58732
109,2180.0,30.14701,4.58731,30.80238,3.93194
110,2200.0,34.73461,3.93194,38.66684,3.93194
111,2220.0,39.32221,3.93193,38.01149,3.27657
112,2240.0,38.01148,3.27656,38.01149,3.27656
113,2260.0,38.01148,3.27656,38.01149,3.27656
114,2280.0,38.01149,3.93193,38.0115,3.27656
115,2300.0,38.01149,3.27657,38.0115,2.62121
116,2320.0,38.0115,3.27658,38.01151,3.27658
117,2340.0,38.0115,3.27659,38.66687,3.2766
118,2360.0,38.01151,3.27661,38.01151,3.27661
119,2380.0,38.01151,3.27661,38.66687,3.27661
120,2400.0,38.66687,3.27663,39.32222,3.27663
121,2420.0,38.66685,3.27665,40.63295,3.27666
122,2440.0,45.22054,3.27668,46.53129,3.2767
123,2460.0,45.87591,3.93207,46.53127,3.93207
124,2480.0,46.53126,3.93208,46.53127,3.93207
125,2500.0,46.53126,3.93209,46.53126,3.93209
126,2520.0,46.53125,3.93209,46.53126,3.9321
127,2540.0,45.87588,3.93211,45.87589,3.93211
128,2560.0,45.22052,3.93212,45.22053,3.93212
129,2580.0,44.56516,3.93213,44.56517,3.93213
130,2600.0,44.56517,3.93214,47.84201,3.93215
131,2620.0,54.39572,3.93218,58.32794,3.93219
132,2640.0,57.67256,3.93221,57.67257,3.93222
133,2660.0,57.01721,3.93223,57.01722,3.93225
134,2680.0,56.36187,3.93225,56.36189,3.2769
135,2700.0,56.36189,2.62154,56.3619,2.62154
136,2720.0,56.3619,2.62155,55.70654,1.31083
137,2740.0,56.36189,1.96619,55.70654,1.96618
138,2760.0,55.70653,1.31081,55.70653,1.31079
139,2780.0,55.70652,1.31077,55.05116,1.31076
140,2800.0,55.05115,0.65539,55.05114,0.65538
141,2820.0,55.05113,0.65537,55.05114,-1.0000000003174e-05
142,2840.0,55.05112,-3.0000000002417e-05,55.05113,-3.0000000002417e-05
143,2860.0,55.70648,-3.9999999998486e-05,55.70649,-0.65541
144,2880.0,55.70649,-5.000000000166e-05,56.36185,-0.65542
145,2900.0,56.36184,-0.65542,56.36185,-0.65543
146,2920.0,57.0172,-0.65543,59.63868,-0.65543
147,2940.0,62.26016,-0.65543,62.26017,-1.3108
148,2960.0,62.26016,-0.65544,62.26017,-0.65545
149,2980.0,62.26017,-0.65545,62.91554,-0.65546000000001
150,3000.0,62.91553,-0.65546000000001,62.91554,-0.65547
151,3020.0,62.91554,-0.65547,62.91555,-0.65547
152,3040.0,62.26019,-0.65547,62.2602,-0.65547
153,3060.0,62.91556,-0.65547,62.91557,-0.65547
154,3080.0,62.26021,-0.65547,62.26022,-0.65547
155,3100.0,62.26022,-0.00010999999999939,61.60487,-0.65548
