,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,1.31072,0.65537,5.24293,1.31074
2,40.0,5.89831,1.31075,5.89831,2.62148
3,60.0,5.8983,3.27685,5.8983,3.27686
4,80.0,6.55366,4.58759,6.55366,4.58759
5,100.0,5.8983,4.5876,6.55367,4.5876
6,120.0,6.55366,5.89833,6.55367,5.24297
7,140.0,6.55367,5.89834,6.55366,5.89834
8,160.0,6.55367,6.55371,7.20902,6.55372
9,180.0,6.55366,7.20908,7.20903,7.20909
10,200.0,7.20902,7.20909,7.20902,7.20909
11,220.0,6.55366,7.86446,7.20902,7.86446
12,240.0,7.20902,7.86447,7.20902,8.51983
13,260.0,7.20902,8.51984,7.20902,8.51984
14,280.0,7.20902,9.17521,7.20902,8.51986
15,300.0,7.86438,9.17522,7.86438,9.17522
16,320.0,7.20902,9.83059,7.86438,9.17524
17,340.0,8.51974,9.8306,8.51974,9.8306
18,360.0,9.1751,10.48597,9.83045,10.48597
19,380.0,9.17509,10.48598,9.83045,10.48598
20,400.0,10.48581,11.14135,11.79654,11.14136
21,420.0,19.66096,10.48602,23.59318,11.14138
22,440.0,23.59317,12.4521,22.9378,13.10748
23,460.0,23.59316,13.76286,23.59317,13.76286
24,480.0,23.59316,15.07359,24.24852,14.41823
25,500.0,24.24852,15.0736,24.24852,15.0736
26,520.0,24.24852,15.07361,24.24852,15.07361
27,540.0,24.24852,15.72898,24.90388,15.72898
28,560.0,24.90388,15.72899,24.90388,15.72899
29,580.0,24.90388,16.38436,24.90387,16.38436
30,600.0,25.55923,16.38437,25.55923,17.03973
31,620.0,25.55923,17.03974,25.55923,17.03974
32,640.0,25.55923,17.03975,25.55923,17.03975
33,660.0,25.55923,17.03976,26.21459,17.03976
34,680.0,26.21459,17.03977,26.21459,17.69513
35,700.0,26.21459,17.69514,26.21459,17.69514
36,720.0,26.21458,18.35051,26.21458,17.69515
37,740.0,26.21458,18.35052,25.55921,17.69515
38,760.0,24.90383,17.0398,24.90384,17.69516
39,780.0,24.90384,18.35054,24.90384,19.0059
40,800.0,24.90383,19.0059,24.90383,19.0059
41,820.0,24.90383,19.00591,24.90383,19.00591
42,840.0,24.90383,19.66128,24.90383,19.66128
43,860.0,25.55919,20.31665,25.55919,19.66129
44,880.0,24.90383,20.31666,25.55919,19.6613
45,900.0,25.55919,20.31666,24.90383,20.31666
46,920.0,24.90383,20.97203,25.55919,20.97203
47,940.0,25.55919,20.97204,25.55919,20.97203
48,960.0,25.55919,20.31668,25.55919,20.97204
49,980.0,25.55919,20.97205,25.55919,20.97205
50,1000.0,25.55919,21.62742,25.55919,21.62742
51,1020.0,25.55919,21.62743,25.55919,21.62743
52,1040.0,25.55919,22.2828,25.55919,22.93816
53,1060.0,25.55919,22.93817,25.55919,22.93817
54,1080.0,25.55919,23.59354,25.55919,24.2489
55,1100.0,25.55919,24.90427,25.55919,24.90427
56,1120.0,25.55919,24.90428,25.55919,25.55964
57,1140.0,25.55919,26.215,24.90383,26.215
58,1160.0,25.55919,26.87036,23.59309,26.215
59,1180.0,22.28236,26.87036,22.93772,27.52572
60,1200.0,22.93773,28.18108,22.93772,28.83644
61,1220.0,22.93772,28.83644,23.59308,28.83644
62,1240.0,22.93772,28.83644,22.93772,28.83644
63,1260.0,22.93772,29.4918,22.93772,29.4918
64,1280.0,23.59308,29.4918,23.59308,29.4918
65,1300.0,22.93771,30.14716,22.93771,29.4918
66,1320.0,22.93771,29.4918,23.59307,29.4918
67,1340.0,22.93771,30.14716,23.59307,29.4918
68,1360.0,23.59307,30.14716,23.59307,29.4918
69,1380.0,24.24843,29.4918,24.24842,29.4918
70,1400.0,24.90379,30.14716,25.55915,30.14716
71,1420.0,25.55915,30.14716,26.2145,30.14716
72,1440.0,26.2145,30.80252,26.2145,30.80252
73,1460.0,26.86986,30.80252,26.86986,30.80252
74,1480.0,26.86986,31.45788,27.52522,30.80252
75,1500.0,27.52522,31.45788,27.52522,31.45788
76,1520.0,27.52522,31.45788,27.52522,31.45788
77,1540.0,27.52522,31.45788,27.52522,32.11324
78,1560.0,27.52522,32.11324,27.52522,32.7686
79,1580.0,27.52522,32.7686,26.86986,33.42396
80,1600.0,27.52522,34.07932,26.86986,34.07932
81,1620.0,26.86986,34.73468,26.86986,34.73468
82,1640.0,26.2145,34.73468,26.2145,35.39004
83,1660.0,26.2145,36.0454,26.2145,36.0454
84,1680.0,26.2145,36.0454,26.2145,36.0454
85,1700.0,26.2145,36.70076,26.2145,36.70076
86,1720.0,26.2145,37.35612,26.2145,36.70076
87,1740.0,26.2145,37.35612,26.2145,37.35612
88,1760.0,26.2145,38.01148,26.2145,38.01148
89,1780.0,26.2145,38.66684,26.2145,38.01148
90,1800.0,26.21449,38.66684,26.21449,38.01148
91,1820.0,26.21449,39.3222,26.21449,38.66684
92,1840.0,26.21449,39.3222,26.21449,39.3222
93,1860.0,26.21449,39.97756,26.21449,39.3222
94,1880.0,25.55913,39.97756,25.55913,39.97756
95,1900.0,25.55913,39.97756,26.21449,39.97756
96,1920.0,26.21449,40.63292,26.21449,39.97756
97,1940.0,26.21449,40.63292,26.21449,40.63292
98,1960.0,25.55913,40.63292,26.21449,41.28828
99,1980.0,26.21449,41.28828,26.21449,40.63292
100,2000.0,26.21449,41.28828,26.21449,41.28828
101,2020.0,26.21449,41.94364,26.21449,41.94364
102,2040.0,26.21449,41.94364,26.21449,41.94364
103,2060.0,26.21449,41.94364,26.21449,41.94364
104,2080.0,25.55912,41.94364,25.55913,41.94364
105,2100.0,26.21449,42.599,25.55912,42.599
106,2120.0,26.21448,42.599,26.21449,43.90972
107,2140.0,24.90377,44.56508,25.55913,45.8758
108,2160.0,24.90377,45.8758,24.90377,46.53116
109,2180.0,24.90378,45.8758,24.90378,46.53116
110,2200.0,24.90378,46.53116,24.90378,46.53116
111,2220.0,24.90378,47.18652,25.55914,46.53116
112,2240.0,25.55914,47.18652,25.55914,47.18652
113,2260.0,26.2145,47.18652,26.2145,47.18652
114,2280.0,26.21451,47.84188,26.2145,47.84188
115,2300.0,26.2145,48.49724,26.21451,47.84188
116,2320.0,26.21451,48.49724,26.86987,48.49724
117,2340.0,26.21451,49.1526,26.86987,48.49724
118,2360.0,26.21451,49.1526,26.86987,48.49724
119,2380.0,26.86987,49.1526,26.86987,49.1526
120,2400.0,27.52523,49.1526,26.86987,49.1526
121,2420.0,26.86987,49.80796,27.52523,49.80796
122,2440.0,26.86986,50.46332,27.52522,50.46332
123,2460.0,26.86986,51.11868,27.52522,51.11868
124,2480.0,27.52522,51.11868,26.86986,51.11868
125,2500.0,26.86986,51.77404,26.21449,53.08476
126,2520.0,23.59302,56.36156,24.24839,57.01692
127,2540.0,24.2484,57.67228,24.2484,57.01692
128,2560.0,24.2484,57.67228,24.2484,57.01692
129,2580.0,24.2484,57.67228,24.2484,57.01692
130,2600.0,24.24839,57.67228,24.2484,57.01692
131,2620.0,24.90375,57.67228,24.2484,57.01692
132,2640.0,24.24839,57.67228,24.24839,57.01692
133,2660.0,24.24839,57.67228,24.24839,57.01692
134,2680.0,24.90375,57.67228,24.24839,57.01692
135,2700.0,24.24839,57.67228,24.90375,57.01692
136,2720.0,24.24839,57.67228,24.24839,57.01692
137,2740.0,24.90375,57.67228,24.90375,57.01692
138,2760.0,24.24839,57.67228,24.24839,57.01692
139,2780.0,24.90375,57.67228,28.18058,57.01692
140,2800.0,32.1128,57.67228,31.45744,57.01692
141,2820.0,31.45743,57.67228,31.45743,57.01692
142,2840.0,31.45743,57.67228,31.45743,57.01692
143,2860.0,31.45743,57.67228,30.80207,57.01692
144,2880.0,30.80207,57.67228,31.45743,57.01692
145,2900.0,31.45743,57.67228,31.45743,57.01692
146,2920.0,31.45743,57.67228,31.45743,57.01692
147,2940.0,30.80207,57.67228,30.80207,57.01692
148,2960.0,31.45743,57.67228,31.45743,57.01692
149,2980.0,30.80207,57.67228,31.45743,57.01692
150,3000.0,31.45742,57.67228,31.45743,57.01692
151,3020.0,31.45742,57.67228,31.45742,57.01692
152,3040.0,31.45742,57.67228,31.45742,57.01692
153,3060.0,32.11278,57.67228,32.76814,57.01692
154,3080.0,34.73423,57.67228,45.87546,57.01692
155,3100.0,52.42916,57.67228,53.73989,57.01692
156,3120.0,53.08452,57.67228,53.08452,57.01692
157,3140.0,53.08452,57.67228,53.73988,57.01692
158,3160.0,53.08452,57.67228,53.73988,57.01692
159,3180.0,53.73987,57.67228,53.73987,57.01692
160,3200.0,53.73987,57.67228,53.73987,57.01692
161,3220.0,53.73987,57.67228,53.73987,57.01692
162,3240.0,54.39522,57.67228,53.73986,57.01692
163,3260.0,54.39522,57.67228,55.05057,57.01692
164,3280.0,55.05057,57.67228,54.39521,57.01692
165,3300.0,54.3952,57.67228,55.05057,57.01692
166,3320.0,55.05056,57.67228,55.05056,57.01692
167,3340.0,55.05056,57.67228,55.70592,57.01692
168,3360.0,55.05056,57.67228,55.70592,57.01692
169,3380.0,55.70592,57.67228,55.70592,57.01692
170,3400.0,55.05055,57.67228,55.70592,57.01692
171,3420.0,55.70591,57.67228,53.73981,57.01692
172,3440.0,52.42907,57.67228,52.42908,57.01692
173,3460.0,52.42908,57.67228,52.42908,57.01692
174,3480.0,53.08444,57.67228,53.08444,57.01692
175,3500.0,52.42908,57.67228,53.08444,57.01692
176,3520.0,52.42908,57.67228,53.08445,57.01692
177,3540.0,52.42908,57.67228,53.08445,57.01692
178,3560.0,52.42908,57.67228,53.08444,57.01692
179,3580.0,52.42908,57.67228,52.42908,57.01692
180,3600.0,52.42908,57.67228,53.08444,57.01692
181,3620.0,53.08443,57.67228,53.08444,57.01692
182,3640.0,53.08444,57.67228,53.73979,57.01692
183,3660.0,53.73979,57.67228,53.7398,57.01692
184,3680.0,53.73979,57.67228,53.73979,57.01692
185,3700.0,53.73979,57.67228,53.73979,57.01692
186,3720.0,53.73979,57.67228,53.73979,57.01692
187,3740.0,53.73979,57.67228,54.39515,57.01692
188,3760.0,53.73979,57.67228,52.42905,57.01692
189,3780.0,52.42905,57.67228,52.42905,57.01692
190,3800.0,53.08442,57.67228,52.42906,57.01692
191,3820.0,52.42906,57.67228,52.42906,57.01692
192,3840.0,52.42906,57.67228,52.42907,57.01692
193,3860.0,52.42906,57.67228,52.42906,57.01692
194,3880.0,51.7737,57.67228,52.42906,57.01692
195,3900.0,51.7737,57.67228,51.7737,57.01692
196,3920.0,51.11834,57.67228,51.11834,57.01692
197,3940.0,51.11834,57.67228,51.11834,57.01692
198,3960.0,51.11834,57.67228,50.46298,57.01692
199,3980.0,50.46298,57.67228,50.46298,57.01692
200,4000.0,50.46298,57.67228,50.46298,57.01692
201,4020.0,50.46298,57.67228,50.46298,57.01692
202,4040.0,50.46297,57.67228,51.11833,57.01692
203,4060.0,51.11834,57.67228,51.77369,57.01692
204,4080.0,51.11833,57.67228,51.77369,57.01692
205,4100.0,51.11834,57.67228,51.7737,57.01692
206,4120.0,51.11834,57.67228,51.7737,57.01692
207,4140.0,51.11834,57.67228,51.11834,57.01692
