,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,0.0,-1.31073,-0.65536,-0.65535999999999
2,40.0,-0.65537,-1.31073,-0.65536,-1.96608
3,60.0,-0.65538,-1.96609,-1.31074,-1.96608
4,80.0,-1.31075,-1.96609,-1.31075,-1.31071
5,100.0,-1.31076,-1.96608,-1.31076,-1.96607
6,120.0,-1.96613,-1.96608,-1.96613,-1.96607
7,140.0,-1.96613,-2.62144,-1.96613,-2.62143
8,160.0,-1.96621,-2.62143,-1.96613,-2.62142
9,180.0,-1.96614,-3.2768,-1.96614,-3.27678
10,200.0,-1.96613,-3.27679,-1.96613,-2.62142
11,220.0,-1.96613,-1.96607,-1.96614,-1.96606
12,240.0,-1.96613,-2.62143,-2.62149,-2.62142
13,260.0,-2.62149,-2.62143,-2.62149,-2.62142
14,280.0,-1.96613,-3.2768,-2.62149,-3.27678
15,300.0,-1.96613,-3.2768,-2.62149,-3.27679
16,320.0,-2.62149,-3.93217,-1.96613,-3.2768
17,340.0,-2.62148,-3.93217,-2.62148,-3.93216
18,360.0,-1.96612,-5.2429,-1.96611,-5.89825
19,380.0,-1.96612,-7.20899,-1.96611,-7.86435
20,400.0,-1.96611,-7.86436,-1.96611,-7.86435
21,420.0,-1.96611,-7.86436,-1.96356,-7.20899
22,440.0,-1.31075,-6.55364,-1.31075,-6.55363
23,460.0,-1.31075,-6.55364,-1.96612,-5.89827
24,480.0,-1.31076,-6.55364,-1.96611,-6.55363
25,500.0,-1.31075,-6.55364,-1.31075,-6.55363
26,520.0,-1.96612,-6.55365,-1.96612,-7.209
27,540.0,-1.96612,-7.20901,-1.96612,-6.55364
28,560.0,-1.96611,-7.20901,-1.31076,-8.51972
29,580.0,-1.31076,-9.1751,-1.31076,-9.17509
30,600.0,-0.6554,-9.17509,-0.65539,-8.51972
31,620.0,-0.65538,-7.86437,-0.65537,-7.20899
32,640.0,-0.65537,-7.86436,-0.65536,-6.55363
33,660.0,0.0,-6.55364,9.9999999960687e-06,-6.55363
34,680.0,-1.31073,-7.86437,-3.27687,-7.20901
35,700.0,-3.27686,-6.55366,-3.27685,-5.24291
36,720.0,-3.27685,-4.58756,-3.93221,-3.27682
37,740.0,-3.93221,-3.93219,-3.93221,-3.27682
38,760.0,-3.93221,-3.93219,-3.93221,-3.93218
39,780.0,-3.93221,-3.93219,-3.93221,-3.93218
40,800.0,-3.93221,-3.9322,-3.93221,-3.93218
41,820.0,-3.9322,-3.9322,-3.93221,-3.93219
42,840.0,-3.9322,-3.9322,-3.27685,-3.27682
43,860.0,-3.9322,-3.27683,-3.27684,-3.93218
44,880.0,-3.27685,-4.58756,-3.9322,-4.58755
45,900.0,-3.27685,-5.24292,-3.9322,-5.24291
46,920.0,-3.93221,-5.24293,-3.93221,-5.24291
47,940.0,-3.93221,-5.89829,-3.93221,-6.55364
48,960.0,-3.93221,-7.20901,-3.93222,-7.86437
49,980.0,-3.93221,-8.51974,-3.93221,-9.17509
50,1000.0,-3.9322,-8.51974,-2.62145,-6.55363
51,1020.0,-3.2768,-6.55364,-3.2768,-5.2429
52,1040.0,-3.93216,-3.93219,-3.93215,-3.93217
53,1060.0,-3.93215,-3.93219,-3.93216,-3.93218
54,1080.0,-3.93216,-4.58755,-3.27679,-3.93218
55,1100.0,-3.2768,-4.58756,-3.27679,-4.58755
56,1120.0,-3.27679,-4.58757,-3.27679,-4.58755
57,1140.0,-3.2768,-3.93221,-3.27679,-3.93219
58,1160.0,-3.27679,-3.9322,-3.27679,-3.27682
59,1180.0,-3.27679,-3.27683,-3.27678,-3.27682
60,1200.0,-3.27678,-3.27683,-3.27678,-3.27681
61,1220.0,-2.62141,-3.27682,-3.27677,-2.62145
62,1240.0,-3.27677,-2.62146,-3.27677,-2.62145
63,1260.0,-2.62141,-2.62146,-2.62141,-1.96609
64,1280.0,-2.62141,-2.62146,-3.27677,-2.62145
65,1300.0,-3.27677,-2.62146,-3.27677,-2.62144
66,1320.0,-3.27678,-3.27681,-3.27677,-3.2768
67,1340.0,-3.27678,-3.27681,-3.27678,-3.93217
68,1360.0,-3.27678,-3.93218,-3.27679,-3.93217
69,1380.0,-3.27679,-3.93218,-2.62142,-4.58753
70,1400.0,0.65548,-3.27681,1.31101,2.0000000006348e-05
71,1420.0,0.65569,0.65537,0.00031999999999499,1.31074
72,1440.0,0.00031999999999499,1.9661,0.00032999999999817,1.31074
73,1460.0,0.00031999999999499,0.0,0.65568,-1.96608
74,1480.0,0.65567,-4.58755,1.31102,-7.209
75,1500.0,1.31101,-9.1751,1.311,-10.48581
76,1520.0,1.96635,-10.48583,1.96635,-10.48582
77,1540.0,1.96635,-11.1412,2.62171,-11.14119
78,1560.0,2.6217,-11.1412,2.62171,-10.48583
79,1580.0,2.62171,-10.48584,2.62171,-9.83046
80,1600.0,2.62171,-9.17511,2.62171,-9.17509
81,1620.0,2.62171,-8.51974,2.62171,-7.86437
82,1640.0,2.62171,-7.20902,1.96636,-7.209
83,1660.0,2.62181,-5.24293,4.58795,-2.62146
84,1680.0,3.27723,-1.9661,3.27723,0.0
85,1700.0,2.62187,1.31073,3.27724,3.27683
86,1720.0,2.62188,4.58755,1.96653,7.86438
87,1740.0,1.96653,9.83047,1.31118,12.45193
88,1760.0,0.65582999999999,14.41802,0.65585,15.72876
89,1780.0,0.65586,16.38412,0.65586,17.69486
90,1800.0,0.00050999999999846,17.69485,0.00051999999999452,19.00558
91,1820.0,0.00051999999999452,19.00558,0.0005299999999977,19.00559
92,1840.0,0.0005299999999977,19.00558,0.0005299999999977,18.35023
93,1860.0,0.0005299999999977,19.00558,0.00054000000000087,19.00559
94,1880.0,0.0005299999999977,18.35022,0.00054000000000087,18.35024
95,1900.0,-0.65484,18.35022,-2.62097,17.69487
96,1920.0,-2.62099,18.35023,-2.62098,19.0056
97,1940.0,-2.62097,19.66096,-2.62097,19.66097
98,1960.0,-2.62097,19.66096,-2.62097,19.66097
99,1980.0,-2.62097,19.66096,-2.62096,20.31634
100,2000.0,-2.62096,19.66096,-1.9656,19.66097
101,2020.0,-2.62096,19.66096,-2.62095,19.66098
102,2040.0,-2.62095,19.66096,-2.62095,19.66097
103,2060.0,-2.62095,19.0056,-2.62094,19.00561
104,2080.0,-2.62094,19.0056,-2.62094,19.00561
105,2100.0,-2.62094,19.0056,-1.96554,19.66098
106,2120.0,10.4865,21.62706,16.38486,22.28243
107,2140.0,15.72951,21.62706,14.41878,21.62707
108,2160.0,15.07415,20.9717,15.07415,21.62707
109,2180.0,15.7295,20.97169,16.38487,20.9717
110,2200.0,16.38487,20.97169,16.38487,20.9717
111,2220.0,16.38487,20.97169,16.38487,20.9717
112,2240.0,16.38487,20.31633,15.72951,20.31634
113,2260.0,15.7295,20.31633,15.7295,20.31634
114,2280.0,15.7295,19.66096,15.7295,19.66098
115,2300.0,15.7295,19.66096,15.7295,19.66098
116,2320.0,15.7295,19.66096,15.7295,19.66097
117,2340.0,15.7295,19.0056,15.7295,19.00561
118,2360.0,15.7295,19.0056,15.72949,19.66097
119,2380.0,16.38485,19.0056,15.72949,19.00561
120,2400.0,15.72949,19.00559,15.72949,19.0056
121,2420.0,15.72949,18.35023,16.38484,18.35024
122,2440.0,16.38484,17.0395,16.38484,17.03951
123,2460.0,16.38484,16.38414,16.38484,16.38415
124,2480.0,16.38483,15.72877,16.38483,15.72878
125,2500.0,16.38483,15.0734,16.38483,14.41805
126,2520.0,16.38482,13.76268,16.38482,13.10733
127,2540.0,15.72945,12.45195,15.72946,12.45196
128,2560.0,15.72945,11.79659,15.72945,11.14124
129,2580.0,16.38481,11.14122,16.3848,11.14123
130,2600.0,16.3848,10.48586,16.38481,10.48587
131,2620.0,16.3848,10.48585,16.3848,9.83051
132,2640.0,16.3848,9.83049,16.3848,9.17515
133,2660.0,16.3848,9.17513,16.3848,9.17514
134,2680.0,16.3848,8.51977,5.8989,7.20907
135,2700.0,-1.31025,7.20907,-0.65495,7.86445
136,2720.0,0.6558,9.17516,0.00045000000000073,10.4859
137,2740.0,0.00045000000000073,11.79661,0.0004599999999968,12.45199
138,2760.0,-51.77298,12.45197,0.0004599999999968,12.45198
139,2780.0,0.0004599999999968,12.45197,0.0004599999999968,12.45198
140,2800.0,0.65582,11.7966,0.0004599999999968,11.79662
141,2820.0,0.65582,11.7966,0.65582,11.79661
142,2840.0,0.65582,11.7966,0.65582,11.79661
143,2860.0,0.65582,11.14124,0.65582,11.14125
144,2880.0,0.65582,11.14124,0.65582,11.14125
145,2900.0,0.65582,10.48587,0.65581,10.48589
146,2920.0,0.65581,9.83051,-0.65486,9.17516
147,2940.0,-0.65483,9.17515,-0.65483,9.83052
148,2960.0,-0.65483,10.48587,-1.31019,10.48588
149,2980.0,-0.65483,10.48587,-0.65483,10.48588
150,3000.0,-0.65483,10.48587,-0.65483,9.83052
151,3020.0,0.00051999999999452,9.83051,0.00051999999999452,9.17516
152,3040.0,0.00051999999999452,9.17515,0.00051999999999452,9.83052
153,3060.0,0.00051999999999452,9.83051,0.00051999999999452,10.48588
154,3080.0,0.00051999999999452,10.48587,0.0005299999999977,10.48589
155,3100.0,0.00051999999999452,10.48588,0.00051999999999452,10.48589
156,3120.0,5.89887,11.79659,15.72943,14.41806
157,3140.0,16.38483,14.41805,15.72945,15.07342
158,3160.0,15.72946,15.72878,15.72946,15.72879
159,3180.0,15.72946,15.07341,16.38482,15.07341
160,3200.0,16.38482,14.41804,16.38481,13.76269
161,3220.0,17.04017,13.10731,16.38481,13.10732
162,3240.0,17.04016,12.45195,16.38481,12.45196
163,3260.0,16.3848,12.45195,17.04016,11.7966
164,3280.0,17.04016,11.79659,16.3848,11.79659
165,3300.0,16.3848,10.48586,16.38479,11.14123
166,3320.0,16.38479,10.48586,16.38479,10.48587
167,3340.0,16.38479,10.48586,16.38479,10.48587
168,3360.0,18.35089,10.48586,33.42429,13.10732
169,3380.0,39.97798,14.41804,39.32262,15.72878
170,3400.0,38.66726,16.38413,39.32263,17.03951
171,3420.0,39.32263,17.0395,38.66727,17.03951
172,3440.0,38.66727,16.38413,39.32263,17.03951
173,3460.0,39.32263,16.38414,39.32263,16.38415
174,3480.0,39.97799,15.72877,39.97799,15.72878
175,3500.0,40.63335,15.72877,40.63335,15.07342
176,3520.0,40.63334,15.07341,40.63334,14.41805
177,3540.0,41.2887,14.41804,41.2887,13.76269
178,3560.0,50.46382,15.72877,57.67288,17.69487
179,3580.0,58.98363,17.69486,58.32827,18.35024
180,3600.0,58.98363,18.35023,58.32828,19.00561
181,3620.0,58.98363,18.35023,58.98363,18.35024
182,3640.0,58.98363,17.69487,58.98363,17.69488
183,3660.0,58.98363,17.69487,58.98363,17.69488
184,3680.0,58.98363,17.03951,58.98363,17.69488
185,3700.0,58.98363,17.69487,59.63899,17.03952
186,3720.0,58.98363,17.03951,59.63898,17.03952
187,3740.0,59.63898,16.38414,59.63898,15.72879
188,3760.0,59.63898,15.07342,59.63897,13.7627
189,3780.0,59.63896,11.7966,60.29433,11.14125
190,3800.0,60.29432,10.48588,59.63896,10.48589
191,3820.0,58.9836,11.14123,58.9836,11.14125
192,3840.0,58.98361,10.48587,58.9836,11.14125
193,3860.0,58.9836,11.7966,58.32824,11.79661
194,3880.0,58.32824,12.45196,58.32824,12.45198
195,3900.0,58.32824,12.45197,58.32824,12.45199
196,3920.0,58.32824,12.45197,62.26044,14.41808
197,3940.0,66.84804,16.38416,66.84806,17.03954
198,3960.0,66.19269,17.69489,66.1927,18.35027
199,3980.0,66.19271,19.00562,66.19271,18.35027
200,4000.0,66.84807,18.35026,66.84807,18.35027
201,4020.0,66.84807,18.35026,66.84807,18.35027
202,4040.0,66.84807,17.6949,66.84807,17.6949
203,4060.0,66.84806,17.69489,66.84807,17.03955
204,4080.0,66.84807,17.03954,66.84807,17.03954
205,4100.0,66.84806,17.03953,67.50343,17.03954
206,4120.0,75.36785,19.66099,83.88769,21.6271
207,4140.0,85.85382,22.28244,85.19846,22.93782
208,4160.0,85.85382,23.59317,85.85382,23.59319
209,4180.0,85.85382,23.59317,85.85382,23.59319
210,4200.0,85.85382,22.93781,85.85382,22.93783
211,4220.0,85.19846,22.93781,85.19846,22.93782
212,4240.0,85.85382,22.28244,85.19846,21.62709
213,4260.0,85.19846,21.62708,85.19846,20.97173
214,4280.0,85.19846,20.97172,85.85382,20.97173
215,4300.0,85.85381,20.97173,85.85382,20.97173
216,4320.0,85.19846,20.97172,85.85382,21.62709
217,4340.0,85.19846,20.97172,85.85382,20.97174
218,4360.0,85.85382,20.97173,85.85383,21.6271
219,4380.0,85.85383,20.97173,85.85383,20.97174
220,4400.0,85.85382,20.97173,85.85383,20.97174
221,4420.0,86.50919,20.97173,86.50919,20.97175
222,4440.0,87.16455,20.97173,86.50919,21.6271
223,4460.0,86.50919,21.6271,86.50919,22.28247
224,4480.0,86.50919,22.93783,86.50919,22.93784
225,4500.0,86.50919,23.59319,86.50919,22.93784
226,4520.0,86.50919,22.93783,86.50919,22.93784
227,4540.0,85.85383,21.62711,87.16457,23.59321
228,4560.0,91.09679,26.21466,91.09681,26.87003
229,4580.0,91.0968,26.87002,91.09681,27.52539
230,4600.0,90.44145,27.52539,91.09681,26.87004
231,4620.0,90.44144,26.21466,90.44144,26.21467
232,4640.0,89.78608,26.21466,90.44144,25.55931
233,4660.0,89.78608,24.90393,89.78608,24.90394
234,4680.0,89.78608,24.24857,89.78608,24.24858
235,4700.0,89.78607,24.24856,89.78608,24.24857
236,4720.0,89.78608,23.5932,89.78608,23.59321
237,4740.0,89.13071,23.5932,89.78608,22.93784
238,4760.0,89.78608,22.93783,89.78608,22.93784
239,4780.0,89.78608,22.93783,89.78609,22.93783
240,4800.0,89.78609,22.93782,89.78609,22.93783
241,4820.0,89.78609,22.93782,89.78609,22.93783
242,4840.0,89.78609,22.93782,89.7861,22.93783
243,4860.0,89.7861,22.93782,89.7861,22.93783
244,4880.0,89.13074,22.93781,89.78609,22.93783
245,4900.0,93.7183,24.90391,104.20426,28.83611
246,4920.0,109.44729,30.80218,108.13658,31.45755
247,4940.0,108.79193,32.76827,108.13659,33.42365
248,4960.0,108.1366,34.07901,108.13659,34.07901
249,4980.0,108.13659,34.079,108.13659,34.73438
250,5000.0,108.13659,34.079,108.13659,34.07902
251,5020.0,108.13659,34.07901,108.13659,34.07902
252,5040.0,108.13659,34.079,108.13659,34.07902
253,5060.0,108.13658,34.079,108.13658,34.07902
254,5080.0,108.13658,34.079,108.13658,34.07902
255,5100.0,108.79194,34.079,108.79195,34.07901
256,5120.0,108.79194,34.73436,109.44731,34.73437
257,5140.0,111.41344,36.70098,114.03494,38.0112
258,5160.0,114.03494,39.32191,113.37957,40.63265
259,5180.0,113.37958,41.28801,113.37958,41.28802
260,5200.0,113.37958,41.28801,113.37959,41.28803
261,5220.0,113.37959,41.28801,112.72423,40.63266
262,5240.0,113.37958,39.97728,113.37958,39.32193
263,5260.0,113.37958,39.32192,113.37957,39.32193
264,5280.0,113.37957,38.66656,112.7242,38.66657
265,5300.0,112.72421,38.66656,112.72421,38.66657
266,5320.0,112.7242,38.66656,112.7242,38.66657
267,5340.0,112.7242,38.66656,112.7242,38.66657
268,5360.0,112.72421,39.32192,112.7242,39.32193
269,5380.0,112.72421,39.32192,112.72421,39.32193
270,5400.0,112.72421,39.32192,112.72421,39.32193
271,5420.0,112.72421,39.32192,112.06885,39.32193
272,5440.0,112.72421,39.32192,111.4135,39.32193
273,5460.0,112.06887,39.32191,112.06887,39.32192
274,5480.0,112.06887,39.32191,112.06888,39.97728
275,5500.0,112.06888,39.97727,112.06889,39.97728
276,5520.0,111.41353,39.32191,112.06889,39.97729
277,5540.0,112.06889,39.97728,111.41353,39.97729
278,5560.0,111.41353,39.97728,111.41353,40.63265
279,5580.0,112.06889,40.63264,111.41352,40.63266
280,5600.0,111.41353,39.97728,111.41353,40.63265
281,5620.0,111.41353,40.63264,111.41353,41.28802
282,5640.0,111.41353,41.28801,111.41353,41.28802
283,5660.0,112.06889,41.28801,111.41353,40.63265
284,5680.0,112.0689,39.97728,112.06889,39.97729
