,T,LX,LY,RX,RY
0,0.0,0.0,0.0,0.0,0.0
1,20.0,-0.65536,0.65536,-0.65536,-1.0000000003174e-05
2,40.0,-1.9661,0.0,-1.9661,0.0
3,60.0,-3.27683,1.0000000003174e-05,-3.9322,0.65537
4,80.0,-5.89829,1.31074,-6.55366,0.65538
5,100.0,-8.51975,1.96612,-9.17513,1.31076
6,120.0,-10.48586,1.96614,-11.7966,1.96614
7,140.0,-13.7627,2.62151,-14.41808,1.96615
8,160.0,-15.72882,1.96617,-17.03956,1.3108
9,180.0,-18.35029,1.31081,-19.00567,0.65544999999999
10,200.0,-20.3164,1.31083,-20.31641,1.31082
11,220.0,-21.62714,1.31083,-21.62714,0.65546
12,240.0,-22.2825,0.65548,-21.62715,0.65547
13,260.0,-22.93787,1.31084,-22.28252,0.65547
14,280.0,-22.93788,0.65547,-21.62718,0.65546
15,300.0,-22.28254,0.65547,-21.62718,0.65546
16,320.0,-22.28255,0.65547,-21.62718,0.65546
17,340.0,-22.28255,0.65546000000001,-21.62719,0.65544999999999
18,360.0,-21.62719,1.31081,-21.62719,0.65544999999999
19,380.0,-22.28255,1.31081,-21.6272,1.31081
20,400.0,-22.28255,1.31081,-21.6272,1.3108
21,420.0,-22.28256,1.31081,-21.6272,1.3108
22,440.0,-22.28255,1.96616,-21.62719,1.31079
23,460.0,-22.28255,1.96616,-21.62719,1.31079
24,480.0,-22.28255,1.96616,-22.28254,1.96615
25,500.0,-22.93791,2.62152,-21.62718,1.96615
26,520.0,-22.28254,1.96615,-20.97182,1.96614
27,540.0,-20.97181,2.62151,-20.31646,2.6215
28,560.0,-20.31645,3.27687,-19.6611,3.27686
29,580.0,-20.31645,3.27687,-19.66109,3.93222
30,600.0,-20.31645,3.93222,-19.00573,3.27686
31,620.0,-20.31645,3.93223,-20.31645,3.93222
32,640.0,-20.31645,3.93223,-19.66109,3.93222
33,660.0,-20.31644,3.93223,-19.00571,3.27686
34,680.0,-19.00571,3.27687,-17.69498,2.6215
35,700.0,-17.69498,3.27687,-17.03961,2.6215
36,720.0,-17.03959,3.27687,-15.72886,2.6215
37,740.0,-15.72886,3.93223,-14.41812,3.93222
38,760.0,-14.41811,5.24295,-13.76274,5.24294
39,780.0,-13.76273,5.89831,-13.10735,5.8983
40,800.0,-13.7627,6.55367,-13.10734,6.55367
41,820.0,-13.10733,6.55367,-12.45197,6.55367
42,840.0,-13.10733,7.20903,-12.45197,7.20903
